# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yrfG//
aas_lplT	tdcG//
abgABT_ogt	aceB//otsA//atoA//
abpAB	
accBC	hisC//lysA//
aceBAK	rlmH//ispH//metK//
aceEF	dapA//rutB//frlD//
ackA_pta	luxS//lysS//
acpP_fabF	ackA//
acrAB	pgaC//fucU//
acrEF	kefF//
acs_yjcH_actP	ydbC//mgsA//
ada_alkB	moeA//gadA//
agaS_kbaY_agaBCDI	yhdH//
ahpCF	hemA//
alaA_yfbR	gltD//atoD//
alaWX	
allDCE	waaQ//lplA//lsrG//
alsBACE	tmk//yfiH//
amiA_hemF	dgcP//fabI//
ampDE	gatZ//
ansA_pncA	ubiX//hisS//wzc//
apaGH	gadB//
appCBXA	lysC//valS//
araBAD	agp//ndh//pheT//
araE_ygeA	alaC//
araFGH	frc//
argCBH	avtA//phnG//hisI//
argT_hisJQMP	yigL//paoA//
argX_hisR_leuT_proM	
arnBCADTEF	lysU//gph//epd//plsB//uidA//
aroF_tyrA	azoR//rnpB//
aroKB_damX_dam_rpe_gph_trpS	lsrG//rpiB//efeB//astD//xdhC//fdhF//
aroL_yaiA_aroM	mhpA//
arpB_1B_2	
arsRBC	yghA//ydiB//
artPIQM	cysG//
ascFB	ispA//ubiE//
asnC_mioC	
asnC_mioC_mnmG	ycaO//
aspA_dcuA	pyrG//cmoA//
astCADBE	sdaB//wrbA//cadA//astA//uxaB//
atoDAEB	pgi//ygaP//yegS//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	bioB//murI//nudE//tag//aceA//avtA//
bamB_der	alaA//
basRS	
bcsABZC	gcvH//alaA//
bcsBZ	mepS//dacC//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	cyaA//mltB//
bfd_bfr	waaC//
bglGFB	nadB//yrfG//
bglH_yieLK	
bioBFCD	ldtA//malP//gltA//caiD//
brnQ_proY	rutE//bioD//
btuB_murI	ymdB//mrdA//
btuCED	nirB//aspC//
cadBA	cyoE//psuK//
caiCDE	prpD//moeB//
caiTABCDE	psuK//asnA//umpG//argI//ribB//
carAB	tsaD//
