# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	mog//
aas_lplT	yliI//
abgABT_ogt	cpsG//rnt//hisG//
abpAB	
accBC	tig//dut//
aceBAK	eda//argB//pdxA//
aceEF	carB//nrfD//moaE//
ackA_pta	waaQ//hisF//
acpP_fabF	mltD//
acrAB	rsmD//eno//
acrEF	hisS//
acs_yjcH_actP	fucO//pinE//
ada_alkB	nagB//thiI//
agaS_kbaY_agaBCDI	garK//
ahpCF	fucU//
alaA_yfbR	nirD//waaQ//
alaWX	
allDCE	ulaG//pssA//hcaE//
alsBACE	ddlB//trpB//
amiA_hemF	relA//ycaO//
ampDE	metG//
ansA_pncA	ubiE//etk//narZ//
apaGH	kbaZ//
appCBXA	ispF//ubiC//
araBAD	aphA//waaB//gmm//
araE_ygeA	puuD//
araFGH	menA//
argCBH	pgpC//sdhD//rhaM//
argT_hisJQMP	lldD//glpQ//
argX_hisR_leuT_proM	
arnBCADTEF	cmoA//insI-1//lacZ//guaC//yiaK//
aroF_tyrA	arnC//ruvC//
aroKB_damX_dam_rpe_gph_trpS	cheR//mqo//waaY//pyrB//purE//dhaK//
aroL_yaiA_aroM	mnmE//
arpB_1B_2	
arsRBC	otsA//purL//
artPIQM	purH//
ascFB	ispG//yeiR//
asnC_mioC	
asnC_mioC_mnmG	arnA//
aspA_dcuA	maeA//truD//
astCADBE	waaO//umpG//pbpC//ribB//kduI//
atoDAEB	glpB//patD//rrrD//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	lpxL//rlmC//caiC//fsaB//metG//napB//
bamB_der	menB//
basRS	
bcsABZC	torY//mutT//
bcsBZ	gapA//hpt//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	waaQ//garD//
bfd_bfr	nudB//
bglGFB	rutB//cysE//
bglH_yieLK	
bioBFCD	rutE//epmC//rlmM//nagA//
brnQ_proY	rfbD//thiL//
btuB_murI	gcvH//hemN//
btuCED	ispB//dadX//
cadBA	rffC//tilS//
caiCDE	tsaD//fkpA//
caiTABCDE	ugd//melA//nadB//lsrK//folA//
carAB	pabB//
casABCDE12	napC//
casDE12	pepD//
cbpAM	
cbrBC	
ccmABCDEFGH	glcF//
cecR_ybhGFSR	
chaBC	
chbBCARFG	astA//ynfG//entA//
chiP_ybfN	argA//
chpSB	rsmE//
citCDEFXG	purU//dmsA//fadM//
clpPX	dcm//alaC//hycB//trmH//
clpX_lon	ybjG//rutB//purU//
clsA_yciU	yhdJ//
cmk_rpsA	rihA//
cmoM_mukFEB	
cmtBA_yggPFDC	hcaC//ribC//
coaE_zapD_yacG	thiH//
cobUST	pspE//pgl//katG//
codBA	prmC//clsC//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	purH//
csgBAC	
csgDEFG	cysE//
csiD_lhgO_gabDTP	rlmM//tyrA//allD//yliI//
cusCFBA	menA//
cusRS	
cvpA_purF_ubiX	gadB//cfa//
cydAB	kduD//
cydDC	ycjU//
cydX_ybgE	kefF//
cynTS	fumA//cueO//
cynTSX	adk//pabC//rutB//
cyoABCDE	lpxC//hisB//
cysDNC	ndh//rpiB//
cysJIH	rfaE//bioB//yahK//
