# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	trxB//
aas_lplT	idi//
abgABT_ogt	metE//mcrA//nadB//
abpAB	
accBC	rhaD//yghA//
aceBAK	bglX//cadA//rhaA//
aceEF	yfdR//add//polB//
ackA_pta	lgoD//gltX//
acpP_fabF	dnaE//
acrAB	aspA//ribB//
acrEF	nanK//
acs_yjcH_actP	betA//cysI//
ada_alkB	rsuA//pheS//
agaS_kbaY_agaBCDI	adk//
ahpCF	fabI//
alaA_yfbR	tyrB//ravA//
alaWX	
allDCE	gpp//lpcA//hcaB//
alsBACE	fabD//tktA//
amiA_hemF	ppiA//hyaA//
ampDE	hcaB//
ansA_pncA	yhdJ//epmA//waaJ//
apaGH	kbaY//
appCBXA	rluF//guaD//
araBAD	garK//pck//avtA//
araE_ygeA	paaE//
araFGH	guaA//
argCBH	pdxJ//ynfE//frmA//
argT_hisJQMP	dut//hemG//
argX_hisR_leuT_proM	
arnBCADTEF	psd//rpe//orn//murQ//hisG//
aroF_tyrA	ygiF//rbsK//
aroKB_damX_dam_rpe_gph_trpS	entE//nrdD//lysA//putA//fklB//glyA//
aroL_yaiA_aroM	hycF//
arpB_1B_2	
arsRBC	pgk//serS//
artPIQM	ruvA//
ascFB	rutB//nadC//
asnC_mioC	
asnC_mioC_mnmG	mmuM//
aspA_dcuA	wcaJ//sodC//
astCADBE	napH//queA//atoA//lpoA//mqo//
atoDAEB	rbsK//hflX//pflB//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	eptC//dmsB//paaI//eptA//wzb//metB//
bamB_der	gshB//
basRS	
bcsABZC	ribB//paaB//
bcsBZ	ldhA//ybdL//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	tdh//gor//
bfd_bfr	metL//
bglGFB	dnaE//phoA//
bglH_yieLK	
bioBFCD	rsmE//udp//alr//trmO//
brnQ_proY	ygjK//argD//
btuB_murI	citD//insI-2//
btuCED	ygiF//mazG//
cadBA	metL//pgaB//
caiCDE	rpiA//wzb//
caiTABCDE	accA//eda//dadX//leuB//mutM//
carAB	mog//
casABCDE12	birA//
casDE12	rffC//
cbpAM	
cbrBC	
ccmABCDEFGH	ppiC//
cecR_ybhGFSR	
chaBC	
chbBCARFG	lpxL//kdsB//yjcS//
chiP_ybfN	ushA//
chpSB	argS//
citCDEFXG	hypB//truC//btuE//
clpPX	rsgA//queC//ydfG//nudL//
clpX_lon	sdhD//panC//iscS//
clsA_yciU	mutM//
cmk_rpsA	solA//
cmoM_mukFEB	
cmtBA_yggPFDC	panD//yciA//
coaE_zapD_yacG	eda//
cobUST	cyaA//citE//pflB//
codBA	sthA//recJ//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	dgcT//
csgBAC	
csgDEFG	cyaA//
csiD_lhgO_gabDTP	melA//hyaA//gshA//idnK//
cusCFBA	dapD//
cusRS	
cvpA_purF_ubiX	otsB//emtA//
cydAB	sgbE//
cydDC	dhaL//
cydX_ybgE	torA//
cynTS	patD//torZ//
cynTSX	dusA//frlC//gcvT//
cyoABCDE	rhaD//amn//
cysDNC	menD//gpp//
cysJIH	pykF//rluA//bglA//
cysPUWAM	acpS//rne//ilvH//
dadAX	allB//gmm//
damX_dam_rpe_gph_trpS	tehB//thiG//kdgK//narY//
dam_rpe_gph_trpS	mhpF//rutD//glcF//pldA//
dapA_bamC	mtlD//
dapE_ypfN	fabH//
dcm_vsr	galU//
dcuB_fumB	ybjI//acpS//
dcuSR	
dcyD_tcyLN	kdsD//yhdJ//
ddpXABCDF	rffT//
def_fmt	gpsA//tsaD//
degQS	yieH//trmA//
deoABD	pheT//arnT//pgsA//
deoBD	nrfC//ynjE//
deoCABD	melA//acnB//fadE//mltF//
dgoRKADT	nrdD//cysH//umpH//pheT//
dhaKLM	uvrA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	dapE//hemB//
dinJ_yafQ	thrS//
dksA_gluQ	ushA//
dmsABC	rsmH//
dnaAN_recF	ycjG//
dnaK_tpke11_dnaJ	cysE//
dnaN_recF	rpe//
dnaTC	
dnaTC_yjjA	
dosCP	entB//tmk//
dpiBA	
dppABCDF	nudC//
dsbC_recJ_prfB	panE//glyQ//
dsbD_yjdC	
dsdXA	citF//eptB//
dusB_fis	rlmF//
dut_slmA	rsgA//
eaeH_insEF_1E_1F_1	
