# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ravA//
aas_lplT	uxuA//
abgABT_ogt	ycaO//thrB//yihX//
abpAB	
accBC	rluE//dapA//
aceBAK	waaL//nrdF//icd//
aceEF	glyA//rbsD//murI//
ackA_pta	maeB//pheS//
acpP_fabF	gluQ//
acrAB	cpsB//speE//
acrEF	cueO//
acs_yjcH_actP	tdcG//ribA//
ada_alkB	asnA//speE//
agaS_kbaY_agaBCDI	pgpC//
ahpCF	rph//
alaA_yfbR	mltD//amyA//
alaWX	
allDCE	proB//scpC//nrfD//
alsBACE	rimK//phnG//
amiA_hemF	kduD//uidA//
ampDE	ycaO//
ansA_pncA	purN//cysI//metK//
apaGH	dnaE//
appCBXA	fadI//oxc//
araBAD	gpmM//alkA//rluE//
araE_ygeA	pphB//
araFGH	phnM//
argCBH	ligB//metC//yiaK//
argT_hisJQMP	ribE//waaA//
argX_hisR_leuT_proM	
arnBCADTEF	trpD//metF//dxs//hyaC//yieH//
aroF_tyrA	ahpF//ispE//
aroKB_damX_dam_rpe_gph_trpS	hemC//insI-3//btuE//iscS//psuG//pyrG//
aroL_yaiA_aroM	ycaO//
arpB_1B_2	
arsRBC	csdA//alr//
artPIQM	mltA//
ascFB	trmI//yagF//
asnC_mioC	
asnC_mioC_mnmG	dcd//
aspA_dcuA	gcd//pdeR//
astCADBE	acnB//solA//purA//ispG//nrdD//
atoDAEB	metH//paoC//nrfC//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	ilvG_1//selA//kdsA//pdxB//ycjU//fumB//
bamB_der	hcaF//
basRS	
bcsABZC	guaB//ygaP//
bcsBZ	pabA//narZ//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	waaZ//folC//
bfd_bfr	mmuM//
bglGFB	nadA//nagA//
bglH_yieLK	
bioBFCD	acs//amiD//puuB//gor//
brnQ_proY	paaB//betB//
btuB_murI	galU//yjjX//
btuCED	hdhA//pdeL//
cadBA	thiE//sodA//
caiCDE	mutS//cysM//
