# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yjjG//
aas_lplT	malY//
abgABT_ogt	astD//fadA//dgcZ//
abpAB	
accBC	tilS//umuD//
aceBAK	thiH//pphB//nagB//
aceEF	idi//thrC//folM//
ackA_pta	insI-3//hflX//
acpP_fabF	pdeR//
acrAB	recR//tsaD//
acrEF	ybaS//
acs_yjcH_actP	hycC//thiD//
ada_alkB	ldtD//ispB//
agaS_kbaY_agaBCDI	allC//
ahpCF	fbaA//
alaA_yfbR	ulaF//malZ//
alaWX	
allDCE	manA//fkpB//galM//
alsBACE	atoA//yhhW//
amiA_hemF	uxaA//xdhC//
ampDE	trpS//
ansA_pncA	panE//bioD//pldB//
apaGH	ybbO//
appCBXA	araB//nrdB//
araBAD	purU//yieH//bioH//
araE_ygeA	nudK//
araFGH	prs//
argCBH	narG//nrfA//nemA//
argT_hisJQMP	bfr//mrcB//
argX_hisR_leuT_proM	
arnBCADTEF	yfiH//thrC//maa//coaE//rutB//
aroF_tyrA	apaH//selD//
aroKB_damX_dam_rpe_gph_trpS	yigB//rlmH//glgX//rbsK//yhdJ//garL//
aroL_yaiA_aroM	dadA//
arpB_1B_2	
arsRBC	uvrA//cof//
artPIQM	rlmD//
ascFB	cpdA//acpT//
asnC_mioC	
asnC_mioC_mnmG	plsB//
aspA_dcuA	chbG//rluD//
astCADBE	sucC//rlmF//dgcM//rsmA//astA//
atoDAEB	queF//eno//gor//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	ygiF//caiB//dsdA//sthA//mnmA//purC//
bamB_der	ssuD//
basRS	
bcsABZC	etp//gshA//
bcsBZ	proB//tgt//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	ravA//mhpE//
bfd_bfr	bfr//
bglGFB	trmA//fabD//
bglH_yieLK	
bioBFCD	paaH//ghrB//cobB//rutC//
brnQ_proY	nadK//asd//
btuB_murI	aroH//tktB//
btuCED	arnC//ulaD//
cadBA	fau//fadK//
caiCDE	appA//citE//
caiTABCDE	nanE//yhdJ//gpt//caiB//moeA//
carAB	pncC//
casABCDE12	cof//
casDE12	cfa//
cbpAM	
cbrBC	
ccmABCDEFGH	recJ//
cecR_ybhGFSR	
chaBC	
chbBCARFG	tyrA//hemN//suhB//
chiP_ybfN	aceB//
chpSB	fau//
citCDEFXG	xdhB//betA//narV//
clpPX	guaA//tynA//serA//curA//
clpX_lon	yhhW//gmm//rluE//
clsA_yciU	phnO//
cmk_rpsA	bfr//
cmoM_mukFEB	
cmtBA_yggPFDC	mepS//arnB//
coaE_zapD_yacG	glyQ//
cobUST	pgaD//gntK//psuG//
codBA	xylB//dapF//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	pdeH//
csgBAC	
csgDEFG	rhaM//
csiD_lhgO_gabDTP	ulaD//adhE//yiaY//astA//
cusCFBA	glnE//
cusRS	
cvpA_purF_ubiX	waaC//panE//
cydAB	rluE//
cydDC	gshA//
cydX_ybgE	yohF//
cynTS	ydjG//ydbC//
cynTSX	bioA//leuA//hyaC//
cyoABCDE	dhaM//mog//
cysDNC	ilvH//eutD//
cysJIH	lpxA//ydiO//ybdL//
cysPUWAM	dhaK//scpA//rffT//
dadAX	alaS//aroL//
damX_dam_rpe_gph_trpS	mtgA//speB//gcvH//folC//
dam_rpe_gph_trpS	glpX//uvrB//uvrA//ugpQ//
dapA_bamC	mug//
dapE_ypfN	accB//
dcm_vsr	nirD//
dcuB_fumB	purK//fadH//
dcuSR	
dcyD_tcyLN	ansB//trpB//
ddpXABCDF	dcm//
def_fmt	gloC//yiaK//
degQS	citE//murQ//
deoABD	curA//bcsA//uxaA//
deoBD	folK//rffT//
deoCABD	rluB//phnH//lplA//rsmE//
dgoRKADT	ppsA//iscS//pgpC//purB//
dhaKLM	wecB//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	aroC//epmA//
dinJ_yafQ	purC//
dksA_gluQ	clsC//
dmsABC	atoD//
dnaAN_recF	ppiB//
dnaK_tpke11_dnaJ	menA//
dnaN_recF	glmS//
dnaTC	
dnaTC_yjjA	
dosCP	menC//carA//
dpiBA	
dppABCDF	bioA//
dsbC_recJ_prfB	astB//recO//
dsbD_yjdC	
dsdXA	trpD//fucI//
dusB_fis	speC//
dut_slmA	alaC//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	nudB//sgbH//
efeOB	dapB//
efeU_1U_2	
elbB_mtgA	paaI//
elfDCG_ycbUVF	
emrKY	yeiR//
entCEBAH	folM//leuD//lpxL//gmhB//paoA//glcB//
envY_ompT	rhaB//
epd_pgk	cysH//entD//
epd_pgk_fbaA	ygaP//glpC//aroB//
essD_rrrD_rzpD	fau//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	yeaE//
eutHA	
eutNEJG	
eutSPQTDM	talA//
evgAS	
exbBD	
fabDG_acpP	roxA//rfbD//
fabG_acpP	mcrB//
fabHDG	glyQ//waaQ//udk//
fabR_yijD	
fadBA	umpH//polB//
fadD_sroD	ravA//
fadIJ	rluF//ruvB//
fdnGHI	
fdoGHI_fdhE	glcE//
fdrA_ylbEF_ybcF	udk//
fecABCDE	argD//dgcP//
fecIR	
feoABC	umpG//
fepA_entD	wecB//pyrD//coaD//
fepDGC	waaQ//
fes_ybdZ_entF_fepE	rlmB//waaJ//speA//
fetAB	
fhuACDB	puuA//preT//
ficA_fic_pabA	sdhB//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	entH//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	cynS//hemE//
folC_dedD	clsC//
folD_ybcJ	yneH//
folE_yeiB	pinE//
folP_glmM	acpH//dusC//
folX_yfcH	rlmH//
frdABCD	scpA//
frlABCDR	rluD//wecB//feaB//mog//
frmRAB	napG//gpmM//
fruBKA	fabA//deoA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	ispA//rffM//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	murB//napG//argA//thiM//proS//azoR//yihU//ycjU//panC//thiC//
ftsQAZ	
ftsYEX	
fucAO	kduI//hemE//
fucPIKUR	hypB//dgcP//lpxL//mnaT//
fumAC	ogt//gmd//
fusA_tufA	
gabDTP	kdsA//fabG//yjhH//
gadAX	astA//
gadBC	ubiD//asnB//
gadEF	
gadEF_mdtEF	nth//
gadXW	
galET	icd//pdxH//
galETK	gpmM//metF//purT//
galETKM	mltD//pgi//insI-1//oxc//
gapA_yeaD	truA//
gapC_1C_2	
garPLRK_rnpB	ldtC//fucO//ogt//dhaK//gcd//aroE//
gatYZABCD	mutT//pgi//glmS//
gatZABCD	dcm//trpD//ppiB//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	entH//mutS//dmsA//fadE//tsaD//
gcvTHP	thiC//yihU//mobA//
gfcBCD	
gfcE_etp_etk	tadA//tadA//
ghoST	hycC//
glcBA	pepD//bcsB//
glcDEFGBA	purA//argE//ldtA//
glf_wbbH	dhaK//
glgAP	pykA//rlmA//
glgBXCAP	accC//lpxH//gabD//aceA//recJ//
glgCAP	narV//paaC//accD//
glmUS	galK//hmp//
glnALG	pabB//
glnHPQ	gsk//
glnK_amtB	cysD//
glnLG	
glnW_metU_glnVX	
glpABC	ydiB//
glpEGR	yfbR//nanA//
glpFKX	lipB//eutB//allA//
glpGR	pgpC//
glpTQ	lysA//trmD//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	hypF//
glvCBG_ysdC	
glyQS	paaG//
glyVXY	
glyW_cysT_leuZ	
gntKU	rfbC//rsgA//
gntRKU	dadX//tdcD//
gntX_nfuA	
gpmM_envC_yibQ	etk//nadR//
groSL	
gspAB	
gspCDEFGHIJKLMO	glpC//
guaBA	bioH//pfkA//
gudPXD	glyS//tdcB//
hcaEFCBD	mdh//valS//
hcp_hcr	aroE//hflX//
hdeAB_yhiD	
hemA_prfA_prmC	malQ//ubiD//
hemCDXY	dkgA//icd//
hflD_purB	queA//
hfq_hflXKC	sufS//
hicAB	
higBA	uvrA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	tilS//mutL//cysE//tdh//
hipBA	pykF//
hisBHAFI	rlmE//patA//pphB//rbsK//
hisJQMP	wzb//glyQ//
hisLGDCBHAFI	bglA//yqjH//araD//menI//glxR//trmA//bcsB//
hofMNOP	
holC_valS	glmM//
holD_rimI_yjjG	rihC//sucD//
hscBA_fdx_iscX	prpB//
hsdMS	pykF//
hsdRMS	tgt//
hslRO	
hslVU	epmA//
hyaABCDEF	
hybOABCDEFG	pgm//
hycABCDEFGHI	truC//accD//
hydN_hypF	hyaB//
hyfABCDEFGHIJR_focB	glmS//
hypABCDE	miaA//
hypABCDE_fhlA	garD//
hypBCDE	nagB//
hypBCDE_fhlA	panB//
iaaA_gsiABCD	ispE//asd//
