#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b2248//
C0299	b3520//
C0362	b0180//
C0465	b4134//
C0614	b2647//
C0664	b1574//
C0719	b3309//
IS128	b0288//
aaeR	b4483//
aaeXAB	b2234//b3253//b2681//
aas-lplT	b3490//b1735//
aat	b3058//
abgABT-ogt	b1755//b2824//b3158//b2545//
abgR	b4156//
abpAB	b1332//b1642//
abrB	b4087//
accA	b3136//
accBC	b4512//b2262//
accD	b2260//
aceBAK	b1617//b2024//b1963//
aceEF	b1843//b4278//
aceK	b0463//
ackA	b1230//
ackA-pta	b4330//b1664//
acnA	b1491//
acnB	b3293//
acpH	b0042//
acpP	b3831//
acpP-fabF	b2527//b0063//
acpT	b1076//
acrAB	b1207//b0780//
acrB	b3044//
acrD	b2037//
acrEF	b0992//b2285//
acrR	b2048//
acrZ	b0151//
acs-yjcH-actP	b1850//b2786//tfaS//
actP	b3457//
ada-alkB	b2839//b0840//
add	b2799//
adeD	b0983//
adeP	b1606//
adeQ	ylbE//
adhE	b0453//
adhP	b4102//
adiA	b0101//
adiC	b3267//
adiY	b2491//
adk	yncK_2//
aegA	b3709//
aer	b2883//
aes	b4453//
agaR	b0206//
agaS-kbaY-agaBCDI	b3013//b1556//b4109//b3679//b2349//b3860//
agp	b0961//
agrA	b1511//
agrB	b4606//
ahpCF	b2706//b0979//
ahpF	b3759//
ahr	b1190//
aidB	b2032//
ais	b2211//
alaA	b2663//
alaA-yfbR	b1056//b2025//
alaC	b3517//
alaE	b3060//
alaS	b4389//
alaWX	b1643//b1570//
aldA	b4076//
aldB	b3824//
alkA	b4317//
alkB	b1552//
allA	b2080//
allDCE	b3476//b2343//b2606//
allR	selU//
allS	b4130//
alpA	b2741//
alr	b2714//
alsBACE	b1026//b4371//b0282//b1867//
alsK	b2128//
alx	b1611//
amiA-hemF	b1677//b0285//
amiC	b4380//
amn	b1825//
ampC	b0937//
ampDE	b1495//ygeN//
ampG	b0754//
ampH	b2218//
amyA	b2474//
anmK	b3599//
ansA-pncA	b3734//b0365//
ansB	b3854//
ansP	b2812//
apaGH	b1087//b3096//
aphA	b1823//
appA	b0434//
appCBXA	b2423//b2312//b4005//b2464//
appY	b0429//
apt	b4036//
aqpZ	b4522//
araBAD	b2624//b2335//b4410//
araC	b0539//
araE	b1962//
araE-ygeA	b3223//b0334//
araFGH	b2331//b1834//b4427//
araJ	b3947//
arcA	b4146//
arcB	b1772//
arcZ	b0545//
arfA	b2019//
argA	b1136//
argCBH	b4713//b3087//b4035//
argD	b3264//
argE	b1833//
argF	b1485//
argG	b0559//
argI	b0333//
argO	sroA//
argP	b0710//
argQ	b2137//
argR	b3284//
argS	b3595//
argT-hisJQMP	b0773//b0268//b3981//b0994//b1995//
argU	b2471//
argW	b2081//
argX-hisR-leuT-proM	b0010//b2069//b4264//b1344//
ariR	b2406//
arnBCADTEF	b2492//b0225//insX//b3791//b3028//b2950//b3350//
aroF-tyrA	b0490//b3816//
aroG	b2870//
aroH	b3771//
aroKB-damX-dam-rpe-gph-trpS	b3910//b0366//b3542//insEF-3//b0910//b1561//b3787//
aroL-yaiA-aroM	b3356//b1368//b0939//
aroP	b2318//
arpA	b1289//
arpB_1B_2	b3035//b0272//
arrS	b2826//
arsRBC	b4145//b1229//b2567//
artJ	b2792//
artPIQM	b4378//b4175//b4360//b1538//
ascB	b1560//
ascFB	b3551//b3311//
ascG	b1397//
asd	b4031//
aslA	b4345//
aslB	b2590//
asmA	b4313//
asnA	molR_1//
asnB	b1427//
asnC	b4018//
asnC-mioC	b2810//b4367//
asnC-mioC-mnmG	b1263//b0722//b3956//
asnS	b2667//
asnT	b0393//
asnU	b1237//
asnV	b0846//
asnW	b1998//
aspA	b0977//
aspA-dcuA	b2338//b3907//
aspC	b1078//
aspS	tpke70//
aspT	b2009//
aspU	b0903//
aspV	b2440//
asr	b0529//
astCADBE	b4204//b4257//b1548//b1178//b2149//
atl	b4075//
atoDAEB	b4432//b0020//b0021//b1463//
atoSC	b4264//b1292//
atpBEFHAGDC	b1365//b0692//b2283//b0852//b0095//b1496//b1433//b2055//
atpIBEFHAGDC	b1134//b0713//b2449//b3620//b3928//b3517//b0547//b3639//b0677//
avtA	b2264//
azoR	b3315//
azuC	b4196//
bacA	b0769//
baeSR	b0123//b3272//
bamA	b2004//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b0330//b0296//b2132//b3802//b2333//b4071//b3612//b0844//
