#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b0085//
C0299	b2165//
C0362	b4373//
C0465	b1268//
C0614	b2640//
C0664	b2137//
C0719	b3510//
IS128	b0560//
aaeR	b0346//
aaeXAB	b1244//b3567//b3740//
aas-lplT	b2576//b2670//
aat	b3744//
abgABT-ogt	b2528//b3319//b1757//b0751//
abgR	b4471//
abpAB	b1675//b0644//
abrB	b4216//
accA	b2614//
accBC	b3361//b1866//
accD	b4209//
aceBAK	b4056//b3399//ylbE//
aceEF	b0104//b4144//
aceK	b1191//
ackA	b1027//
ackA-pta	b1283//b3260//
acnA	arpB_2//
acnB	b2253//
acpH	b4288//
acpP	b2720//
acpP-fabF	b0032//b1025//
acpT	b3432//
acrAB	b2727//b2874//
acrB	b4296//
acrD	b3480//
acrEF	b1991//b1211//
acrR	b3089//
acrZ	b1809//
acs-yjcH-actP	b4314//b2346//b4463//
actP	gapC_1//
ada-alkB	b4037//b1478//
add	b4334//
adeD	b3932//
adeP	b3867//
adeQ	b2639//
adhE	b2850//
adhP	insCD-3//
adiA	b3190//
adiC	b1206//
adiY	b2111//
adk	b3902//
aegA	b4288//
aer	b0868//
aes	b2303//
agaR	b3223//
agaS-kbaY-agaBCDI	b1849//b4526//b3639//b3526//b1448//b2034//
agp	b2346//
agrA	b3358//
agrB	b1992//
ahpCF	b2554//b0239//
ahpF	b2468//
ahr	yjhE//
aidB	b2255//
ais	b1756//
alaA	b3980//
alaA-yfbR	b1074//b1018//
alaC	b2219//
alaE	b3787//
alaS	b2649//
alaWX	b3619//b3471//
aldA	b0098//
aldB	b0095//
alkA	b1118//
alkB	b4364//
allA	b1922//
allDCE	b2080//b1016//b2004//
allR	b3627//
allS	b3671//
alpA	b3853//
alr	yjgX_3//
alsBACE	b0570//b1569//b1789//b0432//
alsK	b3877//
alx	b3867//
amiA-hemF	b3417//b3417//
amiC	b4237//
amn	b1677//
ampC	b2237//
ampDE	b4080//b4415//
ampG	b1571//
ampH	b4598//
amyA	b4185//
anmK	b2377//
ansA-pncA	b1742//b0871//
ansB	b0789//
ansP	yjgX_3//
apaGH	b4205//b1775//
aphA	b0498//
appA	b3310//
appCBXA	b2441//b1228//b3598//b0951//
appY	b3963//
apt	b4335//
aqpZ	b0452//
araBAD	b3303//b3655//b1828//
araC	b0740//
araE	b1570//
araE-ygeA	b0051//b4380//
araFGH	b3836//b4073//b4565//
araJ	b4223//
arcA	b3987//
arcB	b1420//
arcZ	b0400//
arfA	b0621//
argA	b1323//
argCBH	b3490//b1121//b1938//
argD	b0986//
argE	b0264//
argF	b3438//
argG	b2645//
argI	b2087//
argO	C0465//
argP	yegZ//
argQ	b4172//
argR	b3320//
argS	b2258//
argT-hisJQMP	b2015//b3779//b1600//b2676//b4191//
argU	b1216//
argW	b1526//
argX-hisR-leuT-proM	b3569//b2154//b1842//b3653//
ariR	b1232//
arnBCADTEF	b4364//b4156//b0981//b3632//b2986//b1139//b2399//
aroF-tyrA	b0737//b0840//
aroG	b3045//
aroH	b0976//
aroKB-damX-dam-rpe-gph-trpS	b3021//b2166//b4625//b3899//b3707//b4009//b2398//
aroL-yaiA-aroM	insX//b0781//b4253//
aroP	b0433//
arpA	b2407//
arpB_1B_2	b0812//b3979//
arrS	b1034//
arsRBC	b0104//b0551//b1755//
artJ	b2028//
artPIQM	b4439//b0657//b2882//b2606//
ascB	b2647//
ascFB	b4637//b0330//
ascG	b2948//
asd	b1562//
aslA	b3361//
aslB	b3637//
asmA	b2908//
asnA	b0038//
asnB	b1302//
asnC	b3631//
asnC-mioC	b0172//b0524//
asnC-mioC-mnmG	b1472//b0294//b2388//
asnS	b0811//
asnT	b2536//
asnU	b0429//
asnV	b0209//
asnW	b0196//
aspA	b1251//
aspA-dcuA	b4232//b3427//
aspC	b3954//
aspS	b0537//
aspT	b2420//
aspU	b4663//
aspV	b0279//
asr	b0920//
astCADBE	b0254//b3002//b1967//b1298//b0713//
atl	b3149//
