# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	puuE//
aas_lplT	caiC//
abgABT_ogt	fucI//ycaO//rsmB//
abpAB	
accBC	cobC//nagB//
aceBAK	ilvE//gdhA//nrdB//
aceEF	rlmG//solA//dnaQ//
ackA_pta	mltC//gapA//
acpP_fabF	anmK//
acrAB	fabH//glnS//
acrEF	malQ//
acs_yjcH_actP	ppk//fabZ//
ada_alkB	rbn//cynT//
agaS_kbaY_agaBCDI	garD//
ahpCF	bglX//
alaA_yfbR	aroF//thrS//
alaWX	
allDCE	surA//gltX//bglA//
alsBACE	napA//btuR//
amiA_hemF	ldtC//avtA//
ampDE	nanK//
ansA_pncA	ybhA//yjiA//dsdA//
apaGH	ychF//
appCBXA	mnmC//fadE//
araBAD	pdeH//araB//lpxC//
araE_ygeA	psuK//
araFGH	hyi//
argCBH	trmI//sad//xthA//
argT_hisJQMP	sthA//lipA//
argX_hisR_leuT_proM	
arnBCADTEF	cobB//cfa//mutM//rlmD//trpA//
aroF_tyrA	argA//eutB//
aroKB_damX_dam_rpe_gph_trpS	leuS//thiH//pgm//pncB//sthA//dosC//
aroL_yaiA_aroM	purH//
arpB_1B_2	
arsRBC	dapD//hypB//
artPIQM	rne//
ascFB	menI//adk//
asnC_mioC	
asnC_mioC_mnmG	abgA//
aspA_dcuA	nagK//lpoB//
astCADBE	pyrH//mltA//cdh//nfsA//prpD//
atoDAEB	ruvB//tehB//pfkA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	ahpC//udk//guaB//iaaA//moeA//nanE//
bamB_der	ppc//
basRS	
bcsABZC	udk//ligA//
bcsBZ	uvrA//waaP//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	fumC//metK//
bfd_bfr	cmoA//
bglGFB	dgt//ispE//
bglH_yieLK	
bioBFCD	pyrD//ispA//hisF//hisH//
brnQ_proY	yjhG//rlmM//
btuB_murI	sgbE//pdxK//
btuCED	yeaG//ldtD//
cadBA	iaaA//rhaM//
caiCDE	ydiO//napG//
caiTABCDE	mngB//dcm//cof//ttdA//deoC//
carAB	nagB//
casABCDE12	dacC//
casDE12	selA//
cbpAM	
cbrBC	
ccmABCDEFGH	rlmF//
cecR_ybhGFSR	
chaBC	
chbBCARFG	tesA//hcaB//fdhF//
chiP_ybfN	trmA//
chpSB	fabH//
citCDEFXG	puuE//thrA//aes//
clpPX	ilvG_2//srlD//tdcG//glmM//
clpX_lon	phnL//gatY//nrfD//
clsA_yciU	gshB//
cmk_rpsA	thyA//
cmoM_mukFEB	
cmtBA_yggPFDC	bacA//birA//
coaE_zapD_yacG	polB//
cobUST	napG//yneH//deoA//
codBA	dmsC//dcd//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	kefF//
csgBAC	
csgDEFG	ulaF//
csiD_lhgO_gabDTP	truA//menC//mutT//trpB//
cusCFBA	nrfC//
cusRS	
cvpA_purF_ubiX	luxS//cysE//
cydAB	truB//
cydDC	pbpC//
cydX_ybgE	thiF//
cynTS	thrB//ada//
cynTSX	trpS//glmU//polA//
