#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b1261//
C0299	b1318//
C0362	b2781//
C0465	b2432//
C0614	b1435//
C0664	b1066//
C0719	msrP//
IS128	b0640//
aaeR	b2750//
aaeXAB	b0209//b1212//b2627//
aas-lplT	b2147//b1678//
aat	b1763//
abgABT-ogt	b2248//b3620//b2397//b0054//
abgR	b1697//
abpAB	b1196//b1368//
abrB	b1882//
accA	b1748//
accBC	b1185//b1310//
accD	b3175//
aceBAK	b2946//b3819//b3164//
aceEF	b0800//b1944//
aceK	b4506//
ackA	b4221//
ackA-pta	b0672//b0843//
acnA	b2406//
acnB	b4433//
acpH	b3926//
acpP	b0384//
acpP-fabF	b4387//b4371//
acpT	b2190//
acrAB	b3355//b3046//
acrB	b3637//
acrD	b1703//
acrEF	b4377//b3545//
acrR	b4330//
acrZ	b3714//
acs-yjcH-actP	b4473//b3503//b4114//
actP	b3221//
ada-alkB	b0363//b2375//
add	b2324//
adeD	b1509//
adeP	b1711//
adeQ	b2643//
adhE	b3936//
adhP	b0455//
adiA	b4698//
adiC	b3467//
adiY	b4512//
adk	b1872//
aegA	yedS_1//
aer	b4334//
aes	b3070//
agaR	b2940//
agaS-kbaY-agaBCDI	b0624//b0521//b1928//yedN_1//b4334//b1068//
agp	b2848//
agrA	b0735//
agrB	b2521//
ahpCF	b1623//b3212//
ahpF	b0351//
ahr	b2327//
aidB	b0351//
ais	b4129//
alaA	b2433//
alaA-yfbR	b2650//b3356//
alaC	b2377//
alaE	b3912//
alaS	b4230//
alaWX	b3750//b1745//
aldA	b2888//
aldB	b2685//
alkA	b0560//
alkB	b2304//
allA	b0920//
allDCE	b1794//b4426//b1552//
allR	b3446//
allS	b3136//
alpA	b4315//
alr	b4331//
alsBACE	b3477//b1033//b4484//b4010//
alsK	b0141//
alx	b4459//
amiA-hemF	b4423//b3528//
amiC	b1350//
amn	b3101//
ampC	b3528//
ampDE	b1236//b2182//
ampG	b2502//
ampH	b1248//
amyA	b1814//
anmK	b2442//
ansA-pncA	b2359//b3051//
ansB	b0397//
ansP	b0325//
apaGH	b0848//b3957//
aphA	b0238//
appA	b3512//
appCBXA	b4407//b4053//b3853//b1501//
appY	b1008//
apt	b2072//
aqpZ	b1115//
araBAD	b2051//b0710//b3794//
araC	b3546//
araE	b1290//
araE-ygeA	b0556//b3148//
araFGH	b2450//b0918//b2842//
araJ	ydbA_2//
arcA	b3952//
arcB	b1107//
arcZ	b2736//
arfA	b0831//
argA	b0819//
argCBH	b3127//b1027//b4713//
argD	b2293//
argE	b2747//
argF	b3307//
argG	b3963//
argI	b4501//
argO	b2774//
argP	b4471//
argQ	b3048//
argR	b4139//
argS	b3002//
argT-hisJQMP	b1357//b2406//b2059//b1373//b3600//
argU	b0818//
argW	b0979//
argX-hisR-leuT-proM	b1265//b1845//b3115//b0950//
ariR	b2746//
arnBCADTEF	b2035//b2857//b0084//b1733//b0897//b2976//b4243//
aroF-tyrA	b2530//b2702//
aroG	b3684//
aroH	b2882//
aroKB-damX-dam-rpe-gph-trpS	b1880//b3582//b4673//b0244//b1203//b3135//b1801//
aroL-yaiA-aroM	b2527//b0029//b3934//
aroP	b0975//
arpA	b0308//
arpB_1B_2	b2488//b0737//
arrS	b3451//
arsRBC	b1991//b0372//b1991//
artJ	b0826//
artPIQM	b1880//b1356//b0180//b0599//
ascB	b1717//
ascFB	b2004//b0168//
ascG	b1610//
asd	yifN//
aslA	b3405//
aslB	b3926//
asmA	b4377//
asnA	b1943//
asnB	b2849//
asnC	b1548//
asnC-mioC	b0475//b2076//
asnC-mioC-mnmG	b4253//b2388//b1888//
asnS	b3857//
asnT	b2901//
asnU	b2484//
asnV	b0002//
asnW	b0863//
aspA	b4125//
aspA-dcuA	b1559//b2355//
aspC	b0783//
aspS	b0852//
aspT	b1504//
aspU	b1211//
aspV	b2402//
asr	b1969//
astCADBE	b3680//b1498//b3520//b3875//b3363//
atl	b0912//
atoDAEB	istR-1//b3998//b2017//b3938//
atoSC	b2751//b3075//
atpBEFHAGDC	b2129//b3057//b0369//b0353//b3413//b1543//b1187//b3976//
atpIBEFHAGDC	b0781//b2859//b3940//b1481//b3192//b1675//b3316//b0099//b4082//
avtA	b0489//
azoR	b0482//
azuC	b1231//
bacA	b3977//
baeSR	b0303//b2342//
bamA	b0878//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b0011//b4230//b2860//b3808//b3153//b0331//b3391//b4391//
bamB-der	b3865//b2041//
bamC	b1901//
bamD	b0209//
bamE	b0611//
barA	b1732//
basRS	yedS_1//b0387//
bax	b0163//
bcp	b0183//
bcr	b1393//
bcsABZC	b1533//b3671//b3027//b0867//
bcsBZ	b1793//b1459//
bcsEFG	b4513//b3295//b0301//
bcsQ	b2706//
bdcA	b2841//
bdcR	b1883//
bdm-sra	b2801//b1025//
bepA-yfgD	b0088//b1018//
betIBA	b4221//b1368//b3147//
betT	b3226//
bfd-bfr	b2641//b0996//
bglA	b4529//
bglG	b0639//
bglGFB	b1462//b3296//b2419//
bglH-yieLK	b0196//b1060//b2342//
bglX	b0835//
bhsA	b3931//
bioA	b0763//
bioBFCD	b0666//b2472//b0972//b1977//
bioH	b1916//
bipA	b4029//
bisC	b1559//
blc	b0038//
blr	b0488//
bluF	b3597//
bluR	b2099//
bolA	b1023//
borD	b2997//
brnQ-proY	b1986//b0307//
bsmA	b4256//
bssR	b4421//
bssS	b2733//
btuB-murI	b1360//b3971//
btuCED	b2747//b2525//b0760//
cadA	b1490//
cadBA	b0221//b3906//
cadC	b1801//
caiCDE	b1271//b0234//b1108//
caiF	b1952//
caiTABCDE	b1428//b0920//b2207//b0385//b3297//b0086//
can	b0251//
carAB	b4088//b0330//
carB	b2120//
cas2	b4339//
cas3	b3721//
casABCDE12	b1150//b1798//b3941//b2846//b2616//b3743//b4226//
casDE12	b2204//b2500//b1486//b0644//
cbl	b2140//
cbpAM	b3243//b0213//
cbrA	b1370//
cbrB	b0843//
cbrBC	b1537//b0044//
cbrC	b0157//
ccmABCDEFGH	b1383//b4691//b0066//b1202//b3065//b1334//b1540//b1198//
cdaR	b1000//
cdd	b4596//
cdgI	b2153//
cdh	b4413//
cdsA	b0381//
cecR-ybhGFSR	b1543//b4472//b4122//b3296//b2297//
cedA	b0639//
cfa	b1767//
chaA	b1692//
chaBC	b1643//b4068//
chaC	b0200//
chbBCARFG	b3257//b0726//b4555//b2332//b1763//b3575//
chiA	b2497//
chiP-ybfN	b2379//mltG//
chiX	b1122//
cho	b1038//
chpSB	b1581//b2298//
cirA	b0190//
citCDEFXG	b1534//b1959//b1648//b3708//b4268//b1911//
citT	b4337//
clcA	b0156//
clcB	b0862//
clpA	b3560//
clpB	b3621//
clpPX	b2152//b3772//
clpS	b3138//
clpX-lon	b2067//b4481//
clsA-yciU	b1831//b3986//
clsC	b0042//
cmk-rpsA	b0189//b1273//
cmoM-mukFEB	ykfJ//b1531//b3486//b4598//
cmtBA-yggPFDC	b2492//b2850//b2734//b1164//b2650//b2827//
cnu	C0719//
coaA	b2101//
coaE-zapD-yacG	b2563//b3847//b3183//
cobUST	b0057//b2738//b1295//
codBA	b0581//b3989//
cof	b4485//
comR	b3295//
copA	b0437//
corA	b3757//
cpdB	b4603//
cpxPQ	b0390//b1870//
cpxRA	b0480//b4460//
cra	b1502//
crcB	b3107//
creABC	b0393//b0069//b1507//
creABCD	b2988//b2049//b2158//b2607//
creD	b4095//
crfC-yjcZ	b2478//b2873//
crl	b2348//
crp	b0909//
crr	b0589//
csdAE	b0103//b3069//
csgBAC	b2984//b3761//b0884//
csgC	b4353//
csgDEFG	b4262//b4116//b3152//b1830//
csiD-lhgO-gabDTP	b4484//b1218//b1131//b3311//b2503//
csiE	b1207//
csiR	b0824//
cspA	b1481//
cspB	b4024//
cspD	b0213//
cspE	b3382//
cspF	b3666//
cspG	b1034//
cspH	b0568//
cspI	b1242//
csrA	b3770//
csrB	b3318//
csrC	b0644//
csrD	b1351//
cstA	b4064//
cueO	b0378//
cueR	b2202//
curA	b2127//
cusCFBA	b2798//b4397//b0402//b2666//
cusRS	b1020//b0534//
cutA	sroG//
cvpA-purF-ubiX	b2014//b1725//b0301//
cvrA	yrhA//
cyaA	b2482//
cyaR	b0841//
cyaY	b0138//
cybB	b0494//
cybC	b3145//
cycA	b2066//
cydAB	b2237//b2461//
cydDC	b1413//b0966//
cydX-ybgE	b0381//b2132//
cynR	b2917//
cynTS	b0430//b0058//
cynTSX	b3513//b0294//b0646//
cyoABCDE	b1396//b4400//b1488//b2601//b0838//
cysB	b0865//
cysDNC	b1860//b1805//b3698//
cysE	b2142//
cysG	b2217//
cysH	b2817//
cysJIH	b1433//b1989//b0776//
cysK	b4521//
cysPUWAM	b0694//b3559//b2142//b1001//b0258//
cysQ	b1719//
cysS	b3403//
cysZ	b2091//
cytR	b2104//
dacA	b3998//
dacB	b2221//
dacC	b1823//
dacD	b2849//
dadAX	b1633//b1803//
dam-rpe-gph-trpS	b3856//b0726//b4539//b1932//
damX-dam-rpe-gph-trpS	b1187//b1150//b4089//b3779//b0146//
dapA-bamC	b2540//b2754//
dapB	b1633//
dapD	b1399//
dapE-ypfN	b0458//b1691//
dauA	b0658//
dcd	b4283//
dcm-vsr	b3256//b3890//
dcp	b4108//
dcrB	b4279//
dctA	b0648//
dcuA	b1497//
dcuB-fumB	b4331//b4382//
dcuC	b2996//
dcuD	b3787//
dcuR	b2000//
dcuSR	b0853//b1502//
dcyD-tcyLN	b1155//b1232//b3452//
ddlA	b2917//
ddpXABCDF	b2400//b2536//b2886//b3823//b1450//b2421//
deaD	b2160//
decR	b4042//
def-fmt	b1937//b3460//
degP	b3371//
degQ	b0549//
degQS	b3140//b2829//
degS	b0092//
deoABD	b2163//sroE//b3596//
deoBD	b2685//b3534//
deoCABD	b0639//b4047//b1290//b4239//
deoR	b2515//
dfp	b3146//
dgcC	b1370//
dgcE	b1800//
dgcF	b0435//
dgcJ	b4238//
dgcM	b3611//
dgcP	b0281//
dgcQ	b0838//
dgcT	b4093//
dgcZ	b1570//
dgkA	b2185//
dgoRKADT	b4104//b0791//b0097//b4527//b1634//
dgt	b2429//
dhaKLM	b3809//b1179//b1027//
dhaM	b1810//
dhaR	b3592//
diaA	b2833//
dicA	b1792//
dicB-ydfDE-insD-intQ	b1107//b2815//b1410//b4246//b0629//
dicC-ydfXW	b2660//b0261//b4425//
dicF	b3848//
dinB-yafNOP	b3353//b1415//b2317//b3323//
dinD	b0687//
dinG	b3682//
dinI	b1814//
dinJ-yafQ	b4204//b3078//
dinQ	b2520//
djlA	b3810//
dkgA	b0864//
dkgB	b0530//
dksA-gluQ	b4592//b0795//
dld	b2262//
dmlA	b2340//
dmlR	b3006//
dmsABC	b1740//b0159//b1836//
dnaAN-recF	b1732//b1768//b0882//
dnaB	b1675//
dnaK-tpke11-dnaJ	b1285//b3396//b0956//
dnaN-recF	b2194//b1247//
dnaQ	b1780//
dnaTC	b1990//b4364//
dnaTC-yjjA	b2444//b1615//b3273//
dnaX	b3294//
dosCP	b2184//b1495//
dpiBA	b4262//b0975//
dppABCDF	b4260//b0741//b2810//b0384//b3179//
dps	b1420//
dsbA	b3110//
dsbB	b4047//
dsbC	b3238//
dsbC-recJ-prfB	b3093//b0553//b1318//
dsbD-yjdC	b4007//b3298//
dsbG	b3092//
dsdA	b1691//
dsdC	b0902//
dsdXA	b4429//b1252//
dsrA	insEF-1//
dsrB	b4535//
dtpA	b1374//
dtpB	b0150//
dtpC	b1452//
dtpD	b0661//
dusA	b2649//
dusB-fis	b3802//b3620//
dusC	b2640//
dut-slmA	b3734//b1149//
dxr	b3161//
eaeH-insEF-1E-1F-1	b4128//b3499//b0850//b1993//
eamA	b3320//
eamB	b3498//
ebgAC	b3168//b0026//
ebgR	b0190//
ecnAB	b0082//b3309//
ecnB	b4340//
eco	b4252//
ecpA	b0588//
ecpBCDE	b0058//b4086//b3078//b1855//
ecpR	b3649//
eda	b0335//
edd-eda	b0636//b1889//
efeOB	cybC//b2879//
efeU_1U_2	b0842//b3271//
efp	b0837//
elaA	b2997//
elaB	b1057//
elaD	b2349//
elbB-mtgA	b3413//b0774//
elfA	b1961//
elfDCG-ycbUVF	b2791//b4454//msrQ//xisR//b3178//b0989//
elyC	b2595//
emrD	b3873//
emrE	b3743//
emrKY	b0686//b2049//
emtA	b2113//
endA	b4246//
eno	b3028//
entCEBAH	b1395//b2914//b0283//b4567//b3630//
entH	b3600//
entS	b0224//
envR	b2586//
