# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	birA//
aas_lplT	cueO//
abgABT_ogt	yjeF//cadA//kduD//
abpAB	
accBC	umpH//lipB//
aceBAK	dnaQ//yihU//hemF//
aceEF	iscS//rnt//avtA//
ackA_pta	yfcF//tdh//
acpP_fabF	aceF//
acrAB	gatY//cadA//
acrEF	ynjE//
acs_yjcH_actP	aroH//yicI//
ada_alkB	pfkB//dfp//
agaS_kbaY_agaBCDI	argC//
ahpCF	opgE//
alaA_yfbR	ascB//chbF//
alaWX	
allDCE	trmH//nudL//dmsC//
alsBACE	idnD//adeD//
amiA_hemF	garR//murF//
ampDE	gpt//
ansA_pncA	acnB//rutD//uvrC//
apaGH	rutC//
appCBXA	apaH//tsaD//
araBAD	pyrB//gnd//aroD//
araE_ygeA	yciA//
araFGH	scpA//
argCBH	cysC//gpt//ansA//
argT_hisJQMP	narY//yqaB//
argX_hisR_leuT_proM	
arnBCADTEF	nhoA//caiA//pheS//aroA//paaG//
aroF_tyrA	torA//aslA//
aroKB_damX_dam_rpe_gph_trpS	waaZ//glgB//fumC//ydfG//phnG//torY//
aroL_yaiA_aroM	cobS//
arpB_1B_2	
arsRBC	glgC//dmsB//
artPIQM	agp//
ascFB	trmO//thiK//
asnC_mioC	
asnC_mioC_mnmG	nudJ//
aspA_dcuA	bioA//ttdB//
astCADBE	yieH//rsmI//metH//trmI//paaC//
atoDAEB	otsB//argB//fucI//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	lpxA//ddlB//narZ//idi//cpdB//fruK//
bamB_der	glpE//
basRS	
bcsABZC	nemA//gpmA//
bcsBZ	fabZ//hemN//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	citE//ubiG//
bfd_bfr	scpC//
bglGFB	rsmG//ahr//
bglH_yieLK	
bioBFCD	pabB//ubiX//hinT//pyrB//
brnQ_proY	pdeF//folC//
btuB_murI	mcrB//accC//
btuCED	fumA//speB//
cadBA	yfeX//putA//
caiCDE	waaO//proB//
caiTABCDE	ruvC//rimK//thrC//truB//ilvN//
carAB	kdsB//
casABCDE12	deoD//
casDE12	hisS//
cbpAM	
cbrBC	
ccmABCDEFGH	clsC//
cecR_ybhGFSR	
chaBC	
chbBCARFG	aroB//panD//ynfE//
chiP_ybfN	astA//
chpSB	otsA//
citCDEFXG	moeB//fkpB//fumC//
clpPX	paaC//rihB//pgpC//maa//
clpX_lon	pdxH//pheA//ybiV//
clsA_yciU	moeA//
cmk_rpsA	glcD//
cmoM_mukFEB	
cmtBA_yggPFDC	sucD//hycC//
coaE_zapD_yacG	metG//
cobUST	zwf//queG//paaB//
codBA	yieF//ygeX//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	dusB//
csgBAC	
csgDEFG	mraY//
csiD_lhgO_gabDTP	lpxK//ymdB//azoR//yjjX//
cusCFBA	preT//
cusRS	
cvpA_purF_ubiX	ilvN//lpxH//
cydAB	ribB//
cydDC	ydiB//
cydX_ybgE	coaD//
cynTS	ilvC//paaK//
cynTSX	nanE//folE//trpC//
cyoABCDE	nagZ//add//
cysDNC	paoA//moaE//
cysJIH	nadA//caiD//pgm//
cysPUWAM	dxs//galT//manA//
dadAX	pck//mocA//
damX_dam_rpe_gph_trpS	nth//nrdA//adhP//ligA//
dam_rpe_gph_trpS	lpxD//ribC//fbaA//carA//
dapA_bamC	acnB//
dapE_ypfN	idnK//
dcm_vsr	sdhC//
dcuB_fumB	panE//pabA//
dcuSR	
dcyD_tcyLN	ddlB//otsB//
ddpXABCDF	ddlB//
def_fmt	ybcF//sucC//
degQS	pflB//ydjG//
deoABD	pdeL//paoA//yjjX//
deoBD	dhaL//hmp//
deoCABD	truB//plsC//gabT//ispA//
dgoRKADT	rihB//arnA//glgB//allA//
dhaKLM	tehB//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	dcm//gor//
dinJ_yafQ	rdgB//
dksA_gluQ	dxs//
dmsABC	cysN//
dnaAN_recF	mmuM//
dnaK_tpke11_dnaJ	aldB//
dnaN_recF	ychF//
dnaTC	
dnaTC_yjjA	
dosCP	gltA//frmA//
dpiBA	
dppABCDF	yggF//
dsbC_recJ_prfB	rnb//tesB//
dsbD_yjdC	
dsdXA	allE//ispD//
dusB_fis	btuR//
dut_slmA	sdaA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	aroE//gshB//
efeOB	yghA//
efeU_1U_2	
elbB_mtgA	hycE//
elfDCG_ycbUVF	
emrKY	talA//
entCEBAH	phnI//rluD//aroG//pheT//fabD//glmM//
envY_ompT	pncB//
epd_pgk	rfaE//cmoB//
epd_pgk_fbaA	cheB//trpE//pepD//
essD_rrrD_rzpD	rnd//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	ilvA//
eutHA	
eutNEJG	
eutSPQTDM	azoR//
evgAS	
exbBD	
fabDG_acpP	ubiE//pyrF//
fabG_acpP	recF//
fabHDG	edd//accD//gpmM//
fabR_yijD	
fadBA	curA//rlmM//
fadD_sroD	serA//
fadIJ	thiC//aroC//
fdnGHI	
fdoGHI_fdhE	queD//
fdrA_ylbEF_ybcF	mutT//
fecABCDE	yfeW//fadK//
fecIR	
feoABC	glk//
fepA_entD	ribA//rfbC//torC//
fepDGC	puuD//
fes_ybdZ_entF_fepE	paaZ//mobA//rsmF//
