# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ppk//
aas_lplT	pyrE//
abgABT_ogt	cynT//alsE//fadE//
abpAB	
accBC	ndh//deoB//
aceBAK	yagE//mhpC//miaB//
aceEF	phnL//prmC//metL//
ackA_pta	caiB//ilvG_2//
acpP_fabF	menH//
acrAB	feaB//mnmE//
acrEF	prpB//
acs_yjcH_actP	torY//arnB//
ada_alkB	udk//fes//
agaS_kbaY_agaBCDI	waaP//
ahpCF	lyxK//
alaA_yfbR	serS//uvrA//
alaWX	
allDCE	yibQ//trxB//malS//
alsBACE	lpxT//cysH//
amiA_hemF	tynA//araB//
ampDE	patA//
ansA_pncA	uvrC//yccX//citF//
apaGH	nth//
appCBXA	yciV//tsaB//
araBAD	tag//nudE//mutL//
araE_ygeA	pgk//
araFGH	kdsB//
argCBH	maeB//aroG//acpS//
argT_hisJQMP	xylA//pdxB//
argX_hisR_leuT_proM	
arnBCADTEF	rffH//cysC//eda//ycjG//aroE//
aroF_tyrA	xapA//garL//
aroKB_damX_dam_rpe_gph_trpS	add//hypB//iscS//preT//zwf//yagE//
aroL_yaiA_aroM	argK//
arpB_1B_2	
arsRBC	citG//queF//
artPIQM	glcF//
ascFB	hisC//sucA//
asnC_mioC	
asnC_mioC_mnmG	yhhW//
aspA_dcuA	ahpC//ydiB//
astCADBE	nagK//puuE//malZ//ttdB//mltB//
atoDAEB	mtn//yahK//citG//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	pyrF//speF//trpA//maeB//pdxA//murG//
bamB_der	fau//
basRS	
bcsABZC	paaB//rfaE//
bcsBZ	citG//lplA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	mrdA//preA//
bfd_bfr	folK//
bglGFB	fkpB//acpH//
bglH_yieLK	
bioBFCD	araA//nudK//gcvP//ackA//
brnQ_proY	rsmG//ispF//
btuB_murI	deoC//pyrB//
btuCED	dmsA//hisI//
cadBA	napG//murB//
caiCDE	wzb//lipB//
caiTABCDE	waaY//metL//hcp//acpS//ispE//
carAB	dgcP//
casABCDE12	udp//
casDE12	argE//
cbpAM	
cbrBC	
ccmABCDEFGH	thrA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	thiE//rsmB//xthA//
chiP_ybfN	rutB//
chpSB	fkpA//
citCDEFXG	slyD//yihV//trxB//
clpPX	upp//panB//yibQ//gadB//
clpX_lon	ddlB//nrfB//dinB//
clsA_yciU	aceB//
cmk_rpsA	fadA//
cmoM_mukFEB	
cmtBA_yggPFDC	ppiA//ribD//
coaE_zapD_yacG	rlmD//
cobUST	ppk//fkpB//mrdA//
codBA	dadA//rhaM//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	wrbA//
csgBAC	
csgDEFG	lpxL//
csiD_lhgO_gabDTP	dgcZ//dgoA//uvrC//ppiA//
cusCFBA	tag//
cusRS	
cvpA_purF_ubiX	mutY//dld//
cydAB	wecB//
cydDC	metB//
cydX_ybgE	tmk//
cynTS	rnt//psuK//
cynTSX	gltA//panC//menC//
cyoABCDE	speB//arsC//
cysDNC	gcvT//selB//
cysJIH	purT//dgcT//mutS//
cysPUWAM	lsrF//nadR//aceF//
dadAX	trmD//yjjX//
damX_dam_rpe_gph_trpS	tsaC//hemH//ubiI//carA//
dam_rpe_gph_trpS	leuS//phnO//rutB//dgoK//
dapA_bamC	prpC//
dapE_ypfN	dxs//
dcm_vsr	ynfH//
dcuB_fumB	dapA//kdgK//
dcuSR	
dcyD_tcyLN	rimK//coaA//
ddpXABCDF	maa//
def_fmt	yeiR//ppk//
degQS	gor//gss//
deoABD	queG//ydiO//uxaC//
deoBD	ftnA//allA//
deoCABD	cysH//paoC//tehB//frdD//
dgoRKADT	purT//ldtE//pyrF//yigL//
dhaKLM	trpE//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	dosC//fabA//
dinJ_yafQ	insI-3//
dksA_gluQ	cysK//
dmsABC	thiL//
dnaAN_recF	pdxY//
dnaK_tpke11_dnaJ	aroB//
dnaN_recF	fabG//
dnaTC	
