#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b0942//
C0299	b2098//
C0362	b4382//
C0465	b2753//
C0614	b1513//
C0664	b2294//
C0719	b3867//
IS128	b0734//
aaeR	b0320//
aaeXAB	b2133//b2332//b0809//
aas-lplT	b0528//b4512//
aat	b0191//
abgABT-ogt	istR-1//b0107//b4241//b2010//
abgR	b2317//
abpAB	b0410//b2467//
abrB	b0598//
accA	b3026//
accBC	b1842//b1436//
accD	b3900//
aceBAK	b3528//b0170//b3780//
aceEF	b1759//b0782//
aceK	b1863//
ackA	b3510//
ackA-pta	b2556//b4353//
acnA	b2775//
acnB	b2224//
acpH	b1442//
acpP	b1141//
acpP-fabF	b1090//b0009//
acpT	b0778//
acrAB	b3497//b1780//
acrB	b1956//
acrD	b1435//
acrEF	b1434//b4213//
acrR	b0901//
acrZ	b3260//
acs-yjcH-actP	b2693//b0372//b3173//
actP	b3211//
ada-alkB	b1142//b1895//
add	b3067//
adeD	b1121//
adeP	b2434//
adeQ	b0991//
adhE	b2181//
adhP	b0362//
adiA	b2564//
adiC	b1312//
adiY	b0694//
adk	b3725//
aegA	b4184//
aer	b2235//
aes	b0434//
agaR	b3582//
agaS-kbaY-agaBCDI	b3772//pbl//b4151//b0146//b2833//b2201//
agp	b2316//
agrA	sroD//
agrB	b2384//
ahpCF	b2059//b0881//
ahpF	b1555//
ahr	b3148//
aidB	b0076//
ais	b1958//
alaA	b1369//
alaA-yfbR	b1088//b0544//
alaC	b0656//
alaE	b2243//
alaS	b0561//
alaWX	b3562//b1896//
aldA	b0136//
aldB	b0767//
alkA	b4122//
alkB	b0003//
allA	b1408//
allDCE	b0695//b2181//b1609//
allR	b3526//
allS	b3250//
alpA	b2610//
alr	b4371//
alsBACE	b2343//b4024//ynfP//b0908//
alsK	b2537//
alx	b4434//
amiA-hemF	b0605//b2830//
amiC	b3291//
amn	b3965//
ampC	b0094//
ampDE	b2235//b2997//
ampG	b2838//
ampH	b4257//
amyA	b4145//
anmK	b0811//
ansA-pncA	b1267//b1509//
ansB	b1384//
ansP	b3098//
apaGH	b2316//b2971//
aphA	b2317//
appA	b3826//
appCBXA	b0303//b2257//b3625//b2588//
appY	b2236//
apt	b2078//
aqpZ	b2170//
araBAD	b1110//b2208//b0435//
araC	b3084//
araE	b0921//
araE-ygeA	b3388//b2396//
araFGH	b1573//b0742//b0205//
araJ	b4511//
arcA	b2233//
arcB	b3822//
arcZ	b0696//
arfA	b3375//
argA	b2399//
argCBH	b2362//b3019//b0834//
argD	b3624//
argE	b3026//
argF	b3578//
argG	b0224//
argI	b3496//
argO	b0711//
argP	b1306//
argQ	b3635//
argR	b2615//
argS	b4345//
argT-hisJQMP	b2034//b0262//b2011//b0666//b1554//
argU	b4166//
argW	b3140//
argX-hisR-leuT-proM	b4595//b2683//b4072//b2493//
ariR	b0139//
arnBCADTEF	b2105//b0621//b1924//b2009//b1705//b3757//b0616//
aroF-tyrA	b2629//b4348//
aroG	b0856//
aroH	b0533//
aroKB-damX-dam-rpe-gph-trpS	b3209//b2130//b3047//b2593//b4326//b0166//b2545//
aroL-yaiA-aroM	b3860//b0953//yhiS_1//
aroP	b2226//
arpA	b2712//
arpB_1B_2	b3716//b3960//
arrS	b2686//
arsRBC	b3521//b1100//b2549//
artJ	b0971//
artPIQM	b0459//b4598//b2603//b2180//
ascB	b0222//
ascFB	b3978//b3191//
ascG	b3074//
asd	b0639//
aslA	b1773//
aslB	b0383//
asmA	b3512//
asnA	b0324//
asnB	b2308//
asnC	b3704//
asnC-mioC	b0880//b2405//
