#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b2802//
C0299	b3974//
C0362	b1826//
C0465	b3317//
C0614	b4515//
C0664	ybfO//
C0719	b3619//
IS128	b0662//
aaeR	b1823//
aaeXAB	b2540//b0776//b0759//
aas-lplT	b0985//b3522//
aat	b0840//
abgABT-ogt	b0267//b1319//b0524//b2238//
abgR	b0838//
abpAB	b0644//b1415//
abrB	b4017//
accA	b0606//
accBC	b1000//b1691//
accD	b2665//
aceBAK	b2231//b1055//b3497//
aceEF	b0493//b0040//
aceK	b0922//
ackA	b0283//
ackA-pta	b3945//b2952//
acnA	b0070//
acnB	b4065//
acpH	b4384//
acpP	b3803//
acpP-fabF	b3597//b0435//
acpT	b2426//
acrAB	b2206//b1853//
acrB	b4401//
acrD	b3364//
acrEF	b1423//b0035//
acrR	b3750//
acrZ	b0103//
acs-yjcH-actP	b1372//b3598//b1173//
actP	b0422//
ada-alkB	b1984//b3457//
add	b0524//
adeD	b2681//
adeP	b3878//
adeQ	b1705//
adhE	b2541//
adhP	b1901//
adiA	b1769//
adiC	yedN_1//
adiY	b1958//
adk	b2388//
aegA	b0405//
aer	b1957//
aes	b1729//
agaR	b2675//
agaS-kbaY-agaBCDI	b0891//b4165//b3116//b3601//b1146//b0868//
agp	b1159//
agrA	b1801//
agrB	b4523//
ahpCF	ygaQ//b0511//
ahpF	b2198//
ahr	b1684//
aidB	b2992//
ais	b3734//
alaA	b1905//
alaA-yfbR	b0730//b3478//
alaC	b2890//
alaE	b1327//
alaS	b2262//
alaWX	b3309//b4045//
aldA	b0575//
aldB	b0762//
alkA	b3132//
alkB	b0147//
allA	wbbL_2//
allDCE	b0483//b0665//b1987//
allR	b4427//
allS	b1984//
alpA	b0771//
alr	b0033//
alsBACE	b1562//b4608//b1292//b2985//
alsK	b3808//
alx	b1098//
amiA-hemF	b2103//b2311//
amiC	b1056//
amn	b0067//
ampC	b1127//
ampDE	b1548//b1747//
ampG	b4311//
ampH	b1494//
amyA	b2678//
anmK	b1509//
ansA-pncA	b0987//b1135//
ansB	b3572//
ansP	b1447//
apaGH	b3652//b2617//
aphA	ycgH_1//
appA	b0495//
appCBXA	b2445//b0889//b3416//b2415//
appY	b1493//
apt	b3703//
aqpZ	b0177//
araBAD	b2786//b1280//b1897//
araC	b2425//
araE	b0306//
araE-ygeA	b0220//b1044//
araFGH	b0326//b3391//b1828//
araJ	b3685//
arcA	b4527//
arcB	b0852//
arcZ	b0439//
arfA	b0007//
argA	b1967//
argCBH	b3802//b2913//b2681//
argD	b1659//
argE	b2601//
argF	b2120//
argG	ykiB//
argI	b2753//
argO	b2462//
argP	b0153//
argQ	b1828//
argR	b1051//
argS	b1130//
argT-hisJQMP	b2742//b0801//b2469//b4559//b1043//
argU	b1639//
argW	b2650//
argX-hisR-leuT-proM	b1768//b2647//b0284//b1480//
ariR	b1150//
arnBCADTEF	b2713//b2588//b2538//b3749//b2905//b2531//b3863//
aroF-tyrA	b3971//b3625//
aroG	b1200//
aroH	b4240//
aroKB-damX-dam-rpe-gph-trpS	b4208//b0549//b0417//b3541//b3049//b2821//b1360//
aroL-yaiA-aroM	b2217//b2595//b1105//
aroP	b1305//
arpA	b0943//
arpB_1B_2	b0764//b3176//
arrS	b0838//
arsRBC	b4389//b3151//b0065//
artJ	b0246//
artPIQM	b1399//b2188//b0799//b2442//
ascB	b0715//
ascFB	b1079//b1262//
ascG	b1628//
asd	b1725//
aslA	b2909//
aslB	b0858//
asmA	b1778//
asnA	b2229//
asnB	b3549//
asnC	b1080//
asnC-mioC	b2204//b2238//
asnC-mioC-mnmG	b1684//b2101//b1863//
asnS	b1955//
asnT	b4398//
asnU	b3233//
asnV	b4246//
asnW	b3560//
aspA	b3132//
aspA-dcuA	b2595//b3232//
aspC	b0408//
aspS	b3935//
aspT	b3056//
aspU	b1843//
aspV	b2445//
asr	b0002//
astCADBE	b4702//b0450//b1205//b1140//b3202//
atl	b4547//
atoDAEB	b2426//b3653//b1901//b1131//
atoSC	b2025//b3410//
atpBEFHAGDC	b3257//b3969//b2750//b1799//b1605//b2947//b3785//b1628//
atpIBEFHAGDC	b0268//b2586//b3877//b0027//b4514//b3847//b2631//b2426//b3379//
avtA	b0078//
azoR	b0444//
azuC	b4021//
bacA	b2142//
baeSR	b1393//b2510//
bamA	b0665//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b3256//b1207//b1070//b3982//b3719//b0357//b3883//b0301//
bamB-der	b4286//b1510//
bamC	b0066//
bamD	b0188//
bamE	b4125//
barA	b0422//
basRS	b3577//b1267//
bax	b2971//
bcp	b2753//
bcr	b2681//
bcsABZC	b2620//b1173//b2446//b1281//
bcsBZ	b0847//b3620//
bcsEFG	b0387//b3267//b0310//
bcsQ	b3725//
bdcA	b0602//
bdcR	b0752//
bdm-sra	b1810//b0525//
bepA-yfgD	b0404//b1251//
betIBA	b3162//b1445//b1388//
betT	b4707//
bfd-bfr	b4120//b2941//
bglA	b0300//
bglG	b0972//
bglGFB	b0863//b1003//b1090//
bglH-yieLK	b4064//b4102//b0652//
bglX	b4169//
bhsA	b1926//
bioA	b0002//
bioBFCD	b3601//b2542//b1216//yghX_1//
bioH	b4544//
bipA	b4523//
bisC	b1603//
blc	b2361//
blr	b1108//
bluF	b3821//
bluR	b0999//
bolA	b4005//
borD	b0734//
brnQ-proY	b4030//b3335//
bsmA	b1997//
bssR	b3085//
bssS	b2256//
btuB-murI	b0013//b4048//
btuCED	b0823//b2994//b2329//
cadA	b3306//
cadBA	b2470//b4085//
cadC	b0911//
caiCDE	ydbA_2//b0755//b2265//
caiF	b1644//
caiTABCDE	b3813//b1188//b4221//b2166//b3105//b4567//
can	b0173//
carAB	b2996//b3733//
carB	b2534//
cas2	b0032//
cas3	b2768//
casABCDE12	b1511//b2679//3'ETS<sup><i>leuZ</i></sup>//b2328//b1726//b1090//b4352//
casDE12	b0973//b4545//b4006//b0086//
cbl	b2034//
cbpAM	b0416//b1335//
cbrA	b1161//
cbrB	b1013//
cbrBC	b3624//b3919//
cbrC	b2203//
ccmABCDEFGH	b2907//b3985//b0495//b0018//b0704//b1931//b3511//b2504//
cdaR	b1388//
cdd	b3513//
cdgI	b2333//
cdh	b3737//
cdsA	b4402//
cecR-ybhGFSR	b2920//b1198//b0322//b2645//b2196//
cedA	b0097//
cfa	b3999//
chaA	b3063//
chaBC	b2155//b1812//
chaC	b4509//
chbBCARFG	b1287//b2123//b4291//b2844//b4516//b2570//
chiA	b3083//
chiP-ybfN	b1107//b2851//
chiX	b0850//
cho	b2037//
chpSB	b1435//b1667//
cirA	b2587//
citCDEFXG	b3301//b2378//b2621//b0825//b1085//b4283//
citT	b3578//
clcA	b0968//
clcB	b1809//
clpA	b1595//
clpB	b0052//
clpPX	b2363//b2346//
clpS	b3210//
clpX-lon	b0736//b4354//
clsA-yciU	b0210//b1139//
clsC	b2225//
cmk-rpsA	b1694//b3859//
cmoM-mukFEB	b0911//b3090//b1473//b0214//
cmtBA-yggPFDC	b2622//b4330//b0561//b1545//b4176//b3980//
cnu	b2585//
coaA	b2295//
coaE-zapD-yacG	b1039//b4714//b3771//
cobUST	b3508//b3299//b2957//
