# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	kbl//
aas_lplT	aldA//
abgABT_ogt	accA//aroH//ilvA//
abpAB	
accBC	napH//dkgA//
aceBAK	waaS//hemD//ddlB//
aceEF	carA//hisI//pphB//
ackA_pta	dxr//mhpD//
acpP_fabF	hemG//
acrAB	ydbC//thrC//
acrEF	malP//
acs_yjcH_actP	dusC//polA//
ada_alkB	thrA//coaE//
agaS_kbaY_agaBCDI	ulaD//
ahpCF	upp//
alaA_yfbR	mtlD//hycC//
alaWX	
allDCE	alaA//avtA//rlmF//
alsBACE	selB//fabG//
amiA_hemF	bglA//tam//
ampDE	alsE//
ansA_pncA	pgi//waaJ//cpsB//
apaGH	glnS//
appCBXA	rlmJ//treF//
araBAD	hcaD//adiA//rfbC//
araE_ygeA	puuA//
araFGH	dmsB//
argCBH	citX//narI//ubiF//
argT_hisJQMP	pheA//rimK//
argX_hisR_leuT_proM	
arnBCADTEF	rbsK//pagP//hisS//mak//glcD//
aroF_tyrA	ampD//yggF//
aroKB_damX_dam_rpe_gph_trpS	tktB//dapF//ldtB//rffC//btuE//tag//
aroL_yaiA_aroM	panC//
arpB_1B_2	
arsRBC	uxaA//pdeF//
artPIQM	cysC//
ascFB	rfbD//yibQ//
asnC_mioC	
asnC_mioC_mnmG	adk//
aspA_dcuA	pyrC//atoA//
astCADBE	pykF//ldtE//amn//metH//rfe//
atoDAEB	ybjI//cysN//dsdA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	aroA//purF//pgpB//yqjH//idnO//purB//
bamB_der	paaY//
basRS	
bcsABZC	fucU//pdxH//
bcsBZ	mug//ligB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	cysJ//pyrB//
bfd_bfr	dnaQ//
bglGFB	folE//aroH//
bglH_yieLK	
bioBFCD	proC//nagK//yrfG//glyQ//
brnQ_proY	dxr//fabB//
btuB_murI	uvrB//waaB//
btuCED	eutB//metK//
cadBA	yfcG//ruvC//
caiCDE	narG//ppa//
caiTABCDE	glk//ilvE//glgX//yahK//galK//
carAB	nadA//
casABCDE12	gcd//
casDE12	rffT//
cbpAM	
cbrBC	
ccmABCDEFGH	lpxL//
cecR_ybhGFSR	
chaBC	
chbBCARFG	ispB//hisD//trxB//
chiP_ybfN	argC//
chpSB	glpC//
citCDEFXG	cysK//mnaT//ldcA//
clpPX	dosP//atoB//luxS//ychF//
clpX_lon	nrdA//speA//rffG//
clsA_yciU	aphA//
cmk_rpsA	zwf//
cmoM_mukFEB	
cmtBA_yggPFDC	fucA//acpS//
coaE_zapD_yacG	rfbA//
cobUST	lacZ//valS//trpC//
codBA	ldtB//rfbA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	fdhF//
csgBAC	
csgDEFG	cysG//
csiD_lhgO_gabDTP	folB//dxr//miaA//murC//
cusCFBA	folP//
cusRS	
cvpA_purF_ubiX	eptB//wecB//
cydAB	moaE//
cydDC	nanE//
cydX_ybgE	nfsA//
cynTS	paaG//maeA//
cynTSX	sseA//phnM//rsmI//
cyoABCDE	zwf//thiC//
cysDNC	truA//glmU//
cysJIH	rfbB//melA//wecB//
cysPUWAM	dcm//yiaK//puuE//
dadAX	garK//sodC//
damX_dam_rpe_gph_trpS	argI//metB//nrfC//coaD//
dam_rpe_gph_trpS	lysS//ulaF//metG//ahpC//
dapA_bamC	accD//
dapE_ypfN	gabD//
dcm_vsr	dsdA//
dcuB_fumB	gshA//yhdH//
dcuSR	
dcyD_tcyLN	lysS//astE//
ddpXABCDF	fsaB//
def_fmt	ogt//ahpF//
degQS	valS//polA//
deoABD	folB//rlmF//sucA//
deoBD	hisA//wecC//
deoCABD	hflX//eutB//dosP//ahpC//
dgoRKADT	gmhB//glcD//rlmF//nagK//
dhaKLM	ynfE//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	fucO//glpK//
dinJ_yafQ	pgpC//
dksA_gluQ	dmlA//
dmsABC	cynS//
dnaAN_recF	wzb//
dnaK_tpke11_dnaJ	mcrC//
dnaN_recF	hycB//
dnaTC	
dnaTC_yjjA	
dosCP	frmA//clsC//
dpiBA	
dppABCDF	wzb//
dsbC_recJ_prfB	cysI//fadB//
dsbD_yjdC	
dsdXA	ugpQ//mpl//
dusB_fis	alkA//
dut_slmA	ydbC//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	hemF//napA//
efeOB	paaA//
efeU_1U_2	
elbB_mtgA	hcaD//
elfDCG_ycbUVF	
emrKY	ispH//
entCEBAH	lpxD//rsmE//yjhG//aroB//sodB//argE//
envY_ompT	pheA//
epd_pgk	puuE//moeB//
epd_pgk_fbaA	fau//nagZ//hycD//
essD_rrrD_rzpD	dgoD//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	dmsC//
eutHA	
eutNEJG	
eutSPQTDM	moaE//
evgAS	
exbBD	
fabDG_acpP	frmB//yciV//
fabG_acpP	rdgB//
fabHDG	lysC//tyrB//mltF//
fabR_yijD	
fadBA	nudK//rihA//
fadD_sroD	pgi//
fadIJ	recO//rlmB//
fdnGHI	
fdoGHI_fdhE	mpl//
fdrA_ylbEF_ybcF	puuB//
fecABCDE	tmk//ulaG//
fecIR	
feoABC	ispH//
fepA_entD	dgoK//yjjX//entE//
fepDGC	bglB//
fes_ybdZ_entF_fepE	asnB//ahpF//add//
fetAB	
fhuACDB	leuB//glcE//
ficA_fic_pabA	selB//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	frdC//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	xapA//mpaA//
folC_dedD	dxr//
folD_ybcJ	mutS//
folE_yeiB	waaL//
folP_glmM	epmC//pyrC//
folX_yfcH	pdeH//
frdABCD	mnmE//
frlABCDR	rlmG//deoA//ycaO//dosP//
frmRAB	dacD//frlD//
fruBKA	edd//pncA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	yiaY//ugd//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dapD//galT//pyrF//frdA//mrcA//yrfG//paaH//dmsC//mltB//xdhB//
ftsQAZ	
ftsYEX	
fucAO	ispF//yqjG//
fucPIKUR	menH//moeA//trxB//torY//
fumAC	ampC//poxB//
fusA_tufA	
gabDTP	cyoE//xapA//thiG//
gadAX	moaD//
gadBC	ygeX//fkpB//
gadEF	
gadEF_mdtEF	bfr//
gadXW	
galET	cynT//nudF//
galETK	glcD//mutL//pheT//
galETKM	codA//ugd//ribC//rbsD//
gapA_yeaD	pbpC//
gapC_1C_2	
garPLRK_rnpB	yihS//rsmD//mltB//kdsD//speA//gsk//
gatYZABCD	cheB//hcaC//nrdD//
gatZABCD	bcsA//rsmI//sgbU//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	rdgB//folX//truA//pyrE//kduD//
gcvTHP	apt//torC//hemC//
gfcBCD	
gfcE_etp_etk	phnO//rnpA//
ghoST	gcvT//
glcBA	ruvC//rfaE//
glcDEFGBA	entA//aes//dgcZ//
glf_wbbH	yagF//
glgAP	yegS//kdsC//
glgBXCAP	entA//galM//paaB//hycF//ppiA//
glgCAP	entH//aphA//puuD//
glmUS	yfbR//ybiV//
glnALG	ydiO//
glnHPQ	upp//
glnK_amtB	glyS//
glnLG	
glnW_metU_glnVX	
glpABC	cadA//
glpEGR	guaD//wbbI//
glpFKX	rsmA//argD//fruK//
glpGR	yibQ//
glpTQ	gltA//cysC//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	cysD//
glvCBG_ysdC	
glyQS	paaI//
glyVXY	
glyW_cysT_leuZ	
gntKU	fsaA//rfbD//
gntRKU	waaG//gltB//
gntX_nfuA	
gpmM_envC_yibQ	proC//gltA//
groSL	
gspAB	
gspCDEFGHIJKLMO	dgoA//
guaBA	fabH//yjhH//
gudPXD	ldcA//iaaA//
hcaEFCBD	rfbB//folE//
hcp_hcr	prpD//mgsA//
hdeAB_yhiD	
hemA_prfA_prmC	lldD//fadK//
hemCDXY	recR//asnB//
hflD_purB	aroA//
hfq_hflXKC	glnE//
hicAB	
higBA	queD//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ispG//pspE//pphA//gmhB//
hipBA	rihC//
hisBHAFI	mnmG//hemH//leuB//eptB//
hisJQMP	otsA//fucI//
hisLGDCBHAFI	gpp//allE//thiK//thiL//dld//paaI//yceF//
hofMNOP	
holC_valS	acnB//
holD_rimI_yjjG	pgl//rsuA//
hscBA_fdx_iscX	rsmD//
hsdMS	yagE//
hsdRMS	dhaL//
hslRO	
hslVU	atoB//
hyaABCDEF	
hybOABCDEFG	hcaE//
hycABCDEFGHI	fumA//tatD//
hydN_hypF	ruvB//
hyfABCDEFGHIJR_focB	leuB//
hypABCDE	pdxB//
hypABCDE_fhlA	frdD//
hypBCDE	accC//
hypBCDE_fhlA	mutY//
iaaA_gsiABCD	speD//pykF//
ibaG_murA	guaD//
ibpAB	
idnDOTR	yfeW//yjhG//aroK//
ileS_lspA_fkpB_ispH	nadD//murD//purE//rfe//
ilvEDA	yjjX//dapB//pdxA//yihU//
ilvIH	malY//
ilvLXG_1G_2MEDA	acpH//ssuE//prpC//bfr//folM//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	nfsA//
insN_1I_1O_1	ligB//
insO_2_yjhWV	
iscRSUA	polB//menE//
ispDF	cdh//rnpB//
ispG_sroE	metC//
isrC_flu	
ivbL_ilvBN	rlmI//
ivbL_ilvBN_uhpABC	valS//
kbaZ_agaVWA	narH//
kbl_tdh	hisG//aceF//
kdpDE	
kdpFABC	yihT//
kdsC_lptCAB	aroA//dadA//
kefFC	recJ//prpE//
kefGB_yheV	dcm//
kilR_ydaE	
lacYA	rffT//glyS//
lacZYA	malQ//ispG//betA//
lapAB	
lapAB_pyrF_yciH	fbaA//
lepAB	appA//
leuLABCD	fumA//hyuA//ubiF//
leuQPV	
leuS_lptE_holA_nadD_cobC	pabC//rlmB//ispA//
lexA_dinF	
lgt_thyA	spoT//cobS//
ligA_ypeB	yihS//
livKHMGF	opgE//selB//
lldPRD	pyrF//ubiA//
lolA_rarA	
lolB_ispE_prs	kdgK//opgB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	ldcA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	rffG//acpH//
lptFG	
lspA_fkpB_ispH	nadB//gpsA//narI//
lsrACDBFG_tam	xdhC//gltD//malS//paaJ//
lsrRK	mepS//
ltaE_ybjT	gcvP//
lysT_valT_lysW	
macAB	mutL//
malEFG	tpiA//
malK_lamB_malM	sucD//prs//
malPQ	yjeF//aroF//
malXY	rhaM//ppiC//
manXYZ	glf//
map_glnD_dapD	patA//yjiA//speF//
marRAB	
mazEFG	ldtE//
mcrBC	ubiG//
mdlAB	
mdtABCD_baeSR	caiD//
mdtEF	pgi//
mdtJI	glgB//
mdtM_yjiN	thiE//
mdtNOP	der//
melAB	astA//pssA//
menA_rraA	deoC//
menBCE	pinE//gdhA//ybaS//
menDHBCE	mocA//mazG//eutB//def//rluF//
menFDHBCE	thrA//kefF//yajO//glf//solA//thiI//
metBL	yigB//yhdH//
metNIQ	caiC//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	narY//murG//zwf//
metZWV	
mglAC	panD//
mglBAC	ndh//
mgtLA	cheR//
mhpABCDFE	sucB//sdhB//frmA//mnmA//ribC//hcp//
mhpR_lacI	
miaA_hfq_hflXKC	clsA//purL//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	waaG//ulaF//
mnaT_ydcZ	menB//
mngAB	iaaA//mcrA//
mnmG_rsmG	nrfC//rffM//
mntR_ybiR	
moaABCDE	rfaD//frlC//
moaBCDE	garL//
mobAB	napB//
modABC	ppa//
modEF	
moeAB	yniC//pgi//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	argB//
mqsRA	narH//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	folK//yagE//tesB//metG//pgpB//ribE//lldD//ldcC//cobS//pdeF//fkpB//
mreBCD	
mreCD	
msrPQ	
mtlADR	aceE//ilvN//fabI//
mtn_btuF_yadS	tsaB//sucA//
murB_birA	yghU//dmlA//
murQP	glcF//arnA//kdsC//
murQP_yfeW	hycB//aroE//betB//sucA//
mutL_miaA_hfq_hflXKC	rlmI//uxaC//paaJ//
mutY_yggX	yeaG//
mutY_yggX_mltC	cdh//ligA//
mutY_yggX_mltC_nupG	xdhC//ulaG//bioH//
nadA_pnuC	ahpF//malP//
nagBAC_umpH	gabD//rfbD//fcl//
nagK_cobB	uxaB//glgA//
nanATEK_yhcH	ydiB//ddlA//yajO//guaD//
nanCM	rluD//metL//
nanCMS	tynA//pyrE//
napFDAGHBC	hemN//
napFDAGHBC_ccmABCDEFGH	garL//yneH//
narGHJI	aceE//
narWV	glpB//
narXL	
narZYWV	opgB//
nemRA	apt//
nemRA_gloA	alr//thiI//
nfrBA	
nhaAR	deoA//
nikABCDER	murQ//
nirBDC_cysG	cheR//ubiI//pgaC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	pphA//
nrdAB_yfaE	paaI//
nrdDG	mutH//tehB//
nrdHIEF	prpD//
nrdR_ribDE_nusB_thiL_pgpA	guaA//thrS//tpiA//moaD//
nrfABCDEFG	yciA//
nsrR_rnr_rlmB_yjfI	nadR//pta//
nudB_yebC_ruvC	queF//murQ//
nudC_hemE_nfi	lpxM//tmcA//
nudF_yqiB_cpdA_yqiA_parE	frdD//yciV//
nuoABCEFGHIJKLMN	queF//
nuoMN	gmm//
ompR_envZ	
opgGH	
oppABCDF	entH//sdhC//
osmF_yehYXW	purK//
otsBA	glpX//bcsZ//
paaABCDEFGHIJK	dxr//yghU//fabI//rsmH//cobU//nrdF//coaE//
paaXY	pepD//
pabB_nudL	dgcP//frdC//
pabC_mltG_tmk_holB_ycfH	ychF//mgsA//paoB//
panBC	yhdH//glcF//
panE_yajL	garD//
paoABCD	pyrF//
pcnB_folK	gapA//pepD//
pdeI_dgcI	
pdhR_aceEF_lpd	lpxD//nadE//nfsA//phnG//rbsK//ubiA//
pdxA_rsmA	bglX//aphA//
pdxA_rsmA_apaGH	dgcM//ldcC//clsB//
pdxB_usg_truA_dedA	eptC//nth//
pdxH_tyrS_pdxY	purT//yeiR//argC//
pdxJ_acpS	preT//aceA//
pepQ_yigZ_trkH_hemG	napH//thrA//kdsC//
pflDC	
