#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	pinH//
C0299	b0388//
C0362	b0306//
C0465	b3888//
C0614	b1689//
C0664	b0773//
C0719	b0142//
IS128	b1915//
aaeR	b4241//
aaeXAB	b4444//b1062//insCD-4//
aas-lplT	b3845//b2988//
aat	b3085//
abgABT-ogt	b2419//b3635//b3005//b1463//
abgR	yedS_3//
abpAB	b3654//b0794//
abrB	b2032//
accA	b3775//
accBC	b2182//b2403//
accD	b3980//
aceBAK	b1347//b3129//b1387//
aceEF	b0162//b1156//
aceK	b3627//
ackA	b2731//
ackA-pta	b3272//b1167//
acnA	b2510//
acnB	b3479//
acpH	b2014//
acpP	b4233//
acpP-fabF	b0022//b0433//
acpT	b0388//
acrAB	b0406//b0125//
acrB	b3944//
acrD	b0321//
acrEF	b3690//b0111//
acrR	b1634//
acrZ	b2058//
acs-yjcH-actP	b0604//b0624//b1278//
actP	b1774//
ada-alkB	b3894//lafU//
add	b3082//
adeD	b2048//
adeP	b2879//
adeQ	b0559//
adhE	b1605//
adhP	b0172//
adiA	b2763//
adiC	b2277//
adiY	b1755//
adk	b3318//
aegA	topAI//
aer	b1387//
aes	ychE_1//
agaR	b3131//
agaS-kbaY-agaBCDI	b4041//b2306//b4180//b4487//b2091//b2168//
agp	b0161//
agrA	b1431//
agrB	b0454//
ahpCF	b4288//b2151//
ahpF	b1353//
ahr	b1121//
aidB	b2118//
ais	b1659//
alaA	molR_2//
alaA-yfbR	b1954//b0091//
alaC	b4264//
alaE	b4596//
alaS	b4005//
alaWX	b3226//b0119//
aldA	b0217//
aldB	arpB_1//
alkA	b3608//
alkB	b4538//
allA	b0129//
allDCE	b2446//b4287//b0049//
allR	b0131//
allS	b2222//
alpA	b1736//
alr	b4338//
alsBACE	b4221//b0013//b0457//b1554//
alsK	b3475//
alx	b3732//
amiA-hemF	b2020//b2755//
amiC	b1871//
amn	b1068//
ampC	b2140//
