#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b1380//
C0299	b4533//
C0362	b3313//
C0465	b0536//
C0614	b2517//
C0664	b0960//
C0719	b0293//
IS128	b3472//
aaeR	b2293//
aaeXAB	b1103//b2961//b0922//
aas-lplT	b0246//b3732//
aat	b2563//
abgABT-ogt	b1359//b0894//b3618//b4358//
abgR	b1673//
abpAB	b3490//b1299//
abrB	b0966//
accA	b0467//
accBC	b0677//b1723//
accD	ecpC//
aceBAK	b3747//b1511//b0430//
aceEF	b1469//b1562//
aceK	b2409//
ackA	b4242//
ackA-pta	b3477//b3809//
acnA	lafU//
acnB	b2489//
acpH	b2404//
acpP	b3171//
acpP-fabF	b3223//b1365//
acpT	b3033//
acrAB	b2135//b3251//
acrB	b4418//
acrD	b4029//
acrEF	b0212//b1276//
acrR	b4039//
acrZ	b0118//
acs-yjcH-actP	b3979//b4455//b0320//
actP	b3499//
ada-alkB	b2948//b0604//
add	b0034//
adeD	b4052//
adeP	b2458//
adeQ	b3067//
adhE	b2550//
adhP	b3961//
adiA	b2801//
adiC	b1174//
adiY	b3471//
adk	b3691//
aegA	b2963//
aer	b3433//
aes	b1161//
agaR	b3515//
agaS-kbaY-agaBCDI	b3972//b0083//b2196//b0352//b2669//b0860//
agp	b0342//
agrA	b2581//
agrB	b1830//
ahpCF	b4698//b2456//
ahpF	istR-1//
ahr	b1445//
aidB	b2769//
ais	b0868//
alaA	b1271//
alaA-yfbR	b3395//b0511//
alaC	b0223//
alaE	b1349//
alaS	b4691//
alaWX	b3971//b1098//
aldA	b2175//
aldB	b4064//
alkA	b0979//
alkB	b3736//
allA	b0402//
allDCE	b2327//b0646//b2327//
allR	b3637//
allS	b4166//
alpA	b2425//
alr	b2594//
alsBACE	b3739//b1939//b2603//b2428//
alsK	b3487//
alx	b4535//
amiA-hemF	b1149//b3237//
amiC	b2450//
amn	b2805//
ampC	b1784//
ampDE	b3190//b3475//
ampG	b1546//
ampH	b1278//
amyA	b2680//
anmK	b1819//
ansA-pncA	b4157//b4002//
ansB	b3091//
ansP	b0700//
apaGH	b3776//b0571//
aphA	b2546//
appA	b4702//
appCBXA	b1707//b4474//b3464//b0502//
appY	b1047//
apt	b0957//
aqpZ	b4363//
araBAD	b4028//b3295//b2204//
araC	b4032//
araE	b4447//
araE-ygeA	b3162//b2456//
araFGH	b1514//b4125//b0919//
araJ	b0430//
arcA	b1512//
arcB	b2924//
arcZ	b2360//
arfA	b4067//
argA	b3158//
argCBH	b2519//b1786//b1793//
argD	b1832//
argE	b0817//
argF	b1532//
argG	b4384//
argI	b3827//
argO	b0840//
argP	b0586//
argQ	maoP//
argR	b2592//
argS	b3478//
argT-hisJQMP	b2381//b4212//b1705//b3098//b2649//
argU	b0126//
argW	b0362//
argX-hisR-leuT-proM	b1319//b3395//b2636//b0918//
ariR	b0993//
arnBCADTEF	b4714//b4148//b3666//b1086//b1913//b3583//b2222//
aroF-tyrA	b0176//b3644//
aroG	b2242//
aroH	b3641//
aroKB-damX-dam-rpe-gph-trpS	b1090//b2598//b3513//b3357//b0060//b2312//b3885//
aroL-yaiA-aroM	b0838//b3739//b3098//
aroP	b0616//
arpA	b1266//
arpB_1B_2	b0804//b2624//
arrS	b2134//
arsRBC	b4637//b2063//b3614//
artJ	b0724//
artPIQM	b1834//b1461//b2634//b3884//
ascB	b4243//
ascFB	b2668//b0090//
ascG	b0755//
asd	b2154//
aslA	b2634//
aslB	b3931//
asmA	b2545//
asnA	b3670//
asnB	b2701//
asnC	b0905//
asnC-mioC	b3824//ypaA//
asnC-mioC-mnmG	b0673//b2468//b4145//
asnS	b2287//
asnT	b3186//
asnU	b1152//
asnV	b2210//
asnW	b3149//
aspA	b0086//
aspA-dcuA	b0940//b3103//
aspC	b0531//
aspS	b2210//
aspT	b2049//
aspU	b3741//
aspV	b2526//
asr	b1072//
astCADBE	b3547//b2731//b1719//b1680//b3026//
atl	b2029//
atoDAEB	b1787//b0078//b2680//b2188//
atoSC	b2906//b0552//
atpBEFHAGDC	b2912//b3326//b4082//b0315//b4087//b1949//b0388//b0204//
atpIBEFHAGDC	b3349//b2435//b0345//b0174//b2324//b1411//b1831//b0355//b0599//
avtA	b3040//
azoR	b4292//
azuC	b0715//
bacA	b1473//
baeSR	b1854//b4212//
bamA	b4305//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b0441//b1801//b0476//b4245//b0934//b2803//b3528//arpB_2//
bamB-der	b0488//b2578//
bamC	b1040//
bamD	b2281//
bamE	b4274//
barA	b4074//
basRS	b1631//b2624//
bax	b3799//
bcp	b2717//
bcr	b0401//
bcsABZC	b0911//b4163//b3900//b0457//
bcsBZ	b3902//b0281//
bcsEFG	b0417//b4406//b2744//
bcsQ	b1269//
bdcA	b1515//
bdcR	b1803//
bdm-sra	b2529//b1390//
bepA-yfgD	b0183//b0708//
betIBA	b3120//b2377//b1618//
betT	b2213//
bfd-bfr	b2810//b4330//
bglA	b1458//
bglG	b2492//
bglGFB	b3458//b1523//b1719//
bglH-yieLK	b2826//b3069//b2377//
bglX	b3355//
bhsA	b3146//
bioA	b4449//
bioBFCD	b3030//b0404//b3959//b0851//
bioH	b1756//
bipA	b4415//
bisC	b2719//
blc	b1510//
blr	b0744//
bluF	b1982//
bluR	b4333//
bolA	b3427//
borD	b0863//
brnQ-proY	b4474//b2356//
bsmA	b3884//
bssR	b3944//
bssS	b3877//
btuB-murI	b2454//b2382//
btuCED	b3580//b1178//b0194//
cadA	b3652//
cadBA	b2170//b1436//
cadC	b2105//
caiCDE	b3905//b4319//b2355//
caiF	b3462//
caiTABCDE	b3940//b0040//b1273//b1608//b1436//b3150//
can	b4353//
carAB	b2039//b0535//
carB	b0190//
cas2	b2204//
cas3	b1944//
casABCDE12	b2940//b1105//b2921//b3503//b4346//b4451//b3476//
casDE12	b0182//b4297//b2724//b3455//
cbl	b0303//
cbpAM	b2943//b0631//
cbrA	b3920//
cbrB	b1815//
cbrBC	b0334//b0661//
cbrC	b2507//
