# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	narH//
aas_lplT	mazG//
abgABT_ogt	hypB//ltaE//menH//
abpAB	
accBC	prpC//ubiG//
aceBAK	ydbC//cmoA//yagF//
aceEF	kdsB//mhpA//rfaD//
ackA_pta	lysC//yjhG//
acpP_fabF	cobU//
acrAB	glmU//yeaG//
acrEF	purA//
acs_yjcH_actP	trmJ//proA//
ada_alkB	dusA//alkB//
agaS_kbaY_agaBCDI	aroG//
ahpCF	ascB//
alaA_yfbR	dacD//frdD//
alaWX	
allDCE	dosC//adk//glpC//
alsBACE	prpD//fucO//
amiA_hemF	rnpA//lsrG//
ampDE	yjjX//
ansA_pncA	pgi//lpxD//yjcS//
apaGH	glpK//
appCBXA	gadB//rutE//
araBAD	dgoA//hyi//ansB//
araE_ygeA	rluF//
araFGH	ppiA//
argCBH	rffG//nadE//guaB//
argT_hisJQMP	recF//hmp//
argX_hisR_leuT_proM	
arnBCADTEF	ftsI//allE//pyrB//hycF//ansA//
aroF_tyrA	gatZ//hyaC//
aroKB_damX_dam_rpe_gph_trpS	yidA//nrfD//citX//treF//panC//hemD//
aroL_yaiA_aroM	cysC//
arpB_1B_2	
arsRBC	dgcC//nadR//
artPIQM	cpsB//
ascFB	ada//srlD//
asnC_mioC	
asnC_mioC_mnmG	glxR//
aspA_dcuA	ftsI//rlmM//
astCADBE	dxs//nagB//selA//queF//bioA//
atoDAEB	rdgB//cobS//ilvN//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	ilvB//gmk//pagP//mhpB//yfdR//speB//
bamB_der	moeA//
basRS	
bcsABZC	rnt//glxR//
bcsBZ	yieH//ybdL//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	mcrA//etk//
bfd_bfr	nrdD//
bglGFB	aceE//ddlB//
bglH_yieLK	
bioBFCD	cfa//frlB//rsmA//cysS//
brnQ_proY	entD//cpdB//
btuB_murI	ulaF//alaS//
btuCED	ligB//pldA//
cadBA	dmsA//rlmE//
caiCDE	argC//deoC//
caiTABCDE	rutE//galK//yliI//proA//glcF//
carAB	fabA//
casABCDE12	thrC//
casDE12	alsK//
cbpAM	
cbrBC	
ccmABCDEFGH	lplA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	yciA//ghrB//aspA//
chiP_ybfN	proS//
chpSB	phoA//
citCDEFXG	asnS//ilvG_1//gpp//
clpPX	rihC//yigB//ldtD//ampC//
clpX_lon	hycD//yeiG//pabC//
clsA_yciU	glyQ//
cmk_rpsA	entC//
cmoM_mukFEB	
cmtBA_yggPFDC	plsC//rlmA//
coaE_zapD_yacG	fucI//
cobUST	gatY//yeiR//hemN//
codBA	caiA//pgi//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	nadE//
csgBAC	
csgDEFG	spoT//
csiD_lhgO_gabDTP	rfe//nadA//pgk//ynjE//
cusCFBA	galU//
cusRS	
cvpA_purF_ubiX	proA//rfbC//
cydAB	cysC//
cydDC	amiD//
cydX_ybgE	icd//
cynTS	opgE//pheA//
cynTSX	mgsA//gcvT//pfkA//
cyoABCDE	folP//gss//
cysDNC	napC//lipB//
cysJIH	epd//rluD//yieF//
cysPUWAM	lpxP//guaD//mepS//
dadAX	clsC//allC//
damX_dam_rpe_gph_trpS	fabG//dgcM//rluA//nrdE//
dam_rpe_gph_trpS	yqaB//nadA//phnM//ynfE//
dapA_bamC	yiaY//
dapE_ypfN	hemB//
dcm_vsr	truB//
dcuB_fumB	cyoE//lpxA//
dcuSR	
dcyD_tcyLN	frlB//mutT//
ddpXABCDF	hemD//
def_fmt	nirB//rffT//
degQS	ushA//fadB//
deoABD	rluB//ribC//sufS//
deoBD	nrfD//cmoA//
deoCABD	yfaU//pdxH//torZ//caiC//
dgoRKADT	gltB//tdcD//proA//pheT//
dhaKLM	pgpC//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	menB//glgX//
dinJ_yafQ	folD//
dksA_gluQ	trpS//
dmsABC	gpsA//
