# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rsmG//
aas_lplT	argK//
abgABT_ogt	waaH//idnK//hisH//
abpAB	
accBC	gmk//maeB//
aceBAK	yfcF//sthA//epd//
aceEF	cfa//rihC//lpxM//
ackA_pta	accA//yjjG//
acpP_fabF	btuR//
acrAB	kdsA//aroC//
acrEF	rbsK//
acs_yjcH_actP	rluC//yggF//
ada_alkB	adhP//yghA//
agaS_kbaY_agaBCDI	hemD//
ahpCF	ybjI//
alaA_yfbR	mltC//dusA//
alaWX	
allDCE	pdxA//ldtE//proS//
alsBACE	trpC//lpxC//
amiA_hemF	yeaE//glcD//
ampDE	yihS//
ansA_pncA	rlmD//rlmF//rne//
apaGH	lipB//
appCBXA	uxaB//ubiG//
araBAD	yhhW//hyi//garR//
araE_ygeA	panC//
araFGH	bioD//
argCBH	dsdA//mnmG//tam//
argT_hisJQMP	ydiF//gsk//
argX_hisR_leuT_proM	
arnBCADTEF	cyoE//ubiA//waaB//ugd//ydiB//
aroF_tyrA	citE//nadA//
aroKB_damX_dam_rpe_gph_trpS	manA//dgkA//waaU//astA//tdcB//dkgA//
aroL_yaiA_aroM	sodA//
arpB_1B_2	
arsRBC	dut//scpA//
artPIQM	yccX//
ascFB	argD//accD//
asnC_mioC	
asnC_mioC_mnmG	ybhA//
aspA_dcuA	carA//kdsD//
astCADBE	mnmC//thiD//treF//glpX//rsmF//
atoDAEB	tdh//arnT//uvrC//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	ydfG//amiD//lpxK//dhaK//ispG//pflB//
bamB_der	menH//
basRS	
bcsABZC	entF//xapA//
bcsBZ	wrbA//alsE//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	paoB//pgpB//
bfd_bfr	frdA//
bglGFB	surA//fadI//
bglH_yieLK	
bioBFCD	agp//waaP//tauD//nudJ//
brnQ_proY	thiE//mltC//
btuB_murI	metF//glnS//
btuCED	trmL//ybaS//
cadBA	argF//gcvP//
caiCDE	waaJ//gmhB//
caiTABCDE	pgk//fabG//ldtC//narI//pgaD//
carAB	ttdA//
casABCDE12	napB//
casDE12	waaQ//
cbpAM	
cbrBC	
ccmABCDEFGH	ribB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	hyi//bfr//dgt//
chiP_ybfN	ftnA//
chpSB	hyaB//
citCDEFXG	dmsB//ilvE//tam//
clpPX	rluA//ubiX//yfdR//wzb//
clpX_lon	pgaD//thiH//slt//
clsA_yciU	leuB//
cmk_rpsA	etp//
cmoM_mukFEB	
cmtBA_yggPFDC	nagZ//pspE//
coaE_zapD_yacG	yjhH//
cobUST	phoA//thiE//mraY//
codBA	phr//gshB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	sbcB//
csgBAC	
csgDEFG	mutH//
csiD_lhgO_gabDTP	cysC//amiD//paaF//pdeR//
cusCFBA	tehB//
cusRS	
cvpA_purF_ubiX	slyD//lpxA//
cydAB	fabB//
cydDC	ldcA//
cydX_ybgE	yfdR//
cynTS	sucB//tyrB//
cynTSX	pldB//adk//fabZ//
cyoABCDE	yccX//fbaB//
cysDNC	hcaB//acnB//
cysJIH	tatD//mutT//curA//
cysPUWAM	tdcE//ilvG_2//bioD//
dadAX	proC//opgE//
damX_dam_rpe_gph_trpS	entD//eno//serB//mltD//
dam_rpe_gph_trpS	gpsA//kdsD//thiI//ulaD//
dapA_bamC	fucI//
dapE_ypfN	guaA//
dcm_vsr	cheR//
dcuB_fumB	purT//glpX//
dcuSR	
dcyD_tcyLN	pinE//folP//
ddpXABCDF	yfcG//
def_fmt	wecB//ispH//
degQS	idnO//trpD//
deoABD	ahr//serC//folE//
deoBD	narG//pinE//
deoCABD	argK//entC//glmM//fre//
dgoRKADT	yfcG//ydiB//rutB//argS//
dhaKLM	ispB//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	ligA//cmoA//
dinJ_yafQ	caiA//
dksA_gluQ	trmJ//
dmsABC	rdoA//
dnaAN_recF	hemH//
dnaK_tpke11_dnaJ	valS//
dnaN_recF	adk//
dnaTC	
dnaTC_yjjA	
dosCP	murD//rnd//
dpiBA	
dppABCDF	ppc//
dsbC_recJ_prfB	nfsA//deoD//
dsbD_yjdC	
dsdXA	mpaA//kdsC//
dusB_fis	dld//
dut_slmA	gldA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	phnN//pncA//
efeOB	gshA//
efeU_1U_2	
elbB_mtgA	dacC//
elfDCG_ycbUVF	
emrKY	trpE//
entCEBAH	trpA//nanM//rdoA//thiG//dgt//scpA//
envY_ompT	rlmH//
epd_pgk	rsmJ//mocA//
epd_pgk_fbaA	rhaB//gadB//acpS//
essD_rrrD_rzpD	tyrS//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	pyrI//
eutHA	
eutNEJG	
eutSPQTDM	truD//
evgAS	
exbBD	
fabDG_acpP	psd//fre//
fabG_acpP	gltB//
fabHDG	yliI//ybcF//metK//
fabR_yijD	
fadBA	metG//argS//
fadD_sroD	tam//
fadIJ	nadB//aphA//
fdnGHI	
fdoGHI_fdhE	argH//
fdrA_ylbEF_ybcF	galK//
fecABCDE	pepD//accD//
fecIR	
feoABC	dkgB//
fepA_entD	tdcD//ilvD//glmM//
fepDGC	gltD//
fes_ybdZ_entF_fepE	sthA//gdhA//yahK//
fetAB	
fhuACDB	sdhD//rlmC//
ficA_fic_pabA	lpd//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	napH//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	zwf//entH//
folC_dedD	tam//
folD_ybcJ	recJ//
folE_yeiB	agp//
folP_glmM	ybbO//pinE//
folX_yfcH	arnC//
frdABCD	miaB//
frlABCDR	pspE//pepD//yigL//malZ//
frmRAB	dxs//gutQ//
fruBKA	plsC//iaaA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	ubiX//murD//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	murI//tilS//mcrB//bcsZ//gatZ//queD//pta//rutC//ghrA//sdaA//
ftsQAZ	
ftsYEX	
fucAO	menH//malY//
fucPIKUR	ltaE//aceE//acpT//gmk//
fumAC	apaH//thiC//
fusA_tufA	
gabDTP	nfsB//epmC//ybhA//
gadAX	hemH//
gadBC	malY//glcB//
gadEF	
gadEF_mdtEF	galU//
gadXW	
galET	treA//hcaC//
galETK	thrC//rlmB//narV//
galETKM	upp//frdA//glgX//folE//
gapA_yeaD	sgbE//
gapC_1C_2	
garPLRK_rnpB	caiD//hisF//pepD//preA//mcrB//ndh//
gatYZABCD	yahK//avtA//prs//
gatZABCD	paaC//aroL//ilvB//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	cysK//allC//ldtD//dmsA//amyA//
gcvTHP	yiaY//ldtE//bioA//
gfcBCD	
gfcE_etp_etk	rffM//dfp//
ghoST	nudK//
glcBA	bglA//hchA//
glcDEFGBA	carA//ssuE//lgoD//
glf_wbbH	metL//
glgAP	tag//mak//
glgBXCAP	rnb//murD//rpe//zwf//dgcP//
glgCAP	kbl//ybaS//glyQ//
glmUS	hcaF//kbaZ//
glnALG	yeiR//
glnHPQ	rfbC//
glnK_amtB	accB//
glnLG	
glnW_metU_glnVX	
glpABC	mog//
glpEGR	hycC//hcaD//
glpFKX	ilvM//polA//sgbU//
glpGR	apt//
glpTQ	rluD//ubiG//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	asnS//
glvCBG_ysdC	
glyQS	folX//
glyVXY	
glyW_cysT_leuZ	
gntKU	aroB//ubiC//
gntRKU	yihS//gltB//
gntX_nfuA	
gpmM_envC_yibQ	metB//napA//
groSL	
gspAB	
gspCDEFGHIJKLMO	maeB//
guaBA	mog//rsmJ//
gudPXD	gatY//guaD//
hcaEFCBD	yliI//alsK//
hcp_hcr	gph//proA//
hdeAB_yhiD	
hemA_prfA_prmC	pta//cysI//
hemCDXY	yliI//pgaD//
hflD_purB	cysD//
hfq_hflXKC	astD//
hicAB	
higBA	mhpB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	truD//cynS//hemA//bglA//
hipBA	selD//
hisBHAFI	lacA//ruvA//dgt//yneH//
hisJQMP	fadH//uxaA//
hisLGDCBHAFI	yniC//glpD//eutC//nirD//xdhC//eno//dcd//
hofMNOP	
holC_valS	mpl//
holD_rimI_yjjG	phoA//orn//
hscBA_fdx_iscX	ldcC//
hsdMS	sad//
hsdRMS	thiM//
hslRO	
hslVU	rrrD//
hyaABCDEF	
hybOABCDEFG	dgcT//
hycABCDEFGHI	ilvM//mutL//
hydN_hypF	phnI//
hyfABCDEFGHIJR_focB	citX//
hypABCDE	entA//
hypABCDE_fhlA	pcm//
hypBCDE	queC//
hypBCDE_fhlA	eno//
iaaA_gsiABCD	tdcB//thiF//
ibaG_murA	uidA//
ibpAB	
idnDOTR	hisH//fbaA//katE//
ileS_lspA_fkpB_ispH	tdcG//ampC//ribB//acnB//
ilvEDA	queA//ribF//glxK//guaA//
ilvIH	nadC//
ilvLXG_1G_2MEDA	pgi//ispB//pflB//bglB//rfe//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	cobT//
insN_1I_1O_1	yegS//
insO_2_yjhWV	
iscRSUA	uxuA//poxB//
ispDF	lsrG//prpE//
ispG_sroE	fumB//
isrC_flu	
ivbL_ilvBN	entB//
ivbL_ilvBN_uhpABC	phnG//
kbaZ_agaVWA	mgsA//
kbl_tdh	rluA//prmC//
kdpDE	
kdpFABC	sdhD//
kdsC_lptCAB	uxaB//polA//
kefFC	torA//ttdB//
kefGB_yheV	tdk//
kilR_ydaE	
lacYA	leuC//ppiA//
lacZYA	sodA//hisA//rdgB//
lapAB	
lapAB_pyrF_yciH	fucO//
lepAB	ttdA//
leuLABCD	gltA//mpaA//purB//
leuQPV	
leuS_lptE_holA_nadD_cobC	mutL//ubiG//malS//
lexA_dinF	
lgt_thyA	rne//aldB//
ligA_ypeB	ugd//
livKHMGF	dusA//acpT//
lldPRD	mutH//fruK//
lolA_rarA	
lolB_ispE_prs	prs//eutD//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	rnpB//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	waaS//efeB//
lptFG	
lspA_fkpB_ispH	glpC//adeD//pcm//
lsrACDBFG_tam	nrdF//glmU//xylA//fabI//
lsrRK	insI-1//
ltaE_ybjT	pabB//
lysT_valT_lysW	
macAB	ndh//
malEFG	rnpB//
malK_lamB_malM	ybjG//gloB//
malPQ	pinE//yqhD//
malXY	gldA//scpC//
manXYZ	yjiA//
map_glnD_dapD	otsB//moaA//ulaE//
marRAB	
mazEFG	ydfG//
mcrBC	rihB//
mdlAB	
mdtABCD_baeSR	asnS//
mdtEF	pgaB//
mdtJI	spoT//
mdtM_yjiN	fdhF//
mdtNOP	gdhA//
melAB	btuR//rluA//
menA_rraA	dgcP//
menBCE	gcvH//fklB//murB//
menDHBCE	nagB//dcyD//guaA//tsaB//rnb//
menFDHBCE	phr//ppa//ybdL//sufS//nudB//thrC//
metBL	thrB//ispA//
metNIQ	paaK//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	btuE//epmB//leuS//
metZWV	
mglAC	gsk//
mglBAC	tdk//
mgtLA	phnL//
mhpABCDFE	gmk//adk//ppx//trmL//fucI//waaA//
