# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pfkA//
aas_lplT	proC//
abgABT_ogt	gor//aes//cynS//
abpAB	
accBC	trmH//nfsB//
aceBAK	rutE//thiE//gadB//
aceEF	fabH//torZ//bglX//
ackA_pta	cheB//ilvD//
acpP_fabF	yciA//
acrAB	der//lpxC//
acrEF	mutS//
acs_yjcH_actP	recG//gpp//
ada_alkB	mcrC//ldcA//
agaS_kbaY_agaBCDI	cpdA//
ahpCF	alsK//
alaA_yfbR	speG//yihT//
alaWX	
allDCE	pspE//talB//narH//
alsBACE	gatD//thiL//
amiA_hemF	panE//cpdB//
ampDE	adhE//
ansA_pncA	yqjH//uvrC//entE//
apaGH	rne//
appCBXA	paaC//yjhH//
araBAD	argB//yjhG//murD//
araE_ygeA	rlmJ//
araFGH	speD//
argCBH	mhpF//alaS//nagA//
argT_hisJQMP	frdB//dnaE//
argX_hisR_leuT_proM	
arnBCADTEF	udp//polA//arnB//clsA//ogt//
aroF_tyrA	rutA//ldhA//
aroKB_damX_dam_rpe_gph_trpS	rfaE//uxaC//deoA//kdsC//leuA//uxaB//
aroL_yaiA_aroM	prpD//
arpB_1B_2	
arsRBC	rfaE//hisD//
artPIQM	dmsC//
ascFB	lpcA//rhaM//
asnC_mioC	
asnC_mioC_mnmG	phnL//
aspA_dcuA	mrdA//fabI//
astCADBE	ygjK//valS//paaB//rlmD//paoB//
atoDAEB	gltX//rnd//napC//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	nudJ//allC//hemG//accD//cobT//leuD//
bamB_der	argA//
basRS	
bcsABZC	xylB//ygjK//
bcsBZ	rnb//trxB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	yggF//umpH//
bfd_bfr	menE//
bglGFB	hisG//nudB//
bglH_yieLK	
bioBFCD	xdhC//thiL//mngB//glyQ//
brnQ_proY	rihA//fkpB//
btuB_murI	rsmE//epd//
btuCED	yieF//nfi//
cadBA	queF//yibQ//
caiCDE	hycB//ilvN//
caiTABCDE	uxuA//cyaA//trmD//hemE//dgkA//
carAB	yegS//
casABCDE12	puuC//
casDE12	yieH//
cbpAM	
cbrBC	
ccmABCDEFGH	hycG//
cecR_ybhGFSR	
chaBC	
chbBCARFG	yeaE//proA//yagE//
chiP_ybfN	deoD//
chpSB	patZ//
citCDEFXG	ydjG//melA//yibQ//
clpPX	fau//solA//cobU//hemN//
clpX_lon	rsmE//mhpC//aceA//
clsA_yciU	narY//
cmk_rpsA	mutY//
cmoM_mukFEB	
cmtBA_yggPFDC	leuD//caiD//
coaE_zapD_yacG	pepD//
cobUST	clsA//thiH//hycF//
codBA	yneH//cpdA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	truA//
csgBAC	
csgDEFG	ileS//
csiD_lhgO_gabDTP	rhaD//acpH//dusB//hycB//
cusCFBA	mhpC//
cusRS	
cvpA_purF_ubiX	ribC//tktA//
cydAB	dapE//
cydDC	yihU//
cydX_ybgE	dapB//
cynTS	fumC//bfr//
cynTSX	rhaB//cmk//nanK//
