# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	fabA//
aas_lplT	thiF//
abgABT_ogt	glcE//pagP//insI-2//
abpAB	
accBC	rlmF//ligA//
aceBAK	fre//tesA//frlB//
aceEF	ilvA//argF//pyrD//
ackA_pta	torY//yjhH//
acpP_fabF	ynjE//
acrAB	dfp//umuD//
acrEF	fucA//
acs_yjcH_actP	rffM//dapF//
ada_alkB	glyS//gmk//
agaS_kbaY_agaBCDI	fkpA//
ahpCF	gpmM//
alaA_yfbR	sodA//lpxK//
alaWX	
allDCE	bglX//phnL//putA//
alsBACE	mrcB//cynT//
amiA_hemF	ldtB//bcsZ//
ampDE	thrB//
ansA_pncA	lpxL//metK//can//
apaGH	paaY//
appCBXA	dld//yegS//
araBAD	yohF//dgcT//cpdA//
araE_ygeA	ilvC//
araFGH	wzc//
argCBH	cysC//purK//tdcG//
argT_hisJQMP	pyrC//accC//
argX_hisR_leuT_proM	
arnBCADTEF	rfbD//gpmM//gntK//dkgB//paoA//
aroF_tyrA	scpB//gapA//
aroKB_damX_dam_rpe_gph_trpS	yfbR//yeaG//argE//rluC//katE//argH//
aroL_yaiA_aroM	kdsD//
arpB_1B_2	
arsRBC	ldtD//cobS//
artPIQM	mltD//
ascFB	thiD//sad//
asnC_mioC	
asnC_mioC_mnmG	pabC//
aspA_dcuA	waaA//hemB//
astCADBE	galT//tdcE//ygeX//gcl//yieH//
atoDAEB	trpC//hyuA//oxc//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	upp//gstB//thrC//rffT//ymdB//ghrA//
bamB_der	epmB//
basRS	
bcsABZC	uxaA//tcdA//
bcsBZ	pfkA//queC//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	gshB//birA//
bfd_bfr	dgcP//
bglGFB	waaZ//manA//
bglH_yieLK	
bioBFCD	aroK//ilvM//lpxT//murI//
brnQ_proY	avtA//leuB//
btuB_murI	purD//maeA//
btuCED	glpA//dosP//
cadBA	rluC//yigL//
caiCDE	gatY//tsaC//
caiTABCDE	eutB//yagE//phnO//gcl//lpxP//
carAB	tyrA//
casABCDE12	rhaD//
casDE12	ycaO//
cbpAM	
cbrBC	
ccmABCDEFGH	scpB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	zwf//garD//glgC//
chiP_ybfN	galT//
chpSB	dapA//
citCDEFXG	rpe//add//pgaC//
clpPX	acpH//ilvD//recO//hemH//
clpX_lon	sodC//coaA//glmM//
clsA_yciU	valS//
cmk_rpsA	kbl//
cmoM_mukFEB	
cmtBA_yggPFDC	cysK//ppiB//
coaE_zapD_yacG	ugd//
cobUST	fdhF//mdh//gcvT//
codBA	dcm//pssA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	rsmC//
csgBAC	
csgDEFG	mutM//
csiD_lhgO_gabDTP	nrfA//hinT//ubiG//avtA//
cusCFBA	acs//
cusRS	
cvpA_purF_ubiX	leuA//rsmB//
cydAB	cof//
cydDC	hycC//
cydX_ybgE	nagK//
cynTS	lsrF//hcaD//
cynTSX	purB//purA//yjiA//
cyoABCDE	ftsI//alkA//
cysDNC	dgcP//sbcB//
cysJIH	nrfC//yeiG//argB//
cysPUWAM	ldcC//yciA//rhaD//
dadAX	rihA//yjhH//
damX_dam_rpe_gph_trpS	ilvN//prs//kdsD//rsmA//
dam_rpe_gph_trpS	pgaC//glpD//puuA//lpxC//
dapA_bamC	ltaE//
dapE_ypfN	mutM//
dcm_vsr	kbaY//
dcuB_fumB	moaE//ycjG//
dcuSR	
dcyD_tcyLN	mog//kdgK//
ddpXABCDF	fumB//
def_fmt	aroE//wecC//
degQS	uxaC//yjhG//
deoABD	argD//leuD//trpD//
deoBD	ynfG//mpl//
deoCABD	entB//dusB//fucI//ogt//
dgoRKADT	slyD//hemL//gstB//pgpC//
dhaKLM	glnE//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	nanK//cysN//
dinJ_yafQ	hdhA//
dksA_gluQ	dnaQ//
dmsABC	gor//
dnaAN_recF	nudL//
dnaK_tpke11_dnaJ	nudG//
dnaN_recF	dusA//
dnaTC	
dnaTC_yjjA	
dosCP	patD//torY//
dpiBA	
dppABCDF	pdeR//
dsbC_recJ_prfB	glcF//hcaE//
dsbD_yjdC	
dsdXA	ung//folP//
dusB_fis	dgcM//
dut_slmA	phnJ//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	waaO//ycjU//
efeOB	lpxD//
efeU_1U_2	
elbB_mtgA	sucB//
elfDCG_ycbUVF	
emrKY	ampD//
entCEBAH	rluA//uxuA//purT//ynfH//yjiA//rne//
envY_ompT	fumC//
epd_pgk	tsaB//hcaC//
epd_pgk_fbaA	nadC//dld//nfsA//
essD_rrrD_rzpD	ldcC//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	waaU//
eutHA	
eutNEJG	
eutSPQTDM	folA//
evgAS	
exbBD	
fabDG_acpP	pabC//mhpC//
fabG_acpP	waaB//
fabHDG	rbsK//citX//abgA//
fabR_yijD	
fadBA	pheS//etp//
fadD_sroD	ahr//
fadIJ	ssuE//mltA//
fdnGHI	
fdoGHI_fdhE	nudB//
fdrA_ylbEF_ybcF	pgl//
fecABCDE	rutB//yjjX//
fecIR	
feoABC	ilvA//
fepA_entD	eptA//pncC//insI-2//
fepDGC	murB//
fes_ybdZ_entF_fepE	coaD//yfbR//ribE//
fetAB	
fhuACDB	kduD//acnB//
ficA_fic_pabA	rlmB//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	mhpD//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	eutC//purB//
folC_dedD	glyQ//
folD_ybcJ	gor//
folE_yeiB	cadA//
folP_glmM	amiD//moaE//
folX_yfcH	caiC//
frdABCD	fes//
frlABCDR	frlC//arsC//tgt//paoA//
frmRAB	codA//rluA//
fruBKA	cpdB//entD//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	fucI//ghrB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	bcsB//narI//lsrK//pabA//dnaQ//def//ldtA//aceB//feaB//waaQ//
ftsQAZ	
ftsYEX	
fucAO	yfiC//yghU//
fucPIKUR	polA//ldtD//tktB//hpt//
fumAC	citE//pncC//
fusA_tufA	
gabDTP	thiD//murB//hcaE//
gadAX	trmI//
gadBC	fdhF//idi//
gadEF	
gadEF_mdtEF	tdcE//
gadXW	
galET	wecB//gcvP//
galETK	araA//gpsA//tig//
galETKM	kbaY//yihS//guaB//rihA//
gapA_yeaD	kdgK//
gapC_1C_2	
garPLRK_rnpB	bioC//sdhD//phnM//narY//yiaY//acpT//
gatYZABCD	rluD//waaB//ppx//
gatZABCD	accA//tdh//argI//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	narI//pdxK//tktA//dgcC//plsC//
gcvTHP	dgkA//putA//accB//
gfcBCD	
gfcE_etp_etk	pphA//pabA//
ghoST	solA//
glcBA	gpp//ydiB//
glcDEFGBA	glgX//nadC//mutH//
glf_wbbH	yjcS//
