# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cfa//
aas_lplT	lysA//
abgABT_ogt	fabF//dgcP//nudI//
abpAB	
accBC	phnG//gadA//
aceBAK	ldtC//caiD//ilvM//
aceEF	sdaA//rfaE//rdgB//
ackA_pta	cysG//aldA//
acpP_fabF	argK//
acrAB	kdgK//rsmC//
acrEF	wecB//
acs_yjcH_actP	entE//yqjH//
ada_alkB	fbaB//phoA//
agaS_kbaY_agaBCDI	epmA//
ahpCF	pgpA//
alaA_yfbR	surA//xdhC//
alaWX	
allDCE	galT//yieH//yigB//
alsBACE	glxK//ppiB//
amiA_hemF	psd//thiL//
ampDE	hyuA//
ansA_pncA	mhpD//rlmI//bcsA//
apaGH	gatZ//
appCBXA	yciV//phnP//
araBAD	citC//pgaB//opgE//
araE_ygeA	puuB//
araFGH	ydbC//
argCBH	eda//cobC//gldA//
argT_hisJQMP	entF//manA//
argX_hisR_leuT_proM	
arnBCADTEF	speD//dgt//dadA//gshA//araD//
aroF_tyrA	anmK//bfr//
aroKB_damX_dam_rpe_gph_trpS	menE//mhpA//iscS//mngB//yjjX//sdhD//
aroL_yaiA_aroM	torY//
arpB_1B_2	
arsRBC	xylB//nanA//
artPIQM	gmhB//
ascFB	paaK//relA//
asnC_mioC	
asnC_mioC_mnmG	paaZ//
aspA_dcuA	ribC//ybhA//
astCADBE	nudG//rnpB//waaQ//mrdA//solA//
atoDAEB	ynfF//alr//dapD//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	lysA//ycaO//hisG//allA//ascB//cmoB//
bamB_der	hyi//
basRS	
bcsABZC	thrC//yieH//
bcsBZ	mmuM//mqo//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	dgcM//torZ//
bfd_bfr	glf//
bglGFB	pdxB//maeB//
bglH_yieLK	
bioBFCD	arnB//pdeR//gsk//napA//
brnQ_proY	eno//cysQ//
btuB_murI	yajO//accB//
btuCED	yfaU//pinE//
cadBA	yfbT//thrS//
caiCDE	pykA//hemA//
caiTABCDE	dapA//tdcE//allB//ilvG_1//purF//
carAB	bioD//
casABCDE12	polB//
casDE12	gltD//
cbpAM	
cbrBC	
ccmABCDEFGH	mrcA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	ydiF//ybhA//pbpC//
chiP_ybfN	feaB//
chpSB	cysK//
citCDEFXG	murE//rsmD//astD//
clpPX	nanK//gor//pdeF//ybdL//
clpX_lon	paaK//ydbC//tig//
clsA_yciU	hemA//
cmk_rpsA	pdxK//
cmoM_mukFEB	
cmtBA_yggPFDC	lpd//pdeH//
coaE_zapD_yacG	gutQ//
cobUST	xthA//glcF//mngB//
codBA	dkgB//gpmM//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	cof//
csgBAC	
csgDEFG	ddlA//
csiD_lhgO_gabDTP	kdgK//phnH//gltD//mhpF//
cusCFBA	gstB//
cusRS	
cvpA_purF_ubiX	astA//dosC//
cydAB	hcaC//
cydDC	ribB//
cydX_ybgE	torZ//
cynTS	queA//lacZ//
cynTSX	scpC//alaA//mltB//
cyoABCDE	mutM//galK//
cysDNC	cdsA//murI//
cysJIH	metK//cpsB//purL//
cysPUWAM	rsgA//aroK//acpT//
dadAX	araB//ligB//
damX_dam_rpe_gph_trpS	nemA//mazG//dfp//rsmH//
dam_rpe_gph_trpS	putA//ravA//speF//glmM//
dapA_bamC	yeaE//
dapE_ypfN	paaJ//
dcm_vsr	nirD//
dcuB_fumB	tyrA//ulaD//
dcuSR	
dcyD_tcyLN	phnN//cysJ//
ddpXABCDF	gloB//
def_fmt	nudC//nudG//
degQS	ilvD//garR//
deoABD	ampD//cueO//csdA//
deoBD	acpS//ssuE//
deoCABD	luxS//xdhC//lsrK//glcD//
dgoRKADT	tsaE//nfsB//pfkB//patZ//
dhaKLM	rbsD//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	edd//aroB//
dinJ_yafQ	hisF//
dksA_gluQ	queD//
dmsABC	ycjU//
dnaAN_recF	glpB//
dnaK_tpke11_dnaJ	coaD//
dnaN_recF	selA//
dnaTC	
dnaTC_yjjA	
dosCP	hemG//rfaE//
dpiBA	
dppABCDF	tauD//
dsbC_recJ_prfB	nudE//moaA//
dsbD_yjdC	
dsdXA	nudE//waaS//
dusB_fis	sdaB//
dut_slmA	rlmG//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	argG//bfr//
efeOB	yeaG//
efeU_1U_2	
elbB_mtgA	murA//
elfDCG_ycbUVF	
emrKY	phnO//
entCEBAH	bioA//lipA//uxaA//dosC//glf//hisC//
envY_ompT	recR//
epd_pgk	pncA//fucA//
epd_pgk_fbaA	dgoA//aroL//dusB//
essD_rrrD_rzpD	ulaG//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	psuG//
eutHA	
eutNEJG	
eutSPQTDM	paaC//
evgAS	
exbBD	
fabDG_acpP	yqaB//birA//
fabG_acpP	citD//
fabHDG	pgaB//arnC//oxc//
fabR_yijD	
fadBA	thyA//lpxT//
fadD_sroD	pncA//
fadIJ	ychF//mltC//
fdnGHI	
fdoGHI_fdhE	lgoD//
fdrA_ylbEF_ybcF	kdgK//
fecABCDE	lpoA//nrdF//
fecIR	
feoABC	pinE//
fepA_entD	tadA//rihB//rlmM//
fepDGC	citC//
fes_ybdZ_entF_fepE	rnpB//cmoA//dnaQ//
fetAB	
fhuACDB	citG//lpd//
ficA_fic_pabA	thyA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	rffM//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	phnP//tig//
folC_dedD	aroA//
folD_ybcJ	dadA//
folE_yeiB	fabD//
