# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	amiD//
aas_lplT	kdsC//
abgABT_ogt	sdhA//galM//cysG//
abpAB	
accBC	coaE//tsaE//
aceBAK	glyA//trmI//gltA//
aceEF	pgl//ybhA//lsrF//
ackA_pta	purF//araB//
acpP_fabF	waaY//
acrAB	ldcC//adhP//
acrEF	glnS//
acs_yjcH_actP	xdhA//lpxA//
ada_alkB	entD//gmd//
agaS_kbaY_agaBCDI	gmm//
ahpCF	patA//
alaA_yfbR	araB//pcm//
alaWX	
allDCE	mhpB//fadM//dmlA//
alsBACE	yjjX//mhpF//
amiA_hemF	pheA//ispD//
ampDE	pdeL//
ansA_pncA	sdhD//proS//proA//
apaGH	hemN//
appCBXA	ddlA//valS//
araBAD	ligA//apt//wzc//
araE_ygeA	uidA//
araFGH	epmA//
argCBH	kbaZ//yciA//pspE//
argT_hisJQMP	glnE//bioF//
argX_hisR_leuT_proM	
arnBCADTEF	hemB//fbp//ygeX//rihA//deoC//
aroF_tyrA	yieF//psd//
aroKB_damX_dam_rpe_gph_trpS	ilvC//mtgA//ung//ynfE//gpsA//trpA//
aroL_yaiA_aroM	torA//
arpB_1B_2	
arsRBC	fcl//citE//
artPIQM	tdcG//
ascFB	trxB//ycaO//
asnC_mioC	
asnC_mioC_mnmG	tsaC//
aspA_dcuA	spoT//hycD//
astCADBE	orn//ldtE//yfiC//waaS//thrS//
atoDAEB	glgP//sucC//rluD//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	ubiD//gadB//mltF//gsk//tpiA//insI-3//
bamB_der	ydfG//
basRS	
bcsABZC	entE//ansA//
