# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rne//
aas_lplT	nudK//
abgABT_ogt	hcaC//etp//kduD//
abpAB	
accBC	etk//dadX//
aceBAK	queC//mltC//moeB//
aceEF	ribD//purD//hypB//
ackA_pta	ribF//ravA//
acpP_fabF	gdhA//
acrAB	kduD//entF//
acrEF	murI//
acs_yjcH_actP	waaL//arnA//
ada_alkB	dusB//arsC//
agaS_kbaY_agaBCDI	dapD//
ahpCF	rnpB//
alaA_yfbR	opgE//entA//
alaWX	
allDCE	rsmG//aroK//rlmG//
alsBACE	ilvG_1//hisH//
amiA_hemF	pgi//ravA//
ampDE	cynT//
ansA_pncA	ttdA//nirB//yjjX//
apaGH	nanA//
appCBXA	amyA//ybcF//
araBAD	pnp//glpE//kdgK//
araE_ygeA	ilvE//
araFGH	uxaB//
argCBH	lpxA//lipA//tdcE//
argT_hisJQMP	lpxP//uxaC//
argX_hisR_leuT_proM	
arnBCADTEF	pabA//trmH//umuC//napC//ldcC//
aroF_tyrA	sodB//nrfD//
aroKB_damX_dam_rpe_gph_trpS	ldtE//gloA//ldtB//rsmG//metF//aroA//
aroL_yaiA_aroM	glpD//
arpB_1B_2	
arsRBC	glnE//nudL//
artPIQM	araD//
ascFB	rfaD//ydiO//
asnC_mioC	
asnC_mioC_mnmG	phnI//
aspA_dcuA	rihB//phnP//
astCADBE	pck//ispG//ydfG//gltX//purM//
atoDAEB	nagZ//ychF//gloC//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	aceB//prmC//gadB//thiH//pheA//ndk//
bamB_der	rlmF//
basRS	
bcsABZC	serS//mltB//
bcsBZ	rnd//acnB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	tdk//cynS//
bfd_bfr	insI-2//
bglGFB	fadI//patA//
bglH_yieLK	
bioBFCD	plsB//metA//ygjK//gph//
brnQ_proY	polB//rhaB//
btuB_murI	proC//wecC//
btuCED	folP//leuA//
cadBA	glmU//lsrG//
caiCDE	fabA//fabZ//
caiTABCDE	pdeR//allC//phnG//pinE//miaB//
carAB	glmU//
casABCDE12	sdhC//
casDE12	rlmG//
cbpAM	
cbrBC	
ccmABCDEFGH	pheS//
cecR_ybhGFSR	
chaBC	
chbBCARFG	yqjG//waaS//ybiV//
chiP_ybfN	fadM//
chpSB	gloA//
citCDEFXG	avtA//psuG//pyrC//
clpPX	efeB//glpQ//rlmD//metB//
clpX_lon	yfcG//thrB//thrC//
clsA_yciU	kbaY//
cmk_rpsA	opgB//
cmoM_mukFEB	
cmtBA_yggPFDC	fklB//yfeW//
coaE_zapD_yacG	ttdA//
cobUST	cysE//frdB//rfbC//
codBA	gpt//ushA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	allB//
csgBAC	
csgDEFG	glcB//
csiD_lhgO_gabDTP	gatD//murI//torA//anmK//
cusCFBA	pabA//
cusRS	
cvpA_purF_ubiX	scpC//ttdA//
cydAB	lldD//
cydDC	lpoB//
cydX_ybgE	tatD//
cynTS	cysN//ydbC//
cynTSX	nagB//mltA//folP//
cyoABCDE	hisG//wzb//
cysDNC	kbaZ//tdcB//
cysJIH	mqo//galK//dapA//
cysPUWAM	ispF//lysC//aphA//
dadAX	rfbC//ribE//
damX_dam_rpe_gph_trpS	yccX//frdA//yidA//malQ//
dam_rpe_gph_trpS	pdeF//etp//glpQ//dgkA//
dapA_bamC	eutC//
dapE_ypfN	hcaC//
dcm_vsr	rfbC//
dcuB_fumB	nemA//uvrA//
dcuSR	
dcyD_tcyLN	frdD//yfaU//
ddpXABCDF	mcrC//
def_fmt	torY//rnpA//
degQS	sbcB//argC//
deoABD	lysC//yfiC//hemF//
deoBD	aroB//dapF//
deoCABD	yeiR//gcvT//glgA//caiC//
dgoRKADT	slyD//ahr//malZ//trmD//
dhaKLM	purK//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	rhaD//nfi//
dinJ_yafQ	nfi//
dksA_gluQ	agp//
dmsABC	entA//
dnaAN_recF	edd//
dnaK_tpke11_dnaJ	nagB//
dnaN_recF	frlB//
dnaTC	
dnaTC_yjjA	
dosCP	idi//trpD//
dpiBA	
dppABCDF	yeaE//
dsbC_recJ_prfB	yqjH//dxr//
dsbD_yjdC	
dsdXA	purA//yfaU//
dusB_fis	thrB//
dut_slmA	glpD//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	kbl//bcsZ//
efeOB	queA//
efeU_1U_2	
elbB_mtgA	thiD//
elfDCG_ycbUVF	
emrKY	hisA//
entCEBAH	gcd//glcE//cyoE//mcrC//ygaP//atoD//
envY_ompT	fabZ//
epd_pgk	nadA//menE//
epd_pgk_fbaA	alkA//psd//gutQ//
essD_rrrD_rzpD	def//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	cobU//
eutHA	
eutNEJG	
eutSPQTDM	tdcD//
evgAS	
exbBD	
fabDG_acpP	icd//nadA//
fabG_acpP	xylA//
fabHDG	acpH//ldcA//thiL//
fabR_yijD	
fadBA	recR//ppx//
fadD_sroD	phnP//
fadIJ	purT//slyD//
fdnGHI	
fdoGHI_fdhE	tpiA//
fdrA_ylbEF_ybcF	phnM//
fecABCDE	trpE//lpd//
fecIR	
feoABC	agp//
fepA_entD	moaA//yghU//yihU//
fepDGC	thiG//
fes_ybdZ_entF_fepE	pldB//kduI//gltD//
fetAB	
fhuACDB	ispA//speC//
ficA_fic_pabA	cysC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	yfeW//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	eptA//gss//
folC_dedD	fadI//
folD_ybcJ	gapA//
folE_yeiB	thiC//
folP_glmM	thrC//moaE//
folX_yfcH	gadB//
frdABCD	tauD//
frlABCDR	ilvC//thiK//pspE//dhaL//
frmRAB	glgA//rpiB//
fruBKA	ppx//fcl//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	paaH//coaE//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	polB//bioB//waaY//patD//lpxL//allE//waaH//mhpD//ispF//rluC//
ftsQAZ	
ftsYEX	
fucAO	accA//ychF//
fucPIKUR	coaE//yegS//nadR//otsB//
fumAC	thiH//phnG//
fusA_tufA	
gabDTP	rfaD//lsrF//rlmF//
gadAX	trmO//
gadBC	gmk//rluE//
gadEF	
gadEF_mdtEF	codA//
gadXW	
galET	glnA//paaB//
galETK	pbpC//selA//moeB//
galETKM	btuE//argF//cysS//alaS//
gapA_yeaD	putA//
gapC_1C_2	
garPLRK_rnpB	menI//yjjG//argG//fsaA//rne//puuC//
gatYZABCD	allE//yfbT//araA//
gatZABCD	hemE//nrfB//pspE//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	yrfG//purH//leuS//talA//pyrC//
gcvTHP	wcaJ//alaS//speD//
gfcBCD	
gfcE_etp_etk	selA//cobS//
ghoST	lldD//
glcBA	nth//sodC//
glcDEFGBA	cobT//waaL//waaG//
glf_wbbH	clsA//
glgAP	hmp//mutT//
glgBXCAP	gluQ//bioB//lpxB//nudJ//yieF//
glgCAP	rluD//galE//yihV//
glmUS	uvrC//ybiV//
glnALG	glyQ//
glnHPQ	ssuD//
glnK_amtB	moeA//
glnLG	
glnW_metU_glnVX	
glpABC	ldcC//
glpEGR	thiM//aroB//
glpFKX	accC//ftnA//bioB//
glpGR	rffC//
glpTQ	ghrA//ldcC//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	pldB//
glvCBG_ysdC	
glyQS	paaF//
glyVXY	
glyW_cysT_leuZ	
gntKU	slt//speD//
gntRKU	glmU//dapB//
gntX_nfuA	
gpmM_envC_yibQ	cdh//tdcE//
groSL	
gspAB	
gspCDEFGHIJKLMO	glpE//
guaBA	udk//citC//
gudPXD	rlmL//tsaE//
hcaEFCBD	mnmG//nfi//
hcp_hcr	arnB//ascB//
hdeAB_yhiD	
hemA_prfA_prmC	nfsB//slt//
hemCDXY	mrcA//mog//
hflD_purB	solA//
hfq_hflXKC	moaA//
hicAB	
higBA	dosC//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	mepS//moeA//ppa//ispU//
hipBA	murI//
hisBHAFI	nrfB//ssuD//yjcS//pdeR//
hisJQMP	dxr//epd//
hisLGDCBHAFI	tdk//fucI//nrdE//dhaM//putA//ugpQ//surA//
hofMNOP	
holC_valS	yhdJ//
holD_rimI_yjjG	tdh//ilvH//
hscBA_fdx_iscX	ndh//
hsdMS	gabD//
hsdRMS	citE//
hslRO	
hslVU	xapA//
hyaABCDEF	
hybOABCDEFG	speC//
hycABCDEFGHI	mtn//miaA//
hydN_hypF	rlmM//
hyfABCDEFGHIJR_focB	yjcS//
hypABCDE	gltX//
hypABCDE_fhlA	clsB//
hypBCDE	yeiR//
hypBCDE_fhlA	ampC//
iaaA_gsiABCD	ygaP//accB//
ibaG_murA	napB//
ibpAB	
idnDOTR	glk//ravA//aroD//
ileS_lspA_fkpB_ispH	dhaM//pncC//cof//clsC//
ilvEDA	pgaD//ackA//wecC//cysJ//
ilvIH	metH//
ilvLXG_1G_2MEDA	menE//uvrA//kdgK//purU//trpC//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	mobA//
insN_1I_1O_1	tauD//
insO_2_yjhWV	
iscRSUA	preA//truB//
ispDF	ackA//cobS//
ispG_sroE	nrdD//
isrC_flu	
ivbL_ilvBN	paoB//
ivbL_ilvBN_uhpABC	talA//
kbaZ_agaVWA	mtgA//
kbl_tdh	queG//yciV//
kdpDE	
kdpFABC	tynA//
kdsC_lptCAB	gcvT//abgA//
kefFC	recR//hcp//
kefGB_yheV	astD//
kilR_ydaE	
lacYA	pyrB//ilvM//
lacZYA	talB//tyrS//fau//
lapAB	
lapAB_pyrF_yciH	speC//
lepAB	ybcF//
leuLABCD	mhpC//narV//cpdA//
leuQPV	
leuS_lptE_holA_nadD_cobC	fadD//lplA//queG//
lexA_dinF	
lgt_thyA	ampC//ppa//
ligA_ypeB	mmuM//
livKHMGF	glyA//lgoD//
lldPRD	dadX//mpaA//
lolA_rarA	
lolB_ispE_prs	thiE//fkpB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	aspS//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	putA//hisA//
lptFG	
lspA_fkpB_ispH	hemH//eutD//metF//
lsrACDBFG_tam	uxaA//mgsA//gmhB//recJ//
lsrRK	wbbI//
ltaE_ybjT	mtn//
lysT_valT_lysW	
macAB	mdh//
malEFG	dapE//
malK_lamB_malM	phnO//csdA//
malPQ	recR//ssuD//
malXY	nrfC//ghrB//
manXYZ	insI-3//
map_glnD_dapD	ydiO//nemA//ispE//
marRAB	
mazEFG	glgP//
mcrBC	nagA//
mdlAB	
mdtABCD_baeSR	uxaB//
mdtEF	gcvT//
mdtJI	gcvT//
mdtM_yjiN	moeA//
mdtNOP	nrfC//
melAB	mraY//torY//
menA_rraA	yiaY//
menBCE	mhpF//ilvA//frlC//
menDHBCE	queC//ligB//gor//hcaE//tadA//
menFDHBCE	selA//sgbH//tsaC//glyQ//ribE//tesA//
metBL	nadD//coaD//
metNIQ	nagA//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	mngB//pck//dhaM//
metZWV	
mglAC	rffG//
mglBAC	sgbH//
mgtLA	emtA//
mhpABCDFE	purK//tktB//nadD//dgcZ//mnmE//pta//
mhpR_lacI	
miaA_hfq_hflXKC	glmS//uvrC//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	yihX//glmU//
mnaT_ydcZ	adhE//
mngAB	rlmM//azoR//
mnmG_rsmG	lpoB//ppx//
mntR_ybiR	
moaABCDE	frmB//folA//
moaBCDE	thiG//
mobAB	gnd//
modABC	acpH//
modEF	
moeAB	recG//kdsB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	hycD//
mqsRA	nudJ//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	puuE//rfbB//mltA//glpA//ubiX//fdhF//aspA//fbaA//paaG//argK//nanM//
mreBCD	
mreCD	
msrPQ	
mtlADR	glpA//fabB//pncC//
mtn_btuF_yadS	btuR//treA//
murB_birA	pncA//insI-3//
murQP	guaC//hcaD//ilvD//
murQP_yfeW	yjiA//folX//allB//ilvG_2//
mutL_miaA_hfq_hflXKC	dld//xylA//fruK//
mutY_yggX	hinT//
mutY_yggX_mltC	aphA//fucI//
mutY_yggX_mltC_nupG	dgcC//ogt//aroH//
nadA_pnuC	aceA//tktB//
nagBAC_umpH	ssuE//phnI//amiD//
nagK_cobB	serA//trmA//
nanATEK_yhcH	ispA//rihC//asd//ppx//
nanCM	nrdA//purE//
nanCMS	caiA//chbF//
napFDAGHBC	hemL//
napFDAGHBC_ccmABCDEFGH	pgm//gdhA//
narGHJI	dld//
narWV	glpQ//
narXL	
narZYWV	folA//
nemRA	ampC//
nemRA_gloA	hycC//ubiF//
nfrBA	
nhaAR	rsmF//
nikABCDER	paaJ//
nirBDC_cysG	pssA//frlD//atoB//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	dsdA//
nrdAB_yfaE	yigB//
nrdDG	truA//nrdF//
nrdHIEF	rsuA//
nrdR_ribDE_nusB_thiL_pgpA	hemD//pabC//fabI//yeiR//
nrfABCDEFG	gstA//
nsrR_rnr_rlmB_yjfI	lplA//yihX//
nudB_yebC_ruvC	dacD//hchA//
nudC_hemE_nfi	chbG//fabD//
nudF_yqiB_cpdA_yqiA_parE	garR//pbpC//
nuoABCEFGHIJKLMN	aspA//
nuoMN	hemF//
ompR_envZ	
opgGH	
oppABCDF	frlD//kdgK//
osmF_yehYXW	clsB//
otsBA	dmsC//rfaE//
paaABCDEFGHIJK	rlmH//rihA//aroD//upp//clsC//mrcA//kduD//
paaXY	argA//
pabB_nudL	alr//ppa//
pabC_mltG_tmk_holB_ycfH	hcaE//idi//fcl//
panBC	ravA//asnS//
panE_yajL	argE//
paoABCD	rsmH//
pcnB_folK	proC//cmk//
pdeI_dgcI	
pdhR_aceEF_lpd	menC//allB//murG//putA//nrfB//phnP//
pdxA_rsmA	nanE//roxA//
pdxA_rsmA_apaGH	glmU//ghrA//pyrH//
pdxB_usg_truA_dedA	fes//caiB//
pdxH_tyrS_pdxY	lpxD//dgkA//gss//
pdxJ_acpS	prpE//trpD//
pepQ_yigZ_trkH_hemG	polB//bacA//ribE//
pflDC	
pgaABCD	rhaM//mltF//proC//
pgk_fbaA	narV//tyrA//
pgpC_tadA	phnN//fucI//
pheLA	moaD//
pheMST_ihfA	fabI//
phnCDE_1E_2FGHIJKLMNOP	ldcC//gstB//gcvP//ligA//ampD//sdhC//allC//
phnLMNOP	rpiA//prpE//chbG//mcrA//mpl//
phoA_psiF	lldD//
phoBR	
phoPQ	
pldB_yigL	rsmF//lpxM//
plsX_fabHDG	puuB//rlmJ//yegS//
pntAB	
potABCD	maeA//
potFGHI	allA//
poxB_ltaE_ybjT	melA//gmm//
ppdAB_ygdB_ppdC_recC	selA//
ppdD_hofBC	
ppiB_lpxH	mmuM//mngB//
ppk_ppx	mtgA//fucA//
pqiAB	
preTA	garK//
prfB_lysS	treA//
priC_ybaM	
prlC_rsmJ	sgbE//folK//
prlF_yhaV	dxr//
prmB_aroC_mepA_yfcA_epmC_yfcL	rluE//pyrD//fabD//umuC//
proBA	napB//torC//
proQ_prc	kbl//
proVWX	fucU//
prpBCDE	glpD//entH//gpmM//ygeX//
psd_mscM	
pspABCDE	yghA//
pspBCDE	dmsA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ulaF//pdxY//
pth_ychF	glgA//
ptrA_recBD	puuC//cyoE//
ptsA_fsaB_gldA	kbaZ//malQ//
ptsHI_crr	acpS//paaC//lplA//
purEK	gcvP//pldA//
purHD	cpsG//gloB//
purMN	glgA//mutL//
puuAP	pgpC//ugd//
puuCBE	arnA//mtn//acpT//
puuDRCBE	gmd//lldD//valS//coaE//
pyrF_yciH	rsmF//
pyrG_eno	rsmD//cysG//
pyrLBI	bcsA//
qmcA_ybbJ	
qseBC	
radA_nadR	pdxY//
rapA_rluA	glpC//
ratAB	
ravA_viaA	
rbsDACBKR	paaI//hisA//yjhG//
rclABC	
rclBC	
rcnAB	rnpB//
rcsDB	
rcsF_trmO	ycjG//
rdgB_yggW	eutB//
rdoA_dsbA	sdaB//bioC//
recAX	
recET_ralR_ydaC_xisR_intR	fadJ//ubiD//
relA_mazEF	ulaD//
relBE	entA//
relBE_hokD	rlmI//
renD_emrE	menA//
rfaD_waaFCL	aspC//panE//nudK//pyrB//
rfbACX	phoA//citE//gph//araA//
rfbBDACX	nadR//pykF//dapE//fucU//coaE//yeiR//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	sad//maeB//xylA//yjcS//rhaB//astB//trpC//gltB//dld//
rhaBAD	bioH//yneH//tdh//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	anmK//ribA//dnaE//
ribF_ileS_lspA_fkpB_ispH	hdhA//fadM//btuR//menE//pgpC//
rimK_ybjN	thiI//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	nadE//waaY//rbsD//alaC//purT//gadA//rsmJ//dgoK//ackA//patD//
rlmE_ftsH	yidA//hinT//
rlmL_uup	ddlA//
rluD_yfiH	zwf//malZ//
rluE_nudJ	prmC//talA//
rnc_era	alsK//
rnc_era_recO_pdxJ_acpS	nagZ//ruvC//ribE//mpaA//
rnlAB	narZ//
rnt_lhr	hcaE//
rpe_gph_trpS	rbsD//dgcP//thrA//
rph_pyrE	nanA//trpC//
rpiR_alsBACE	apaH//yciV//
rplJL_rpoBC	ahr//
rplKAJL_rpoBC	queD//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	rnd//
