# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pck//
aas_lplT	metG//
abgABT_ogt	rsmH//appA//menI//
abpAB	
accBC	fes//nadE//
aceBAK	panB//qor//yjhH//
aceEF	yjjX//eno//leuA//
ackA_pta	guaB//aspS//
acpP_fabF	xdhC//
acrAB	cysI//frmA//
acrEF	emtA//
acs_yjcH_actP	mltD//paaC//
ada_alkB	lldD//glpE//
agaS_kbaY_agaBCDI	opgE//
ahpCF	yfaU//
alaA_yfbR	glmU//ssuE//
alaWX	
allDCE	ilvC//rlmC//yrfG//
alsBACE	wzc//lgoD//
amiA_hemF	ubiF//gloC//
ampDE	ampC//
ansA_pncA	dgkA//mmuM//fadD//
apaGH	waaC//
appCBXA	folA//pdeH//
araBAD	fruK//hyi//pldB//
araE_ygeA	tyrB//
araFGH	gabT//
argCBH	lpd//relA//napH//
argT_hisJQMP	waaQ//gloB//
argX_hisR_leuT_proM	
arnBCADTEF	kdgK//cynS//queD//yjeF//tauD//
aroF_tyrA	caiC//fabD//
aroKB_damX_dam_rpe_gph_trpS	hemN//paaC//fkpB//coaE//pgpC//ribF//
aroL_yaiA_aroM	kbl//
arpB_1B_2	
arsRBC	fucA//anmK//
artPIQM	ldtA//
ascFB	alaS//yfcF//
asnC_mioC	
asnC_mioC_mnmG	phoA//
aspA_dcuA	scpA//fbaB//
astCADBE	sucD//purH//metL//fadI//thrA//
atoDAEB	hinT//aldB//preT//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	rhaA//dgoK//pssA//thrB//glpX//opgB//
bamB_der	preA//
basRS	
bcsABZC	araB//aroA//
bcsBZ	patD//mdh//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	chbF//hypF//
bfd_bfr	aldA//
bglGFB	mcrC//rluB//
bglH_yieLK	
bioBFCD	cheB//acpT//phnN//rffC//
brnQ_proY	nrfC//thiL//
btuB_murI	bioH//gmhB//
btuCED	ydfG//hemC//
cadBA	hyaC//bioB//
caiCDE	clsB//metL//
