# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	deoB//
aas_lplT	ruvC//
abgABT_ogt	galM//fabZ//pheT//
abpAB	
accBC	kbaZ//kdsC//
aceBAK	leuS//solA//ybaS//
aceEF	tnaA//ycjG//glk//
ackA_pta	panD//nadA//
acpP_fabF	aes//
acrAB	mcrB//glnS//
acrEF	glgA//
acs_yjcH_actP	fadE//fumC//
ada_alkB	astD//frdA//
agaS_kbaY_agaBCDI	hycC//
ahpCF	yniC//
alaA_yfbR	ldtC//dgcC//
alaWX	
allDCE	tig//sgbE//yieF//
alsBACE	rlmM//mltD//
amiA_hemF	gltB//rnt//
ampDE	ribA//
ansA_pncA	lysU//frlB//hyi//
apaGH	mltD//
appCBXA	rsmC//dnaQ//
araBAD	mazG//glpQ//psd//
araE_ygeA	metA//
araFGH	recR//
argCBH	cadA//fadB//argS//
argT_hisJQMP	trmO//queG//
argX_hisR_leuT_proM	
arnBCADTEF	malS//gadA//tpiA//ybaS//ppx//
aroF_tyrA	gpp//pabC//
aroKB_damX_dam_rpe_gph_trpS	cmk//rlmA//cdd//amn//gshB//nrfA//
aroL_yaiA_aroM	nth//
arpB_1B_2	
arsRBC	mtgA//gpsA//
artPIQM	pfkA//
ascFB	yihX//coaA//
asnC_mioC	
asnC_mioC_mnmG	pyrF//
aspA_dcuA	puuC//yfiH//
astCADBE	waaP//adhP//psd//phnL//pdxK//
atoDAEB	menA//scpC//citF//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	dacC//ftnA//metG//pfkA//hyaC//fabH//
bamB_der	yfdR//
basRS	
bcsABZC	nadB//trpE//
bcsBZ	selA//treF//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	maeA//fucI//
bfd_bfr	yjiA//
bglGFB	ulaG//galT//
bglH_yieLK	
bioBFCD	relA//gor//aroL//aceF//
brnQ_proY	hemH//rlmM//
btuB_murI	rluF//mutS//
btuCED	rihA//kbaY//
cadBA	dgkA//trmA//
caiCDE	clsC//dfp//
caiTABCDE	oxc//speA//hyaB//cysH//dapE//
carAB	ahpF//
casABCDE12	bglB//
casDE12	nrdD//
cbpAM	
cbrBC	
ccmABCDEFGH	xylB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	rph//cdsA//ispD//
chiP_ybfN	metC//
chpSB	fabZ//
citCDEFXG	pykF//alkA//waaS//
clpPX	tyrB//argC//sgbE//ilvN//
clpX_lon	rimK//pdeR//entB//
clsA_yciU	gltX//
cmk_rpsA	paaY//
cmoM_mukFEB	
cmtBA_yggPFDC	lpoA//dcd//
coaE_zapD_yacG	bglB//
cobUST	rihB//gcvT//rbsD//
codBA	narZ//dapB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	galT//
csgBAC	
csgDEFG	ilvI//
csiD_lhgO_gabDTP	preT//ruvC//ydiB//hemH//
cusCFBA	rpiB//
cusRS	
cvpA_purF_ubiX	fau//nadR//
cydAB	dapB//
cydDC	aspA//
cydX_ybgE	malS//
cynTS	proS//kdgK//
cynTSX	preA//argK//uxaC//
cyoABCDE	mpaA//rhaB//
cysDNC	yigB//paoB//
cysJIH	cpsG//kefF//glxK//
cysPUWAM	nudG//rluD//fadH//
dadAX	nagA//sseA//
damX_dam_rpe_gph_trpS	torZ//ftsI//citC//adeD//
dam_rpe_gph_trpS	lipA//argD//ynfH//argE//
dapA_bamC	gstB//
dapE_ypfN	pdeF//
dcm_vsr	emtA//
dcuB_fumB	ribF//yfdE//
dcuSR	
dcyD_tcyLN	pbpC//glgB//
ddpXABCDF	folX//
def_fmt	nadR//tdk//
degQS	miaB//trmO//
deoABD	asnS//dosC//bioF//
deoBD	ynfH//nrdE//
deoCABD	trmL//paaB//ybbO//tktB//
dgoRKADT	mhpB//fabI//ydfG//ddlA//
dhaKLM	nth//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	relA//galE//
dinJ_yafQ	dusA//
dksA_gluQ	idnO//
dmsABC	asnA//
dnaAN_recF	cobS//
dnaK_tpke11_dnaJ	udp//
dnaN_recF	psuK//
dnaTC	
dnaTC_yjjA	
dosCP	yciV//frlB//
dpiBA	
dppABCDF	yihU//
dsbC_recJ_prfB	btuR//hycD//
dsbD_yjdC	
dsdXA	ybdL//gpp//
dusB_fis	bglX//
dut_slmA	aceA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	ubiI//gluQ//
efeOB	apt//
efeU_1U_2	
elbB_mtgA	glmS//
elfDCG_ycbUVF	
emrKY	ubiE//
entCEBAH	rsmI//coaA//galE//glgC//acpS//mutH//
envY_ompT	mnmA//
epd_pgk	sdhA//nudC//
epd_pgk_fbaA	metL//glnA//fabG//
essD_rrrD_rzpD	glpD//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	glcE//
eutHA	
eutNEJG	
eutSPQTDM	atoB//
evgAS	
exbBD	
fabDG_acpP	yfbR//napG//
fabG_acpP	ybaS//
fabHDG	ushA//pncC//csdA//
fabR_yijD	
fadBA	pykA//rlmL//
fadD_sroD	hchA//
fadIJ	nth//menC//
fdnGHI	
fdoGHI_fdhE	pdeF//
fdrA_ylbEF_ybcF	hycD//
fecABCDE	mmuM//ydiO//
fecIR	
feoABC	ftsI//
fepA_entD	rph//mltD//thyA//
fepDGC	pyrG//
fes_ybdZ_entF_fepE	mnmG//hycG//rluE//
fetAB	
fhuACDB	dapA//sdaB//
ficA_fic_pabA	uidA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	hisS//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	cysI//yicI//
folC_dedD	murI//
folD_ybcJ	waaY//
folE_yeiB	yiaK//
folP_glmM	cysH//idnD//
folX_yfcH	glpE//
frdABCD	plsC//
frlABCDR	speF//rffC//fabB//gmd//
frmRAB	hisD//ynjE//
fruBKA	ravA//puuA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	tesB//rihC//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	betB//idnD//gudD//asnB//allD//glpK//eptA//puuD//pabA//argD//
ftsQAZ	
ftsYEX	
fucAO	mcrB//yjhG//
fucPIKUR	mngB//entF//sgbH//folK//
fumAC	phnL//hyaB//
fusA_tufA	
gabDTP	ugpQ//adeD//cpdB//
gadAX	rpiA//
gadBC	rsmE//ackA//
gadEF	
gadEF_mdtEF	fadH//
gadXW	
galET	argG//gor//
galETK	pykA//pfkB//trmD//
galETKM	fadK//nadA//srlD//pepD//
gapA_yeaD	mltA//
gapC_1C_2	
garPLRK_rnpB	agp//nrfA//cysM//ydiO//purU//pdeH//
gatYZABCD	sad//epmB//leuS//
gatZABCD	pgpB//ampD//gloA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	serB//iaaA//speE//cof//glpK//
gcvTHP	frdD//rsmC//ubiA//
gfcBCD	
gfcE_etp_etk	lacA//lpxD//
ghoST	glcF//
glcBA	agp//yfeW//
glcDEFGBA	dmsB//clsC//selD//
glf_wbbH	napC//
glgAP	trmH//leuC//
glgBXCAP	ahpC//wecB//mobA//paoC//pdeR//
glgCAP	clsC//recO//hisH//
glmUS	slyD//opgB//
glnALG	can//
glnHPQ	ydiO//
glnK_amtB	rsmD//
glnLG	
glnW_metU_glnVX	
glpABC	ygaP//
glpEGR	yfdR//trmL//
glpFKX	deoB//ispF//dfp//
glpGR	pyrH//
glpTQ	frdA//cobU//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	purK//
glvCBG_ysdC	
glyQS	adeD//
glyVXY	
glyW_cysT_leuZ	
gntKU	fau//cmk//
gntRKU	idi//dkgA//
gntX_nfuA	
gpmM_envC_yibQ	clsC//polA//
groSL	
gspAB	
gspCDEFGHIJKLMO	tig//
guaBA	trpC//phnH//
gudPXD	sseA//gdhA//
hcaEFCBD	caiC//abgA//
hcp_hcr	yeiG//rbsD//
hdeAB_yhiD	
hemA_prfA_prmC	kbl//arnA//
hemCDXY	hcaE//menI//
hflD_purB	narG//
