# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yagE//
aas_lplT	ulaE//
abgABT_ogt	gor//tmk//luxS//
abpAB	
accBC	uvrC//ydiB//
aceBAK	dacC//yagE//rne//
aceEF	mhpE//ruvB//cdh//
ackA_pta	thrB//prpB//
acpP_fabF	coaE//
acrAB	pgk//accA//
acrEF	maeB//
acs_yjcH_actP	nrfB//aceB//
ada_alkB	xylB//uxuA//
agaS_kbaY_agaBCDI	sdhA//
ahpCF	cmk//
alaA_yfbR	feaB//umpG//
alaWX	
allDCE	treC//cdd//alkB//
alsBACE	ubiC//speB//
amiA_hemF	gnd//nrdB//
ampDE	patD//
ansA_pncA	murA//aceA//tdcE//
apaGH	fau//
appCBXA	frdD//curA//
araBAD	nrfC//agp//wbbI//
araE_ygeA	aslA//
araFGH	adk//
argCBH	gabT//pgpB//lsrG//
argT_hisJQMP	yfiC//paaH//
argX_hisR_leuT_proM	
arnBCADTEF	tilS//der//wzc//ppx//nrdE//
aroF_tyrA	hisS//gstB//
aroKB_damX_dam_rpe_gph_trpS	ung//yghU//waaH//fadM//plsB//menI//
aroL_yaiA_aroM	gstA//
arpB_1B_2	
arsRBC	hyaA//truB//
artPIQM	add//
ascFB	nrfD//trmI//
asnC_mioC	
asnC_mioC_mnmG	pgpB//
aspA_dcuA	cpsB//truA//
astCADBE	gldA//ldcA//puuD//gldA//nrfB//
atoDAEB	bfr//fadE//puuE//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	bioA//ribB//truB//psuK//pheT//gcd//
bamB_der	rffM//
basRS	
bcsABZC	puuE//yfaU//
bcsBZ	pgaC//rsmJ//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	cyoE//moeB//
bfd_bfr	rsmA//
bglGFB	glyQ//nfsA//
bglH_yieLK	
bioBFCD	purK//dusA//proB//insI-3//
brnQ_proY	cobC//nagZ//
btuB_murI	pheS//murC//
btuCED	tnaA//lysA//
cadBA	dxr//folC//
caiCDE	insI-1//cysE//
caiTABCDE	gabD//ndh//thiM//psuK//lsrG//
carAB	hemG//
casABCDE12	hemN//
casDE12	leuC//
cbpAM	
cbrBC	
ccmABCDEFGH	queD//
cecR_ybhGFSR	
chaBC	
chbBCARFG	scpB//glf//gmhB//
chiP_ybfN	nrdF//
chpSB	speC//
citCDEFXG	dgt//rhaA//frdC//
clpPX	menE//fadA//hyi//gatD//
clpX_lon	rsmC//nudJ//galM//
clsA_yciU	mutM//
cmk_rpsA	uxaB//
cmoM_mukFEB	
cmtBA_yggPFDC	uvrC//gpsA//
coaE_zapD_yacG	yicI//
cobUST	adhE//gloC//gloC//
codBA	yiaK//glf//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	rlmM//
csgBAC	
csgDEFG	azoR//
csiD_lhgO_gabDTP	yfdR//serB//ybiV//argS//
cusCFBA	aceA//
cusRS	
cvpA_purF_ubiX	gmhB//fbp//
cydAB	rluC//
cydDC	nfi//
cydX_ybgE	yfeW//
cynTS	rutA//katG//
cynTSX	gss//lpxP//wcaJ//
cyoABCDE	galT//rlmF//
cysDNC	folP//folB//
cysJIH	deoD//hyaA//leuD//
cysPUWAM	rlmD//tsaE//hemE//
dadAX	patZ//xylA//
damX_dam_rpe_gph_trpS	alaA//alr//recJ//poxB//
dam_rpe_gph_trpS	sdaB//yicI//eno//rlmM//
dapA_bamC	aroB//
dapE_ypfN	pyrE//
dcm_vsr	nadE//
dcuB_fumB	lpxT//nagB//
dcuSR	
dcyD_tcyLN	frdA//mpl//
ddpXABCDF	ftsI//
def_fmt	uvrA//aceE//
degQS	pyrC//yigB//
deoABD	poxB//glpB//panC//
deoBD	cadA//sdhC//
deoCABD	purF//ubiH//dusA//kdsB//
dgoRKADT	mltF//sodC//dmsB//hyi//
