# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	gadB//
aas_lplT	mutH//
abgABT_ogt	betB//frdC//entB//
abpAB	
accBC	gshA//rnt//
aceBAK	purL//aroB//paaE//
aceEF	trmO//queG//araB//
ackA_pta	rsuA//bioA//
acpP_fabF	glpB//
acrAB	abgB//lsrK//
acrEF	ldtC//
acs_yjcH_actP	rfbB//chbF//
ada_alkB	tyrS//queG//
agaS_kbaY_agaBCDI	fumC//
ahpCF	upp//
alaA_yfbR	gor//nadE//
alaWX	
allDCE	surA//gabT//fumC//
alsBACE	tsaB//murQ//
amiA_hemF	arnA//rlmA//
ampDE	ahpC//
ansA_pncA	mrdA//cpsG//gatY//
apaGH	yfdE//
appCBXA	phnH//menD//
araBAD	mog//ispH//recJ//
araE_ygeA	yagE//
araFGH	hcp//
argCBH	mtlD//dcm//fbp//
argT_hisJQMP	cobC//mgsA//
argX_hisR_leuT_proM	
arnBCADTEF	wrbA//argH//hycF//tesA//rsmG//
aroF_tyrA	pnp//wrbA//
aroKB_damX_dam_rpe_gph_trpS	tgt//sodA//galU//rsmC//ampH//nrdF//
aroL_yaiA_aroM	fabH//
arpB_1B_2	
arsRBC	selB//rlmC//
artPIQM	rdoA//
ascFB	fkpA//paaE//
asnC_mioC	
asnC_mioC_mnmG	cobB//
aspA_dcuA	rdoA//pgpC//
astCADBE	gcl//nudE//talA//ilvM//talB//
atoDAEB	alkB//ndk//puuB//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	waaS//nudC//argC//pck//ddlB//lacZ//
bamB_der	nadC//
basRS	
bcsABZC	ispG//dapD//
bcsBZ	ispE//rffM//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	fbaB//accD//
bfd_bfr	allD//
bglGFB	metE//dgkA//
bglH_yieLK	
bioBFCD	gmd//gss//acpT//alsE//
brnQ_proY	polB//gltX//
btuB_murI	purA//argD//
btuCED	accC//ybiV//
cadBA	pyrH//mutY//
caiCDE	def//dhaL//
caiTABCDE	argE//gloA//purD//rpiB//agp//
carAB	mltA//
casABCDE12	pgl//
casDE12	qor//
cbpAM	
cbrBC	
ccmABCDEFGH	fadJ//
cecR_ybhGFSR	
chaBC	
chbBCARFG	rnd//ddlB//rhaM//
chiP_ybfN	alkB//
chpSB	eutD//
citCDEFXG	astD//talB//scpC//
clpPX	glgC//eptA//idnO//gluQ//
clpX_lon	hemN//rsmH//garL//
clsA_yciU	fsaB//
cmk_rpsA	paaC//
cmoM_mukFEB	
cmtBA_yggPFDC	kbaZ//mltF//
coaE_zapD_yacG	fucI//
cobUST	nudJ//bioC//ttdA//
codBA	menI//murD//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
