#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b0954//
C0299	b0789//
C0362	b4429//
C0465	b3496//
C0614	b3965//
C0664	b2629//
C0719	b4243//
IS128	b4402//
aaeR	b2670//
aaeXAB	b2933//b1647//b4016//
aas-lplT	b0351//rirA//
aat	b1287//
abgABT-ogt	b2874//b0450//b0444//b0870//
abgR	b4704//
abpAB	b0864//b0515//
abrB	b0077//
accA	b2157//
accBC	b2106//b3878//
accD	b3033//
aceBAK	b1098//b3630//b1667//
aceEF	b0393//b4452//
aceK	b0920//
ackA	b2494//
ackA-pta	b2282//b0284//
acnA	b4075//
acnB	b3027//
acpH	b2130//
acpP	b3287//
acpP-fabF	b1100//b2378//
acpT	b4457//
acrAB	b0070//b2026//
acrB	b4421//
acrD	b1730//
acrEF	b2628//b2480//
acrR	b2781//
acrZ	b0340//
acs-yjcH-actP	b3381//b2217//b1231//
actP	b4262//
ada-alkB	b0531//b1668//
add	b3708//
adeD	b0052//
adeP	b1154//
adeQ	b0751//
adhE	b2986//
adhP	b1268//
adiA	b1061//
adiC	b0557//
adiY	b2179//
adk	b4006//
aegA	b4299//
aer	b3525//
aes	b4625//
agaR	b2470//
agaS-kbaY-agaBCDI	b0267//b2842//b2363//b0773//b3839//b3872//
agp	b3375//
agrA	b3497//
agrB	b0729//
ahpCF	yjhE//b1909//
ahpF	b3880//
ahr	b2053//
aidB	yedS_2//
ais	b2541//
alaA	b0472//
alaA-yfbR	b3143//b1599//
alaC	b3323//
alaE	b3426//
alaS	b4424//
alaWX	b1200//b3013//
aldA	b1039//
aldB	b1872//
alkA	b1244//
alkB	b1374//
allA	b0794//
allDCE	b3384//b2845//b3961//
allR	b2748//
allS	C0299//
alpA	b2260//
alr	b0833//
alsBACE	b2960//b3143//b1910//b1780//
alsK	b2717//
alx	b4256//
amiA-hemF	b2255//b1976//
amiC	b0545//
amn	b1950//
ampC	b3129//
ampDE	b2997//qseG//
ampG	b3561//
ampH	b0844//
amyA	b0860//
anmK	b1328//
ansA-pncA	b0477//b0160//
ansB	b1204//
ansP	b3072//
apaGH	b0181//b1776//
aphA	b0354//
appA	b0547//
appCBXA	b3512//b2783//b0940//b3339//
appY	b3259//
apt	b2567//
aqpZ	b2265//
araBAD	b4167//b1559//b2795//
araC	b3050//
araE	b2727//
araE-ygeA	b0712//b3955//
araFGH	b3541//b1801//b2403//
araJ	b3308//
arcA	b2349//
arcB	b2285//
arcZ	b4287//
arfA	b3603//
argA	b4107//
argCBH	b1279//b4577//b4400//
argD	b0660//
argE	b2761//
argF	b0072//
argG	b3714//
argI	b1096//
argO	b1313//
argP	b4164//
argQ	b4439//
argR	b4547//
argS	b3038//
argT-hisJQMP	b0836//b1860//b3472//b2650//b0491//
argU	b4227//
argW	b2497//
argX-hisR-leuT-proM	b2828//b3291//b2927//b0985//
ariR	b1479//
arnBCADTEF	b4008//b1707//b3649//b2370//b2331//b0996//b0057//
aroF-tyrA	b3786//b2128//
aroG	b0255//
aroH	b3345//
aroKB-damX-dam-rpe-gph-trpS	b0980//insAB-6//b2826//b4518//b3572//b4320//b4201//
aroL-yaiA-aroM	b2345//b4198//b4509//
aroP	b3302//
arpA	b1948//
arpB_1B_2	tpke11//b3750//
arrS	b2342//
arsRBC	b1250//b3079//b2753//
artJ	b3298//
artPIQM	b1948//b0990//b0116//b0877//
ascB	b4542//
ascFB	b4009//b2000//
ascG	b0124//
asd	b1077//
aslA	b3414//
aslB	b3620//
asmA	b3027//
asnA	b0668//
asnB	b2437//
asnC	b3299//
asnC-mioC	b4515//b2692//
asnC-mioC-mnmG	b3258//b1698//b2022//
asnS	b1656//
asnT	b0980//
asnU	b2557//
asnV	b4139//
asnW	b4522//
aspA	b2290//
aspA-dcuA	b0319//b4279//
aspC	b1275//
aspS	b4577//
aspT	b0759//
aspU	b1764//
aspV	b2603//
asr	b1548//
astCADBE	b3147//b1744//b4233//b1234//b0002//
atl	b4216//
atoDAEB	b0999//b3733//b1226//b0209//
atoSC	sroG//b1755//
atpBEFHAGDC	b2791//b0704//b1152//b1199//b3676//b1046//b1777//b3639//
atpIBEFHAGDC	b0268//b4378//b1215//b2076//b1004//b0208//b2278//ysdC//b0968//
avtA	b0252//
azoR	b3753//
azuC	b1556//
bacA	b4181//
baeSR	b1546//b3077//
bamA	b1845//
