#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b2360//
C0299	b1735//
C0362	b4158//
C0465	b2894//
C0614	b2379//
C0664	b2155//
C0719	b0396//
IS128	b4059//
aaeR	b3699//
aaeXAB	b2749//b2417//b3465//
aas-lplT	b0404//b0478//
aat	b3621//
abgABT-ogt	C0719//b0969//b2331//b3724//
abgR	b4041//
abpAB	b2593//b3371//
abrB	b3677//
accA	b3351//
accBC	b3180//b0754//
accD	ybeM_2//
aceBAK	b4070//b2230//b3526//
aceEF	b4713//b3552//
aceK	b4523//
ackA	b0364//
ackA-pta	b4045//b2494//
acnA	b2361//
acnB	b3342//
acpH	b0476//
acpP	b0747//
acpP-fabF	b2053//b1281//
acpT	b0007//
acrAB	b1320//b2695//
acrB	b0417//
acrD	b2559//
acrEF	b2550//b1110//
acrR	b2811//
acrZ	b2747//
acs-yjcH-actP	prfH//b3654//b0210//
actP	b4279//
ada-alkB	b0946//b4450//
add	b2354//
adeD	b0708//
adeP	b3999//
adeQ	b2726//
adhE	b4551//
adhP	b3297//
adiA	b1742//
adiC	b0839//
adiY	b3066//
adk	b1531//
aegA	b1050//
aer	b3574//
aes	b4559//
agaR	b3334//
agaS-kbaY-agaBCDI	b3417//b2953//b1247//b4511//b2054//b2019//
agp	b2034//
agrA	b0414//
agrB	b2700//
ahpCF	b2917//b3291//
ahpF	b2575//
ahr	b1328//
aidB	b1807//
ais	b3434//
alaA	b1696//
alaA-yfbR	b1871//b0532//
alaC	b1986//
alaE	b4012//
alaS	b2573//
alaWX	b1238//b0360//
aldA	b0459//
aldB	b0698//
alkA	b4301//
alkB	b1815//
allA	b0698//
allDCE	b0724//b1330//b1338//
allR	b2441//
allS	b1992//
alpA	b3635//
alr	b2961//
alsBACE	b4113//b2190//b4308//b0830//
alsK	b0992//
alx	b3157//
amiA-hemF	b3734//b3675//
amiC	b2535//
amn	b0624//
ampC	b4383//
ampDE	b0130//b2581//
ampG	b2221//
ampH	b1583//
amyA	b0391//
anmK	b0679//
ansA-pncA	b0496//b3881//
ansB	b0673//
ansP	b0212//
apaGH	b1528//b2602//
aphA	b3238//
appA	b3280//
appCBXA	C0664//b0147//b3126//b4189//
appY	b3120//
apt	b0303//
aqpZ	b1644//
araBAD	b3141//b1389//b4006//
araC	b1932//
araE	b2017//
araE-ygeA	b3340//b3877//
araFGH	b1385//b2258//b0028//
araJ	b1133//
arcA	b1763//
arcB	b3966//
arcZ	b1293//
arfA	b2496//
argA	b2014//
argCBH	b1483//b2677//b0807//
argD	b3170//
argE	b1861//
argF	b3824//
argG	b4453//
argI	b1716//
argO	b2257//
argP	b2121//
argQ	b3398//
argR	b1885//
argS	b1147//
argT-hisJQMP	b4398//b3884//b2824//b4457//b1216//
argU	b2679//
argW	b3969//
argX-hisR-leuT-proM	b4315//ilvG_1//b0755//b0457//
ariR	b2143//
arnBCADTEF	b3587//b4315//b4038//b1495//b0293//b2379//b2305//
aroF-tyrA	b0743//b0169//
aroG	b2340//
aroH	b3200//
aroKB-damX-dam-rpe-gph-trpS	b2731//b3167//b2017//b1380//b4032//b2389//b1501//
aroL-yaiA-aroM	b1430//b2267//b0068//
aroP	b4577//
arpA	b2413//
arpB_1B_2	b3433//b3672//
arrS	b3182//
arsRBC	b1077//b1235//b3087//
artJ	b1594//
artPIQM	b2954//b3989//b2736//b3514//
ascB	b0483//
ascFB	b4611//b1959//
ascG	b2981//
asd	b4624//
aslA	b2273//
aslB	b2225//
asmA	b1696//
asnA	b3957//
asnB	b3144//
asnC	b0974//
asnC-mioC	b0696//b0110//
asnC-mioC-mnmG	b1612//b3221//b2208//
asnS	b2359//
asnT	b2307//
asnU	b2578//
asnV	b1348//
asnW	b4323//
aspA	b3399//
aspA-dcuA	b0148//b4206//
aspC	b0842//
aspS	b3299//
aspT	b0792//
aspU	b3021//
aspV	b3953//
asr	b2813//
astCADBE	b2272//b4154//b3295//b3688//b0674//
atl	b3475//
atoDAEB	b2753//b0778//b4698//b0440//
atoSC	b3386//b1410//
atpBEFHAGDC	b1751//b0307//b1518//b1828//b0222//b0814//b3371//b3465//
atpIBEFHAGDC	b1599//b1782//b3769//b2820//b3859//b4341//b1158//b2141//b4401//
avtA	b2983//
azoR	b3395//
azuC	b0034//
bacA	b0021//
baeSR	b4662//b3699//
bamA	b2792//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	yifN//b3703//b1263//b1458//b4443//b2878//b3307//b3508//
bamB-der	b0050//b2975//
bamC	b0840//
bamD	b2362//
bamE	b4232//
barA	b2453//
basRS	b0196//b2330//
bax	b2066//
bcp	b4323//
bcr	b1545//
bcsABZC	b0062//b2584//b0728//b4224//
bcsBZ	b0782//b0199//
bcsEFG	b1753//b3749//b4687//
bcsQ	b0363//
bdcA	b2289//
bdcR	b2039//
bdm-sra	b1992//b2754//
bepA-yfgD	b4246//b3982//
betIBA	b2610//b0849//b0643//
betT	b4090//
bfd-bfr	b4348//b4053//
bglA	b1300//
bglG	b4705//
bglGFB	b1705//b4140//b1858//
bglH-yieLK	b3570//b0870//b4093//
bglX	b4529//
bhsA	b1285//
bioA	b2864//
bioBFCD	b1606//b2020//b2336//b3221//
bioH	b1634//
bipA	b1841//
bisC	b2213//
blc	b3730//
blr	b2428//
bluF	b1352//
bluR	b1189//
bolA	b3244//
borD	b3686//
brnQ-proY	b2229//b2377//
bsmA	b3776//
bssR	b3959//
bssS	b0072//
btuB-murI	b0293//b0097//
btuCED	b2464//b3071//b3483//
cadA	b4441//
cadBA	b0898//b4114//
cadC	b2171//
caiCDE	b3092//b3974//b3073//
caiF	b1678//
caiTABCDE	b3681//b3634//b4050//b1802//b3626//b4180//
can	b0718//
carAB	b3638//b4193//
carB	b3567//
cas2	b3249//
cas3	b3689//
casABCDE12	b2758//b0825//b1482//b0268//b2328//b4111//b0446//
casDE12	b4364//b0127//b4427//b0817//
cbl	b3221//
cbpAM	b1228//b4455//
cbrA	b4202//
cbrB	b1461//
cbrBC	b3804//b2960//
cbrC	b2685//
ccmABCDEFGH	b3689//b0585//b2916//b4101//yhiK//b1124//b2561//b2915//
cdaR	b0739//
cdd	b0226//
cdgI	b2520//
cdh	b2540//
cdsA	b1662//
cecR-ybhGFSR	b1938//b1798//b1260//b1940//b0384//
cedA	b4669//
cfa	b2632//
chaA	b0097//
chaBC	b4598//b2681//
chaC	b1825//
chbBCARFG	b1864//b3113//b4320//b0517//b1273//b2602//
chiA	b0188//
chiP-ybfN	b1660//b1755//
chiX	b3455//
cho	b0311//
chpSB	b1995//b1188//
cirA	b1856//
citCDEFXG	yedN_2//b2961//b3335//b2629//b0710//b1527//
citT	b2788//
clcA	b1356//
clcB	b2677//
clpA	b0156//
clpB	b4273//
clpPX	b3306//b2793//
clpS	b3890//
clpX-lon	b0833//b2054//
clsA-yciU	b1694//b1293//
clsC	yedN_2//
cmk-rpsA	b2262//b1776//
cmoM-mukFEB	b3996//b4317//b4220//b3585//
cmtBA-yggPFDC	b2510//b4481//b2186//b1402//b2889//b2776//
cnu	b3486//
coaA	b4516//
coaE-zapD-yacG	b1537//b2848//b0782//
cobUST	b3611//b2325//b4420//
codBA	b3571//b0485//
cof	b2007//
comR	b2803//
copA	b4286//
corA	b2813//
cpdB	b0280//
cpxPQ	b4076//b3388//
cpxRA	b1693//b2894//
cra	b3639//
crcB	b3523//
creABC	b2263//b3058//b0148//
creABCD	b3513//b0708//b2700//b2029//
creD	b2633//
crfC-yjcZ	b4196//b2600//
crl	yedS_1//
crp	b2745//
crr	b4362//
csdAE	b1547//b4313//
csgBAC	b2064//b0122//b2184//
csgC	b3555//
csgDEFG	b3839//b4203//b4202//b1418//
csiD-lhgO-gabDTP	b2839//b1159//b1541//b4252//b1129//
csiE	b0233//
csiR	b2315//
cspA	b2289//
cspB	b2150//
cspD	b3463//
cspE	b1483//
cspF	b2106//
cspG	b3347//
cspH	b2752//
cspI	b1151//
csrA	b1475//
csrB	b2293//
csrC	b2557//
csrD	b3748//
cstA	b1445//
cueO	b0026//
cueR	b1467//
curA	b0516//
cusCFBA	b1687//b0065//b1537//b0595//
cusRS	b2151//b1500//
cutA	b1540//
cvpA-purF-ubiX	b4383//b3645//b2707//
cvrA	b1020//
cyaA	b1390//
cyaR	b0874//
cyaY	b0207//
cybB	b4183//
cybC	b2563//
cycA	b2418//
cydAB	b0139//b3349//
cydDC	b3120//b2128//
cydX-ybgE	b3259//b4018//
cynR	b2133//
cynTS	b0771//b3554//
cynTSX	b2407//b2248//b4052//
cyoABCDE	b4458//b4446//b1061//b0179//b1278//
cysB	b3909//
cysDNC	b0537//b4101//b3389//
cysE	b2964//
cysG	b2835//
cysH	b0591//
cysJIH	b2276//b4108//b4528//
cysK	b2756//
cysPUWAM	b1046//b2686//b2717//b4270//b2316//
cysQ	b3456//
cysS	b0615//
cysZ	b3691//
cytR	b0490//
dacA	b4618//
dacB	b2564//
dacC	b4075//
dacD	b3976//
dadAX	b3819//b0049//
dam-rpe-gph-trpS	b2296//b0090//b0859//b4611//
damX-dam-rpe-gph-trpS	b1369//b0474//b2092//b2077//b2965//
dapA-bamC	b2776//b2451//
dapB	b4169//
dapD	b2094//
dapE-ypfN	b3213//b2893//
dauA	b3026//
dcd	b0155//
dcm-vsr	b2518//b1895//
dcp	b2618//
dcrB	b2193//
dctA	b1018//
dcuA	b4262//
dcuB-fumB	b2019//b0523//
dcuC	b1291//
dcuD	b0107//
dcuR	b1709//
dcuSR	b0794//b2382//
dcyD-tcyLN	b4088//b4712//b3266//
ddlA	b1713//
ddpXABCDF	b1394//b0738//b4285//b1453//yjiV//b0228//
deaD	b1347//
decR	b2890//
def-fmt	b0380//b0828//
degP	b1261//
degQ	b1279//
degQS	b3567//b0145//
degS	b0629//
deoABD	b3116//b1599//b0084//
deoBD	b2408//b1265//
deoCABD	b3003//b2912//b1166//insB-7_2//
deoR	b4284//
dfp	b0508//
dgcC	b3941//
dgcE	b1823//
dgcF	b3422//
dgcJ	b0137//
dgcM	b1468//
dgcP	b4237//
dgcQ	b3738//
dgcT	b3454//
dgcZ	b2745//
dgkA	b3281//
dgoRKADT	b2907//b3058//b3702//b0140//b2309//
dgt	b3440//
dhaKLM	b0400//b2789//b2040//
dhaM	b0366//
dhaR	b2842//
diaA	b4040//
dicA	b3555//
dicB-ydfDE-insD-intQ	b2532//yncK_2//b2822//b3656//b2145//
dicC-ydfXW	b3310//b0756//b2709//
dicF	b1893//
dinB-yafNOP	b2188//b0514//b2916//b2662//
dinD	b2109//
dinG	b2034//
dinI	b0108//
dinJ-yafQ	b2820//b3740//
dinQ	b2187//
djlA	b3382//
dkgA	b3188//
dkgB	b2357//
dksA-gluQ	b4010//b1887//
