#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	cpxQ//
C0299	b3385//
C0362	b2015//
C0465	b2167//
C0614	b2902//
C0664	b2870//
C0719	b0542//
IS128	b3820//
aaeR	b1754//
aaeXAB	b1215//b2929//yedN_2//
aas-lplT	b4714//b1420//
aat	b3349//
abgABT-ogt	b3958//b4372//b3963//b3024//
abgR	b2342//
abpAB	b2042//b3984//
abrB	b2359//
accA	b1478//
accBC	molR_1//b1289//
accD	b0637//
aceBAK	b0147//b1496//b3549//
aceEF	b3769//b1988//
aceK	b1781//
ackA	arpB_2//
ackA-pta	b0481//b1626//
acnA	b2677//
acnB	b1915//
acpH	b2034//
acpP	b0815//
acpP-fabF	b3466//b0688//
acpT	b0767//
acrAB	b4328//b4465//
acrB	b0091//
acrD	b1675//
acrEF	b4222//b0544//
acrR	b0470//
acrZ	b4159//
acs-yjcH-actP	b3120//b3395//b4397//
actP	b3640//
ada-alkB	b2037//b2179//
add	b0564//
adeD	b3191//
adeP	b3518//
adeQ	b2168//
adhE	b1291//
adhP	b4194//
adiA	b3141//
adiC	ymdE//
adiY	b0242//
adk	b1476//
aegA	b1585//
aer	b1274//
aes	b3180//
agaR	b0036//
agaS-kbaY-agaBCDI	b2200//b4222//b4698//b1204//b1723//b2850//
agp	b3409//
agrA	b1791//
agrB	b1913//
ahpCF	b1047//b1555//
ahpF	b4284//
ahr	b4322//
aidB	b3573//
ais	b4183//
alaA	b0373//
alaA-yfbR	b1623//b3527//
alaC	b4161//
alaE	b2266//
alaS	b3356//
alaWX	b2036//b1289//
aldA	b3870//
aldB	b2092//
alkA	b0062//
alkB	b3473//
allA	b0066//
allDCE	b1845//b1315//b0417//
allR	b3723//
allS	b0656//
alpA	b1132//
alr	b3497//
alsBACE	b2975//b3160//b3280//b0090//
alsK	b1896//
alx	b3404//
amiA-hemF	b0226//b4553//
amiC	b0967//
amn	b2697//
ampC	b4414//
ampDE	b2258//b4058//
ampG	b1378//
ampH	b0653//
amyA	b2138//
anmK	b4163//
ansA-pncA	b1745//b4218//
ansB	b3301//
ansP	b3784//
apaGH	b3545//b1029//
aphA	C0719//
appA	b2258//
appCBXA	b3218//b0812//b2783//b1410//
appY	b3020//
apt	b1586//
aqpZ	b3306//
araBAD	b1597//b2690//b4568//
araC	b2039//
araE	b1865//
araE-ygeA	b0537//b0994//
araFGH	b0844//b1018//b3519//
araJ	b0300//
arcA	b3052//
arcB	b2794//
arcZ	b1519//
arfA	b2502//
argA	b2777//
argCBH	b1576//b0134//b0851//
argD	b1423//
argE	b1443//
argF	yjhW//
argG	b2030//
argI	b2589//
argO	b1865//
argP	b1268//
argQ	b1476//
argR	b1400//
argS	b0030//
argT-hisJQMP	b3092//b3582//b3173//b1531//b1524//
argU	b2018//
argW	b1386//
argX-hisR-leuT-proM	b3401//b3655//b3382//b1381//
ariR	b2231//
arnBCADTEF	b3577//b4550//b1421//lafU//b0672//b3497//b2726//
aroF-tyrA	b1139//b2614//
aroG	b1930//
aroH	b3861//
aroKB-damX-dam-rpe-gph-trpS	b4074//b2120//b1798//b1895//b3944//b0388//b2363//
aroL-yaiA-aroM	b3652//b0423//b1446//
aroP	b3535//
arpA	b4209//
arpB_1B_2	b1942//b0602//
arrS	b3018//
arsRBC	b1983//b0415//b3550//
artJ	b2049//
artPIQM	b3944//b1243//b3209//b4436//
ascB	b3533//
ascFB	b0204//b4006//
ascG	b1797//
asd	b3340//
aslA	b3875//
aslB	b2971//
asmA	b2720//
asnA	b3473//
asnB	b3885//
asnC	b1626//
asnC-mioC	b4312//b3717//
asnC-mioC-mnmG	b3588//b3755//b3467//
asnS	b3203//
asnT	b1615//
asnU	b0359//
