# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ispA//
aas_lplT	dapB//
abgABT_ogt	pyrC//pheA//aroA//
abpAB	
accBC	yigL//rbn//
aceBAK	bioH//torY//purT//
aceEF	araD//aroC//cyaA//
ackA_pta	trmD//ldtA//
acpP_fabF	cynT//
acrAB	eptC//nadR//
acrEF	amiD//
acs_yjcH_actP	csdA//ribB//
ada_alkB	adhE//dinB//
agaS_kbaY_agaBCDI	queF//
ahpCF	waaC//
alaA_yfbR	ynfG//mpaA//
alaWX	
allDCE	astD//hycD//moaA//
alsBACE	cdsA//ulaF//
amiA_hemF	pykF//pgsA//
ampDE	speA//
ansA_pncA	ynfE//ldcA//fbaB//
apaGH	pgsA//
appCBXA	ygeX//hycC//
araBAD	atoB//ascB//gltA//
araE_ygeA	pdeH//
araFGH	pyrB//
argCBH	treF//amiD//ispF//
argT_hisJQMP	pncA//truC//
argX_hisR_leuT_proM	
arnBCADTEF	tsaC//hisG//paaI//fsaA//fabA//
aroF_tyrA	lpxK//dgcC//
aroKB_damX_dam_rpe_gph_trpS	tsaC//phnJ//dgoA//nagB//uxaC//ispU//
aroL_yaiA_aroM	gss//
arpB_1B_2	
arsRBC	ydiF//narZ//
artPIQM	mtlD//
ascFB	ydiB//hcaF//
asnC_mioC	
asnC_mioC_mnmG	xdhB//
aspA_dcuA	hisB//gcl//
astCADBE	waaF//tauD//dkgA//metF//frmB//
atoDAEB	gmhB//dadA//hisC//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	hyuA//thrA//ppiB//mtlD//trpS//pcm//
bamB_der	thiM//
basRS	
bcsABZC	uxaC//epmB//
bcsBZ	mutL//argB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	kefF//lpoB//
bfd_bfr	cmoA//
bglGFB	mobA//fumC//
bglH_yieLK	
bioBFCD	nadD//napH//glgP//nirD//
brnQ_proY	lpcA//mnmE//
btuB_murI	ulaG//yegS//
btuCED	gstA//acnA//
cadBA	fadH//bioA//
caiCDE	thiK//apaH//
caiTABCDE	rdgB//dgoA//garD//yfbT//fes//
carAB	proA//
casABCDE12	abgB//
casDE12	gloC//
cbpAM	
cbrBC	
ccmABCDEFGH	glyS//
cecR_ybhGFSR	
chaBC	
chbBCARFG	cysK//atoD//pdeR//
chiP_ybfN	nhoA//
chpSB	trmA//
citCDEFXG	wbbI//araB//hchA//
clpPX	rutA//cysI//ybaS//lsrG//
clpX_lon	hmp//alaS//mrcA//
clsA_yciU	thiM//
cmk_rpsA	fumC//
cmoM_mukFEB	
cmtBA_yggPFDC	aroB//paoA//
coaE_zapD_yacG	cynS//
cobUST	glyA//ycjG//pdxA//
codBA	nfsB//fabH//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	mutH//
csgBAC	
csgDEFG	yfcG//
csiD_lhgO_gabDTP	accA//lpxD//pdxA//deoB//
cusCFBA	idnO//
cusRS	
cvpA_purF_ubiX	rbsD//nrdB//
cydAB	yqaB//
cydDC	trpC//
cydX_ybgE	nadC//
cynTS	tdcE//cpdA//
cynTSX	nth//coaA//aroE//
cyoABCDE	yniC//citF//
cysDNC	ldtE//yfdE//
cysJIH	truB//rsmD//xapA//
cysPUWAM	ubiF//rsmB//hypF//
dadAX	polA//yihU//
damX_dam_rpe_gph_trpS	truC//trmH//tmcA//nanA//
dam_rpe_gph_trpS	mocA//scpB//dadA//rlmE//
dapA_bamC	yhhW//
dapE_ypfN	frlB//
dcm_vsr	hcaD//
dcuB_fumB	pepD//waaZ//
dcuSR	
dcyD_tcyLN	roxA//pldA//
ddpXABCDF	rfbB//
def_fmt	tesA//truD//
degQS	ilvD//pyrC//
deoABD	fau//cfa//gshA//
deoBD	frdB//mnmA//
deoCABD	csdA//gatY//mltB//argS//
dgoRKADT	purN//yceF//fumA//entF//
dhaKLM	nrfC//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	entH//eptA//
dinJ_yafQ	queC//
dksA_gluQ	yqhD//
dmsABC	pinE//
dnaAN_recF	asd//
dnaK_tpke11_dnaJ	ispF//
dnaN_recF	moeA//
dnaTC	
dnaTC_yjjA	
dosCP	treA//aroF//
dpiBA	
dppABCDF	avtA//
dsbC_recJ_prfB	pabC//ldtD//
dsbD_yjdC	
dsdXA	scpA//pdeF//
dusB_fis	recJ//
dut_slmA	pyrE//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	glyQ//purT//
efeOB	mcrB//
efeU_1U_2	
elbB_mtgA	gloA//
elfDCG_ycbUVF	
emrKY	malY//
entCEBAH	puuB//cyoE//ygeX//appA//kdsB//ppiA//
envY_ompT	rfbB//
epd_pgk	hcaC//ybaS//
epd_pgk_fbaA	glpA//pgk//rsgA//
essD_rrrD_rzpD	ygeX//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	napB//
eutHA	
eutNEJG	
eutSPQTDM	aroC//
evgAS	
exbBD	
fabDG_acpP	scpA//argH//
fabG_acpP	nrfC//
fabHDG	gltX//psuG//mobA//
