# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	nadE//
aas_lplT	argB//
abgABT_ogt	ndk//argF//pheT//
abpAB	
accBC	asnB//ldcA//
aceBAK	ampD//mtgA//cysQ//
aceEF	cdd//rdoA//pyrF//
ackA_pta	accC//hisB//
acpP_fabF	trpE//
acrAB	gltX//wecC//
acrEF	eptC//
acs_yjcH_actP	idi//gpmM//
ada_alkB	glcF//trpD//
agaS_kbaY_agaBCDI	dmlA//
ahpCF	rhaD//
alaA_yfbR	bioD//hycC//
alaWX	
allDCE	pphB//sbcB//ahr//
alsBACE	ftnA//paaZ//
amiA_hemF	ogt//ychF//
ampDE	dgoA//
ansA_pncA	nirD//maeA//gutQ//
apaGH	accB//
appCBXA	idnO//nadA//
araBAD	nrfC//queD//entF//
araE_ygeA	hyuA//
araFGH	uvrC//
argCBH	paaY//bacA//dfp//
argT_hisJQMP	yeaE//gloC//
argX_hisR_leuT_proM	
arnBCADTEF	phnP//tcdA//astE//insI-1//fdhF//
aroF_tyrA	bioF//rlmG//
aroKB_damX_dam_rpe_gph_trpS	waaO//serS//allD//argA//ynfF//ascB//
aroL_yaiA_aroM	speA//
arpB_1B_2	
arsRBC	yniC//ahpF//
artPIQM	ssuE//
ascFB	pagP//gntK//
asnC_mioC	
asnC_mioC_mnmG	slyD//
aspA_dcuA	ligB//galE//
astCADBE	recJ//eutB//yfbT//dapB//sgbH//
atoDAEB	galM//fkpA//bcsB//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	amyA//mpaA//yfiH//rsmG//aceE//serA//
bamB_der	rutB//
basRS	
bcsABZC	glpX//tesB//
bcsBZ	rbsD//nagK//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	deoC//carB//
bfd_bfr	yihU//
bglGFB	acpS//dut//
bglH_yieLK	
bioBFCD	nirD//nrfD//puuC//rffT//
brnQ_proY	gloA//yigL//
btuB_murI	waaZ//hisC//
btuCED	uidA//lysU//
cadBA	tilS//def//
caiCDE	add//surA//
caiTABCDE	tam//pyrC//yceF//sad//gpmA//
carAB	guaB//
casABCDE12	putA//
casDE12	rrrD//
cbpAM	
cbrBC	
ccmABCDEFGH	queF//
cecR_ybhGFSR	
chaBC	
chbBCARFG	metA//rrrD//trpD//
chiP_ybfN	metB//
chpSB	lsrK//
citCDEFXG	yhdJ//cmk//ribA//
clpPX	lldD//yggF//pspE//hemC//
clpX_lon	rnd//ilvH//apaH//
clsA_yciU	pgi//
cmk_rpsA	paaY//
cmoM_mukFEB	
cmtBA_yggPFDC	insI-3//ansA//
coaE_zapD_yacG	rlmM//
cobUST	psuG//codA//mutH//
codBA	ulaD//glyA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	ispF//
csgBAC	
csgDEFG	glpC//
csiD_lhgO_gabDTP	tsaB//eda//gpt//kbl//
cusCFBA	hflX//
cusRS	
cvpA_purF_ubiX	pdeL//yjeF//
cydAB	rffM//
cydDC	murB//
cydX_ybgE	yidA//
cynTS	hinT//tsaD//
cynTSX	caiD//fkpA//alkA//
cyoABCDE	rluC//arnC//
cysDNC	ampC//dnaE//
cysJIH	rhaM//napG//sdhD//
cysPUWAM	yhdJ//nudJ//pdeH//
dadAX	galU//rfbB//
damX_dam_rpe_gph_trpS	mhpD//yceF//thiL//rihA//
dam_rpe_gph_trpS	mutL//cysD//aspS//xdhC//
dapA_bamC	talA//
dapE_ypfN	yggF//
dcm_vsr	cheB//
dcuB_fumB	ilvD//hcaE//
dcuSR	
dcyD_tcyLN	nadR//ubiX//
ddpXABCDF	paaB//
def_fmt	hemA//murA//
degQS	yeiR//accD//
deoABD	trmH//ubiD//murG//
deoBD	pheA//citX//
deoCABD	rfe//nudI//arnA//puuE//
dgoRKADT	gloA//phnI//tdh//ybdL//
dhaKLM	fumB//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	fbp//nrfC//
dinJ_yafQ	pbpC//
dksA_gluQ	pgpB//
dmsABC	puuA//
dnaAN_recF	tdcE//
dnaK_tpke11_dnaJ	entC//
dnaN_recF	ruvA//
dnaTC	
dnaTC_yjjA	
dosCP	gdhA//glcB//
dpiBA	
dppABCDF	lpxL//
dsbC_recJ_prfB	lpd//galK//
dsbD_yjdC	
dsdXA	gatD//tdk//
dusB_fis	napH//
dut_slmA	der//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	fbaA//dcyD//
efeOB	proS//
efeU_1U_2	
elbB_mtgA	dgoD//
elfDCG_ycbUVF	
emrKY	bglX//
entCEBAH	cmoB//feaB//idi//paaZ//gltX//tdk//
envY_ompT	uxaC//
epd_pgk	lsrG//ilvI//
epd_pgk_fbaA	pyrG//metB//rlmM//
essD_rrrD_rzpD	pssA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	nudE//
eutHA	
eutNEJG	
eutSPQTDM	ybdL//
evgAS	
exbBD	
fabDG_acpP	trpA//fadB//
fabG_acpP	nagK//
fabHDG	dmlA//hcaE//leuA//
fabR_yijD	
fadBA	ilvC//dmsA//
fadD_sroD	folC//
fadIJ	astB//glgX//
fdnGHI	
fdoGHI_fdhE	patD//
fdrA_ylbEF_ybcF	alr//
fecABCDE	dapF//hycG//
fecIR	
feoABC	thiM//
fepA_entD	fbaA//pykF//frdA//
fepDGC	gutQ//
fes_ybdZ_entF_fepE	dgoK//frdA//ruvA//
fetAB	
fhuACDB	yhdJ//glmU//
ficA_fic_pabA	sucA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	moaD//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	cysK//yibQ//
folC_dedD	ydiF//
folD_ybcJ	gloB//
folE_yeiB	trmH//
folP_glmM	mepS//lpxH//
folX_yfcH	aroD//
frdABCD	glcF//
frlABCDR	fabB//talB//nhoA//nrdE//
frmRAB	pyrG//treC//
fruBKA	yggF//phr//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	thiG//dmsC//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	cobB//mltA//serA//paaA//thiF//panB//insI-3//metE//hisC//ahpC//
ftsQAZ	
ftsYEX	
fucAO	valS//cysH//
fucPIKUR	patA//speD//hcp//nagZ//
fumAC	rsmA//ppx//
fusA_tufA	
gabDTP	epd//yfcF//ychF//
gadAX	ahpC//
gadBC	nagK//dnaE//
gadEF	
gadEF_mdtEF	ppk//
gadXW	
galET	dapB//speC//
galETK	fabG//nudB//yieF//
galETKM	ybaS//trmI//ampH//speE//
gapA_yeaD	trxB//
gapC_1C_2	
garPLRK_rnpB	araA//rluF//trpC//ampH//amn//pabB//
gatYZABCD	sdhB//ispB//kdsA//
gatZABCD	dgcT//gadB//ghrA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	cadA//pgaB//nrfC//cobT//waaA//
gcvTHP	glcE//pdeF//folB//
gfcBCD	
gfcE_etp_etk	umuD//rutE//
ghoST	cysQ//
glcBA	fabH//queD//
glcDEFGBA	ushA//dacA//hycB//
glf_wbbH	ybjI//
glgAP	fbaB//ulaE//
glgBXCAP	garL//prpB//hdhA//fadK//rffT//
glgCAP	mcrB//rluF//mutY//
glmUS	ahpF//pfkB//
glnALG	paaJ//
glnHPQ	galE//
glnK_amtB	uidA//
glnLG	
glnW_metU_glnVX	
glpABC	glpK//
glpEGR	ilvI//citX//
glpFKX	tilS//lplA//argI//
glpGR	abgB//
glpTQ	adhE//nanK//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	waaU//
glvCBG_ysdC	
glyQS	gcd//
glyVXY	
glyW_cysT_leuZ	
gntKU	suhB//trpS//
gntRKU	bglB//idi//
gntX_nfuA	
gpmM_envC_yibQ	rlmA//idnO//
groSL	
gspAB	
gspCDEFGHIJKLMO	rbn//
guaBA	cobC//rnpB//
gudPXD	tyrA//ybaS//
hcaEFCBD	atoA//trpA//
hcp_hcr	speD//panD//
hdeAB_yhiD	
hemA_prfA_prmC	ghrB//aroE//
hemCDXY	orn//treF//
hflD_purB	carB//
hfq_hflXKC	ldtC//
hicAB	
higBA	bioH//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	hcaE//selD//panE//xdhC//
hipBA	ilvN//
hisBHAFI	gadA//solA//tsaE//ssuE//
hisJQMP	speA//fkpB//
hisLGDCBHAFI	yajO//lpoB//ygaP//pyrG//cof//napC//fadE//
hofMNOP	
holC_valS	purE//
holD_rimI_yjjG	yfcF//dgcM//
hscBA_fdx_iscX	hflX//
hsdMS	mhpD//
hsdRMS	ygjK//
hslRO	
hslVU	allC//
hyaABCDEF	
hybOABCDEFG	nudL//
hycABCDEFGHI	relA//apaH//
hydN_hypF	yfaU//
hyfABCDEFGHIJR_focB	leuC//
hypABCDE	tsaE//
hypABCDE_fhlA	cfa//
hypBCDE	proB//
hypBCDE_fhlA	frdD//
iaaA_gsiABCD	astE//dacC//
ibaG_murA	adk//
ibpAB	
idnDOTR	pncA//psuG//gatY//
ileS_lspA_fkpB_ispH	aspA//moaE//metC//hypB//
ilvEDA	araB//ddlA//pck//patD//
ilvIH	epmC//
ilvLXG_1G_2MEDA	purB//paaC//cysK//dcd//dgoK//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	yfbT//
insN_1I_1O_1	mrcB//
insO_2_yjhWV	
iscRSUA	dusC//sbcB//
ispDF	gatD//narH//
ispG_sroE	gadB//
isrC_flu	
ivbL_ilvBN	cmoA//
ivbL_ilvBN_uhpABC	aspC//
kbaZ_agaVWA	ldcC//
kbl_tdh	trpD//folA//
kdpDE	
kdpFABC	acs//
kdsC_lptCAB	hemC//birA//
kefFC	apt//ubiI//
kefGB_yheV	thiL//
kilR_ydaE	
lacYA	panB//mnmG//
lacZYA	ruvA//leuD//ynfF//
lapAB	
lapAB_pyrF_yciH	ada//
lepAB	ulaD//
leuLABCD	aroG//lpcA//ubiX//
leuQPV	
leuS_lptE_holA_nadD_cobC	epmC//hcaD//sdhC//
lexA_dinF	
lgt_thyA	ybdL//rihA//
ligA_ypeB	dhaK//
livKHMGF	lysS//rluD//
lldPRD	efeB//murI//
lolA_rarA	
lolB_ispE_prs	dnaE//purD//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	rpe//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	poxB//kdgK//
lptFG	
lspA_fkpB_ispH	tdcD//mutS//waaP//
lsrACDBFG_tam	arnC//waaZ//malS//pyrC//
lsrRK	mnmG//
ltaE_ybjT	hycD//
lysT_valT_lysW	
macAB	prpE//
malEFG	lipA//
malK_lamB_malM	mhpF//dgcC//
malPQ	idi//gnd//
malXY	menD//waaO//
manXYZ	fsaA//
map_glnD_dapD	prpD//ppsA//ilvH//
marRAB	
mazEFG	speE//
mcrBC	dcd//
mdlAB	
mdtABCD_baeSR	puuD//
mdtEF	ldtA//
mdtJI	argI//
mdtM_yjiN	dgcM//
mdtNOP	hisC//
melAB	trpA//hyuA//
menA_rraA	dcd//
menBCE	tdcG//rne//mnmG//
menDHBCE	bglA//cobU//dhaL//pdxK//poxB//
menFDHBCE	frlB//ushA//valS//waaB//fabA//ackA//
metBL	hycC//paoC//
metNIQ	yccX//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	yjhH//hycG//mutS//
metZWV	
mglAC	rihA//
mglBAC	rdoA//
mgtLA	yfeW//
mhpABCDFE	thrC//glcB//birA//tdcB//carB//yigL//
mhpR_lacI	
miaA_hfq_hflXKC	uxaC//accD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	murG//rsmE//
mnaT_ydcZ	waaU//
mngAB	mtgA//yccX//
mnmG_rsmG	mnmG//trpD//
mntR_ybiR	
moaABCDE	ispE//ldtA//
moaBCDE	gmm//
mobAB	sucD//
modABC	fdhF//
modEF	
moeAB	kduD//murI//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	cysS//
mqsRA	hemA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	mnaT//coaA//yfbR//gcvP//glpK//yeaE//eptC//pldA//aroE//hyi//lpxD//
mreBCD	
mreCD	
msrPQ	
mtlADR	tgt//dadX//gss//
mtn_btuF_yadS	glpK//gss//
murB_birA	speF//nudK//
murQP	glpQ//ampH//mug//
murQP_yfeW	gmd//tynA//tyrA//abgA//
mutL_miaA_hfq_hflXKC	uvrA//gloC//xdhB//
mutY_yggX	tdcG//
mutY_yggX_mltC	cobS//lpxL//
mutY_yggX_mltC_nupG	ttdB//queF//bcsB//
nadA_pnuC	rfbB//fklB//
