#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b2298//
C0299	b1131//
C0362	b4370//
C0465	b2609//
C0614	b2734//
C0664	b4333//
C0719	b2843//
IS128	ilvG_1//
aaeR	C0067//
aaeXAB	b0408//b1329//b4097//
aas-lplT	b0374//b4698//
aat	b3003//
abgABT-ogt	b1995//b0777//b1879//b1325//
abgR	xisR//
abpAB	yhiS_1//b2057//
abrB	b0049//
accA	b2184//
accBC	b1923//b0308//
accD	b2928//
aceBAK	b2399//b1246//b4150//
aceEF	b1008//b2144//
aceK	b3626//
ackA	b3417//
ackA-pta	ycgH_2//b2503//
acnA	b1294//
acnB	b1068//
acpH	b3475//
acpP	b2568//
acpP-fabF	b1605//b2315//
acpT	b2946//
acrAB	b1508//b2394//
acrB	b0114//
acrD	b4029//
acrEF	b1994//ylbE//
acrR	b2813//
acrZ	b0615//
acs-yjcH-actP	b2641//b4554//b2565//
actP	b0569//
ada-alkB	b1729//b2844//
add	b0915//
adeD	b3103//
adeP	b2098//
adeQ	b3734//
adhE	insEF-3//
adhP	b0540//
adiA	b4611//
adiC	b0293//
adiY	b3897//
adk	b0733//
aegA	b1809//
aer	b2632//
aes	b0253//
agaR	b4625//
agaS-kbaY-agaBCDI	b3063//b2844//b1092//b2491//b2618//b0793//
agp	b1120//
agrA	b1325//
agrB	b2131//
ahpCF	b0178//b2798//
ahpF	b3022//
ahr	b2480//
aidB	b4300//
ais	insEF-3//
alaA	b3352//
alaA-yfbR	b2233//b3124//
alaC	yncK_1//
alaE	b1920//
alaS	b4022//
alaWX	b4504//b3315//
aldA	b1953//
aldB	b2229//
alkA	b1088//
alkB	b3679//
allA	b3279//
allDCE	b0279//b1062//yedS_1//
allR	b3008//
allS	b2057//
alpA	b0426//
alr	b0814//
alsBACE	b3322//b0076//b3979//b0196//
alsK	b3383//
alx	b1662//
amiA-hemF	b2001//b3561//
amiC	b2573//
amn	b1143//
ampC	b2577//
ampDE	b3049//b0934//
ampG	b1496//
ampH	b2852//
amyA	b1187//
anmK	b1279//
ansA-pncA	b1136//b0706//
ansB	b4662//
ansP	b4391//
apaGH	b2538//b0452//
aphA	b0709//
appA	b0648//
appCBXA	b1275//b2507//b3589//b4401//
appY	b0788//
apt	b1230//
aqpZ	b1762//
araBAD	b2475//b2077//b3635//
araC	b4524//
araE	b1607//
araE-ygeA	b3124//b0553//
araFGH	b0689//b0217//b1927//
araJ	b1250//
arcA	b4477//
arcB	b2288//
arcZ	b0385//
arfA	b2026//
argA	b0280//
argCBH	b3994//b2925//b0058//
argD	b1876//
argE	insCD-5//
argF	b1260//
argG	b1775//
argI	b0237//
argO	b1484//
argP	b0050//
argQ	b0266//
argR	b1101//
argS	b3894//
argT-hisJQMP	b4038//b1064//b0103//b0675//b2825//
argU	b3920//
argW	b3440//
argX-hisR-leuT-proM	b1225//b4110//b0393//b4478//
ariR	b0745//
arnBCADTEF	b2288//b0507//b1741//b0637//b2078//b4150//b2125//
aroF-tyrA	b0585//b0511//
aroG	b0482//
aroH	b3646//
aroKB-damX-dam-rpe-gph-trpS	b2477//b0341//b2866//b3949//b2970//b4377//b3950//
aroL-yaiA-aroM	b3253//b1056//b3747//
aroP	b2374//
arpA	b0699//
arpB_1B_2	b1484//b2588//
arrS	b2758//
arsRBC	b2616//b2360//ykfJ//
artJ	b0602//
artPIQM	b1552//b3235//b3195//b4457//
ascB	b1305//
ascFB	b0249//b0793//
ascG	b3459//
asd	b3141//
aslA	b1253//
aslB	b2519//
asmA	b1529//
asnA	b2293//
asnB	b2045//
asnC	b2085//
asnC-mioC	b1571//b1801//
asnC-mioC-mnmG	b0198//b0639//b4687//
asnS	b1876//
asnT	b4407//
asnU	b0102//
asnV	b3361//
asnW	b3923//
aspA	b2691//
aspA-dcuA	b2193//b3093//
aspC	b3228//
aspS	b1596//
aspT	b1410//
aspU	b2738//
aspV	b3119//
asr	b4326//
astCADBE	b1952//b0455//b4027//b3823//b4296//
