# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	lpxA//
aas_lplT	nirD//
abgABT_ogt	mnmA//mepS//ybbO//
abpAB	
accBC	ahr//waaF//
aceBAK	eptB//paaY//tig//
aceEF	yiaY//eptB//ghrB//
ackA_pta	citC//lldD//
acpP_fabF	cobU//
acrAB	pgk//gabD//
acrEF	rihB//
acs_yjcH_actP	gmd//rffC//
ada_alkB	hcaF//garD//
agaS_kbaY_agaBCDI	menH//
ahpCF	ackA//
alaA_yfbR	dmsB//frdD//
alaWX	
allDCE	xdhA//menC//tgt//
alsBACE	metB//cysQ//
amiA_hemF	glpQ//edd//
ampDE	cysH//
ansA_pncA	wrbA//yibQ//fadM//
apaGH	rutA//
appCBXA	nanM//yrfG//
araBAD	cysH//ahr//ttdB//
araE_ygeA	lpoB//
araFGH	pgi//
argCBH	uxaC//gmd//aspA//
argT_hisJQMP	purT//ilvB//
argX_hisR_leuT_proM	
arnBCADTEF	nrdE//eptB//sucC//wecB//frlC//
aroF_tyrA	nfsA//glpK//
aroKB_damX_dam_rpe_gph_trpS	ubiF//pdeR//ddlB//amyA//paaB//emtA//
aroL_yaiA_aroM	rlmI//
arpB_1B_2	
arsRBC	pheA//tktA//
artPIQM	glmS//
ascFB	garR//rsmC//
asnC_mioC	
asnC_mioC_mnmG	rlmL//
aspA_dcuA	serC//tsaC//
astCADBE	yfdR//thrA//fbaB//eptA//yciV//
atoDAEB	rlmH//wecC//uxaB//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	caiC//ybcF//ilvI//tam//bcsZ//rimK//
bamB_der	wbbI//
basRS	
bcsABZC	katG//rihC//
bcsBZ	mog//pheT//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	luxS//rhaB//
bfd_bfr	apt//
bglGFB	hinT//insI-2//
bglH_yieLK	
bioBFCD	aceA//entF//acnA//kdgK//
brnQ_proY	narG//fcl//
btuB_murI	allD//preT//
btuCED	prpC//rbsD//
cadBA	paaF//thyA//
caiCDE	aspA//mocA//
caiTABCDE	nudG//pdxY//epmB//rsmD//coaA//
carAB	purK//
casABCDE12	prpC//
casDE12	poxB//
cbpAM	
cbrBC	
ccmABCDEFGH	narZ//
cecR_ybhGFSR	
chaBC	
chbBCARFG	treF//paaZ//nrdF//
chiP_ybfN	rfe//
chpSB	avtA//
citCDEFXG	gloB//folE//frdB//
clpPX	rsmE//lysA//yqjH//fucA//
clpX_lon	kdsA//btuR//umpH//
clsA_yciU	ygjK//
cmk_rpsA	pdeH//
cmoM_mukFEB	
cmtBA_yggPFDC	thiK//tcdA//
coaE_zapD_yacG	pyrC//
cobUST	rsmE//sseA//speD//
codBA	ppk//clsB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	cysM//
csgBAC	
csgDEFG	valS//
csiD_lhgO_gabDTP	puuE//acpS//argE//sdhA//
cusCFBA	rlmC//
cusRS	
cvpA_purF_ubiX	xapA//sdaA//
cydAB	ubiG//
cydDC	wbbI//
cydX_ybgE	ansB//
cynTS	hcaB//gpt//
cynTSX	nemA//yceF//betB//
cyoABCDE	mutL//adiA//
cysDNC	nirD//nudK//
cysJIH	pta//yigL//lysS//
cysPUWAM	cyoE//solA//maeB//
dadAX	pdeL//mak//
damX_dam_rpe_gph_trpS	araD//bacA//ftnA//mrcA//
dam_rpe_gph_trpS	gloC//garK//rlmD//trmH//
dapA_bamC	guaD//
dapE_ypfN	waaA//
dcm_vsr	hflX//
dcuB_fumB	tehB//accB//
dcuSR	
dcyD_tcyLN	ydiF//ydiB//
ddpXABCDF	gcvH//
def_fmt	asd//napH//
degQS	nanA//rsmD//
deoABD	dadA//fucU//glyS//
deoBD	dusA//miaA//
deoCABD	bioA//glpK//trpS//ybiV//
dgoRKADT	mnaT//caiC//narV//aldA//
dhaKLM	frdD//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	yfiH//ubiE//
dinJ_yafQ	cdd//
dksA_gluQ	katG//
dmsABC	alkB//
dnaAN_recF	xdhC//
dnaK_tpke11_dnaJ	aslA//
dnaN_recF	rnpA//
dnaTC	
dnaTC_yjjA	
dosCP	gltB//lsrK//
dpiBA	
dppABCDF	gcvP//
dsbC_recJ_prfB	abgB//dgcT//
dsbD_yjdC	
dsdXA	dmlA//miaB//
dusB_fis	dgt//
dut_slmA	yghA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	mhpD//arnA//
efeOB	glcF//
efeU_1U_2	
elbB_mtgA	fumC//
elfDCG_ycbUVF	
emrKY	argK//
entCEBAH	pdxY//gmm//rfaE//aceF//lipB//kdsA//
envY_ompT	yqaB//
epd_pgk	sodB//yiaY//
epd_pgk_fbaA	amn//ynfG//lpxT//
essD_rrrD_rzpD	yjjX//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	ispD//
eutHA	
eutNEJG	
eutSPQTDM	adhP//
evgAS	
exbBD	
fabDG_acpP	hcaF//narZ//
fabG_acpP	lyxK//
fabHDG	hypB//alsE//deoB//
fabR_yijD	
fadBA	aceE//idi//
fadD_sroD	aroF//
fadIJ	psuK//garL//
fdnGHI	
fdoGHI_fdhE	thiL//
fdrA_ylbEF_ybcF	deoB//
fecABCDE	lsrK//ampD//
fecIR	
feoABC	ppx//
fepA_entD	nudG//dgt//tam//
fepDGC	ftnA//
fes_ybdZ_entF_fepE	aroH//menC//ruvA//
fetAB	
fhuACDB	ansA//yagE//
ficA_fic_pabA	leuA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	rbn//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	ruvC//bcsB//
folC_dedD	pflB//
folD_ybcJ	xthA//
folE_yeiB	ugd//
folP_glmM	torC//trmO//
folX_yfcH	hcaD//
frdABCD	lipB//
frlABCDR	lpxK//hmp//ydiO//rfaE//
frmRAB	nadK//ydfG//
fruBKA	aes//ruvB//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	fabD//rfaE//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	leuD//abgA//yggF//dnaQ//folE//uxuB//nudE//ispE//mtn//yfbR//
ftsQAZ	
ftsYEX	
fucAO	moaD//ldcA//
fucPIKUR	mltA//dnaQ//hcp//astB//
fumAC	rph//nfi//
fusA_tufA	
gabDTP	wrbA//aroA//umpH//
gadAX	entH//
gadBC	selD//fklB//
gadEF	
gadEF_mdtEF	fabZ//
gadXW	
galET	fes//xdhB//
galETK	rsuA//dgcZ//dapE//
galETKM	polA//plsC//dadX//xdhB//
gapA_yeaD	serB//
gapC_1C_2	
garPLRK_rnpB	tam//mraY//trmI//etp//mcrB//plsB//
gatYZABCD	ispD//nagA//bcsZ//
