# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	phnP//
aas_lplT	dapD//
abgABT_ogt	gatZ//gmhB//nrfC//
abpAB	
accBC	ldtC//nagZ//
aceBAK	thrA//gnd//def//
aceEF	queF//sdhD//araB//
ackA_pta	nanE//hpt//
acpP_fabF	glmM//
acrAB	opgE//uxaC//
acrEF	ydiO//
acs_yjcH_actP	hemA//argH//
ada_alkB	glk//ssuE//
agaS_kbaY_agaBCDI	pgi//
ahpCF	purE//
alaA_yfbR	ogt//pykA//
alaWX	
allDCE	gmk//scpB//fabA//
alsBACE	dgoK//phr//
amiA_hemF	lysC//idnO//
ampDE	preA//
ansA_pncA	tsaE//hycC//napH//
apaGH	thrC//
appCBXA	tdcG//mhpF//
araBAD	mnmE//dmsA//yigB//
araE_ygeA	napC//
araFGH	phnH//
argCBH	accA//menB//glyA//
argT_hisJQMP	ygaP//yneH//
argX_hisR_leuT_proM	
arnBCADTEF	nrdF//alr//pyrF//dinB//wbbI//
aroF_tyrA	dhaM//ahpF//
aroKB_damX_dam_rpe_gph_trpS	pfkA//cmoA//ygeX//manA//thrS//leuD//
aroL_yaiA_aroM	tilS//
arpB_1B_2	
arsRBC	folB//ydbC//
artPIQM	cmk//
ascFB	mak//rutA//
asnC_mioC	
asnC_mioC_mnmG	pgi//
aspA_dcuA	paaH//hmp//
astCADBE	yjjX//yfeW//astB//pdeH//proC//
atoDAEB	fcl//tig//nudJ//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	dcyD//atoB//rhaM//sseA//prpC//ubiE//
bamB_der	rlmA//
basRS	
bcsABZC	rsgA//rne//
bcsBZ	nrfC//ispG//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	gpp//mrcB//
bfd_bfr	psuG//
bglGFB	gcvT//nrfD//
bglH_yieLK	
bioBFCD	tmcA//hcaB//fau//serS//
brnQ_proY	rluB//ubiE//
btuB_murI	ribD//xdhC//
btuCED	glyA//hemN//
cadBA	gatD//cyaA//
caiCDE	cmoB//eutB//
caiTABCDE	bacA//cheB//ispA//phnJ//malZ//
carAB	cdh//
casABCDE12	queG//
casDE12	gdhA//
cbpAM	
cbrBC	
ccmABCDEFGH	menI//
cecR_ybhGFSR	
chaBC	
chbBCARFG	rluB//pldB//dsdA//
chiP_ybfN	ampC//
chpSB	purU//
citCDEFXG	lldD//tig//atoA//
clpPX	eutC//leuC//nfi//nadE//
clpX_lon	cpsG//tig//queF//
clsA_yciU	ddlA//
cmk_rpsA	glyQ//
cmoM_mukFEB	
cmtBA_yggPFDC	pgm//truA//
coaE_zapD_yacG	talA//
cobUST	bcsA//ulaD//argG//
codBA	allE//guaD//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	hisA//
csgBAC	
csgDEFG	gpmA//
csiD_lhgO_gabDTP	umpG//wbbI//ppiC//mnmC//
cusCFBA	cysH//
cusRS	
cvpA_purF_ubiX	frmB//fcl//
cydAB	yceF//
cydDC	yfiC//
cydX_ybgE	folB//
cynTS	hcaB//deoA//
cynTSX	dapF//speE//trmO//
cyoABCDE	miaB//menC//
cysDNC	panB//yqjH//
