# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	napC//
aas_lplT	manA//
abgABT_ogt	kbaY//fabD//rutA//
abpAB	
accBC	hcaD//tam//
aceBAK	sdhD//glmS//insI-2//
aceEF	tadA//aldB//fkpB//
ackA_pta	emtA//dadX//
acpP_fabF	luxS//
acrAB	uxaA//ruvC//
acrEF	atoA//
acs_yjcH_actP	waaH//sdhB//
ada_alkB	acnB//thrC//
agaS_kbaY_agaBCDI	tam//
ahpCF	pyrH//
alaA_yfbR	leuB//panD//
alaWX	
allDCE	aspS//pyrF//cdsA//
alsBACE	gshA//mhpB//
amiA_hemF	citX//iscS//
ampDE	ghrA//
ansA_pncA	glpD//mnaT//fucK//
apaGH	rsmI//
appCBXA	appA//mltF//
araBAD	paaH//glgB//galU//
araE_ygeA	mhpF//
araFGH	torC//
argCBH	glpA//ybdL//cadA//
argT_hisJQMP	nrfD//purF//
argX_hisR_leuT_proM	
arnBCADTEF	betA//ydfG//araA//pheS//lpxC//
aroF_tyrA	cysC//cysE//
aroKB_damX_dam_rpe_gph_trpS	fklB//nirB//tdcB//yrfG//yjjG//alaS//
aroL_yaiA_aroM	paaZ//
arpB_1B_2	
arsRBC	pykA//ribB//
artPIQM	yahK//
ascFB	nrfC//lldD//
asnC_mioC	
asnC_mioC_mnmG	deoD//
aspA_dcuA	panC//dacD//
astCADBE	sdhA//rlmH//yfbR//tcdA//sgbH//
atoDAEB	argA//udk//fsaA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	narH//ndh//yneH//sseA//yjiA//ndk//
bamB_der	plsC//
basRS	
bcsABZC	dgkA//fucU//
bcsBZ	entF//gutQ//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	mhpD//yqjH//
bfd_bfr	umpH//
bglGFB	epmA//pdxB//
bglH_yieLK	
