# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	sucB//
aas_lplT	nadA//
abgABT_ogt	dacC//ilvD//leuC//
abpAB	
accBC	phr//galK//
aceBAK	ppsA//gpmM//cobS//
aceEF	garR//astB//rlmB//
ackA_pta	ubiG//lpoA//
acpP_fabF	purK//
acrAB	xylB//ruvC//
acrEF	waaL//
acs_yjcH_actP	gmk//ubiI//
ada_alkB	sdhD//hemD//
agaS_kbaY_agaBCDI	rlmJ//
ahpCF	ubiI//
alaA_yfbR	carA//scpC//
alaWX	
allDCE	betB//atoA//pheT//
alsBACE	yfcF//napA//
amiA_hemF	feaB//yjjG//
ampDE	nudC//
ansA_pncA	bglX//metC//trpD//
apaGH	hyaA//
appCBXA	gcvT//avtA//
araBAD	waaU//rfaE//trmI//
araE_ygeA	murE//
araFGH	mnmE//
argCBH	gmd//rlmB//paaG//
argT_hisJQMP	hycF//yeiG//
argX_hisR_leuT_proM	
arnBCADTEF	malZ//phnO//dhaL//nirB//glgA//
aroF_tyrA	alaA//gcd//
aroKB_damX_dam_rpe_gph_trpS	plsB//xylA//rlmF//rimK//dgoD//glk//
aroL_yaiA_aroM	eptC//
arpB_1B_2	
arsRBC	aldA//yrfG//
artPIQM	entD//
ascFB	torZ//nirB//
asnC_mioC	
asnC_mioC_mnmG	ycjG//
aspA_dcuA	recG//acs//
astCADBE	gloA//paaZ//gsk//trmI//tpiA//
atoDAEB	gltA//acs//speA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	proA//lysC//pabB//purA//phnP//aroF//
bamB_der	cpdB//
basRS	
bcsABZC	astE//argK//
bcsBZ	can//speF//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	lpd//sgbH//
bfd_bfr	dhaM//
bglGFB	ilvH//rlmJ//
bglH_yieLK	
bioBFCD	gstB//menI//arsC//tam//
brnQ_proY	torA//rfbC//
btuB_murI	ydfG//aceA//
btuCED	rhaB//bioD//
cadBA	araB//nth//
caiCDE	cof//ygeX//
caiTABCDE	trpC//citG//fadH//sgbH//fabA//
carAB	pgk//
casABCDE12	phoA//
casDE12	dcm//
cbpAM	
cbrBC	
ccmABCDEFGH	nagZ//
cecR_ybhGFSR	
chaBC	
chbBCARFG	allD//kbaZ//hyaC//
chiP_ybfN	citC//
chpSB	speB//
citCDEFXG	nirB//glpA//hmp//
clpPX	pdxH//recJ//ruvA//serS//
clpX_lon	gloA//fucK//gadA//
clsA_yciU	cysC//
cmk_rpsA	aslA//
cmoM_mukFEB	
cmtBA_yggPFDC	polA//ldcA//
coaE_zapD_yacG	pgaD//
cobUST	ribE//dfp//nirB//
codBA	pyrC//rffC//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	lsrF//
csgBAC	
csgDEFG	lysC//
csiD_lhgO_gabDTP	paaG//eno//yfiC//dmsB//
cusCFBA	eptB//
cusRS	
cvpA_purF_ubiX	alkB//pyrC//
cydAB	citD//
cydDC	mtn//
cydX_ybgE	phnH//
cynTS	ynfF//purT//
cynTSX	suhB//uvrB//trxB//
cyoABCDE	rnb//hpt//
cysDNC	citD//ppa//
cysJIH	waaC//yiaY//pgaD//
cysPUWAM	sucD//paaI//queD//
dadAX	queA//nth//
damX_dam_rpe_gph_trpS	folA//kdsA//tdh//pdxK//
dam_rpe_gph_trpS	serS//tnaA//lpxT//csdA//
dapA_bamC	suhB//
dapE_ypfN	yjjX//
dcm_vsr	dapE//
dcuB_fumB	purM//frlD//
dcuSR	
dcyD_tcyLN	nadR//yfdE//
ddpXABCDF	pdxH//
def_fmt	sgbE//hchA//
degQS	lgoD//glyQ//
deoABD	paaK//queC//cysS//
deoBD	fsaB//cobB//
deoCABD	solA//ugd//entA//alsE//
dgoRKADT	clsB//purB//thiC//ogt//
dhaKLM	ldhA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	hycD//mazG//
dinJ_yafQ	ribB//
dksA_gluQ	moaE//
dmsABC	hchA//
dnaAN_recF	cpdB//
dnaK_tpke11_dnaJ	citG//
dnaN_recF	arnB//
dnaTC	
dnaTC_yjjA	
