# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	caiB//
aas_lplT	sodA//
abgABT_ogt	apaH//galM//dosP//
abpAB	
accBC	dacD//yjjG//
aceBAK	hycB//spoT//yfbR//
aceEF	waaS//pfkB//cmoA//
ackA_pta	alr//yieH//
acpP_fabF	paaE//
acrAB	cynT//dsdA//
acrEF	fabG//
acs_yjcH_actP	rihB//moaD//
ada_alkB	sucB//tmcA//
agaS_kbaY_agaBCDI	ghrA//
ahpCF	yfcF//
alaA_yfbR	hemD//pyrC//
alaWX	
allDCE	glpK//dgkA//paoC//
alsBACE	amn//icd//
amiA_hemF	caiA//yjiA//
ampDE	glxK//
ansA_pncA	lpxA//fkpB//yjiA//
apaGH	bioF//
appCBXA	tadA//dusC//
araBAD	prpD//yrfG//yieH//
araE_ygeA	nadC//
araFGH	pbpC//
argCBH	phnG//ligB//astA//
argT_hisJQMP	ppa//psuK//
argX_hisR_leuT_proM	
arnBCADTEF	nadK//rimK//hisD//murF//rdgB//
aroF_tyrA	pabB//cpdA//
aroKB_damX_dam_rpe_gph_trpS	recO//yhdH//lysC//truA//yjcS//ahpC//
aroL_yaiA_aroM	lpxM//
arpB_1B_2	
arsRBC	cdd//ynfF//
artPIQM	cdsA//
ascFB	aroL//trpE//
asnC_mioC	
asnC_mioC_mnmG	ftnA//
aspA_dcuA	araD//rffM//
astCADBE	hemC//waaQ//trxB//dnaE//ilvI//
atoDAEB	fadM//lpd//kbaZ//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	citC//sgbE//dmsC//moeA//hcaE//yihS//
bamB_der	purD//
basRS	
bcsABZC	sucD//astB//
bcsBZ	speA//add//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	serA//gatD//
bfd_bfr	ubiI//
bglGFB	yjiA//astB//
bglH_yieLK	
bioBFCD	yigL//tmcA//cynS//lpxH//
brnQ_proY	pdxH//pgl//
btuB_murI	argD//pgk//
btuCED	ribB//lpxA//
cadBA	fbaB//mak//
caiCDE	scpA//arnT//
caiTABCDE	cpdB//purF//rfe//hisG//nanM//
carAB	lldD//
casABCDE12	thiF//
casDE12	argE//
cbpAM	
cbrBC	
ccmABCDEFGH	mrcB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	katG//sucC//mhpE//
chiP_ybfN	hflX//
chpSB	rpiB//
citCDEFXG	katG//aroG//dmsC//
clpPX	ddlA//paaC//cyoE//trmA//
clpX_lon	gloC//phnH//folM//
clsA_yciU	glxR//
cmk_rpsA	sucB//
cmoM_mukFEB	
cmtBA_yggPFDC	cpdA//ilvC//
coaE_zapD_yacG	frmB//
cobUST	polA//lysS//ddlB//
codBA	mltD//glpD//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	yliI//
csgBAC	
csgDEFG	waaA//
csiD_lhgO_gabDTP	hcp//paaI//entD//ribD//
cusCFBA	ldtA//
cusRS	
cvpA_purF_ubiX	menE//lpxD//
cydAB	astD//
cydDC	ahpC//
cydX_ybgE	ttdA//
cynTS	dkgB//prpD//
cynTSX	thiH//lpxM//paaA//
cyoABCDE	yqhD//wzc//
cysDNC	ynfE//dmlA//
cysJIH	pheT//ldtD//gabT//
cysPUWAM	aldB//truD//acpH//
dadAX	malP//speG//
damX_dam_rpe_gph_trpS	ygeX//rihA//maa//patZ//
dam_rpe_gph_trpS	dinB//astC//dgoD//phr//
dapA_bamC	mog//
dapE_ypfN	maeB//
dcm_vsr	gcvH//
dcuB_fumB	suhB//uxaB//
dcuSR	
dcyD_tcyLN	gpmM//pphB//
ddpXABCDF	gltB//
def_fmt	dnaE//rluF//
degQS	mutT//miaB//
deoABD	aroB//pykF//luxS//
deoBD	talA//lsrF//
deoCABD	umpG//thiG//lysA//thiE//
dgoRKADT	bfr//waaQ//kdsD//glyQ//
dhaKLM	murA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	uxaA//fkpB//
dinJ_yafQ	aceF//
dksA_gluQ	dgt//
dmsABC	srlD//
dnaAN_recF	polA//
dnaK_tpke11_dnaJ	ispF//
dnaN_recF	sufS//
dnaTC	
dnaTC_yjjA	
dosCP	trmI//thiL//
dpiBA	
dppABCDF	mnaT//
dsbC_recJ_prfB	prpC//upp//
dsbD_yjdC	
dsdXA	lgoD//mltF//
dusB_fis	tktA//
dut_slmA	tehB//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	ilvB//fabD//
efeOB	trmH//
efeU_1U_2	
elbB_mtgA	dinB//
elfDCG_ycbUVF	
emrKY	frdB//
entCEBAH	lpxH//nadD//ribB//orn//astB//cyaA//
envY_ompT	tam//
epd_pgk	yjeF//pyrI//
epd_pgk_fbaA	pabB//gltB//gltX//
essD_rrrD_rzpD	gor//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	glcB//
eutHA	
eutNEJG	
eutSPQTDM	glcE//
evgAS	
exbBD	
fabDG_acpP	truC//thyA//
fabG_acpP	bioB//
fabHDG	ychF//trmJ//roxA//
fabR_yijD	
fadBA	rluB//rlmA//
fadD_sroD	gpsA//
fadIJ	ispD//ruvB//
fdnGHI	
fdoGHI_fdhE	ldtE//
fdrA_ylbEF_ybcF	rsgA//
fecABCDE	wbbI//ldhA//
fecIR	
feoABC	yfiH//
fepA_entD	hisD//pykA//pgpC//
fepDGC	ubiF//
fes_ybdZ_entF_fepE	ruvC//yegS//ldcA//
fetAB	
fhuACDB	malQ//mrdA//
ficA_fic_pabA	aroK//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	rsmB//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	pck//malZ//
folC_dedD	slt//
folD_ybcJ	moeA//
folE_yeiB	rfbC//
folP_glmM	xdhC//alaC//
folX_yfcH	edd//
frdABCD	yggF//
frlABCDR	trmJ//kdsD//fadD//bioB//
frmRAB	galT//menF//
fruBKA	mltF//gldA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	rlmC//metF//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ydfG//hemC//ispA//selB//allD//phoA//ispH//hisC//glyS//kefF//
ftsQAZ	
ftsYEX	
fucAO	nudG//ung//
fucPIKUR	gluQ//argS//fbaA//fabB//
fumAC	clsA//sucC//
fusA_tufA	
gabDTP	yliI//epmA//lpoA//
gadAX	aroG//
gadBC	dacD//dacD//
gadEF	
gadEF_mdtEF	thrS//
gadXW	
galET	truA//yjeF//
galETK	rrrD//argS//yfcF//
galETKM	dam//dmsC//rpiB//phr//
gapA_yeaD	fkpB//
gapC_1C_2	
garPLRK_rnpB	gcvH//rnpA//ugpQ//guaA//tsaE//bglB//
gatYZABCD	moaA//poxB//napB//
gatZABCD	lpxA//allC//thiM//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	deoD//asnB//ravA//lpoA//def//
gcvTHP	glnS//hmp//ribF//
gfcBCD	
gfcE_etp_etk	ttdB//glyA//
ghoST	pgaC//
glcBA	cfa//deoB//
glcDEFGBA	fabZ//ligA//manA//
glf_wbbH	efeB//
glgAP	dapF//acpS//
glgBXCAP	atoD//glgX//dhaM//thrS//yigB//
glgCAP	aroF//napB//astE//
glmUS	yihT//dxr//
glnALG	glpC//
glnHPQ	nrdF//
glnK_amtB	murE//
glnLG	
glnW_metU_glnVX	
glpABC	nadD//
glpEGR	eutB//sucA//
glpFKX	serC//cpdB//nth//
glpGR	sdaA//
glpTQ	citE//rsmI//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	gcvH//
glvCBG_ysdC	
glyQS	phnN//
glyVXY	
glyW_cysT_leuZ	
gntKU	kefF//kbaZ//
gntRKU	purH//paaE//
gntX_nfuA	
gpmM_envC_yibQ	phoA//opgB//
groSL	
gspAB	
gspCDEFGHIJKLMO	fucA//
guaBA	acpT//bacA//
gudPXD	glk//plsB//
hcaEFCBD	mocA//gloC//
hcp_hcr	gntK//nth//
hdeAB_yhiD	
hemA_prfA_prmC	pdxH//phnL//
hemCDXY	thiD//gmm//
hflD_purB	nrdA//
hfq_hflXKC	thiH//
hicAB	
higBA	yiaK//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	tktB//yqjH//hycB//hycD//
hipBA	orn//
hisBHAFI	ilvN//epmA//nadR//mhpE//
hisJQMP	mgsA//prpB//
hisLGDCBHAFI	asnA//gstA//moaA//mazG//ppk//atoD//ldtB//
hofMNOP	
holC_valS	yeiG//
holD_rimI_yjjG	relA//accB//
hscBA_fdx_iscX	pcm//
hsdMS	mnmC//
hsdRMS	speA//
hslRO	
hslVU	epmA//
hyaABCDEF	
hybOABCDEFG	murB//
hycABCDEFGHI	prmB//fkpA//
hydN_hypF	bioA//
hyfABCDEFGHIJR_focB	ispH//
hypABCDE	nanE//
hypABCDE_fhlA	nudG//
hypBCDE	tam//
hypBCDE_fhlA	yihU//
iaaA_gsiABCD	sucD//tsaE//
ibaG_murA	glcF//
ibpAB	
idnDOTR	glgC//yibQ//yghU//
ileS_lspA_fkpB_ispH	gatD//mpaA//yjjX//adk//
ilvEDA	tehB//wzb//rffC//thiD//
ilvIH	gmk//
ilvLXG_1G_2MEDA	rimK//asd//rbsK//paaJ//glnE//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	rlmI//
insN_1I_1O_1	tgt//
insO_2_yjhWV	
iscRSUA	kbaY//ahpF//
ispDF	dfp//yceF//
ispG_sroE	preA//
isrC_flu	
ivbL_ilvBN	lysA//
ivbL_ilvBN_uhpABC	leuC//
kbaZ_agaVWA	accD//
kbl_tdh	nudL//pdeH//
kdpDE	
kdpFABC	yniC//
kdsC_lptCAB	ravA//narY//
kefFC	rihB//lacZ//
kefGB_yheV	pheT//
kilR_ydaE	
lacYA	yiaK//dusA//
lacZYA	pabC//glcF//scpA//
lapAB	
lapAB_pyrF_yciH	yjcS//
lepAB	mgsA//
leuLABCD	phnN//frlB//frdC//
leuQPV	
leuS_lptE_holA_nadD_cobC	cysM//caiC//ilvN//
lexA_dinF	
lgt_thyA	ansB//surA//
ligA_ypeB	maeA//
livKHMGF	yiaY//tesA//
lldPRD	uxuB//hisH//
lolA_rarA	
lolB_ispE_prs	nadC//mog//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	phnO//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	cobS//nfi//
lptFG	
lspA_fkpB_ispH	glcD//rsmB//gadA//
lsrACDBFG_tam	cueO//dgoK//lpxL//garD//
lsrRK	fadA//
ltaE_ybjT	ada//
lysT_valT_lysW	
macAB	ansB//
malEFG	fucO//
malK_lamB_malM	pflB//mog//
malPQ	ilvM//glcB//
malXY	wecC//tgt//
manXYZ	pgaC//
map_glnD_dapD	fre//hemD//ldtD//
marRAB	
mazEFG	ldtB//
mcrBC	rlmG//
mdlAB	
mdtABCD_baeSR	uvrC//
mdtEF	ubiE//
mdtJI	queD//
mdtM_yjiN	rne//
mdtNOP	astC//
melAB	nrdB//purD//
menA_rraA	dam//
menBCE	codA//mpaA//rlmC//
menDHBCE	glpD//glpD//ldhA//speA//miaB//
menFDHBCE	rnt//pgaB//gshA//maeB//gntK//asnA//
metBL	dhaL//kdsD//
metNIQ	eda//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	mutL//gcvP//gudD//
metZWV	
mglAC	thiM//
mglBAC	torA//
mgtLA	argB//
mhpABCDFE	eptC//argB//rluD//torY//dacC//cadA//
mhpR_lacI	
miaA_hfq_hflXKC	rutC//aroB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	aroL//rlmM//
mnaT_ydcZ	bfr//
mngAB	hisB//guaB//
mnmG_rsmG	udp//plsB//
mntR_ybiR	
moaABCDE	ppc//napC//
moaBCDE	lacZ//
mobAB	gmhB//
modABC	rsmB//
modEF	
moeAB	folK//lpxM//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	pbpC//
mqsRA	serA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	panD//galE//maeB//hemG//thiI//paoC//yicI//caiB//yjjG//hyaA//acpT//
mreBCD	
mreCD	
msrPQ	
mtlADR	yrfG//purT//citF//
mtn_btuF_yadS	ilvI//gloA//
murB_birA	napC//uxuB//
murQP	purB//mutS//umpG//
murQP_yfeW	narZ//yciA//frdA//amiD//
mutL_miaA_hfq_hflXKC	uxaB//pgl//acpH//
mutY_yggX	trmO//
mutY_yggX_mltC	cysC//queA//
mutY_yggX_mltC_nupG	ribD//mrcB//galK//
nadA_pnuC	azoR//dnaE//
nagBAC_umpH	rffM//gadA//pdeF//
nagK_cobB	rpe//metF//
nanATEK_yhcH	nadK//trxB//ydfG//tyrS//
nanCM	mnmA//pfkA//
nanCMS	fdhF//hisB//
napFDAGHBC	ynjE//
napFDAGHBC_ccmABCDEFGH	alaA//ycjU//
narGHJI	pagP//
narWV	glcB//
narXL	
narZYWV	cysM//
nemRA	sgbU//
nemRA_gloA	rfaD//dgcM//
nfrBA	
nhaAR	nrdA//
nikABCDER	nagA//
nirBDC_cysG	purL//yfcF//spoT//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	nanA//
nrdAB_yfaE	cobC//
nrdDG	nagZ//hcaC//
nrdHIEF	ubiH//
nrdR_ribDE_nusB_thiL_pgpA	fbaB//asd//frc//ldcC//
nrfABCDEFG	ybhA//
nsrR_rnr_rlmB_yjfI	tam//mutH//
nudB_yebC_ruvC	pspE//yjjG//
nudC_hemE_nfi	nadK//guaD//
nudF_yqiB_cpdA_yqiA_parE	otsB//proC//
nuoABCEFGHIJKLMN	ssuD//
nuoMN	aroE//
ompR_envZ	
opgGH	
oppABCDF	slyD//ftnA//
osmF_yehYXW	xapA//
otsBA	pldA//ispE//
paaABCDEFGHIJK	xthA//hemH//phnG//upp//hycE//rsmE//waaO//
paaXY	gcd//
pabB_nudL	solA//katE//
pabC_mltG_tmk_holB_ycfH	prpD//yhhW//yfbT//
