# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	gltA//
aas_lplT	recJ//
abgABT_ogt	pabA//gstB//cysQ//
abpAB	
accBC	ubiC//treA//
aceBAK	argE//thrC//rutE//
aceEF	ssuE//glcE//yghA//
ackA_pta	lhgO//sodB//
acpP_fabF	ravA//
acrAB	aldB//rsmE//
acrEF	phnH//
acs_yjcH_actP	pgpC//glgX//
ada_alkB	pyrD//fadA//
agaS_kbaY_agaBCDI	astB//
ahpCF	serS//
alaA_yfbR	plsC//fcl//
alaWX	
allDCE	rfbC//fabZ//xylB//
alsBACE	ldcC//yjjX//
amiA_hemF	ilvD//narI//
ampDE	sucD//
ansA_pncA	fkpA//lsrK//cysS//
apaGH	pgpB//
appCBXA	tsaD//cpdA//
araBAD	katG//ilvG_2//nirB//
araE_ygeA	tyrB//
araFGH	glpX//
argCBH	mog//thiM//murD//
argT_hisJQMP	yegS//proS//
argX_hisR_leuT_proM	
arnBCADTEF	yidA//recJ//gudD//frdB//ahpF//
aroF_tyrA	napA//nhoA//
aroKB_damX_dam_rpe_gph_trpS	rhaB//menC//fabH//ispA//lpxK//fucA//
aroL_yaiA_aroM	cpdB//
arpB_1B_2	
arsRBC	ahpF//yjjG//
artPIQM	pcm//
ascFB	puuE//murI//
asnC_mioC	
asnC_mioC_mnmG	dhaM//
aspA_dcuA	trpS//glk//
astCADBE	acnA//cdsA//ackA//kdsC//frdC//
atoDAEB	cheB//betA//aspA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	kdsC//queC//cmoB//rsmB//dapE//ribD//
bamB_der	glmU//
basRS	
bcsABZC	fadB//mqo//
bcsBZ	dusC//cobT//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	allC//fumB//
bfd_bfr	mdh//
bglGFB	nrfA//rdgB//
bglH_yieLK	
bioBFCD	queC//ribD//tig//murF//
brnQ_proY	phnJ//gstB//
btuB_murI	mobA//rlmE//
btuCED	glxR//apaH//
cadBA	ahpC//surA//
caiCDE	mhpD//kdsB//
caiTABCDE	bioD//dacA//metF//ribE//narZ//
carAB	idi//
casABCDE12	xdhA//
casDE12	yeaG//
cbpAM	
cbrBC	
ccmABCDEFGH	speB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	dmlA//paaB//truA//
chiP_ybfN	narH//
chpSB	recG//
citCDEFXG	frdA//gdhA//gph//
clpPX	lpoA//dacD//dcd//ymdB//
clpX_lon	lysC//thiK//ybdL//
clsA_yciU	galK//
cmk_rpsA	rnd//
cmoM_mukFEB	
cmtBA_yggPFDC	pgpC//entA//
coaE_zapD_yacG	tsaC//
cobUST	maeA//paaK//ubiC//
codBA	etk//gnd//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	scpC//
csgBAC	
csgDEFG	hflX//
csiD_lhgO_gabDTP	rffC//cysH//upp//lpd//
cusCFBA	maeA//
cusRS	
cvpA_purF_ubiX	caiA//ybiV//
cydAB	hycC//
cydDC	rlmI//
cydX_ybgE	umuD//
cynTS	epd//entC//
cynTSX	yqjH//phnI//rluD//
cyoABCDE	ilvH//ispH//
cysDNC	ppk//lpxB//
cysJIH	queD//tyrB//ada//
cysPUWAM	maeA//mog//ybjI//
dadAX	ispE//speF//
damX_dam_rpe_gph_trpS	hcaF//nagA//eda//patZ//
dam_rpe_gph_trpS	trpC//polB//ispF//panD//
dapA_bamC	malQ//
dapE_ypfN	udp//
dcm_vsr	phnI//
dcuB_fumB	sgbE//sdhD//
dcuSR	
dcyD_tcyLN	accD//psuG//
ddpXABCDF	yqjH//
def_fmt	lgoD//tauD//
degQS	lsrG//phnH//
deoABD	menI//prs//purF//
deoBD	pyrG//phnH//
deoCABD	dam//melA//truB//aldB//
dgoRKADT	frlD//rsmF//caiC//ndh//
dhaKLM	argA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	waaB//rfe//
dinJ_yafQ	gor//
dksA_gluQ	napC//
dmsABC	nadD//
dnaAN_recF	waaU//
dnaK_tpke11_dnaJ	mltA//
dnaN_recF	yfeW//
dnaTC	
dnaTC_yjjA	
dosCP	aes//purK//
dpiBA	
dppABCDF	narI//
dsbC_recJ_prfB	argA//folA//
dsbD_yjdC	
dsdXA	yfdR//gcvP//
dusB_fis	katG//
dut_slmA	fumC//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	yagE//rhaB//
efeOB	dgcP//
efeU_1U_2	
elbB_mtgA	ahpC//
elfDCG_ycbUVF	
emrKY	umpH//
entCEBAH	rlmH//gldA//rsmA//hcaE//appA//eptB//
envY_ompT	yeaE//
epd_pgk	hemE//glnE//
epd_pgk_fbaA	uvrC//umpG//pncB//
essD_rrrD_rzpD	ilvG_2//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	paaG//
eutHA	
eutNEJG	
eutSPQTDM	rrrD//
evgAS	
exbBD	
fabDG_acpP	ruvA//dgcM//
fabG_acpP	nanA//
fabHDG	rne//yfbR//pdxY//
fabR_yijD	
fadBA	tam//gltX//
fadD_sroD	leuA//
fadIJ	xdhC//gph//
fdnGHI	
fdoGHI_fdhE	psuG//
fdrA_ylbEF_ybcF	nanK//
fecABCDE	fabH//hemN//
fecIR	
feoABC	aroF//
fepA_entD	torC//citC//slyD//
fepDGC	aspS//
fes_ybdZ_entF_fepE	torA//lpxB//waaC//
fetAB	
fhuACDB	puuE//uxaC//
ficA_fic_pabA	alaA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	fabH//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	tesA//idi//
folC_dedD	ybjI//
folD_ybcJ	chbG//
folE_yeiB	yeaG//
folP_glmM	lpxL//glcB//
folX_yfcH	ligA//
frdABCD	yjcS//
frlABCDR	waaO//lysS//ribA//yigL//
frmRAB	valS//srlD//
fruBKA	gshA//ispU//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	ydiF//dapF//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ispE//metK//dadA//nadC//wecB//pssA//hcaE//gcvT//cmoA//yihS//
ftsQAZ	
ftsYEX	
fucAO	ubiC//pyrB//
fucPIKUR	nfsA//ruvA//ybaS//aroK//
fumAC	dgcT//mltD//
fusA_tufA	
gabDTP	glgA//yicI//chbF//
gadAX	dhaM//
gadBC	murB//mocA//
gadEF	
gadEF_mdtEF	pyrB//
gadXW	
galET	nth//caiB//
galETK	hemL//lipA//rfbD//
galETKM	dgcP//paaB//citX//katG//
gapA_yeaD	rfbA//
gapC_1C_2	
garPLRK_rnpB	frlB//gdhA//asnA//waaB//pyrD//atoB//
gatYZABCD	rpe//truA//menE//
gatZABCD	thiE//mltF//menE//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	rlmI//cysN//hemB//ybcF//uxaB//
gcvTHP	paaA//hemB//serS//
gfcBCD	
gfcE_etp_etk	deoC//rnpB//
ghoST	kefF//
glcBA	yagF//pldA//
glcDEFGBA	uxaC//pdxY//eptB//
glf_wbbH	carB//
glgAP	nth//ubiC//
glgBXCAP	mhpC//spoT//pgpC//gltD//avtA//
glgCAP	srlD//gpt//maeB//
glmUS	cysD//lhgO//
glnALG	ynjE//
