# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rffM//
aas_lplT	ygiF//
abgABT_ogt	narZ//coaE//fadD//
abpAB	
accBC	rdoA//argH//
aceBAK	chbG//btuE//ansA//
aceEF	can//cheR//glyQ//
ackA_pta	fabG//rnpA//
acpP_fabF	hemB//
acrAB	recF//opgB//
acrEF	yqaB//
acs_yjcH_actP	ddlA//ubiF//
ada_alkB	purA//rbsK//
agaS_kbaY_agaBCDI	torY//
ahpCF	edd//
alaA_yfbR	pdeR//aroK//
alaWX	
allDCE	cysD//hisH//folM//
alsBACE	hemH//treC//
amiA_hemF	gloC//panD//
ampDE	ilvD//
ansA_pncA	rsmH//nagB//ravA//
apaGH	yagE//
appCBXA	idnK//dapF//
araBAD	purL//icd//idi//
araE_ygeA	torZ//
araFGH	pdeL//
argCBH	katG//dgoK//torC//
argT_hisJQMP	prpC//entH//
argX_hisR_leuT_proM	
arnBCADTEF	katG//pdeH//fadE//hycC//yjhH//
aroF_tyrA	ascB//ubiE//
aroKB_damX_dam_rpe_gph_trpS	argF//mnmC//rluF//galU//ulaF//trmJ//
aroL_yaiA_aroM	aroB//
arpB_1B_2	
arsRBC	polA//menD//
artPIQM	mnaT//
ascFB	frlD//tmcA//
asnC_mioC	
asnC_mioC_mnmG	umuD//
aspA_dcuA	yiaY//dut//
astCADBE	ampD//clsC//metH//malQ//glk//
atoDAEB	aroE//ileS//glpK//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	phnI//tdcD//speG//pyrF//hisS//fadM//
bamB_der	yagE//
basRS	
bcsABZC	ltaE//roxA//
bcsBZ	rnpA//rnpA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	cdd//ispE//
bfd_bfr	pfkA//
bglGFB	bglX//ldtB//
bglH_yieLK	
bioBFCD	tpiA//rluC//insI-2//cmoB//
brnQ_proY	ispG//gatZ//
btuB_murI	arnC//panC//
