# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	hchA//
aas_lplT	rhaM//
abgABT_ogt	ampC//paaE//cysD//
abpAB	
accBC	hisB//glgB//
aceBAK	hinT//spoT//allA//
aceEF	ygjK//poxB//cobT//
ackA_pta	queC//gltD//
acpP_fabF	cpsB//
acrAB	mug//rlmD//
acrEF	sdhD//
acs_yjcH_actP	csdA//lacZ//
ada_alkB	hemB//clsA//
agaS_kbaY_agaBCDI	mcrC//
ahpCF	pyrH//
alaA_yfbR	yfbT//pgaC//
alaWX	
allDCE	hmp//umpH//leuB//
alsBACE	pgi//ppa//
amiA_hemF	opgB//aroD//
ampDE	fre//
ansA_pncA	atoB//eutD//eptC//
apaGH	bioA//
appCBXA	kduD//rne//
araBAD	rluB//chbF//deoB//
araE_ygeA	asnA//
araFGH	mpaA//
argCBH	umuC//rsmD//rhaD//
argT_hisJQMP	pgaD//nagZ//
argX_hisR_leuT_proM	
arnBCADTEF	hisS//recG//tcdA//thrC//amn//
aroF_tyrA	metF//cmoA//
aroKB_damX_dam_rpe_gph_trpS	folM//dkgA//gudD//ribD//kdsD//idnD//
aroL_yaiA_aroM	etk//
arpB_1B_2	
arsRBC	sodB//hisS//
artPIQM	ydiB//
ascFB	cysH//putA//
asnC_mioC	
asnC_mioC_mnmG	paaF//
aspA_dcuA	dmlA//puuD//
astCADBE	argS//yciV//entC//yhdH//lpxK//
atoDAEB	lplA//alaA//glmU//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	cobT//acpT//cadA//leuA//umpH//kduI//
bamB_der	rutC//
basRS	
bcsABZC	hycF//dxs//
bcsBZ	eptC//codA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	surA//pyrG//
bfd_bfr	napA//
bglGFB	pssA//fadK//
bglH_yieLK	
bioBFCD	sdhC//hyaA//glpC//fucU//
brnQ_proY	argF//gmd//
btuB_murI	eptC//ydfG//
btuCED	gmm//pgaD//
cadBA	abgB//upp//
caiCDE	gutQ//narG//
caiTABCDE	tsaC//gcvH//deoC//rnd//cobU//
carAB	dusC//
casABCDE12	nanK//
casDE12	dsdA//
cbpAM	
cbrBC	
ccmABCDEFGH	ldtD//
cecR_ybhGFSR	
chaBC	
chbBCARFG	opgE//nanK//astE//
chiP_ybfN	narG//
chpSB	moaD//
citCDEFXG	galT//hcaD//lsrG//
clpPX	asd//lldD//fadJ//rfe//
clpX_lon	rlmD//yagF//rutE//
clsA_yciU	pdxH//
cmk_rpsA	aspA//
cmoM_mukFEB	
cmtBA_yggPFDC	glxK//gshA//
coaE_zapD_yacG	citE//
cobUST	cfa//glgA//fdhF//
codBA	umpG//nanM//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	ribB//
csgBAC	
csgDEFG	sgbU//
csiD_lhgO_gabDTP	treF//narG//preA//yfcG//
cusCFBA	tam//
cusRS	
cvpA_purF_ubiX	folK//murC//
cydAB	mltD//
cydDC	asd//
cydX_ybgE	cmoB//
