# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	patA//
aas_lplT	edd//
abgABT_ogt	rluE//sgbH//fbp//
abpAB	
accBC	garL//cysC//
aceBAK	gatD//mhpD//ada//
aceEF	lldD//rluC//gcd//
ackA_pta	yeiR//spoT//
acpP_fabF	sad//
acrAB	frdA//glyS//
acrEF	yajO//
acs_yjcH_actP	glpK//purA//
ada_alkB	fadB//dhaL//
agaS_kbaY_agaBCDI	arnB//
ahpCF	ilvM//
alaA_yfbR	miaB//rihA//
alaWX	
allDCE	ogt//mhpA//gloC//
alsBACE	rfe//eno//
amiA_hemF	acnB//yigB//
ampDE	pbpC//
ansA_pncA	deoB//lpoA//yigB//
apaGH	lhgO//
appCBXA	folM//asnA//
araBAD	tsaC//pbpC//lpxP//
araE_ygeA	yajO//
araFGH	panD//
argCBH	ldhA//tktB//csdA//
argT_hisJQMP	paoB//ssuE//
argX_hisR_leuT_proM	
arnBCADTEF	cysK//paoC//metH//ssuD//thrS//
aroF_tyrA	mpl//ilvB//
aroKB_damX_dam_rpe_gph_trpS	paaJ//panE//allE//oxc//talA//selB//
aroL_yaiA_aroM	mnmA//
arpB_1B_2	
arsRBC	fucK//pdxK//
artPIQM	mltB//
ascFB	waaS//gloA//
asnC_mioC	
asnC_mioC_mnmG	glyA//
aspA_dcuA	glk//mhpA//
astCADBE	can//nadK//trpB//ynfE//entE//
atoDAEB	acs//lpd//speE//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	tktB//gltA//pheT//gloB//dgoD//umpH//
bamB_der	pphB//
basRS	
bcsABZC	argA//aphA//
bcsBZ	dhaK//mraY//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	idi//pgsA//
bfd_bfr	folC//
bglGFB	rfbB//guaA//
bglH_yieLK	
bioBFCD	apt//coaA//lipA//hcaF//
brnQ_proY	trmA//kdsD//
btuB_murI	dxr//lpcA//
btuCED	pinE//nudG//
cadBA	hisA//nudL//
caiCDE	spoT//ulaF//
caiTABCDE	wbbI//codA//aspC//aroC//thiI//
carAB	argC//
casABCDE12	garL//
casDE12	purH//
cbpAM	
cbrBC	
ccmABCDEFGH	kdsB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	phoA//yajO//ldtC//
chiP_ybfN	trmL//
chpSB	citC//
citCDEFXG	nrfD//rbsD//sdaB//
clpPX	mazG//hycB//selB//gabT//
clpX_lon	gltA//sgbE//dinB//
clsA_yciU	spoT//
cmk_rpsA	nadB//
cmoM_mukFEB	
cmtBA_yggPFDC	mltF//yigB//
coaE_zapD_yacG	ribA//
cobUST	yjcS//ppc//dcd//
codBA	adiA//allC//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	hpt//
csgBAC	
csgDEFG	allA//
csiD_lhgO_gabDTP	rlmE//phnO//rrrD//purU//
cusCFBA	pdeF//
cusRS	
cvpA_purF_ubiX	serC//dmlA//
cydAB	rfe//
cydDC	selA//
cydX_ybgE	lysA//
cynTS	narG//nirB//
cynTSX	hemB//umpH//yohF//
cyoABCDE	nagB//gudD//
cysDNC	mdh//nirB//
cysJIH	lacA//aroC//ybcF//
cysPUWAM	rffC//hemE//glpB//
dadAX	purK//rnt//
damX_dam_rpe_gph_trpS	gutQ//pfkB//dgt//adhP//
dam_rpe_gph_trpS	purE//def//gor//ispU//
dapA_bamC	thiK//
dapE_ypfN	ulaF//
dcm_vsr	amiD//
dcuB_fumB	rnb//dhaM//
dcuSR	
dcyD_tcyLN	dapA//dgcC//
ddpXABCDF	aldB//
def_fmt	argC//ydfG//
degQS	ilvC//ygeX//
deoABD	abgA//mpaA//prpE//
deoBD	ygjK//lacA//
deoCABD	folA//wbbI//rfe//araA//
dgoRKADT	ynfE//nudJ//paaJ//nadB//
dhaKLM	gpmA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	mug//allB//
dinJ_yafQ	rfbA//
dksA_gluQ	gshA//
dmsABC	thiF//
dnaAN_recF	nudG//
dnaK_tpke11_dnaJ	astB//
dnaN_recF	agp//
dnaTC	
dnaTC_yjjA	
dosCP	folX//caiA//
dpiBA	
dppABCDF	aceA//
dsbC_recJ_prfB	araD//umuD//
dsbD_yjdC	
dsdXA	uxaA//pphA//
dusB_fis	dsdA//
dut_slmA	lysS//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	can//trpD//
efeOB	moaD//
efeU_1U_2	
elbB_mtgA	orn//
elfDCG_ycbUVF	
emrKY	lacZ//
entCEBAH	narG//ybiV//hpt//serB//garD//ushA//
envY_ompT	rihB//
epd_pgk	eda//fabA//
epd_pgk_fbaA	thiC//ilvE//tam//
essD_rrrD_rzpD	ttdA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	paoB//
eutHA	
eutNEJG	
eutSPQTDM	mnmA//
evgAS	
exbBD	
fabDG_acpP	puuE//lyxK//
fabG_acpP	ilvB//
fabHDG	hcaD//tsaB//arnB//
fabR_yijD	
fadBA	ycaO//lysC//
fadD_sroD	carB//
fadIJ	folX//ygjK//
fdnGHI	
fdoGHI_fdhE	hisH//
fdrA_ylbEF_ybcF	nanA//
fecABCDE	dosP//thiI//
fecIR	
feoABC	selB//
fepA_entD	nadR//trmO//hemH//
fepDGC	dosC//
fes_ybdZ_entF_fepE	dsdA//cysK//hisG//
fetAB	
fhuACDB	trxB//plsC//
ficA_fic_pabA	ispU//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	moaA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	rbsK//sodA//
folC_dedD	dmsB//
folD_ybcJ	ispE//
folE_yeiB	mltD//
