# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rffC//
aas_lplT	purB//
abgABT_ogt	bioD//nudI//sseA//
abpAB	
accBC	queC//nrdB//
aceBAK	paoB//nirB//idi//
aceEF	tktA//pdeL//lysU//
ackA_pta	udp//speG//
acpP_fabF	ycjG//
acrAB	ubiI//astA//
acrEF	kbaZ//
acs_yjcH_actP	rnb//fau//
ada_alkB	solA//xthA//
agaS_kbaY_agaBCDI	maeA//
ahpCF	kbaZ//
alaA_yfbR	roxA//argI//
alaWX	
allDCE	ybdL//glxR//cysN//
alsBACE	yghU//yfaU//
amiA_hemF	aroF//ldcA//
ampDE	rsmE//
ansA_pncA	pbpC//paaG//hcaC//
apaGH	alr//
appCBXA	pldB//entB//
araBAD	epmA//malS//lpxB//
araE_ygeA	leuB//
araFGH	caiA//
argCBH	ada//galK//qor//
argT_hisJQMP	nadK//nanE//
argX_hisR_leuT_proM	
arnBCADTEF	nhoA//ilvG_2//fabD//cysD//puuE//
aroF_tyrA	putA//lipA//
aroKB_damX_dam_rpe_gph_trpS	glyQ//ulaD//frdD//insI-3//adhE//rffH//
aroL_yaiA_aroM	tgt//
arpB_1B_2	
arsRBC	acnA//ispG//
artPIQM	kbaY//
ascFB	nudL//waaB//
asnC_mioC	
asnC_mioC_mnmG	argF//
aspA_dcuA	trmD//yqhD//
astCADBE	pgaB//glcD//otsB//nagA//pspE//
atoDAEB	mrdA//fbaB//rne//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	torC//dgcT//fumA//mltF//yjiA//ulaG//
bamB_der	cmoB//
basRS	
bcsABZC	emtA//ispU//
bcsBZ	xdhC//gutQ//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	rsmC//rsmI//
bfd_bfr	umuD//
bglGFB	mraY//alsE//
bglH_yieLK	
bioBFCD	recJ//hpt//mog//allC//
brnQ_proY	hyaC//pck//
btuB_murI	dosP//nrdE//
btuCED	thiC//thiH//
cadBA	thiG//bfr//
caiCDE	ahpF//thiI//
caiTABCDE	glcD//rluD//srlD//uxuB//otsB//
carAB	add//
casABCDE12	dacA//
casDE12	murB//
cbpAM	
cbrBC	
ccmABCDEFGH	gldA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	thiK//sdhC//yeiG//
chiP_ybfN	ispH//
chpSB	lsrG//
citCDEFXG	yhdH//alkA//ispH//
clpPX	dgkA//metK//dgoD//hemG//
clpX_lon	ulaF//clsC//ispG//
clsA_yciU	rfaD//
cmk_rpsA	fumA//
cmoM_mukFEB	
cmtBA_yggPFDC	fucK//malS//
coaE_zapD_yacG	acpT//
