# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pgaB//
aas_lplT	nagK//
abgABT_ogt	paaC//pyrI//galM//
abpAB	
accBC	pyrI//trpB//
aceBAK	tyrA//nrdB//gudD//
aceEF	melA//insI-2//ybjG//
ackA_pta	mtgA//rnd//
acpP_fabF	patD//
acrAB	fadA//deoD//
acrEF	yajO//
acs_yjcH_actP	dosC//garD//
ada_alkB	prpE//preT//
agaS_kbaY_agaBCDI	hypF//
ahpCF	nudC//
alaA_yfbR	dapB//yagE//
alaWX	
allDCE	rnd//ribA//nadA//
alsBACE	hycB//pyrD//
amiA_hemF	adeD//yjeF//
ampDE	agp//
ansA_pncA	thiL//glgA//gmhB//
apaGH	dusA//
appCBXA	ilvD//rlmD//
araBAD	panB//fsaB//speB//
araE_ygeA	folD//
araFGH	acnA//
argCBH	lgoD//bfr//eutD//
argT_hisJQMP	gltX//yqhD//
argX_hisR_leuT_proM	
arnBCADTEF	bacA//thrS//allD//nanA//trpC//
aroF_tyrA	ppx//gadA//
aroKB_damX_dam_rpe_gph_trpS	aroL//nadB//nth//yeiG//dgcP//pphA//
aroL_yaiA_aroM	glxR//
arpB_1B_2	
arsRBC	rimK//glcE//
artPIQM	emtA//
ascFB	fsaB//bglX//
asnC_mioC	
asnC_mioC_mnmG	dgoA//
aspA_dcuA	nadK//rsmA//
astCADBE	fdhF//yqhD//glyQ//rffM//bcsZ//
atoDAEB	ynjE//prmC//yihX//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	ybcF//ilvG_2//ldhA//mgsA//yicI//pgm//
bamB_der	pyrG//
basRS	
bcsABZC	purA//sgbU//
bcsBZ	trmL//asnA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	gstB//asnA//
bfd_bfr	yghA//
bglGFB	allE//speG//
bglH_yieLK	
bioBFCD	rfaE//hisB//yjjG//panB//
brnQ_proY	dsdA//lacA//
btuB_murI	recG//dgcZ//
btuCED	hycG//galT//
cadBA	folM//yhdH//
caiCDE	mepS//bglA//
caiTABCDE	frmB//murG//lplA//cobT//hemL//
carAB	alsE//
casABCDE12	pyrE//
casDE12	tsaC//
cbpAM	
cbrBC	
ccmABCDEFGH	lplA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	dgoK//yjhG//citE//
chiP_ybfN	folA//
chpSB	dadA//
citCDEFXG	argH//ogt//mutH//
clpPX	yghA//mltD//fabD//selB//
clpX_lon	cobB//moaA//thiF//
clsA_yciU	murQ//
cmk_rpsA	rpiA//
cmoM_mukFEB	
cmtBA_yggPFDC	bacA//umuC//
coaE_zapD_yacG	icd//
cobUST	ppc//fbp//trmD//
codBA	ybjI//amn//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	puuB//
csgBAC	
csgDEFG	yfdE//
csiD_lhgO_gabDTP	prpE//abgA//moeB//rfbB//
cusCFBA	torZ//
cusRS	
cvpA_purF_ubiX	nudJ//lpxK//
cydAB	ahpF//
cydDC	glnS//
cydX_ybgE	coaD//
cynTS	yrfG//cheB//
cynTSX	pfkA//glcF//maeA//
cyoABCDE	phnG//glyS//
cysDNC	ahpF//hyi//
cysJIH	cysN//mtn//pgpB//
cysPUWAM	dgt//argA//pdxK//
dadAX	lacA//purB//
damX_dam_rpe_gph_trpS	cadA//glyQ//yfdR//acs//
dam_rpe_gph_trpS	tauD//gatD//speF//gloC//
dapA_bamC	miaB//
dapE_ypfN	cysJ//
dcm_vsr	hemE//
dcuB_fumB	galT//hycC//
dcuSR	
dcyD_tcyLN	pgm//cynT//
ddpXABCDF	garR//
def_fmt	paaI//cysI//
degQS	ribB//lpcA//
deoABD	leuS//argA//glgC//
deoBD	yeiG//ribC//
deoCABD	ribA//nudJ//mnmG//zwf//
dgoRKADT	glf//suhB//pyrB//mutH//
dhaKLM	xthA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	arnC//sgbH//
dinJ_yafQ	waaL//
dksA_gluQ	glk//
dmsABC	deoB//
dnaAN_recF	patZ//
dnaK_tpke11_dnaJ	ndh//
dnaN_recF	prpB//
dnaTC	
dnaTC_yjjA	
dosCP	cheB//dam//
dpiBA	
dppABCDF	ldtE//
dsbC_recJ_prfB	ahpC//fbaB//
dsbD_yjdC	
dsdXA	gss//aldB//
dusB_fis	waaU//
dut_slmA	ybjG//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	rfaD//eutB//
efeOB	adhP//
efeU_1U_2	
elbB_mtgA	roxA//
elfDCG_ycbUVF	
emrKY	tadA//
entCEBAH	cobT//lldD//ydiB//yohF//mraY//lsrK//
envY_ompT	yliI//
epd_pgk	lpxT//moaA//
epd_pgk_fbaA	rsmD//trpB//torC//
essD_rrrD_rzpD	mhpB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	garR//
eutHA	
eutNEJG	
eutSPQTDM	epmB//
evgAS	
exbBD	
fabDG_acpP	dhaL//guaA//
fabG_acpP	astA//
fabHDG	paaC//rimK//malQ//
fabR_yijD	
fadBA	metH//gabT//
fadD_sroD	rimK//
fadIJ	gudD//der//
fdnGHI	
fdoGHI_fdhE	nadK//
fdrA_ylbEF_ybcF	frlB//
fecABCDE	fumC//gcvP//
fecIR	
feoABC	moaA//
fepA_entD	menC//fre//ldtB//
fepDGC	allC//
fes_ybdZ_entF_fepE	moeA//gadA//treC//
fetAB	
fhuACDB	gor//rhaA//
ficA_fic_pabA	clsC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	accC//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	thrC//nagA//
folC_dedD	accA//
folD_ybcJ	hyi//
folE_yeiB	dcyD//
folP_glmM	napA//hycG//
folX_yfcH	nrdA//
frdABCD	rpe//
frlABCDR	leuC//pgpB//fadI//acnB//
frmRAB	yfcG//ynfE//
fruBKA	ldhA//moeB//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	nhoA//waaZ//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	aphA//citC//feaB//cobT//menD//paaG//hycC//aroF//yciV//lpoA//
ftsQAZ	
ftsYEX	
fucAO	purC//folX//
fucPIKUR	trpS//dam//ynfE//prs//
fumAC	aroE//pnp//
fusA_tufA	
gabDTP	adeD//lpcA//idnK//
gadAX	puuE//
gadBC	eutC//fabD//
gadEF	
gadEF_mdtEF	queC//
gadXW	
galET	prpC//udk//
galETK	lpxA//alsE//pgpA//
galETKM	menI//mltD//thiH//ispD//
gapA_yeaD	dmlA//
gapC_1C_2	
garPLRK_rnpB	yieF//caiB//folP//gmm//ddlA//metC//
gatYZABCD	ssuE//murA//ubiG//
gatZABCD	malP//sodC//yrfG//
