# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	fabZ//
aas_lplT	mnmE//
abgABT_ogt	citC//alkA//pyrE//
abpAB	
accBC	abgA//gshA//
aceBAK	ybiV//yagE//mtlD//
aceEF	ligB//tsaE//glpK//
ackA_pta	aroC//fabG//
acpP_fabF	trpC//
acrAB	yihV//birA//
acrEF	waaO//
acs_yjcH_actP	yciA//ubiD//
ada_alkB	rsmE//hinT//
agaS_kbaY_agaBCDI	yciV//
ahpCF	eno//
alaA_yfbR	rlmG//uidA//
alaWX	
allDCE	paoB//gpmM//lpxM//
alsBACE	recG//purE//
amiA_hemF	ubiA//mhpD//
ampDE	ynjE//
ansA_pncA	pgpA//gcvT//rfbA//
apaGH	rdgB//
appCBXA	mepS//ubiF//
araBAD	dosC//glgA//ghrB//
araE_ygeA	menF//
araFGH	glxK//
argCBH	rnd//mhpD//metL//
argT_hisJQMP	dmsC//hcaB//
argX_hisR_leuT_proM	
arnBCADTEF	aroL//dgcP//purU//queG//ppa//
aroF_tyrA	fumB//aroK//
aroKB_damX_dam_rpe_gph_trpS	opgB//adeD//glxK//etp//rfaD//ilvB//
aroL_yaiA_aroM	polA//
arpB_1B_2	
arsRBC	yciV//pyrH//
artPIQM	mnmA//
ascFB	pfkA//umuD//
asnC_mioC	
asnC_mioC_mnmG	prpB//
aspA_dcuA	ribB//hisS//
astCADBE	tsaB//aroC//coaD//kdgK//dgcP//
atoDAEB	tam//yfcF//sdaB//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	nudC//pinE//can//hypB//caiA//tyrS//
bamB_der	ttdA//
basRS	
