# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	argF//
aas_lplT	entB//
abgABT_ogt	pabC//galT//dfp//
abpAB	
accBC	rnd//ansA//
aceBAK	yeaG//ymdB//gloA//
aceEF	aldA//gshB//hemD//
ackA_pta	serA//ppsA//
acpP_fabF	surA//
acrAB	waaY//pdxK//
acrEF	rnpA//
acs_yjcH_actP	rlmI//ppiB//
ada_alkB	paaH//manA//
agaS_kbaY_agaBCDI	rluF//
ahpCF	frlC//
alaA_yfbR	yicI//ycjU//
alaWX	
allDCE	rutB//ilvG_2//glyA//
alsBACE	insI-2//rrrD//
amiA_hemF	yjhH//yeiR//
ampDE	rffM//
ansA_pncA	aroH//coaD//yibQ//
apaGH	mltD//
appCBXA	ldhA//gstB//
araBAD	yghU//emtA//guaD//
araE_ygeA	frdD//
araFGH	murE//
argCBH	mhpF//hpt//fbaB//
argT_hisJQMP	nanM//sodB//
argX_hisR_leuT_proM	
arnBCADTEF	rluC//rfbD//ispF//rfaE//rnt//
aroF_tyrA	nudG//garR//
aroKB_damX_dam_rpe_gph_trpS	ppsA//glpK//fadE//udp//pheS//nagZ//
aroL_yaiA_aroM	fabI//
arpB_1B_2	
arsRBC	nirD//ybbO//
artPIQM	gstB//
ascFB	epmB//mhpC//
asnC_mioC	
asnC_mioC_mnmG	rutD//
aspA_dcuA	pncA//rffM//
astCADBE	purC//ssuD//glyS//queA//dcd//
atoDAEB	rimK//yghU//ubiX//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	waaJ//ruvA//yjhH//slt//waaC//nfi//
bamB_der	pgi//
basRS	
bcsABZC	iaaA//ssuD//
bcsBZ	ppx//efeB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	asd//eutC//
bfd_bfr	ilvM//
bglGFB	ybhA//dsdA//
bglH_yieLK	
bioBFCD	lpxC//nrdB//mnmE//yggF//
brnQ_proY	pgpB//frdA//
btuB_murI	sthA//miaB//
btuCED	lpxL//coaE//
cadBA	rluF//dusC//
caiCDE	glyS//dgcT//
caiTABCDE	ilvC//allA//efeB//yfiC//ybbO//
carAB	trpB//
casABCDE12	cdh//
casDE12	mrdA//
cbpAM	
cbrBC	
ccmABCDEFGH	trmH//
cecR_ybhGFSR	
chaBC	
chbBCARFG	pdxJ//patA//waaJ//
chiP_ybfN	srlD//
chpSB	melA//
citCDEFXG	dgcM//hcaD//yagF//
clpPX	glgA//frdD//trpB//ygjK//
clpX_lon	fabI//pnp//caiB//
clsA_yciU	yohF//
cmk_rpsA	zwf//
cmoM_mukFEB	
cmtBA_yggPFDC	pdeR//uvrC//
coaE_zapD_yacG	miaA//
cobUST	ybiV//ushA//yjjX//
codBA	yqaB//nfsB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	rdgB//
csgBAC	
csgDEFG	gmk//
csiD_lhgO_gabDTP	ligB//hyuA//ghrA//puuC//
cusCFBA	truD//
cusRS	
cvpA_purF_ubiX	gudD//pgi//
cydAB	waaJ//
cydDC	yceF//
cydX_ybgE	mnmC//
cynTS	nudL//ybjG//
cynTSX	fadH//folK//mrdA//
cyoABCDE	phnN//ddlB//
cysDNC	narI//accB//
cysJIH	gatY//ubiE//ftsI//
cysPUWAM	fadM//rutD//queF//
dadAX	ftnA//ttdB//
damX_dam_rpe_gph_trpS	rbsK//insI-1//xthA//phnI//
dam_rpe_gph_trpS	ahr//rlmF//purN//cobB//
dapA_bamC	paaK//
dapE_ypfN	adhE//
dcm_vsr	pyrD//
dcuB_fumB	ulaF//mraY//
dcuSR	
dcyD_tcyLN	thiM//avtA//
ddpXABCDF	cysM//
def_fmt	rbsD//dosC//
degQS	purU//pncA//
deoABD	napG//purD//caiA//
deoBD	nadD//icd//
deoCABD	phnG//yiaK//metA//phnH//
dgoRKADT	gph//yiaK//rph//cysH//
dhaKLM	astE//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	hypF//glpD//
dinJ_yafQ	aphA//
dksA_gluQ	waaS//
dmsABC	ydiO//
dnaAN_recF	ydiO//
dnaK_tpke11_dnaJ	rlmB//
dnaN_recF	glyA//
dnaTC	
dnaTC_yjjA	
dosCP	panB//ybjI//
dpiBA	
dppABCDF	pgpA//
dsbC_recJ_prfB	trmO//amiD//
dsbD_yjdC	
dsdXA	nrfD//yegS//
dusB_fis	hemE//
dut_slmA	fabF//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	gloC//suhB//
efeOB	mltB//
efeU_1U_2	
elbB_mtgA	tsaE//
