#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b2357//
C0299	b2578//
C0362	b3356//
C0465	b1316//
C0614	b3097//
C0664	b0073//
C0719	b2267//
IS128	b3671//
aaeR	b2506//
aaeXAB	b1286//b4066//b2977//
aas-lplT	b0157//b4220//
aat	b0421//
abgABT-ogt	b0511//b0670//b1871//b3646//
abgR	b0406//
abpAB	b3031//b2669//
abrB	b3199//
accA	b2902//
accBC	b3236//b3079//
accD	b2686//
aceBAK	b1292//b2478//b1463//
aceEF	b1754//b1921//
aceK	IS128//
ackA	b0714//
ackA-pta	b4006//b4317//
acnA	b4304//
acnB	b1264//
acpH	b2747//
acpP	b0541//
acpP-fabF	b4060//b0446//
acpT	b1315//
acrAB	b3689//b4378//
acrB	b2700//
acrD	b0653//
acrEF	b1330//b4355//
acrR	b0010//
acrZ	b0064//
acs-yjcH-actP	b0969//b2423//b3493//
actP	b4347//
ada-alkB	b1658//b1129//
add	b3454//
adeD	b2730//
adeP	b1991//
adeQ	b1403//
adhE	b0894//
adhP	b0070//
adiA	b2672//
adiC	b0189//
adiY	b0866//
adk	b1234//
aegA	b2442//
aer	b4544//
aes	b2278//
agaR	b2451//
agaS-kbaY-agaBCDI	b4310//b2962//b1500//b4234//b4105//b3586//
agp	b1507//
agrA	b1304//
agrB	b1942//
ahpCF	b0858//b2118//
ahpF	b3981//
ahr	b2744//
aidB	pbl//
ais	b2188//
alaA	b3747//
alaA-yfbR	b0756//b0801//
alaC	b0550//
alaE	b0086//
alaS	b3570//
alaWX	b0897//b2316//
aldA	b3360//
aldB	b3311//
alkA	b0086//
alkB	b3808//
allA	b3204//
allDCE	b1365//b1809//b1000//
allR	b4365//
allS	b4045//
alpA	b3267//
alr	b1120//
alsBACE	b1408//b4308//b1478//b0094//
alsK	b1003//
alx	b1389//
amiA-hemF	b3193//ydbA_2//
amiC	b4533//
amn	b2904//
ampC	b0707//
ampDE	b4054//b2317//
ampG	b1910//
ampH	b3256//
amyA	b4312//
anmK	b2736//
ansA-pncA	b1817//b1913//
ansB	b3628//
ansP	b1210//
apaGH	b4081//b1940//
aphA	b2922//
appA	b1767//
appCBXA	b1960//b3035//b3599//b0860//
appY	b2799//
apt	b2821//
aqpZ	b3561//
araBAD	b1387//b2590//b2531//
araC	b0612//
araE	b4372//
araE-ygeA	b2843//b0927//
araFGH	b3550//b2821//b1149//
araJ	b1482//
arcA	b2635//
arcB	b0176//
arcZ	b2835//
arfA	b1321//
argA	gapC_2//
argCBH	b2093//b3894//b3297//
argD	b2197//
argE	b1763//
argF	b0033//
argG	b2471//
argI	b3922//
argO	b4325//
argP	b1194//
argQ	b3496//
argR	b3716//
argS	b3073//
