# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ygiF//
aas_lplT	napA//
abgABT_ogt	lpd//truD//rffT//
abpAB	
accBC	yigL//cmk//
aceBAK	serC//tauD//yfbT//
aceEF	ybiV//rfbC//paaY//
ackA_pta	bglX//pdeL//
acpP_fabF	bioD//
acrAB	cobS//panD//
acrEF	rpiA//
acs_yjcH_actP	phnN//truB//
ada_alkB	upp//tam//
agaS_kbaY_agaBCDI	uxuB//
ahpCF	paaE//
alaA_yfbR	malY//aspA//
alaWX	
allDCE	murQ//bglA//pabC//
alsBACE	gltB//trmD//
amiA_hemF	fadD//frc//
ampDE	iaaA//
ansA_pncA	hcp//umuD//yceF//
apaGH	trpE//
appCBXA	rlmF//yjiA//
araBAD	nemA//paaG//waaO//
araE_ygeA	cysS//
araFGH	fes//
argCBH	hyaA//proB//ssuE//
argT_hisJQMP	speD//yahK//
argX_hisR_leuT_proM	
arnBCADTEF	ppk//ldcA//ldtC//metE//hemG//
aroF_tyrA	metF//dmsC//
aroKB_damX_dam_rpe_gph_trpS	ycjU//ilvG_2//cmk//kdsB//cobU//hemG//
aroL_yaiA_aroM	trmL//
arpB_1B_2	
arsRBC	fabA//nfsA//
artPIQM	menC//
ascFB	thiC//prmB//
asnC_mioC	
asnC_mioC_mnmG	rpiA//
aspA_dcuA	argH//phnM//
astCADBE	deoD//pagP//epd//cpsB//prpB//
atoDAEB	mhpE//hycB//arnT//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	ydbC//talB//dmsB//yniC//fabA//nudF//
bamB_der	tsaE//
basRS	
bcsABZC	paaK//moaA//
bcsBZ	lipA//glmS//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	allC//torC//
bfd_bfr	lpxB//
bglGFB	gshA//ruvC//
bglH_yieLK	
bioBFCD	glpE//pykA//pflB//tdk//
brnQ_proY	gntK//entD//
btuB_murI	menB//malP//
btuCED	nrdB//ndh//
cadBA	fadE//leuC//
caiCDE	caiD//tynA//
caiTABCDE	dapA//mhpF//hyuA//rsmI//truC//
carAB	mutS//
casABCDE12	ynjE//
casDE12	fumA//
cbpAM	
cbrBC	
ccmABCDEFGH	yciV//
cecR_ybhGFSR	
chaBC	
chbBCARFG	pyrE//gpmA//wecC//
chiP_ybfN	ygjK//
chpSB	zwf//
citCDEFXG	folK//napB//yjhH//
clpPX	cmoA//dgoK//pgpA//wzc//
clpX_lon	tesB//waaY//fucU//
clsA_yciU	mltC//
cmk_rpsA	aroA//
cmoM_mukFEB	
cmtBA_yggPFDC	glyA//yjcS//
coaE_zapD_yacG	pabC//
cobUST	pdxY//mltA//pdxH//
codBA	rsgA//aceA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	prmB//
csgBAC	
csgDEFG	yfdR//
csiD_lhgO_gabDTP	gltA//yfdR//glxK//pyrI//
cusCFBA	dnaQ//
cusRS	
cvpA_purF_ubiX	yghA//ygaP//
cydAB	fucA//
cydDC	glxR//
cydX_ybgE	sodB//
cynTS	dkgB//dxr//
cynTSX	yfdE//frlD//ispD//
cyoABCDE	tesA//lhgO//
cysDNC	aphA//tmk//
cysJIH	hisI//rlmF//hisC//
cysPUWAM	dapE//gltB//paaI//
dadAX	dosP//rutA//
damX_dam_rpe_gph_trpS	gabD//fre//alsK//phnJ//
dam_rpe_gph_trpS	acpT//ndk//yagE//yghA//
dapA_bamC	yeaG//
dapE_ypfN	pyrD//
dcm_vsr	anmK//
dcuB_fumB	aroF//yneH//
dcuSR	
dcyD_tcyLN	asnS//ampD//
ddpXABCDF	gadB//
def_fmt	lpxH//rsmJ//
degQS	yihX//hycG//
deoABD	tnaA//puuC//menB//
deoBD	tyrA//rbn//
deoCABD	pnp//nirB//rnpA//dgcT//
dgoRKADT	mutT//mnmE//kbaY//pykA//
dhaKLM	gloA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	hemE//ribB//
dinJ_yafQ	treF//
dksA_gluQ	aphA//
dmsABC	speB//
dnaAN_recF	gstA//
dnaK_tpke11_dnaJ	hcaE//
dnaN_recF	mltA//
dnaTC	
dnaTC_yjjA	
dosCP	yfdE//allC//
dpiBA	
dppABCDF	eutD//
dsbC_recJ_prfB	pck//fabZ//
dsbD_yjdC	
dsdXA	ppiA//aspS//
dusB_fis	miaB//
dut_slmA	dcm//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	queF//psuK//
efeOB	xapA//
efeU_1U_2	
elbB_mtgA	mhpD//
elfDCG_ycbUVF	
emrKY	purT//
entCEBAH	menH//uxuB//dam//rsgA//aceF//mutY//
envY_ompT	cyaA//
epd_pgk	nudB//cysM//
epd_pgk_fbaA	cheR//argI//nagB//
essD_rrrD_rzpD	gapA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	adeD//
eutHA	
eutNEJG	
eutSPQTDM	glnS//
evgAS	
exbBD	
fabDG_acpP	fabD//surA//
fabG_acpP	glpK//
fabHDG	alkA//nudE//pdxB//
fabR_yijD	
fadBA	hycF//dxr//
fadD_sroD	tdcE//
fadIJ	napB//phnP//
fdnGHI	
fdoGHI_fdhE	prpB//
fdrA_ylbEF_ybcF	purM//
fecABCDE	mraY//menH//
