# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Mon May 14 11:46:21 2018 from /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/clusters_coexp.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
# From /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/dir_to_regulon_file.pl on Wed May  9 15:52:41 2018
# Input = /Users/Daniela/Documents/PhD/Colaboraciones/Misha/clusters_3/clusters/
aceB	b4014//b4015//
aceF	b0114//b0115//
adiC	b4115//b4117//
araH	b1900//b1901//b4460//
artP	b0863//b0864//
artQ	b0861//b0862//
atpH	b3733//b3734//b3735//b3736//b3737//b3738//
bcsB	b3532//b3533//
bcsF	b3536//b3537//
betI	b0311//b0312//b0313//
btuE	b1709//b1710//
cadB	b4131//b4132//
ccmE	b2197//b2198//b2199//
ccmH	b2194//b2195//b2196//
chbR	b1735//b1736//
chpR	b2782//b2783//
citF	b0615//b0616//b0617//
cobU	b1991//b1992//b1993//
csgG	b1037//b1038//b1039//b1040//
cueR	b0487//b0999//b1000//
cusF	b0572//b0573//b0574//b0575//
cyoE	b0428//b0429//b0430//b0431//b0432//
dacA	b0474//b0632//
ddpC	b1485//b1486//
ddpF	b1483//b1484//b1487//b1744//
deoD	b4381//b4382//b4383//b4384//
dhaM	b1198//b1199//b1200//
dmsB	b0894//b0895//
dnaK	b0014//b0015//
dppF	b3540//b3541//b3542//b3543//b3544//
edd	b1850//b1851//
efeU	b1018//efeU//
eptA	b2252//b2253//b2254//b2255//b2256//b2257//b4112//b4113//b4114//
eutL	b2439//b2440//
eutT	b2456//b2458//b2459//b2460//b2461//b2462//
fabG	b1093//b1094//
fadB	b3845//b3846//
fdnI	b1474//b1476//
fecE	b4287//b4288//b4289//b4290//b4291//
fepC	b0588//b0591//
fepG	b0589//b0590//
fhuD	b0150//b0151//b0152//b0153//
fimH	b4317//b4318//b4319//b4320//
fimI	b4314//b4315//b4316//
fklB	b3731//b3732//b4207//
flhD	b1891//b1892//
frmR	b0356//b0357//
fruK	b2167//b2168//b2169//
ftsN	b3463//b3475//b3933//
gadX	b3515//b3516//
galT	b0756//b0757//b0758//b0759//
garR	b3124//b3125//b3126//b3127//b3128//
gatZ	b2094//b2093//b2092//b2091//b2090//b2096//b2095//
gcvT	b2903//b2904//b2905//
glcG	b2976//b2977//b4467//
glgX	b3429//b3430//b3431//b3432//
glnL	b3869//b3870//
glnQ	b0809//b0810//b0811//
glpT	b2239//b2240//b2241//b2242//b2243//b3426//b3926//b3927//
gltB	b3212//b3433//
gltL	b0652//b0653//
glxR	b0505//b0509//
gspB	b3322//b3323//
gspD	b3324//b3325//
gspF	b3138//b3327//
gspM	b3333//b3334//
hisQ	b2307//b2308//b2309//
holC	b0092//b0093//b0094//b4259//
htpG	b0473//b4142//b4143//
hybC	b2994//b2995//
hybG	b2990//b2991//b2992//
hybO	b2997//b4122//b4123//
hydN	b2713//b2717//b2718//b2719//b2720//b2721//b2722//b2723//b2724//b2725//b4079//
hyfB	b2451//b2455//b2482//
hyfR	b2222//b2487//b2488//b2490//b2491//
ibpB	b3686//b3687//
ileY	b2652//b3069//
ilvM	b3772//b3771//b3770//ilvG//b3769//
ilvN	b3670//b3671//
iscU	b2527//b2528//b2529//b2530//b2531//
iscX	b2524//b2525//b2526//
kdsD	b2748//b3197//
ksgA	b0050//b0051//
lacZ	b0342//b0343//b0344//
lar	b0983//b1348//
leuZ	b0536//b1909//b1910//b4369//
lldR	b3603//b3604//b3605//
lpxP	b0989//b0990//b1552//b2378//
lspA	b0026//b0027//b0028//
lsrR	b1511//b1512//b1513//b1514//b1515//b1516//b1517//b1518//
lyx	b3580//b3693//
malQ	b3416//b3417//b4032//b4033//b4034//b4035//b4036//b4037//
manZ	b1817//b1818//b1819//
marR	b1530//b1531//
mcbA	b0695//b0806//
mcrA	b0554//b1159//
mdtJ	b1599//b1600//
menD	b2261//b2262//b2264//
metN	b0198//b0199//
mglC	b2148//b2149//b2150//
mhpB	b0347//b0348//
mhpF	b0350//b0351//
minD	b1175//b1651//
minE	b1174//b1176//
mnmG	b3740//b3741//
moaE	b0781//b0782//b0783//b0784//b0785//
mokB	b1420//b4428//
mpl	b4053//b4233//
mprA	b2684//b3176//b3177//
mraZ	b0081//b0082//b0083//b0148//
mrp	b2029//b2113//
murE	b0085//b0087//
nagB	b0677//b0678//
nanM	b4310//b4311//
napF	b2202//b2208//
napH	b2203//b2204//b2205//b2206//b2207//
narJ	b1224//b1225//b1226//
narZ	b1467//b1468//
nirD	b3365//b3366//b3367//
nrdG	b4237//b4238//
nrdI	b2673//b2674//b2675//b2676//
nrfC	b4070//b4071//b4072//
nuoB	b2287//b2288//
nuoN	b2276//b2277//b2278//b2279//b2280//b2281//b2282//b2283//b2284//b2285//b2286//
oppF	b1243//b1244//b1245//b1246//b1247//
paaI	b1388//b1389//b1390//b1391//b1392//b1393//b1394//b1395//b1396//
pdhR	b0113//b0182//
pdxK	b1120//b1638//b2418//
pflB	b0903//b0904//
pgk	b1779//b2925//b2926//
pheL	b0075//b2598//
phnE	b4104//b4106//
phnL	b4096//b4100//b4101//b4102//
pntA	b0928//b1603//
polA	b3208//b3863//
potH	b0775//b0776//b0777//b0778//b0854//b0855//b0856//
ppa	b3347//b4226//
ppdD	b0042//b0108//
ppx	b2501//b2502//
proX	b2677//b2678//b2679//
prpD	b0331//b0333//b0334//
pspD	b1304//b1305//b1306//b1307//
pstB	b3724//b3725//
pstS	b3726//b3727//b3728//
purT	b0522//b0523//b1849//b2312//b2313//b2476//b2499//b2500//b2557//b4006//
putP	b1014//b1015//
puuR	b1297//b1298//b1299//b1300//
pyrI	b0032//b0033//b0336//b0337//b4244//b4245//
rbsK	b3748//b3749//b3750//b3751//b3752//
rcsD	b2216//b2217//
recQ	b3822//b3918//
relE	b1563//b1564//
rhaB	b3903//b3904//
ribF	b0025//b0088//b0089//b0091//
rlpB	b0641//b0642//b2515//
rluA	b0058//b0059//
rpmI	b1716//b1717//
rpoN	b3202//b3203//
rseA	b2572//b2573//
rsxB	b1627//b1628//
rtcR	b3422//b4081//
rutG	b1006//b1007//b1008//b1009//b1010//b1011//b1012//
ryhB	b3337//b4451//
sapD	b1291//b1292//b1293//
serC	b0907//b0908//
serT	b0971//b2189//b3545//b3658//
sfmH	b0533//b0534//
slyA	b1642//b1708//
smpB	b2620//b3413//
srlE	b2702//b2703//b2704//b2705//b2706//
sroB	b1954//b4585//
sseB	b2522//b2523//
sspB	b3228//b3229//
ssrS	b2911//b3123//b4609//
sucD	b0118//b0720//b0721//b0722//b0723//b0724//b0726//b0727//b0728//b0729//b2463//b3236//b3962//
sufS	b1679//b1680//b1681//b1682//b1683//b1684//
tatA	b2961//b3836//
tdcG	b3113//b3114//b3115//b3116//b3117//b3118//b4471//
tdh	b3616//b3617//b3892//b3893//b3894//b4443//
tdk	b1204//b1238//
thrC	b0002//b0003//b0004//
thrW	b0244//b2864//b3797//b3799//
tnaC	b3403//b3707//b3708//
tolC	b3035//b3385//b3386//b3560//
tolR	b0737//b0738//b0739//
treC	b4239//b4240//
trmI	b0910//b2960//
trpL	b0751//b1264//b1265//b2103//b2104//
truB	b0183//b3166//
truD	b2744//b2745//b2946//
trxA	b2914//b3781//
trxB	b0369//b0888//
tyrA	b2600//b2601//
tyrB	b3956//b3957//b4054//
tyrU	b0672//b3796//b3976//b3977//b3978//
upp	b1132//b1133//b1207//b2400//b2498//
uraA	b0945//b1062//b2497//
usg	b2318//b2319//
valV	b1665//b2348//b4270//
visC	b2906//b3833//b3838//b3967//
waaU	b3618//b3623//b3624//b3625//b3626//b3627//b3628//b3629//b3630//b3631//b3632//
wbbL	b2036//b2039//b2041//b2038//b2040//b2037//b2035//b2035//b2034//b2033//b2032//wbbL//
wcaE	b2055//b2056//
wcaL	b0996//b0997//b1701//b2044//b2051//
wzxE	b3791//b3792//
xerD	b2893//b2894//
xylA	b3530//b3565//
yaaW	b0011//b0013//
yadM	b0137//b0138//
yaeB	b0158//b0195//
yaeI	b0038//b0164//
yafZ	b0252//b0263//
yajG	b0120//b0121//b0434//b3255//
ybaN	b0468//b3005//b3006//b4293//b4367//
ybbC	b0497//b0498//
ybbW	b0365//b0366//b0368//b0511//b0936//
ybcO	b0320//b0549//
ybdD	b0598//b1189//b1190//b1415//b1611//b2341//b2342//b4512//
ybeA	b0635//b0636//b2517//b2765//b3259//b3930//
ybeZ	b0659//b0660//
ybfC	b0545//b0704//
ybgC	b0409//b0736//
ybgJ	b0710//b0711//
ybgT	b0733//b0734//b0735//b4515//
ybhC	b0772//b1123//b1124//b1767//
ybiC	b0801//b1260//b1261//b1262//b1263//b1761//b2019//b2020//b2021//b2022//b2023//b2024//b2025//b2026//
ybiH	b0795//b0796//
ybiX	b0583//b0584//b0585//b0586//b0592//b0593//b0594//b0595//b0596//b0597//b0804//b0805//b1102//b2155//b4511//
ybjC	b0850//b0851//
ycbS	b0939//b0940//
ycbT	b0941//b0984//
ycbZ	b0955//b1294//
yccB	b0972//b0973//b0974//b0975//b0976//b0977//b0978//b0979//b0980//b4592//
yccJ	b1003//b1004//
yccM	b0873//b0896//b0992//
yccW	b0967//b1125//b1126//
ycdZ	b1036//b2143//
yceD	b1088//b4418//
yceG	b1096//b1097//b1098//
ycfM	b1103//b1104//b1105//
ycgM	b1177//b1180//b1662//
ychS	b1578//b0018//b4608//pawZ//b4603//b4608//b1228//
yciC	b1254//b1255//
yciH	b1281//b1282//
ycjT	b1312//b1316//
ycjV	b2453//b2454//b4524//
ydaU	b1358//b1359//
ydaV	b1360//b1617//
ydaW	b1361//b1362//
ydcQ	b1438//b1844//
ydcW	b1443//b1444//
yddB	b1494//b1495//
ydeT	b1503//b1504//b1505//
ydeU	b1407//b1509//
ydfE	b0943//b0982//b1577//
ydfV	b1085//b1565//
ydhS	b1490//b1668//
ydiH	b1685//b4430//
ydiR	b1698//b2068//
ydjL	b1772//b1773//b1774//b1776//
yeaC	b1612//b1777//b1778//
yeaK	b1430//b1787//b1912//
yeaZ	b1435//b1629//b1807//
yebB	b1386//b1862//
yebC	b1034//b1048//b1134//b1215//b1864//b1865//b1866//
yebF	b0779//b1847//
