# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Wed May 16 13:34:40 2018 from /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/complex_strong.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
# From /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/scripts/create_datasets.pl on Wed May 16 13:32:52 2018
# Input = /Users/Daniela/Documents/CCG/datasets/TRN/tf_gene_strong.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_active.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_inactive.txt
#GU name	Genes
AcrR_CpxR_Fis_Rob_SoxS	b1531//b1532//b1530//
AcrR_SoxR	b4063//
AcrR_SoxR_SoxS	b4062//
Ada	b2213//b2068//b2212//
Ada_AidB_Lrp	b4187//
AdiY	b4117//
AdiY_ArgR_CRP_GadE_HdfR_IHF	b3212//b3213//b3214//
AdiY_FliZ_GadE_GadW_GadX	b1493//b1492//
AdiY_GadE-RcsB_GadW_GadX_H-NS_RcsB	b3517//
AdiY_GadE_GadE-RcsB_GadW_GadX_H-NS_RcsB_RutR	b3516//
AgaR	b3138//b3139//b3140//b3141//b3131//b3136//b3137//
AgaR_CRP	b3135//b3133//b3134//b3132//
AlaS	b2697//
AraC	b2841//b2840//
AraC_CRP	b0062//b0063//b0064//b0061//
ArcA	b0723//b0724//b0721//b0722//b4059//b0726//b0727//b0728//b0729//b4058//
ArcA_CRP_EvgA_FliZ_GadE_H-NS_YdeO	b3512//gadF//
ArcA_Cra	b1136//
ArcA_FNR	b0827//b0826//
ArcA_Fis_Mlc_SoxS	b1101//
ArcA_IscR_YdeO	b0972//b0973//b0974//b0975//b0976//b0977//
ArcA_MqsA	b2741//
ArcA_NarL	b0904//b0903//
ArgP	b0166//b1761//b2838//b4024//
ArgP_DnaA	b3702//b3701//b3700//
ArgP_DnaA_Fis_H-NS_NrdR	b2234//b2235//b2236//
ArgP_Lrp	b2156//
ArgR	b0874//
AtoC	b2222//b2224//b2221//b2223//
BaeR_CpxR	b2470//
BasR	b1552//b4042//b3207//
BasR_CpxR	b0460//b0461//
BasR_CpxR_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RstA	b1040//b1039//b1038//b1037//
BasR_H-NS_IHF_NanR	b4312//
BasR_PutA	b1014//
BasR_QseB	b3025//b3026//
BirA	b0774//b0775//b0777//b0778//b0776//
BluR	b1166//b1164//b1165//b1167//
CRP	b1901//b1900//b4460//b0396//b3172//b2716//b2715//b1111//b3806//b2344//b0124//b2904//b2903//b2905//b3429//b3430//b3428//b3425//b3424//b3423//b3415//b3608//b4175//b4174//b4173//b4172//b0125//b3671//b3670//b3168//b3672//b0345//b3418//b4426//b3171//b0346//b3169//b3164//b0331//b0333//b0334//b0335//b3167//b3170//b3165//b3609//b3166//b3781//b2509//b3356//
CRP_ComR	b1112//
CRP_CpxR_CytR	b3363//
CRP_Cra	b3599//b3600//b3601//b3403//
CRP_Cra_Fis	b3357//
CRP_CytR	b2143//b3934//b2964//b3831//
CRP_CytR_ModE	b4382//b4383//b4381//b4384//
CRP_DcuR	b3528//
CRP_DinJ-YafQ	b0623//
CRP_DnaA	b2507//b2508//
CRP_EvgA_FliZ_GadE_H-NS_YdeO	b3513//b3514//
CRP_FNR_H-NS_SlyA	b1182//
CRP_Fis	b4000//b0440//b4111//
CRP_Fis_HipAB	b2783//b2782//
CRP_Fis_IHF	b3260//b3261//
CRP_FliZ_H-NS_HdfR_LrhA_MatA_RcsAB	b1891//b1892//
CRP_GlpR	b3426//
CRP_GlrR_NtrC_RcsB	b2573//b2572//b2571//b2570//
CRP_H-NS	b0342//b0343//b0344//
CRP_H-NS_LeuO	b2755//b2754//b2760//b2759//b2758//b2757//b2756//
CRP_HipAB_NtrC	b2784//
CRP_IHF	b3404//b3580//b3405//b1388//b1389//b1390//b1391//b1392//b1393//b1394//b1395//b1396//b1397//b1398//b1387//b3583//b3581//b3582//b3574//b3575//b3576//b3577//b3578//b3579//
CRP_Lrp	b1189//b1190//
CRP_LsrR	b1513//b1516//b1514//b1515//b1517//b1518//b1511//b1512//b1519//
CRP_MarA_Rob_SoxR_SoxS	b1611//
CRP_NanR	b3225//b3223//b3222//b3224//b3221//
CRP_NarL	b4124//
CRP_PhoB	b0330//b4030//b3452//b3453//b3450//b3451//b3449//
CRP_UvrY	b4457//
CadC_GadE-RcsB_Lrp	b4131//b4132//
CaiF	b0039//b0038//b0037//b0036//b0035//b0040//b0041//b0042//b0043//b0044//
Cbl_CysB	b0365//b0366//b0367//b0368//
Cbl_CysB_IHF	b0936//b0933//b0934//b0935//b0937//
CecR	b0796//b0794//b0795//b0792//b0793//
ChbR	b1736//b1738//b1737//b1734//b1733//b1735//
CpxR	b2079//b2078//b1888//b1887//b3911//b4484//cpxQ//b3912//b4438//b1535//b3860//b1016//efeU_2//b1902//b1113//b0925//b2074//b2075//b2076//b2077//b1890//b1889//b3096//b3859//b4431//b1743//b4355//b0970//b1846//b3095//
CpxR_TyrR	b0754//
Cra	b1851//b2779//b2927//b2925//b3916//b2926//
Cra_FhlA	b2712//
Cra_IHF_IclR	b4015//b4014//b4016//
Cra_PhoB	b1850//
CsgD	b1071//b1070//b3661//b1004//b1003//b0964//b3156//b3157//
CsgD_FlhDC	b1937//b1938//b1939//b1940//b1941//b1942//b1943//
CspA_Fis_H-NS	b1237//
CueR	b0484//b0123//
CusR_PhoB	b0575//b0574//b0572//b0573//b0571//b0570//
CynR	b0338//b0340//b0339//b0341//
CysB	b1987//b2422//b2421//b2425//b2424//b2423//
CytR	b0411//
CytR_IHF	b3461//
Dan	b3061//b3062//b3060//b3063//
DcuR	b4123//b4122//
DcuR_DpiA	b0620//b0619//
DcuR_NarL	b4154//b4153//b4152//b4151//
DicA	b1569//b1567//b1568//
DinJ-YafQ	b0226//b0225//
DnaA	b1415//b3863//b4670//
DpiA	b0618//b0617//b0616//b0615//b0613//b0614//b3093//b3236//
ExuR	b3094//
ExuR_UxuR	b4357//
FNR	b4699//b2579//b1210//b2503//b1211//b1212//
FNR_H-NS_IHF	b3368//b3365//b3367//b3366//
FNR_H-NS_NrdR	b4238//b4237//
FNR_MetR	b2552//
FNR_NarL	b1224//b1225//b1227//b1226//
FNR_NarL_NarP	b1669//b1670//b1673//b1672//b1671//b1674//
FNR_NarL_OxyR	b0873//b0872//
FadR	b2323//b1092//b1093//b1091//b1805//b0221//b2342//b2341//sroD//
FadR_HipB	b3081//
FadR_IclR	b4018//
FeaR	b1385//b1386//
FhlA	b2713//
FhlA_IHF	b2731//b2726//b2727//b2728//b2729//b2730//
FhlA_IHF_ModE	b2725//b2724//b2723//b2722//b2721//b2720//b2719//b2718//b2717//
FhlA_NarL	b4079//
Fis	b1241//b3853//b3276//b0203//b1000//b0999//b4008//b2590//b3978//b2231//b3699//b3852//b3277//b0202//b2781//b1739//b0405//b3855//b3274//b4010//b3272//b2588//b0205//b3854//b3275//b4009//b2589//b0204//b3851//b3278//b4007//b2591//b0201//b3979//b3976//b3273//b1274//b3980//b3977//b1797//b1796//
Fis_Fur	b3123//
Fis_H-NS	b0812//
Fis_H-NS_LeuO	b3721//b3722//b3723//
Fis_H-NS_Lrp	b3969//b3971//b3970//b3968//
Fis_H-NS_Lrp_StpA	b2912//b2911//
Fis_IHF	b2288//b2287//b2286//b2285//b2284//b2283//b2282//b2281//b2280//b2279//b2278//b2277//b2276//
Fis_IHF_NarL_NarP	b4070//b4071//b4072//b4073//b4074//b4075//b4076//
Fis_Lrp	b3757//b3759//b3758//b3756//
Fis_NarL	b1335//
Fis_PdhR	b1109//
FlhDC	b1073//b1074//b1075//b1076//b1077//b1078//b1079//b1080//b1081//b1082//b1083//b1879//b1880//b1878//b1924//b1944//b1945//b1946//b1947//b1948//b1949//b1950//b1925//b1926//b0655//b0654//b0653//b0652//sroC//b1904//
FlhDC_MatA	b1922//b1921//b1920//
FliZ	b2127//b1285//
FliZ_H-NS_MarA_PhoP	b3510//b3509//b3508//
FliZ_Lrp	b4376//
Fur	b0240//b0591//b0588//b0590//b0589//b0150//b0153//b0151//b0152//b3124//b3126//b3127//b3125//b1548//b1546//b1547//
Fur_H-NS	b1905//b3324//b3325//b3326//b3327//b3328//b3329//b3330//b3331//b3332//b3333//b3334//b3335//
Fur_IHF_IscR_OxyR	b1684//b1683//b1682//b1681//b1679//b1680//
Fur_Lrp	b1243//b1244//b1245//b1246//b1247//
Fur_OxyR_SoxS	b0683//
Fur_PurR	b1062//
GadE	b1951//
GadE-RcsB	b4115//b3800//
GadE-RcsB_H-NS	b3491//
GadE-RcsB_H-NS_YdeO	b3507//b3506//
GadE_H-NS_PhoP_RutR_YdeO	b3515//
GadX	b3966//b3967//
GalR	b2837//
GalR_GalS_H-NS_HU	b0759//b0757//b0756//b0758//
GlpR	b2241//b2242//b2243//b3927//b3926//b3925//
GlpR_IHF	b2239//b2240//
GlrR_IHF	b4441//
H-NS	b4116//b0564//b3338//b2369//b2370//b3323//b3322//b1967//b4480//b0889//b2217//b2216//b1499//b4364//
H-NS_HypT	b0733//b0734//
H-NS_LeuO	b4366//b0076//b4365//
H-NS_LrhA	b4313//
H-NS_Lrp	b4314//b4316//b4317//b4318//b4319//b4320//b4315//
H-NS_McbR	b1257//b1258//b1259//
H-NS_MlrA	b4133//
H-NS_NarL_NarP_RcsB_UvrY	b1501//
H-NS_PhoP	b3511//
HigA_HigB-HigA	b3082//b3083//
HipAB_HipB	b1507//b1508//
HypT	b0198//b0199//b0197//
IHF	b2762//b2763//b2764//b1334//b1712//b0912//b3772//b3771//b3770//ilvG_1//ilvG_2//b3766//b3769//b4669//b2710//b2711//b3724//b2677//b2678//b2679//b3726//b3725//b3727//b3728//b4026//b4027//b4028//b4029//
IHF_MarA	b3908//
IHF_ModE	b0894//b0895//b0896//
IHF_NarL	b1223//
IHF_NtrC	b0811//b0810//b0809//
IscR	b0156//b2528//b2531//b2530//b2529//b3414//b2630//b2631//b1706//
IscR_ModE	b2206//b2203//b2202//b2207//b2208//b2205//b2204//
KdpE	b0698//b0697//b0696//b4513//
LexA	b4044//b4043//b2821//b2699//b2820//b2819//b2698//b1861//b1860//b1184//b1183//b0779//
LrhA	b2289//
Lrp	b2923//b2659//b2661//b2663//b2662//b2660//b3460//b2913//
Lrp_OmpR_Rob	b4439//
Lrp_RcsB	b1482//
MarA_OxyR_SoxS	b0851//b0852//b0850//b0853//
MarA_PurR	b4177//
MarA_Rob_SoxS	b2237//b4396//b1852//
MarA_SoxS	b1276//b0578//b0950//b0951//
MatA	b0293//b0294//b1923//
McbR	b0806//
MelR	b4119//b4120//b4118//
MetJ	b3008//
MetJ_MetR	b3829//b3828//
MetR	b2551//
Mlc	b2417//b2415//b2416//
MlrA	b3190//b3183//b3186//b3185//b3184//
MngR	b0731//b0732//b0730//
ModE	b2201//b2200//b2199//b2198//b2197//b2196//b2195//b2194//b0781//b0782//b0783//b0784//b0785//b0763//b0764//b0765//b1221//b1222//
MprA	b2685//b2686//b2684//
MqsA	b0880//b3021//b3022//
MurR	b2429//b2428//
Nac	b1988//
NagC	b3729//b3730//b0678//b0676//b0679//b0675//
NagC_PhoP	b0677//
NanR	b4311//b4310//b4309//b4279//b4280//
NarL	b4139//b4138//b4125//
NhaR_OmpR	b1024//b1023//b1022//b1021//
NikR	b3476//b3477//b3478//b3479//b3480//b3481//
NimR	b1790//b1791//
NrdR	b2675//b2676//b2673//b2674//
NtrC	b3870//b3868//b3869//
OmpR	b0435//b1634//b2215//b0929//
OxyR	b0605//b0606//b0604//b4367//b2000//b0849//b0475//b4435//b3942//b3961//b4458//b2582//b1203//
OxyR_SoxS	b4637//
PaaX	b1399//b1400//
PdeL	b0315//
PdhR	b0432//b0431//b0430//b0429//b0428//
PepA	b0032//b0033//b4260//
PgrR	b1326//b1323//b1322//b1325//b1321//b1327//b4525//b4673//
PhoB	b1384//b1782//b4106//b4105//b4104//phnE_2//b4102//b4101//b4100//b4099//b4098//b4097//b4096//b4095//b4094//b4093//b4092//b0399//b1020//b0400//b0397//b0398//b1540//b2063//b3521//
PhoB_YedW	b1970//
PhoP	b0557//b0154//b1160//b1826//b4242//b4702//b1641//b4241//
PspF	b4050//
PutA	b1015//
