# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Mon May 14 11:46:13 2018 from /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/complex_regulons.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
# From /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/scripts/create_datasets.pl on Wed May  9 11:33:01 2018
# Input = /Users/Daniela/Documents/CCG/datasets/TRN/tf_gene.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_active.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_inactive.txt
#GU name	Genes
AccB_FadR	b3255//b3256//
AcrR	b0464//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b1531//b1532//b1530//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b1891//b1892//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b0463//b0462//
AcrR_FNR_Fur_SoxR	b4063//
AcrR_FNR_Fur_SoxR_SoxS	b4062//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b4439//
Ada	b2213//b2068//b2212//
Ada_AidB_Lrp	b4187//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b3517//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b3516//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b3212//b3213//b3214//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b1493//b1492//
AdiY_H-NS_IHF	b4117//
AgaR	b3138//b3139//b3140//b3141//b3131//b3136//b3137//
AgaR_CRP	b3135//b3133//b3134//b3132//
AlaS	b2697//
AllR	b0505//b0512//b0504//b0507//b0514//b0509//b0508//b0511//b0513//
AllS	b0516//b0517//b0515//
AlsR	b4087//b4088//b4086//b4085//b4090//b4089//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b0972//b0973//b0974//b0975//b0976//b0977//
AppY_ArcA_YdeO	b0980//b0979//b0978//b4592//
AraC_CRP	b0062//b0063//b0061//b2841//b1901//b1900//b4460//b0396//b2840//
AraC_CRP_XylR	b0064//b3565//b3564//
AraC_NagC	b1497//b1498//
ArcA	b4450//b1528//
ArcA_BetI_Cra	b0311//b0312//b0313//b0314//
ArcA_CRP_CaiF_FNR_H-NS	b0039//b0038//b0037//b0036//b0035//b0040//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b0432//b0431//b0430//b0429//b0428//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b0116//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b1276//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b0114//b0115//
ArcA_CRP_Cra_Fis	b0118//
ArcA_CRP_Cra_IHF_IclR	b4015//b4014//b4016//
ArcA_CRP_DcuR	b3528//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b0620//b0619//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	b4122//
ArcA_CRP_DnaA_FNR	b1415//
ArcA_CRP_DpiA_FNR_NarL	b0618//b0617//b0616//b0615//b0613//b0614//
ArcA_CRP_DpiA_FlhDC	b3236//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	b3512//gadF//
ArcA_CRP_FNR	b1612//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	b2241//b2242//b2243//
ArcA_CRP_FNR_Fis_Fur_PdhR	b2579//
ArcA_CRP_FNR_Fis_IHF_NarL	b0903//
ArcA_CRP_FNR_Fur	b0723//b0724//b0721//b0722//
ArcA_CRP_FNR_Fur_IHF	b0726//b0727//b0728//b0729//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	b3908//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	b1611//
ArcA_CRP_FNR_IHF_NarL	b0904//
ArcA_CRP_FNR_NarL	b1256//
ArcA_CRP_FadR	b1805//sroD//
ArcA_CRP_FadR_HipB	b3081//
ArcA_CRP_FadR_OmpR_PhoP	b2344//
ArcA_CRP_Fis_Mlc_SoxS	b1101//
ArcA_CRP_Fis_XylR	b3569//
ArcA_CRP_Fur_GadX_MqsA	b2741//
ArcA_CRP_GatR	b2094//b2093//b2092//b2091//b2096//b2095//
ArcA_CRP_GlpR	b3426//
ArcA_CRP_IHF	b0720//
ArcA_CRP_PuuR	b1301//b1300//b1298//b1302//b1299//
ArcA_CRP_RhaS	b3907//
ArcA_CRP_TreR	b4240//b4239//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	b4131//b4132//
ArcA_Cra	b1136//
ArcA_Cra_FNR_H-NS_HypT	b0733//b0734//
ArcA_CysB_FNR	b0602//
ArcA_FNR	b2296//b0621//b3317//b3320//b3319//b3313//b3315//b3318//b3312//b3314//b3321//b3311//b3316//b1324//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	b1109//
ArcA_FNR_Fis_IHF_NarL	b2288//b2287//b2286//b2285//b2284//b2283//b2282//b2281//b2280//b2279//b2278//b2277//b2276//
ArcA_FNR_Fur_IHF	b1334//
ArcA_FNR_IHF	b1210//b1211//b1212//
ArcA_FNR_IHF_NarL	b4040//b4039//
ArcA_FNR_NarL	b0886//b0887//b0827//b0826//
ArcA_FNR_PhoP	b1160//
ArcA_FNR_PuuR	b1297//b1296//
