# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Fri Jun  1 12:40:15 2018 from /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
# Created with: perl -ane 'if($_=~/^([^\t]+)\t/){$f1=$1;if($f1=~/_/){print"$_";}}elsif($_=~/^\#/){print"$_";}' -f /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/complex_regulons.txt > /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
# From /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/scripts/create_datasets.pl on Mon May 14 18:28:36 2018
# Input = /Users/Daniela/Documents/CCG/datasets/TRN/tf_gene.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_active.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_inactive.txt
AccB_FadR	b3255//b3256//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b1531//b1532//b1530//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b1891//b1892//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b0463//b0462//
AcrR_FNR_Fur_SoxR	b4063//
AcrR_FNR_Fur_SoxR_SoxS	b4062//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b4439//
Ada_AidB_Lrp	b4187//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b3517//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b3516//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b3212//b3213//b3214//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b1493//b1492//
AdiY_H-NS_IHF	b4117//
AgaR_CRP	b3135//b3133//b3134//b3132//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b0972//b0973//b0974//b0975//b0976//b0977//
AppY_ArcA_YdeO	b0980//b0979//b0978//b4592//
AraC_CRP	b0062//b0063//b0061//b2841//b1901//b1900//b4460//b0396//b2840//
AraC_CRP_XylR	b0064//b3565//b3564//
AraC_NagC	b1497//b1498//
ArcA_BetI_Cra	b0311//b0312//b0313//b0314//
ArcA_CRP_CaiF_FNR_H-NS	b0039//b0038//b0037//b0036//b0035//b0040//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b0432//b0431//b0430//b0429//b0428//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b0116//
