#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/strict_regulons_bnum.txt
AccB_neg	b1747//b4599//
AcrR_neg	b0389//b1021//b2222//b1736//b3501//b2388//b1947//b1591//b3331//b0605//b0850//
Ada_neg	b2821//b4097//
Ada_pos	b0462//b2758//b4120//b0396//
AdiY_pos	b2221//b3967//b0903//b0365//b0751//b4028//b3037//b3476//
AgaR_neg	b1518//b0351//b1890//b0154//b0062//b0039//b1540//b1387//b2374//b0976//b3702//
AidB_neg	b4119//
AlaS_neg	b4266//
AllR_neg	b0751//b3967//b3580//b3062//b0616//b3165//b3070//b2757//b4618//
AllS_pos	b4071//b3957//b0722//
AlsR_neg	b0872//b2913//b4484//b0403//b2093//b0062//
AppY_pos	b3577//b1325//b2206//b3270//b0684//b0403//b0113//b1732//b4039//b1546//
AraC_neg	b1482//b3578//b0432//b3441//b2737//b0048//b2194//b1082//
AraC_pos	b1654//b3469//b2704//b4196//b0775//b3332//b0462//b0181//b3169//b4133//
ArgP_neg	b3680//
ArgP_pos	b2499//b1656//b0118//b3517//b0784//b2153//b3751//b4062//b0337//b1377//b2079//b2706//b4310//
ArgR_neg	b2756//b0841//b0039//b0677//b1325//b1608//b3165//b1081//b4384//b4030//b1493//b0154//b0062//b0903//b0613//b0570//b2709//b1400//b1567//b0338//b3324//b4381//b1452//b2208//b2009//b0597//b1198//b3723//b1022//b1102//b3096//b1203//b1288//
ArgR_pos	b3224//b3923//b0399//b2388//b0062//
ArsR_neg	b1796//b4444//b0799//
AscG_neg	b4266//b3451//b0958//b1497//b1850//
AsnC_neg	b0112//b1718//b1513//
AsnC_pos	b4279//
AtoC_pos	b0945//b0856//b0587//b2092//
BaeR_pos	b0336//b4028//b1443//b1784//b2206//b1303//b1160//b3006//
BasR_neg	b4193//b3939//
BasR_pos	b1394//b1011//b4076//b0619//b3469//b1745//b3794//b1091//b0996//b3625//yegZ//
BetI_neg	b1256//b4237//b0515//b4094//
