#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/strict_regulons_bnum.txt
AccB_neg	b2000//b3722//
AcrR_neg	b0553//b4287//b0795//b0081//b1198//b3140//b2905//b3924//b2722//b3141//b2313//
Ada_neg	b2379//b4033//
Ada_pos	b2925//b1736//b3418//b2286//
AdiY_pos	b1081//b4347//b0904//b3478//b3912//b4322//b2964//b2213//
AgaR_neg	b4095//b2704//b3515//b0681//b2662//b2286//b0343//b2288//b1719//b0995//b1735//
AidB_neg	b1194//
AlaS_neg	b1623//
AllR_neg	b3127//b3012//b4071//b2755//b3139//b1492//b4484//b4193//b2781//
AllS_pos	b3503//b3956//b4408//
AlsR_neg	b0331//b4115//b1947//b0759//b3615//b1748//
AppY_pos	b0350//b3576//b1597//b2976//b4014//b0042//b0231//b1199//b0069//b1945//
AraC_neg	b4019//b1704//b1579//b4062//b4592//b4152//b0874//b3127//
AraC_pos	b1649//b4475//b2237//b3095//b1736//b4004//b0980//b3924//b1681//b4092//
ArgP_neg	b3859//
ArgP_pos	b2240//b1611//b1535//b3256//b1395//b1950//b1791//b0094//b0509//b0613//b0734//b1889//b4438//
ArgR_neg	b4029//b0430//cpxQ//b4028//b2905//b0082//b4467//b2393//b0958//b1848//b4670//b3741//b3092//b1263//b0178//b3167//b4015//b2379//b0167//b4054//b4002//b1321//b1818//b2912//b0855//b1728//b3547//b3786//b3126//b4613//b3516//b3700//b1728//
ArgR_pos	b2392//b4024//b3413//b0081//b2582//
ArsR_neg	b3701//b4366//b2964//
AscG_neg	b0778//b1444//b1187//b4004//b0776//
AsnC_neg	b1077//b2715//b1093//
AsnC_pos	b4089//
AtoC_pos	b1567//b2500//b4085//b3186//
BaeR_pos	b1948//b3744//b2818//b3363//b0341//b1942//b2686//b3727//
BasR_neg	sroD//b3501//
BasR_pos	b1880//b0655//b3790//b3113//b1243//b3774//b0863//b3070//b1852//b4105//b1131//
BetI_neg	b2168//b4367//b0785//b2893//
BirA_neg	b0451//b1970//b3127//b2912//b4087//
BluR_neg	b2169//b4124//b1810//b3223//
BolA_neg	b1194//b1247//
BolA_pos	b3213//b4152//
CadC_pos	b0064//b0975//b0036//
CaiF_pos	b4347//b1041//b0162//b3569//b0792//b1655//b1728//b2470//b0071//b0857//
Cbl_pos	b0516//b4096//b1500//b3577//b1387//b4254//b4124//b4376//b1791//
CdaR_pos	b2095//b0589//b2276//b0945//b1283//b3022//b3093//b1889//b1325//b1670//
CecR_neg	b0728//b2283//b1082//b1198//b2392//
ChbR_neg	b2278//b2221//b2995//b0889//b1006//b3506//
ChbR_pos	b1082//b1594//b1303//b4484//b2194//b4240//
ComR_neg	b2483//
CpxR_neg	b3688//b1946//b2342//b3157//b0382//b1326//b3575//b1681//b1905//b1323//b1945//b2416//b1452//b2530//b0040//b3574//b0349//b0729//b1184//b0925//b1252//b4006//b2706//b0508//
CpxR_pos	b4044//b4044//b3410//b2530//b0237//b2235//b3113//b1588//b4445//b0964//b1081//b2818//b1080//b4637//b0032//b0044//b3013//b1411//b3451//b2199//b3188//b3327//b3161//b2539//b3452//b0777//b2094//b4398//b1325//b0366//b3132//b3792//b0334//gadF//b2551//b4094//b1536//b3958//b1041//b3506//b3236//b1674//b4323//b3186//b4019//b2570//
Cra_neg	b3581//b0827//b3904//b0075//b1201//b0806//b4033//b1252//b0151//b0759//b3164//b0151//b0511//b1200//b1858//b3453//b0505//b2237//b2369//b3114//b0751//b1387//b0043//b3213//b3908//b0696//b1393//b3599//b1733//b1945//b2560//b4567//b2717//b2368//b1221//b0392//b2729//b3133//b2075//b0225//b4004//sroC//b3727//b0723//b1307//b0819//b0964//b1074//b1011//b3367//b4382//b3773//b4400//b3139//b2379//b4441//b4105//b1400//b3940//
Cra_pos	b4043//b0553//b2840//b4015//b2341//b1704//b1245//b2538//b1393//b3966//b2092//b1796//b1575//b1609//b0180//b2155//b0399//b3924//b0304//b3325//b2489//b1973//b3700//
CreB_neg	b1264//b1010//b1082//
CreB_pos	b1530//b3363//
CsgD_neg	b1410//b0857//b0730//b0293//b0593//b0812//b2559//b1483//b2063//b1101//b0728//b2671//b1737//b2074//b1945//
CsgD_pos	b0696//b0504//b1576//b2127//b4054//b0067//b1733//b1649//b4024//b0383//b4058//b2703//b2491//
CsiR_neg	b2542//b2993//b1878//b1852//b3067//
CspA_pos	b0595//b4311//
CueR_neg	b2707//b0856//b0929//b2975//b4438//
CueR_pos	b4089//b0682//
CusR_pos	b2571//b2096//b0338//b0339//b3207//b3335//b3753//b4400//b3167//b1736//b1650//b1512//
CynR_neg	b1616//
CynR_pos	b2060//b0073//b2943//
CysB_neg	b4003//b3256//b1275//b1227//b2764//b2557//b0839//
CysB_pos	b3912//b2552//b1384//b4324//b2684//b1083//b4293//b1335//b3190//b1004//b1880//b2393//b3236//b0277//b1386//b2686//b4264//b2750//b4037//b2127//b2706//b4310//b1747//b0312//b2704//
CytR_neg	b4383//b2074//b1010//b2732//b1475//b2199//b1594//b2223//b3357//b4054//b3224//b0336//b1578//
Dan_pos	b0388//b0311//b0154//b1577//
DcuR_pos	b1074//b3168//b1285//b2009//b0296//b0064//b4071//b2291//b2763//
DeoR_neg	b3615//b2206//b0618//b1303//b0114//b2760//
DhaR_neg	b4357//
DhaR_pos	b1783//b2997//b3786//
DicA_neg	b3580//b4029//b3331//b2964//b1530//b3478//b2975//b4015//
DinJ-YafQ_neg	b0732//b0447//b3367//
DnaA_neg	b4241//b1167//b3012//b3116//b3923//b2206//b3095//b2757//b0951//b2821//b3331//
DnaA_pos	b1074//b2741//b1683//b2839//b3794//b3008//sroA//
DpiA_neg	b2938//
DpiA_pos	b2728//b0353//b2605//b2752//b3727//b3116//b4062//b0336//b2068//b1245//
DsdC_neg	b1485//
DsdC_pos	b0089//b3831//
EbgR_neg	b0403//b0974//
EnvR_neg	b4119//b1878//
EnvY_pos	b2541//b0784//
EvgA_pos	b1860//b2235//b0620//b0485//b3270//b1945//b1590//b0584//b3491//b1482//b1387//b0594//b2150//b3908//b1512//b0849//b3701//b3501//b2530//
ExuR_neg	b3787//b2310//b0462//b1616//b2379//b3363//b0151//b3409//b4094//
FabR_neg	b1014//b2237//
FadR_neg	b4002//b0578//b2476//b0678//b3614//b3333//b0075//b3409//b2208//b1102//b1007//
FadR_pos	b4197//b1938//b1013//b0114//b2756//b4577//b2823//b3922//b0722//b2406//b0933//b0366//
FeaR_pos	b3506//b0857//
FhlA_pos	b2542//b0340//b2926//b2291//b1907//b3082//b1817//b0031//b1567//b0080//b1728//b3461//b1080//b1658//b0429//b0730//b0462//b1508//b1499//b0085//b1781//b4457//b3926//b0734//b3508//b1102//b2484//b2029//b0779//b4138//
FlhDC_neg	b1512//b2153//b1672//b1102//
FlhDC_pos	b1262//b0596//b1535//b0338//b1902//b1262//b0156//b0093//b0976//b1407//b2150//b1926//b0784//b3057//b4239//b2750//b0113//b1194//b0314//b3065//b1732//b1546//b3190//b2240//b4288//b3941//b4123//b3005//b3514//b1390//b1673//b4280//b2669//b4187//b0092//b3753//b3927//b3828//b1568//b1486//b1194//b0896//b1564//b1943//b4050//b3060//b4160//b4525//b1940//b1075//b0602//b0604//b3481//b2106//b0167//b0076//b1892//b2427//b1879//b1741//b3437//b1488//b0928//b0726//b3942//b3908//b2903//b2287//b2486//b0038//b4705//b3790//b1130//b2943//b3722//b0066//b4260//b3744//
FliZ_neg	b0114//b3071//cpxQ//b4079//b3507//b0382//b0382//b2213//b1588//b2416//b0812//b4266//b3481//b3748//b0856//b0688//b0153//b0697//b2708//b1259//b0118//
FucR_pos	b2393//b3604//b3614//b2717//b1091//b2414//b2310//
Fur_neg	b2284//b3161//b1386//b0076//b3614//b1322//b0032//b4090//b3966//b0565//b1673//b2762//b2529//b2094//b1486//b0786//yegZ//b0751//b1223//b2427//b1012//b2167//b2428//b3365//b3727//b1163//b1325//b4028//b4698//b2751//b0785//b1552//b4357//b0430//b1737//b4019//b0934//b4093//b1260//b0819//b2699//b1014//b0368//b1486//b1091//b1617//b4197//b3449//b2379//b1440//b1493//b2235//b1890//b3441//b0622//b4016//b2895//b2750//b0475//b0400//b2223//b0303//b2076//b1259//b2604//b2491//b3725//b4445//b3184//b0682//b3924//b1244//b0765//b2671//b0094//b0340//b2789//b3942//b0615//b1747//b0811//b2277//b1716//b4417//b1970//b2529//b3581//b1400//b3135//b1891//b2979//b3666//b4287//b2916//b3036//b1620//b2490//b3927//b0857//b1715//b0896//b2060//b2531//b0678//b3036//b1579//b1879//b2168//b3580//b2464//b3137//b0592//b2482//b0936//b3528//
Fur_pos	b3515//b1593//b2977//b2416//b0565//b2789//b1706//b0564//b0980//b0853//b4100//b0152//b0522//b4293//b4321//b3566//b1306//b2499//b3138//b1784//b1225//
GadE-RcsB_pos	b3066//b0515//b2702//b0751//b1683//b0571//b3571//b0895//b0827//
GadE_pos	b0383//b1791//b2729//b2818//b3863//b0964//b3081//b3431//b2697//b0392//b1892//b0504//b2528//b1136//b1387//b2559//b0304//b0936//b4098//b3430//b2923//b0040//b2368//b3027//b0399//b1650//b1530//b1547//b2630//
GadW_neg	b4673//b3506//b2017//b1008//b2277//b3576//b2276//b3167//b2029//b3167//yegZ//
GadW_pos	b3575//b4138//b0972//b3926//b3903//b3223//b0890//b2421//b1225//b1858//b3612//
GadX_neg	b3011//b2616//b1737//b2151//b3800//b3363//
GadX_pos	b0895//b0619//b0333//b3564//b4006//b4249//b1718//b3091//b2000//b1113//b3083//b2710//b1949//b0066//b3727//b0734//b4458//b0812//b3942//b1590//b4438//b1393//b0976//b4637//b0934//b4481//b1408//
GalR_neg	b1649//b2341//b2287//b4525//b2406//b4054//b1014//b4042//b4131//b1734//
GalR_pos	b2414//b1569//b2605//b1905//
GalS_neg	b3476//b4025//b3574//b0020//b0344//b2422//b0675//b1761//b1393//b0403//
GalS_pos	b3115//b2964//b4192//b3752//
GatR_neg	b1532//b1092//b0115//b3157//b4309//b4094//
GcvA_neg	b1275//b0929//b1655//b0333//
GcvA_pos	b0231//b2803//b3730//b1164//
GlcC_neg	b0853//
GlcC_pos	b1062//b4101//b0729//b2537//b4039//b2323//
GlpR_neg	b2202//b1389//b4079//b2570//b0301//b1704//b3785//b3331//b3140//
GlrR_pos	b0997//b1950//b0041//b3410//b1079//
GntR_neg	b0064//b1078//b2206//b1878//b1277//b1738//b0378//b2708//b3752//b0338//b3726//b2756//
GutM_pos	b2421//b3516//b2782//b3789//b2686//b3410//b2979//
GutR_neg	b1954//b4366//b1481//b0622//b0461//b1674//b0654//
HU_neg	b0123//b0293//b0441//b3859//b3604//b3748//b4106//b3863//
HU_pos	b3603//
HcaR_neg	b4618//
HcaR_pos	b3221//b2530//b3065//b1737//b3785//
HdfR_neg	b2105//b3453//
HdfR_pos	b3057//b4005//b2203//
HigA_neg	b3958//b3366//
HigB-HigA_neg	b1567//b3157//
HipAB_neg	b0152//b2369//b1536//b1263//b3924//
HipB_neg	b1817//b3860//b0313//b2903//b0964//b4266//
HyfR_pos	b0511//b3749//b0758//b0894//b0995//b4195//b0341//gadF//b2604//b0314//b0439//b0733//
HypT_neg	b0785//b3568//b4233//b2415//b4347//
HypT_pos	b1733//b1071//b4322//b4698//b3661//b1388//b3565//b3582//
IclR_neg	b2782//b2997//b2308//b0451//
IdnR_neg	b1043//b1485//
IdnR_pos	b1926//b2241//b1434//b1486//b3575//
IlvY_neg	b0069//
IlvY_pos	b1672//
IscR_neg	b2697//b0972//b3922//b4100//b3940//b3813//b2541//b4417//b1669//b4050//b4104//b2213//b3368//b4073//b0343//b2937//b0403//b0074//b3171//b3081//b0061//
IscR_pos	b1743//b0389//b0792//b0590//b4059//b4105//b1082//b2818//b0653//b4415//b0785//
KdgR_neg	b1483//b3700//
KdpE_pos	b0064//b2205//b1593//b0330//
LacI_neg	b3137//b2723//b1276//
LeuO_neg	b1222//b1166//b0734//
LeuO_pos	b0383//b2416//b4366//b0937//b0679//b2464//b3330//b2674//b2240//b2428//b2764//b1182//b1442//b3096//b0857//b3325//b0389//b1201//
LexA_neg	b4397//efeU_2//b3025//b1748//b2149//b0811//b2060//b2059//b3452//b0675//b0365//b3334//b1075//b2604//b3774//b2107//b2107//b3324//b1704//b1517//b1222//b2760//b0880//b1070//b1669//b1877//b2212//b3070//b3123//b1398//b0382//b3453//b1889//b2665//b3081//b4249//b0855//b0435//b2208//b2572//b0728//b2824//b0304//b2722//b0602//b0089//b2763//b4241//b3452//b1508//b1848//b2372//b3868//b0350//b3792//b3575//b1679//b2169//b1304//
LldR_neg	b2674//b2085//b4254//
LldR_pos	b1547//b4417//b2916//
LrhA_neg	b1943//b2660//
LrhA_pos	b2367//b1203//
LsrR_neg	b4132//b4209//b1163//b0516//b3005//b2580//b0485//b2601//b4698//
LysR_neg	b0231//
LysR_pos	b0337//
MalI_neg	b4035//b0091//b1013//
MalT_pos	b1634//b4267//b1497//b4481//b1073//b2091//b3727//b3141//b1679//b1166//
MarA_neg	b0722//b2151//b0089//b1517//b3081//b4365//b1022//
MarA_pos	b1322//b2312//b4087//b0331//b2485//b4264//b3831//b0062//b2277//b0864//b1880//b4322//b2237//b3922//b0593//b4177//b1006//b3114//b4523//b3185//b2841//b4044//b1564//b2802//b4092//b0853//b2729//b4238//b1846//b4240//b0083//
MarR_neg	b4030//b4577//b4312//
MatA_neg	b1394//b1680//b2913//b2312//b3006//b3450//
MatA_pos	b4028//b1071//
MazE-MazF_neg	b0083//b0181//b3183//
MazE_neg	b1673//b0970//b4013//
McbR_neg	phnE_2//
McbR_pos	b1857//b1415//b2708//
MelR_neg	b1597//b2718//b2788//
MelR_pos	b2105//b2206//b0431//
MetJ_neg	b2149//b3256//b3967//b0795//b1923//gadF//b0461//b2306//b0439//b2570//b1082//b0462//b3410//b2075//b1109//
MetR_neg	b0862//b2095//
MetR_pos	b0774//b0515//b4106//b0604//
MhpR_pos	b4117//b4105//b0722//b0678//b0343//b2342//
Mlc_neg	b3366//b2205//b1552//b0073//b3958//b1925//b1715//b4043//b0042//b4242//
MlrA_pos	b2476//b1946//b0794//b0590//b4016//b2839//b3214//b0995//b3961//b3224//
MngR_neg	b4702//b2818//b0311//
MntR_neg	b0199//b0093//b2912//b0035//
MntR_pos	b4484//
ModE_neg	b2763//b3328//b1113//b4097//phnE_2//b0338//b3511//b0934//b3922//b2017//b3057//b3113//b2508//b0928//b4355//
ModE_pos	b0860//b0071//b1536//b3256//b3453//b1569//b1036//b0237//b1577//b1072//b4392//b2416//b3324//b0033//b4177//b0303//b0226//b1009//b4365//b1649//b1410//b2725//b2666//b2604//b3006//b0724//b0578//b2369//b0617//b1323//b2341//
MprA_neg	b4101//b3922//b0936//b2415//b2601//b0571//
MqsA_neg	b1680//b2421//b0504//b4014//b0925//b1704//b1987//b4458//
MraZ_neg	b1706//b4058//b0723//b1334//b2243//b0851//b3134//b3326//b3905//b2725//b1076//b4160//b2552//b2808//b4322//b4481//b1501//
MtlR_neg	b0653//b2058//b2106//
MurR_neg	b4662//b1474//b3479//
MurR_pos	b0872//
Nac_neg	b1719//b3744//b3512//b0314//b0890//b3923//b1003//b1518//b3096//
Nac_pos	b2375//b4124//b4237//b2223//b2213//b4059//b0517//b1166//b0564//b4347//b1263//b0617//
NadR_neg	b1076//b2243//b1022//b3510//
NagC_neg	b2937//b1922//b3666//b3124//b3172//sroA//b1745//b0179//b0591//b0792//b2551//b1083//b2213//b2673//b1203//b4104//b3164//b4187//b0240//b2779//b2838//b0076//b2975//b2665//b2801//b0861//b0987//b3135//b4312//b2312//b1008//b1398//b1790//
NagC_pos	b2787//b1184//b1327//
NanR_neg	b3725//b0450//b2231//b2370//b4522//b2291//b3919//b2156//b0928//b1591//
NanR_pos	b3021//
NarL_neg	b3096//b1634//b2764//b1761//b0777//b2492//b2818//b2665//b1846//b1392//b0592//b2663//b1797//b4321//b4032//b2799//b1634//b1113//b1399//b3941//b1258//b1394//b3785//b1973//b1379//b0589//b1261//b1948//b4365//b3022//b0777//b0432//b4417//b0730//b4193//b1540//b0933//b1199//b0352//b2195//b1037//b1301//b4124//b2756//b3859//b2221//b0726//b0677//b2709//b4382//b1080//b4030//b1821//b1729//b2721//b1007//b1442//b4266//b0764//b3481//b0451//b1848//b0161//b1091//b2424//b4197//b4015//b1497//b3414//b1322//b1988//b2486//b2289//b1530//b2059//b2085//b3515//b4122//b2061//b4097//b0783//b3359//b0793//b0871//b2151//b3510//b1323//
NarL_pos	b3005//b0763//b2235//b3956//b2912//b2808//b4034//b4098//b2704//b1258//b3500//b0430//b2721//b1482//b4098//b3959//b3430//b1040//b4399//b0389//b0150//b0764//b1075//b0450//b1621//b0841//b0685//b1736//b4032//b1747//b1532//b0347//b2151//b1500//b2078//b0786//b0574//b4098//b3183//b3125//b0935//b1608//b3578//
NarP_neg	b2150//b1762//b2215//b2760//b4392//b1201//b0384//b4024//b2725//b2818//b3123//b0688//b1081//b2799//b0166//b2428//b1578//b1880//b0973//b3859//b3117//b0954//b1452//b3139//b0864//b1410//b0890//b1594//b2323//b1136//b0871//b0486//b1649//
NarP_pos	b0855//b3364//b3528//b3138//b2573//b2375//b2287//b2063//b2306//b0042//b4268//b4106//b3919//b1275//b1735//b3140//b1781//b0441//b2903//b4033//b4398//b3326//b2237//b0071//b1818//b0573//b0591//b2107//b1227//b1260//b0654//b3093//
NemR_neg	b0080//b4484//b4444//
NhaR_pos	b4242//b3907//b3491//b0655//b2551//b2029//b4040//
NikR_neg	b2975//b1442//b1949//b3753//b4382//b4076//
NimR_neg	b0724//b1325//
NorR_neg	b0970//
NorR_pos	b3922//b2711//
NrdR_neg	b1335//b0115//b0273//b2196//b1083//b1075//b3431//b1020//b2723//
