#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/strict_regulons_bnum.txt
AccB_neg	b2725//b1728//
AcrR_neg	b3753//b2787//b2979//b2223//b2223//b1940//b4441//b0294//b0303//b4400//b1325//
Ada_neg	b2531//b0226//
Ada_pos	b0273//b3268//b4050//b3237//
AdiY_pos	b4506//b0331//b1904//b2911//b1387//b4290//b3752//b2558//
AgaR_neg	b4366//b2712//b0303//b3908//b4279//b1073//b0226//b3787//b0571//b1861//b4467//
AidB_neg	b4154//
AlaS_neg	b0237//
AllR_neg	b2799//b3941//b2802//b0751//b0084//b0622//b4122//b3773//b4036//
AllS_pos	b1564//b4400//b2782//
AlsR_neg	b2718//b2415//b3452//b3418//b2819//cpxQ//
AppY_pos	b1101//b4293//b0572//b3212//b0207//b2199//b0304//b0447//b4698//b1265//
AraC_neg	b0613//b0441//b2763//b1982//b2717//b4087//b1507//b3790//
AraC_pos	b2491//b1452//b0273//b3256//b3958//b1308//b2076//b0849//b2752//b0070//
ArgP_neg	b3368//
ArgP_pos	b0863//b2905//b0430//b4139//b1905//b3118//b2707//b3128//b0874//b1074//b0763//b4015//b0087//
ArgR_neg	b2994//b3793//b1022//b3956//sroD//b2159//b3403//b3701//b1300//b3789//b1784//b1452//b4154//b0619//b4028//b3956//b1904//b1378//b2508//b0819//b2805//b4074//b2787//b2571//b0061//b1564//b4125//b0094//b0855//b4013//b1702//b0301//b0439//
ArgR_pos	b1737//b2388//b2808//b3919//b3925//
ArsR_neg	b2367//b0764//b1926//
AscG_neg	b1488//b3133//b3863//b1283//b2379//
AsnC_neg	b0936//b0796//b1649//
AsnC_pos	b3624//
AtoC_pos	b2076//b1941//b3518//b3333//
BaeR_pos	b0806//b2660//b0896//b4005//b4035//b1434//b0330//b1982//
BasR_neg	b1091//b0860//
BasR_pos	b0231//b0094//b0795//b4468//b1297//b1387//b3164//b0805//b4122//b1480//b3013//
BetI_neg	b2716//b1080//b2392//b0734//
BirA_neg	b1676//b2416//b1914//b0516//b1484//
BluR_neg	b2213//b1878//b0589//b0997//
BolA_neg	b2707//b0350//
BolA_pos	b2406//b0039//
CadC_pos	b3451//b0979//b0504//
