#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/strict_regulons_bnum.txt
AccB_neg	b2925//b0572//
AcrR_neg	b2106//b0724//b1487//b0428//b2715//b1514//b3060//b2687//b1277//b2557//b1942//
Ada_neg	b4102//b2288//
Ada_pos	b4311//b2484//b0080//b1307//
AdiY_pos	b1889//b1611//b4094//b1321//b1507//b2423//b1973//b0431//
AgaR_neg	b4105//b4019//b1945//b1622//b1858//b0353//b1288//b0811//b4460//b2697//b2393//
AidB_neg	b1136//
AlaS_neg	b2241//
AllR_neg	b0094//b1184//b0240//b0861//b1283//b1486//b3331//b3908//b1409//
AllS_pos	b2239//b2094//b2789//
AlsR_neg	b4025//b3131//b1810//b0889//b4435//b0987//
AppY_pos	b1951//b3166//b2150//b2737//b2923//b0935//b2916//b0509//b3357//b2287//
AraC_neg	b3902//b2281//b0366//b1304//b2782//b3357//b1518//b1575//
AraC_pos	b3514//b1194//b2476//b0723//b3514//b3450//b3432//b4287//b0313//b3428//
ArgP_neg	b0936//
ArgP_pos	b2841//b1444//b3724//b0461//b0441//b1826//b3792//b1261//b3514//b1441//b0805//b1325//b4460//
ArgR_neg	b2422//b1781//b4702//b0935//b3429//b0950//b4393//b1641//b0086//b2893//b1073//b0783//b3607//b3135//b4004//b0162//b4120//b2671//b2841//b2029//b1167//b1569//b0072//b1385//b1547//b2665//b3269//b4120//b2840//b0439//b1476//b0151//b4039//
ArgR_pos	b4613//b3565//b4237//b3413//b1892//
ArsR_neg	b2061//b3512//b0167//
AscG_neg	b2662//b2277//b0950//b4237//b0341//
AsnC_neg	b3726//b3067//b0352//
AsnC_pos	b3076//
AtoC_pos	b0152//b2483//b2148//b1530//
BaeR_pos	b3869//b1485//b0945//b1225//b0696//b3701//b2990//b3517//
BasR_neg	b0074//b2808//
BasR_pos	b2787//b2803//b0857//b1166//b0516//b1480//b1682//b2905//b4439//b3903//b1130//
BetI_neg	b0514//b0039//b4417//b2838//
BirA_neg	b3938//b2531//b2661//b3904//b1914//
BluR_neg	b3828//b3580//b1391//b3480//
BolA_neg	b0587//b1593//
BolA_pos	b0439//b3449//
CadC_pos	b3829//b0123//b1109//
CaiF_pos	b0197//b1900//b0084//b2234//b0895//b3133//b1011//b0042//b2676//b3094//
Cbl_pos	b0301//b1718//b0783//b2580//b2603//b4036//b2560//b3961//b0338//
CdaR_pos	b1076//b0674//b3579//b4032//b2559//b3077//b0729//b0428//b2309//b0043//
CecR_neg	b1683//b3828//b0167//b4100//b3723//
ChbR_neg	b4382//b1259//b0931//b4004//b3368//b1109//
ChbR_pos	b3828//b0081//b1160//b3334//b4123//b4095//
ComR_neg	b2938//
CpxR_neg	b3141//b0794//b2840//b2912//b3509//b4033//b3461//b0595//b1071//b4376//b3269//b1797//b2372//b1390//b0970//b3115//b3327//b4290//b4310//b0035//b2470//b0864//b4417//b1736//
CpxR_pos	b1702//b1943//b1237//b4160//b0595//b0873//b1112//b4289//b4122//b1261//b1395//b0033//b0335//b3416//b0486//b2287//b2727//b4063//b1954//b1237//b2942//b3741//b0964//b1762//b1200//b3625//b3476//b1237//b1576//b1937//b1201//b3115//b0382//b2529//b0118//b2009//b0338//b1452//b1131//b0070//b4264//b2279//b0653//b2285//b3700//b3723//
Cra_neg	b4019//b2169//b1950//b1443//b3521//b3256//b3724//b2105//b4101//b0654//b3256//b1475//b1077//b0344//b4059//b3576//b3723//b3579//b1577//b3578//b1076//b4567//b0862//b3365//b3863//b1500//b0583//b4280//b3093//b2313//b0180//b0726//b1024//b4093//b2316//b3666//b2993//b2370//b0895//b2234//b0349//b1013//b3793//b1702//b4468//b0679//b1673//b1041//b4233//b2758//b2499//b3011//b2487//b0523//b1021//b2762//b0951//b0435//b1671//
Cra_pos	b2127//b1982//b4322//b3331//b3521//b2905//b4705//b0751//b0895//b3578//b1508//b1616//b4293//b2167//b1014//b2996//b3773//b0759//b0392//b3183//b2096//b0584//b3773//
CreB_neg	b1009//b0786//b3133//
CreB_pos	b0998//b2728//
CsgD_neg	b2660//b1130//b3325//b3958//b0384//b2937//b4467//b0850//b0852//b2107//b3752//b4132//b0595//b1377//b0687//
CsgD_pos	b1061//b2076//b1203//b1481//b2091//b0390//b2205//b1762//b3081//b3503//b3136//b3221//b4484//
CsiR_neg	b1409//b1164//b1562//b3722//b1378//
CspA_pos	b4506//b0113//
CueR_neg	b3604//b1333//b4014//b2213//b3794//
CueR_pos	b4024//b1954//
CusR_pos	b0484//b2310//b3860//b3156//b1497//b3688//b1924//b2231//b2538//b2996//b1781//b2231//
CynR_neg	b0928//
CynR_pos	b0732//b1737//b2169//
CysB_neg	b0850//b1072//b2840//b0574//b4673//b1022//b2980//
CysB_pos	b3366//b0037//b1552//b0336//b0933//b2542//b1296//b3429//b4444//b3501//b4383//b0019//b1113//b1041//b4004//b2208//b2737//b3868//b1797//b1552//b0314//b1399//b3013//b2938//b3495//
CytR_neg	b2820//b1939//b1810//b3701//b4365//sroA//b0303//b1323//b1275//b2731//b1821//b1394//b2979//
Dan_pos	b2492//b1851//b0462//b4079//
DcuR_pos	b2425//b2752//b1707//b3156//b3324//b2091//b0505//b4637//b1299//
DeoR_neg	b3367//b3728//b1733//b0889//b1780//b0674//
DhaR_neg	b4099//
DhaR_pos	b4196//b3784//b2368//
DicA_neg	b1641//b2490//b2660//b2371//b4393//b4092//b1285//b1948//
DinJ-YafQ_neg	b3911//b1113//b1131//
DnaA_neg	b0571//b1070//b1327//b1649//b0181//b3334//b4076//b0154//b0779//b0094//b0977//
DnaA_pos	b2373//b0750//b0683//b1563//b2368//b2201//b1166//
DpiA_neg	b4076//
DpiA_pos	b2675//b1905//b2508//b0349//b0755//b2307//b0311//b2762//b3600//b3133//
DsdC_neg	b1023//
DsdC_pos	b3449//b4120//
EbgR_neg	b1577//b0516//
EnvR_neg	b2764//b1043//
EnvY_pos	b3831//b0301//
EvgA_pos	b1041//b0722//b0443//b3601//b3093//b0515//b2078//b1303//b1547//b0871//b1745//b0154//b1322//b1246//b2237//b3126//b1070//b2757//b1532//
ExuR_neg	b4153//b0754//b4028//b4119//b2579//b0764//b1797//b2416//b4034//
FabR_neg	b0585//b0092//
FadR_neg	b4089//b4050//b2666//b0207//b1392//b0343//b0240//b0557//b4032//b2237//b0856//
FadR_pos	b3903//b4042//b0863//b3958//b3574//b0464//b4033//b3172//b2722//b2730//b4237//b2719//
FeaR_pos	b2605//b4355//
FhlA_pos	b1851//b2737//b0231//b3579//b1608//b0931//b3332//b3093//b4411//b0484//b1733//b0996//b3794//b1440//b1394//b0115//b1497//b1078//b0794//b3743//b2783//b1737//b1877//b2942//b0166//b1198//b3453//b2484//b1277//b0150//
FlhDC_neg	b0348//b0588//b1880//b4365//
FlhDC_pos	b3613//b0463//b3138//b0721//b1810//b2278//b0623//b2600//b1684//b1937//b2488//b3726//b3022//b1948//b2223//b2916//b4522//b1519//b4102//b2508//b2671//b0596//b2277//b1390//b1008//b4417//b3958//b0293//b0565//b0951//b0793//b0987//b2754//b3922//b0811//b1859//b2379//b3227//b0674//b1300//b3073//b3577//b0978//b1392//b4004//b0974//b0507//b1682//b2911//b3066//b0435//b4193//b4673//b4292//b3906//b0698//b3748//b3506//b4460//b0683//b1304//b3071//b3967//b2156//b0207//b0980//b0336//b3094//b0094//b1303//b1576//b3578//b0443//b1389//b0390//b2913//b3908//b2990//
FliZ_neg	b1577//b2484//b4095//b2600//b3005//b3169//b1923//b0776//b3613//b3451//b3066//b3065//b3452//b1735//b0604//b1493//b0783//b2551//b2206//b4396//b2822//
FucR_pos	b0980//b2980//b0185//b0082//b3421//b1904//b3569//
Fur_neg	b4086//b0301//b1036//b1302//b1004//b1728//b4063//b2707//b1576//b1200//b0115//b1009//b0827//b4018//b2699//b3126//b2603//b3702//b3579//b1658//b2542//b2911//b0461//b1518//b2722//b3786//b1475//b1112//b2995//b4670//b0432//b2752//b0679//b2572//b0019//b1859//b0071//b4152//b1296//b3513//b3063//b0070//b1003//b0850//b2821//b2206//b0730//b0303//b1483//b0564//b2309//b0032//b0903//b3118//b1243//b3221//b4177//b2684//b0762//b1486//b2665//b3927//b3094//b4005//b1322//b1734//b1263//b0590//b4131//b3503//b1878//b1287//b2425//b1263//b4123//b3578//b4384//b0929//b2423//b0584//b3408//b1262//b2803//b0593//b2221//b2481//b2415//b1826//b1226//b0277//b3722//b3270//b1132//b0751//b2660//b0762//b2060//b1256//b2824//b1914//b0070//b4254//b2481//b0613//b2724//b2617//b0602//b1198//b3127//b3558//b3959//b4511//b3510//molR_1//b2991//
Fur_pos	b4705//b2236//b3846//b0871//b2148//b1921//b1074//b3212//b1745//b4240//b2107//b1500//b3567//b3477//b2222//b1547//b1408//b2702//b0347//b4138//b3938//
GadE-RcsB_pos	b2990//b3787//b1081//b1443//b0439//b0861//b2926//b3708//b3902//
GadE_pos	b4016//b4062//b3566//b3605//b0863//b3859//b4025//b4153//b1941//b1443//b0033//b4452//b4662//b3410//b0623//b2964//b4118//b1562//b1704//b0995//b3846//b0313//b4415//b0151//b3721//b3565//b1593//b3365//b2990//
GadW_neg	b1221//b1200//b1852//b2825//b0676//b1492//b2196//b3905//b1012//b1429//b1902//
GadW_pos	b2499//b0904//b1683//b3364//b2206//b2662//b4260//b1683//b2163//b3905//b1617//
GadX_neg	b3614//b3330//b2077//b3095//b3513//b2662//
GadX_pos	b0783//b1441//b2374//b1184//b0572//b1012//b1797//b4267//b3139//b3415//b2905//b0154//b0997//b4118//b4471//b4093//b3081//b4238//b4239//b1392//b2373//b1163//b0889//b1393//b3744//b1514//b2094//
GalR_neg	b4194//b1007//b0857//b0447//b2415//b2221//b4016//b1860//b2826//b0199//
GalR_pos	b0873//b3364//b1070//b0855//
GalS_neg	b3429//b3960//b2991//b0785//b0516//b1658//b3063//b3941//b4239//b1130//
GalS_pos	b1377//b1641//b3752//b1940//
GatR_neg	b4239//b2288//b4088//b1982//b2570//b2990//
GcvA_neg	b2706//b4382//b3790//b1288//
GcvA_pos	b3096//b2213//b3749//b4085//
GlcC_neg	b0781//
