#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b1736//b1732//
AcrR	b1102//b2106//b3138//b1744//b4002//b0505//b0871//b4323//b2659//b2095//b2289//
Ada	b1487//b4150//b2194//b2663//
AdiY	b3057//b4125//b1041//b2925//b2560//b2375//b0573//b2488//
AgaR	b2819//b1335//b0095//b0592//b3967//b1914//b2574//b1285//b4396//b0511//b1488//
AidB	b2822//
AlaS	b1429//
AllR	b4085//b2097//b1947//b3730//b2077//b3363//b1194//b4266//b1303//
AllS	b1132//b2802//b2826//
AlsR	b4312//b1902//b3057//b0622//b0151//b0682//
AppY	b0335//b0161//b3366//b0330//b3067//b4195//b4354//b2686//b0475//b0887//
AraC	b0958//b4016//b4105//b2310//b2750//b3607//b3680//b2492//b3428//b2756//b2068//b1080//b3212//b4150//
ArgP	b4054//b3926//b3956//b1481//b1707//b1443//b0353//b0036//b3413//b1024//b0674//b4290//b2311//b4637//
ArgR	b4354//b2212//b0784//b2674//b1879//b0240//b1081//b3186//b1563//b4004//b0315//b1516//b2223//b3924//b2674//b2659//b3227//b2673//b2368//b1649//b4102//b2926//b2427//b2580//b3500//b1262//b0330//b3334//b1734//b2481//b0889//b1275//b4104//b0226//b2758//b0462//b0385//b1784//
ArsR	b2673//b0178//b0377//
AscG	b1113//b2528//b0094//b2168//b4100//
AsnC	b0863//b1484//b3334//b1013//
AtoC	b3006//b2199//b0061//b3831//
BaeR	b3743//b3127//b2204//b3022//b1257//b0750//b1597//b1579//
BasR	b0450//b3575//b1400//b2801//b0674//b1275//b3607//b1805//b0975//b2379//b4265//b0517//b3453//
BetI	b3026//b4115//b0575//b1483//
BirA	b3008//b1925//b0198//b1511//b1308//
BluR	b0619//b1905//b1512//b1326//
BolA	b0314//b0674//
CadC	b3164//b1333//b1680//
CaiF	b1569//b0463//b3577//b2291//b0892//b1946//b0793//b1683//b2243//b4079//
Cbl	b2168//b4015//b4125//b2287//b0112//b4357//b2311//b2483//b1905//
CdaR	b1536//b3124//b1567//b1388//b0594//b0311//b1735//b1221//b4290//b0473//
CecR	b1780//b1258//b1563//b0277//b2707//
ChbR	b4290//b0411//b3607//b2288//b3859//b2163//
ComR	b3743//
CpxR	b3800//b0782//b2155//b4289//b3701//b2675//b1591//b3137//b0116//b2106//b2061//b3026//b0338//b2913//b3480//b4138//b1130//b0889//b1658//b0430//b3749//b3449//b2702//b3547//b0729//b3428//b1846//b4105//b0786//b0094//b0619//b2167//b4476//b1680//b4293//b1649//b2713//b2926//b4265//b2804//b4016//b4354//b3906//b4323//b3786//b3270//b3255//b0904//b2076//b1009//b4511//b1518//b1717//b4025//b2841//b4003//b3123//b3789//b1650//b3065//b3924//b2277//b1043//b1857//b1071//b0974//b1245//b4476//b1396//b3413//
Cra	b0890//b1683//b3418//b2719//b1714//b1093//b1130//b0871//b3789//b2278//b1948//b1679//b3408//b4249//b3870//b3503//b0890//b0894//b1945//b2076//b0676//b4004//b0757//b3328//b1386//b4400//b2278//b1948//b4237//b4088//b1536//b3957//b3567//b1547//b0750//b0435//b0075//b0071//b0067//b2422//b1296//b1024//b2977//b0515//b3923//b1948//b0233//b1515//b0571//b2713//b0430//b4027//b1611//b1923//b1252//b2710//b0945//b0849//b3013//b1826//b2079//b3067//b3082//b4098//b1589//b1655//b1486//b4280//b4119//b4458//b0339//b4476//b0042//b3938//b1083//b3134//b2092//b2289//b2149//
CreB	b2580//b2570//b0334//b2661//b3188//
CsgD	b0809//b1949//b4054//b3408//b2707//b2491//b3600//b2484//b3165//b4196//b1486//b1942//b0620//b1223//b1970//b4151//b2675//b3939//b1902//b0348//b0037//b1982//b3905//b0723//b3576//b3061//b1308//b1516//
CsiR	b0757//b0732//b3223//b1706//b1223//
CspA	b3612//b0443//
CueR	b1781//b4458//b2286//b2306//b1222//b2424//b3903//
CusR	b0826//b1165//b1241//b3135//b3164//b2375//b2243//b3359//b2754//b1747//b2277//b1589//
CynR	b3432//sroC//b3416//b1924//
CysB	b1393//b4238//b0330//b2406//b3599//b2201//b2976//b1014//b0301//b0347//b4287//b3924//b3521//b0734//b3453//b1443//b1791//b4408//b0333//b1384//b3792//b1783//b3792//b3255//b3748//b3919//b3605//b1656//b1481//b4102//b2169//b0181//
CytR	b2996//b1938//b3829//b2822//b3437//b2200//b3117//b1761//b0851//b2708//b2308//b0855//b2730//
Dan	b1452//b4280//b4101//b4513//
DcuR	b2464//b0429//b1129//b4311//b1237//b0179//b4513//b3476//b1247//
DeoR	b3491//b2805//b0314//b4106//b1940//b4034//
DhaR	b1245//b0895//b2717//b1564//
DicA	b1654//b0698//b1622//b0384//b1079//b2388//b0180//b1475//
DinJ-YafQ	b1805//b2756//b0945//
DnaA	b4058//b2601//b1036//b3335//b2276//b3005//b4241//b1079//b1246//b3183//b4416//b0862//
DpiA	b0273//b0303//b1588//b4599//b1474//b2728//b2754//b0162//b2078//b1444//b0179//
DsdC	b3127//b1492//b3183//
EbgR	b2725//b4310//
EnvR	b2838//b0904//
EnvY	b2537//b0799//
EvgA	b2673//b4511//b0451//b0945//b1390//b3688//b2078//b2923//b0312//b4118//b0040//b2105//b2531//b3521//b0785//b1938//b1021//b1621//b3708//
ExuR	b4398//b1741//b3578//b0352//b1578//b4160//b1444//b3213//b1920//
FabR	b3859//b2076//
FadR	b3603//b0400//b2492//b4279//b3728//b4431//b3860//b1942//b0198//b0810//b0073//b3117//b0296//b2414//b2095//b1819//b1225//b3566//b2717//b3513//b4233//b4013//b2316//
FeaR	b4467//b2169//
FhlA	b0294//b1498//b1784//b4075//b3575//b1074//b1810//b1938//b1517//b0377//b2476//b2976//b4438//b1023//b2539//b0970//b1515//b1920//b3334//b4525//b3214//b0806//b0118//b2285//b1410//b1531//b2323//b1072//b4309//b4240//
FlhDC	b3063//b0385//b0068//b3115//b4088//b2151//b0805//b2994//b0293//b1791//b3115//b1519//b3581//b3966//b0074//sroA//b3022//b2416//b1476//b3330//b0043//b3784//b2097//b4035//b0225//b2429//b2997//b2369//b0588//b2323//b2485//b4384//b0904//b1006//b2060//b2009//b3730//b1508//b3607//b1704//b1006//b3517//b4354//b0333//b0443//b3942//b1322//b4098//b0181//b2276//b1079//b4399//b4322//b2159//b2803//b3429//b0475//b3365//b2993//b1083//b1041//b1258//b1486//b2204//b3188//b0652//b1262//b0060//b1325//b2715//b3357//b3432//b0765//b2342//b0602//b4044//b0064//b3907//b2788//b4039//b2415//b1949//
FliZ	b0179//b0048//b0617//b1669//b0781//b1617//b2278//b3934//b1623//b4096//b0819//b0977//b4249//b3157//b0377//b2369//b4471//b3567//b2675//b0339//b2342//
FucR	b0696//b1851//b3134//b2307//b0723//b0081//b1277//
Fur	b0857//b0293//b4567//b4613//b2000//b1743//b0588//b0597//b0593//b0799//b4322//b0604//b0048//b0301//b3786//b3604//b0431//b0730//b4016//b1805//b0339//b0331//b4100//b0061//b1904//b0811//b2009//b0724//b3403//b1940//b1275//b0462//b2077//b2208//b2665//sroC//b1791//b0450//b3773//b1745//b2085//b1442//b1071//b0337//b4365//b2242//b1016//b0970//b3566//b0722//b2107//b0572//b1761//b2756//b3790//b2788//b3138//b4120//b4039//b3599//b3367//b2095//b2424//b1892//b4613//b4102//b2705//b0734//b2808//b4599//b0970//b0384//b3011//b1023//b4592//b3127//b2167//b2308//b0392//b1486//b2168//b4321//b2762//b3366//b1718//b2840//b3571//b0080//b2464//b1878//b2824//b3908//b0461//b4357//b0954//b2483//b4310//b1499//b2487//b3168//b2167//b0675//b4481//b4384//b1408//b4124//b2676//b2980//b2727//b1669//b0678//b0979//b0293//b2763//b1590//b4197//b2617//b1101//b0616//b3006//b4042//b2231//b0615//b4016//b1617//b0034//b4288//b1379//b3503//b1407//
GadE	b1091//b2236//b2789//b0365//b2663//b1444//b4104//b1187//b3214//b1939//b1112//b4289//b2925//b0094//b2242//b2803//b3919//b1264//b0114//b1518//b2231//b0573//b1925//b3859//b1392//b2202//b0096//b4383//b3364//
GadE-RcsB	b3503//b3509//b3418//b2726//b2159//b3967//b4249//b2541//b1321//
GadW	b1848//b3742//b1623//b4197//b0583//b3328//b4382//b1386//b0841//b2414//b0903//b3094//b1846//b0123//b1532//
GadX	b0070//b2287//b3364//b4673//b2223//b0783//b1681//b1378//b1706//b1796//b1443//b0683//b2750//b0728//b0980//b1623//b3700//b2283//b0564//b3605//b2826//b0473//b1434//b0619//b2676//b0043//b3126//b4662//b3364//
GalR	b3752//b0073//b0461//efeU_2//b2196//b4195//b3957//b4411//b2666//b2541//
GalS	b3324//b2997//b1892//b3569//b4233//b0826//b3188//b0617//b3071//b1945//
GatR	b0793//b2893//b3334//b3582//b2702//b0351//
GcvA	b3605//b3125//b1588//b3138//b2697//
GlcC	b3957//b1518//b0382//b1942//b1890//b4439//b1900//
GlpR	b1411//b1780//b0082//b4095//b4131//b0851//b1890//b1073//b1102//
GlrR	b1674//b0091//b1399//b4033//b2280//
GntR	b3062//b3005//b0330//b1247//b3615//b1378//b1304//b2755//b4150//b2977//b1579//b1746//
GutM	b0675//b1518//b3515//b1037//b1390//b1707//b1861//
GutR	b1713//b0997//b2283//b0679//b1738//b3409//b3579//
HU	b1887//b2709//b4015//b1164//b0511//b1521//b2206//b1083//b2669//
HcaR	b2311//b1821//b0987//b0685//b1902//b1377//
HdfR	b3138//b0161//b3117//b3785//b0112//
HigA	b2093//b2975//
HigB-HigA	b3022//b0221//
HipAB	b2710//b1222//b4354//b0083//b2425//
HipB	b1530//b0934//b2194//b2281//b3800//b1819//
HyfR	b0067//b2560//b2372//b4435//b2574//b1077//b1521//b3324//b3156//b1817//b3940//b0809//
