#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b2579//b2997//
AcrR	b2068//b3117//b1950//b4452//b4444//b3916//b0463//b2316//b2923//b1443//b2675//
Ada	b1200//b3478//b2508//b3942//
AdiY	b0826//b2781//b2406//b3082//b0509//b0809//b1408//b3065//
AgaR	b0594//b1651//b1260//b0764//b1717//b4058//b1817//b2482//b2425//b3743//b1166//
AidB	b1243//
AlaS	b0557//
AllR	b1826//b0620//b3037//b3580//b3491//b3335//b2905//b2155//b0729//
AllS	b1907//b4014//b1299//
AlsR	b4323//b3061//b0654//b1683//b0388//b2236//
AppY	b4397//b1385//b1183//b2288//b3749//b2075//b4384//b1398//b0443//b2731//
AraC	b4468//b0450//b4042//b3510//b3480//b4467//b2379//b2198//b4043//b4026//b2500//b0040//b3476//b1265//
ArgP	b0463//b4133//b0591//b2068//b0365//b3431//b1715//b0093//b0334//b2783//b3911//b2731//b0619//b1743//
ArgR	b3860//b3117//b0578//b1038//b2423//b2684//b2017//b1500//b4101//b2074//b0522//b2075//b1946//b0779//b1734//b0347//b2552//b0587//b1779//b4105//b2414//b0151//b1924//b2143//b2529//b1020//b3172//b0225//b0095//b4027//b3576//b0232//b0935//b0439//b4150//b0605//b2801//b1530//
ArsR	b0928//b1877//b0043//
AscG	b0553//b2077//b0396//b0856//b1013//
AsnC	b1183//b0604//b2710//b1080//
AtoC	b3666//b4099//b1941//b3831//
BaeR	b0350//b2993//b0178//b2308//b2407//b4522//b0439//b0368//
BasR	b0036//b2490//b3723//b3791//b2093//b0430//b1513//b0038//b1080//b2531//b2370//b1948//b1430//
BetI	b2741//b2236//b1076//b3477//
BirA	b0781//b0618//b1244//b3571//b2541//
BluR	b1327//b2153//b2538//b2926//
BolA	b1941//b1950//
CadC	b3021//b3331//b2662//
CaiF	b2662//b2731//sroC//b4289//b1938//b1501//b4123//b0759//b3680//b4476//
Cbl	b1296//b0619//b1737//b1194//b4242//b1443//b0389//b4443//b2729//
CdaR	b2716//b3367//b3036//b1618//b0388//b4396//b2752//b1493//b3359//b1615//
CecR	b2201//b4037//b2802//b2709//b4151//
ChbR	b3207//b0340//b3961//b4050//b0623//b1252//
ComR	b2369//
CpxR	b2213//b0347//b2017//b0031//b3096//b0020//b0849//b0044//b2903//b0759//b2286//b3939//b4458//b0620//b2530//b1016//b1411//b2718//b0352//b1762//b2801//b2661//b2153//b4324//b0890//b0998//b2719//b0573//b2203//b0674//b0729//b2757//b1620//b1305//b0571//b3025//b3157//b1222//b0033//b3752//b3869//b1384//b3096//b2713//b3581//b1924//b1165//b1308//b2927//b3613//b2925//b2235//b2666//b0936//b0048//b1020//b3082//b1224//b1512//b1112//b0564//b2155//b2760//b1092//b0895//b1061//b0880//b3792//b3367//b0511//
Cra	b2903//b2484//b0934//b0115//b1611//b0181//b0447//b3571//b2724//b3331//b0443//b3132//b4415//sroC//b3905//b0368//b2669//b2528//b2222//b2529//b4079//b2068//b0855//b3961//b4059//b1321//b4396//b3227//b3225//b0606//b3366//b3451//b1390//b4016//b0514//b4095//b0277//b1007//b1040//b2156//b0507//b1902//b1163//b4415//b3564//b4322//b2239//b2490//b0820//b4088//b4026//b0557//b4192//b4016//b3118//b1410//b2470//b4026//b3091//b0091//b0037//b4280//b0035//b0435//b2713//b0156//b2105//b3164//b0794//b3416//b2975//b1715//b2095//b1298//b1199//b3721//b1199//b0199//b0853//
CreB	b3123//b4153//b3939//b0620//b0385//
CsgD	b1810//b1734//b1946//b0860//b1641//b3927//b0522//b4002//b0852//b2719//b0584//b1846//b1597//b1301//b3461//b0383//b2801//b0731//b0181//b2852//b2341//b3082//b3750//b0060//b3941//b1514//b4138//b2838//
CsiR	b1861//b3966//b0880//b0330//b4192//
CspA	b3845//b2323//
CueR	b0485//b3709//b0856//b2096//b2572//b4577//b1224//
CusR	b1907//b1941//b4115//b0377//b0570//b1010//b1203//b3271//b2666//b0447//b2341//b2284//
CynR	b3461//b1857//b3270//b2706//
CysB	b0342//b3185//b1225//b3528//b0522//b2284//b0903//b3418//b4291//b4196//b2239//b4382//b0516//b0812//b4476//b4096//b2237//b1023//b1634//b1442//b0619//b4266//b2306//b1262//b3114//b3956//b3744//b0685//b2674//b0504//b0392//b2092//
CytR	b1497//b1946//b4324//b2484//b0653//b0783//b1982//b3624//sroC//b2994//b1905//b3451//b4313//
Dan	b1578//b1264//b3156//b4160//
DcuR	b0399//b2074//b3514//b0296//b0032//b0368//b2000//b1817//b3829//
DeoR	b4567//b1482//b2697//b2990//b2483//b0377//
DhaR	b0063//b1408//b3227//b3922//
DicA	b4393//b1655//b0683//b0303//b1221//b3845//b3207//b0367//
DinJ-YafQ	b0933//b3437//b3902//
DnaA	b3008//b0724//b4059//b2373//b1261//b1944//b3139//b1577//b2603//b0733//b2240//b0972//
DpiA	b3599//b4159//b2542//b0777//b4705//b1546//b1948//b0855//b1004//b0864//b2159//
DsdC	b3942//b1947//b2826//
EbgR	b1888//b2507//
EnvR	b1623//b0786//
EnvY	b1641//b3092//
EvgA	b4702//b3326//b1670//b2582//b2068//b0076//b2201//b2704//b0312//b2751//b1398//b4076//b3813//b0708//b4006//b2788//b3082//b3906//b1741//
ExuR	b2912//b4408//b2726//b0799//b3415//b0978//b0044//b4105//b2665//
FabR	b0597//b2476//
FadR	b1609//b0857//b2059//b4471//b0891//b4441//b1568//b1264//b0584//b2764//b3426//b2837//b3645//b2716//b2674//b1857//b0781//b3334//b4698//b2964//b4138//b2560//b3123//
FeaR	b0796//b4006//
FhlA	b0116//b2017//b0565//b4408//b2801//b2168//b0860//b1737//b0852//b3792//b1707//b2580//b2799//b2368//b1410//b2058//b1166//b3221//b3012//b1101//b3967//b1304//b4033//b3136//b3359//b1021//b4154//b0997//b1303//b1622//
FlhDC	b3579//b1037//b4094//b2726//b0034//b4028//b1745//b1389//b3741//b2663//b2488//b0750//b1904//b0431//b1006//b0071//b2422//b2278//b0796//b3829//b2464//b3846//b1062//b0461//b0945//b1970//b0841//b3903//b2075//b1393//b3037//b2997//b2801//b0733//b3062//b3428//b2291//b1732//b0511//b0622//b0349//b0861//b4523//b2370//b3577//b0484//b0732//b1016//b1260//b4289//b2094//b1488//b0233//b1745//b4481//b4095//b0573//b0978//b1287//b2222//b1500//b3156//b1532//b0786//b0757//b4119//b3788//b0080//b1970//b1081//b2542//b2152//b0221//b3166//b3207//b0167//b3578//b1061//b0435//b3188//b2058//b1264//
FliZ	b2759//b0382//b1563//b1379//b3727//b3450//b2212//b1781//b4063//b3569//b1130//b3186//b1938//b1243//b2705//b1378//b4003//b0973//b2344//b3601//b3605//
FucR	b3026//b2980//b3364//b4523//b2215//b2538//b3477//
Fur	b0756//b3615//b0095//b2782//b3128//b1481//b2197//b4291//b0064//b3568//b3037//b2923//b4097//b0862//b4209//b0652//b2559//b4016//b4457//b0954//b1982//b0330//b3725//b1077//b1481//b3666//b3793//b0396//b1532//b1987//b1611//b1388//b0591//b0861//b0754//b1623//b3451//b2819//b3749//b0895//b1880//b3846//b2601//b0390//b1261//b2422//b2895//b2674//b0447//b2085//b3164//b4192//b4399//b0784//b3140//b0862//b1530//b2758//b3863//b1733//b1303//b1925//b1732//b3750//b2662//b0605//b1707//b1199//b1384//b0929//b1194//b0980//b2755//b1925//b1247//b1717//b3190//b2074//b2279//b3062//b2990//b1222//b2757//b3057//b1074//b1576//b3270//b1020//b0123//b3271//b3325//b1325//b1183//b1262//b0348//b2803//b4237//b4177//b1200//b2224//b4323//b2063//b2764//b2485//b3502//b3165//b3005//b4287//b0451//b0031//b2542//b1009//b1113//b3614//b0587//b0785//b3415//b4073//b3026//b3565//b0862//b2236//b0565//b1680//b0505//b1587//b2060//b1395//b3171//b0613//
GadE	b2106//b0615//b3507//b1443//b2803//b2728//b1548//b3025//b4471//b1021//b1283//b2196//b2697//b2500//b2150//b3707//b4279//b0071//b2488//b1518//b2481//b0076//b2095//b3172//b0507//b3911//b2500//b1009//b3011//
GadE-RcsB	b3575//b3906//b1796//b1476//b0511//b3709//b3727//b1728//b3903//
GadW	b1307//b1075//b4383//b4460//b0062//b2306//b4457//b0588//b4476//b1593//b2993//b3366//b0976//b1004//b0864//
GadX	b1263//b0040//b2476//b1734//b1476//b3567//b1746//b2197//b0622//b1517//b4035//b2603//b3789//b2661//b0522//b4267//b2313//b2094//b1658//b1041//b3441//b1949//b0764//b4016//b3073//b0396//b2105//b3925//b0674//
GalR	b2061//b1713//b0996//b3934//b1617//b0385//b2721//b1887//b1949//b2199//
GalS	b3365//b1007//b3331//b3506//b4481//b2308//b2723//b3580//b2212//b2662//
GatR	b1746//b3566//b0366//b1288//b2719//b0085//
GcvA	b2393//b3131//b4567//b2979//b1396//
GlcC	b0513//b0399//b4018//b1902//b2976//b1684//b4439//
GlpR	b4241//b1072//b1263//b2838//b4059//b3368//b1532//b2196//b1501//
GlrR	b2713//b4289//b1260//b0505//b1201//
GntR	b4321//b1713//b1298//b0775//b1593//b0032//b0020//b4159//b1263//b0864//b4698//b1818//
GutM	b0758//b2838//b3116//b1265//b4187//b0653//b0070//
GutR	b1902//b1737//b3222//b1016//b1738//b1076//b2579//
HU	b0337//b0617//b0432//b0852//b1891//b0614//b1922//b0352//b1077//
HcaR	b2508//b2107//b0764//b0570//b2061//b1261//
HdfR	b4096//b3903//b2925//b3575//b0383//
HigA	b1669//b0683//
HigB-HigA	b1038//b3511//
