#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b2096//b4018//
AcrR	b0334//b3365//b0793//b4417//b2662//b3934//b0762//b1513//b1669//b2997//b3169//
Ada	b3183//b0366//b2698//b4293//
AdiY	b3237//b3126//b1434//b3521//b2752//b3613//b0485//b3133//
AgaR	b2416//b1593//b3184//b4702//b3744//b3784//b4050//b2732//b4476//b0588//b4015//
AidB	b3013//
AlaS	sroC//
AllR	b2825//b2926//b0750//b0723//b3967//b0365//b0571//b0334//b3790//
AllS	b0757//b0430//b0403//
AlsR	b1285//b4513//b0723//b1810//b3141//b2077//
AppY	b0880//b1658//b2465//b1160//b0925//b3165//b1488//b2393//b2342//b1641//
AraC	b0860//b4096//b3680//b1680//b3614//b1900//b3094//b0934//b4382//b4475//b3331//molR_1//b1386//b2421//
ArgP	b4506//b0439//b1923//b3603//b3576//b4024//b2600//b2392//b4355//b0586//b2392//b0043//b4451//b1947//
ArgR	b3327//b3410//b0312//b0750//b0589//b2235//b4445//b3574//b3724//b3366//b2660//b3410//b4435//b1409//b0507//b2723//b1303//b0586//b0342//b1716//b1548//b1548//b0063//b0596//b0523//b3514//b3409//b2281//b3083//b4481//b2993//b3507//b4637//b1655//b1878//b4383//b2283//b4291//
ArsR	b3225//sroA//b2710//
AscG	b2369//b2537//b4384//b4383//b0622//
AsnC	b2818//b3574//b0042//b2481//
AtoC	b4198//b3165//b0613//b0596//
BaeR	b4458//b2283//b2840//b2994//b1946//b3137//b3157//b2750//
BasR	b1407//b1658//b0937//b2729//b0894//b3607//b1729//b1385//b4457//b0333//b0311//b3666//b0784//
BetI	b1671//b3601//b2484//b1322//
BirA	b1011//b3066//b2631//b4197//b1039//
BluR	b1779//b2687//b3966//b3061//
BolA	b2980//b1618//
CadC	b2485//b3363//b4198//
CaiF	b3184//b1078//b3357//b2802//b2487//b0428//b0973//b4567//b3510//b1900//
Cbl	b0399//b3722//b0388//b3081//b3960//b3721//b4392//b3860//b0522//
CdaR	b0441//b1023//b0231//b0092//b3614//b0756//b0759//b0934//b1485//b0903//
CecR	b4002//b0441//b0892//b0403//b3127//
ChbR	b0872//b4090//b3326//b0778//b0874//b0038//
ComR	b2155//
CpxR	b3071//b1203//b3428//b1062//b4460//b4366//b1262//b1261//b4074//b0723//b0604//b3183//b3066//b2365//b0721//b4291//b4035//b3136//b0995//b2937//b2582//b1744//b2993//b1982//b1743//b3061//b0377//b0347//b4037//b3750//b4357//b3495//b2499//b4381//b4264//b1702//b1826//b2779//b1184//b3038//b4013//b4117//b4618//b1410//b4101//b2730//b3813//b3813//b0696//b2205//b1335//b2285//b1514//b1817//b2464//b0565//b1387//b2194//b4095//b4506//b1530//b0587//b0587//b3567//b4054//b1880//b0062//b2221//b1880//b0782//
Cra	b2529//b0575//b1264//b1305//b0311//b0688//b2487//b3268//b3491//b1083//b0389//b0068//b1900//b0073//b2156//b1576//b3509//b4132//b1036//b0076//b1905//b2799//b3165//b2423//b1042//b1655//b3415//b1260//b2802//b0475//b3728//b2728//b2719//b1848//b0724//b3792//b2281//b0304//b2342//b3859//b1452//b3118//b0485//b2500//b1780//b2927//b0613//b1335//b0296//b0826//b3517//b4119//b0795//b0082//b1014//b1859//b1945//b4613//b3451//b2706//b0655//b0377//b3328//b0041//b1297//b2279//b1333//b2996//b3582//b3934//b2288//b3022//b3441//b1081//b2198//b1950//b0237//b3170//b0783//
CreB	b0347//b2106//b2717//b1441//b1013//
CsgD	b1307//b2995//b1308//b4698//b3789//b3831//b0523//b1888//b1020//b2208//b0034//b1511//b4032//b0153//b1296//b1948//b1256//b2997//b4415//b4445//b2926//b2801//b0378//b0856//b0118//b0333//b1389//b4264//
CsiR	b1744//b0786//b0782//b4090//b4670//
CspA	b2905//b4452//
CueR	b2572//b1077//b1797//b1950//b4471//b0237//b1132//
CusR	b2465//b1671//b1083//b0728//b4398//b0677//b3021//b0980//b1077//b1904//b1654//b4025//
CynR	b3328//b0076//b3495//b1741//
CysB	b0062//b2570//b0382//b2703//b4592//b0871//b0874//b0786//b4438//b4673//b3364//b1302//b1073//b2819//b0508//b1452//b4511//b1879//b0553//b2167//b3721//b4006//b0447//b2341//b0995//b2195//b0390//b0198//b3061//b2980//b4399//b2674//
CytR	b2975//b0810//b1649//b1683//b1784//b3601//b3114//b1797//b0727//b3919//b0071//b2802//b0156//
Dan	b0403//efeU_2//b0886//b1488//
DcuR	b4098//b2826//b3800//b1302//b3137//b1492//b2491//b3131//b1016//
DeoR	b2995//b2323//b2538//b2764//b0315//b1307//
DhaR	b1434//b1939//b0388//b2156//
DicA	b2307//b1587//b0507//b0964//b1385//b4233//b4618//b2239//
DinJ-YafQ	b0062//b3172//b4187//
DnaA	b0565//b1482//b4322//b1826//b4073//b1857//b1300//b0606//b0151//b1008//b1949//b0450//
DpiA	b2579//b0975//b4003//b3334//b2937//b4044//b3449//b2079//b2580//b4702//b1487//
DsdC	b4027//b4310//b4384//
EbgR	b1160//b3923//
EnvR	b1261//b1325//
EnvY	b3661//b1093//
EvgA	b3077//b3786//b3525//b0429//b2825//b4287//b2373//b4096//b4365//b3753//b1732//b2923//b1704//b1015//b3328//b2826//b3558//b1484//b1199//
ExuR	b0473//b3939//b2287//b3786//b4101//b3726//b2659//b1552//b1275//
FabR	b4523//b3403//
FadR	b1948//b3479//b0162//b1022//b3614//b4310//b3791//b1244//b3786//b0976//b2750//b1062//sroC//b0597//b4070//b2364//b0226//b2938//b0557//b3185//b4196//b2580//b2703//
FeaR	b1492//b3076//
FhlA	b1973//b3967//b1672//b1887//b4013//b0722//b4513//b1187//b0349//b3430//b0312//b2313//b2280//b0484//b3330//b2428//b0311//b1207//b1512//b3661//b3724//b2763//b0180//b3270//b0399//b0113//b0038//b0463//b1516//b2106//
FlhDC	b2697//b3156//b4416//b3512//b0675//b4396//b2203//b3416//b1887//b2800//b0020//b1007//b3171//b4513//b4151//b1818//b0073//b0614//b2163//b1327//b0508//b1411//b2204//b2155//b1620//b1130//b2661//b1409//b1475//b1943//b1946//b4194//b2291//b3212//b0090//b3367//b1434//b4382//b2661//b1850//b3940//b3172//b1779//b0351//b4070//b0512//b0167//b3426//b0020//b1252//b1532//b2148//b1681//b2127//b3139//b3566//b4115//b1948//b0618//b2239//b3429//b0841//b2365//b2674//b0036//b1165//b3518//b3271//b2538//b0880//b0681//b3157//b4195//b0463//b0951//b0313//b0293//b4037//b2630//b3418//b2425//b1563//
FliZ	b1308//b1256//b2822//b0937//b4293//b2393//b2729//b0681//b3515//b0432//b0094//b0398//b0505//b2200//b0378//b1394//b0384//b0974//b4237//b0931//b2669//
FucR	b4079//b2979//b3860//b3365//b2789//b0964//b1393//
Fur	b4411//b4098//b1305//b3126//b1569//b2702//b1485//b0754//b0123//b3613//b3065//b4123//b1951//b2105//b1852//b1784//b3580//b1634//b4260//b1950//b1679//b1411//b2840//b1409//b0335//b0677//b1821//b2310//b0925//b1973//b1591//b1256//b4095//b1655//b3123//b3845//b3961//b3702//b4037//b0335//b1704//b3578//b3141//b1475//b4355//b4016//b1207//b2781//b0221//b3501//b0618//b1300//b0517//b3269//b2200//b2991//b3752//b1938//b1784//b1408//b4698//b3793//b1951//b4105//b0935//b3329//b2060//b2838//b1164//b0035//b3061//b3503//b3515//b4196//b0758//b0596//b3271//b0089//b0296//b1530//b3500//b3501//b1938//b1590//b2491//b1944//b4106//b0655//b3408//b0514//b0565//b1901//b3021//b0652//b0072//b2416//b1411//b2705//b4249//b1819//b0513//b1521//b3011//b3721//b0708//b3916//b3271//b3813//b1198//b1102//b2169//b1493//b0277//b0123//b3166//b3113//b3956//b3934//b3701//b2241//b1132//b0515//b1821//b4072//b1307//b4365//b1326//b1943//b0152//b1531//
GadE	b2840//b3613//b0092//b1012//b2708//b3507//b1744//b0351//b3227//b2242//b0784//b1037//b2150//b1077//b3491//b0618//b1747//b3327//b2486//b2143//b0954//b2152//b1578//b1484//b1902//b0398//b3365//b3118//b4097//
GadE-RcsB	b1569//b3117//b2168//b0903//b2839//b1021//b1227//b0303//b0852//
GadW	b2926//b1010//b0198//b1948//b0074//b2927//b0809//b2279//b0094//b2062//b1728//b1518//b2822//b1187//b2540//
GadX	b2313//b0578//b4118//b3940//b4513//b0349//b1415//b3269//b4435//b2731//b2943//b3452//b2717//b0075//b1020//b4209//b2837//b1109//b3724//b4249//b4467//b3132//b0613//b0684//b0151//b3744//b1682//b0335//b1323//
GalR	b3021//b2500//b3959//b3171//b1892//b2603//b1548//b1540//b0460//b2163//
GalS	b1302//b4292//b0622//b1859//b1302//b3750//b0861//b3868//b1512//b0353//
GatR	b4637//b2507//b4101//b4240//b1305//b3268//
GcvA	b2200//b2605//b2204//b1397//b0750//
GlcC	b3869//b0181//b4267//b2289//b2059//b2539//b3118//
GlpR	b0997//b1415//b1684//b3615//b4309//b2708//b1892//b2500//b1735//
GlrR	b1074//b3476//b3333//b1012//b1562//
GntR	b3958//b0033//b2994//b3135//b1568//b4324//b1940//b2804//b2235//b2375//b1641//b3326//
GutM	b0676//b3793//b2074//b0036//b2686//b1781//b3794//
GutR	b0951//b2488//b3922//b3912//b1385//b4032//b3516//
HU	b0925//b3575//b0763//b3613//b0681//b0851//b0623//b4287//b4443//
HcaR	b3726//b3934//b3359//b4097//b1009//b2852//
HdfR	b3503//b1398//b3331//b2722//b2663//
HigA	b1076//b1036//
HigB-HigA	b1187//b3568//
HipAB	b4670//b2422//b0935//b0522//b1609//
HipB	b3026//b3774//b1591//b3092//b3870//b1042//
HyfR	b0954//b3702//b4159//b0508//b0676//b4435//b4468//b3332//b2009//b0166//b2573//b0225//
HypT	b0792//b1913//b3510//b1779//sroC//b0874//b2388//b4071//b1679//b2763//b1013//b2091//b1397//
IclR	b1326//b0795//b3613//b2407//
IdnR	b4618//b3026//b0933//b1860//b2762//b2464//b1323//
IlvY	b2306//b1746//
IscR	b2755//b3924//b1022//b1296//b3624//b2916//b4673//b2291//b2159//b3095//b0042//b2312//b0928//b0231//b0933//b1224//b4613//b4411//sroD//b2528//b1257//b1411//b2205//b2531//b3269//b0335//b4122//b0507//b2149//b4698//b0810//b4613//
KdgR	b0331//b0727//
KdpE	b3730//b0583//b3575//b4324//
LacI	b1521//b2152//b0849//
LeuO	b2507//b2058//b1379//b0889//b3161//b1547//b3525//b2428//b3083//b3666//b1024//b0461//b0684//b2715//b1982//b0312//b1810//b3168//b4039//b2757//
LexA	b4513//b2754//b0652//b2417//b3753//b2092//b0578//b1131//b4599//b1101//b0731//b0019//b3138//b2600//b0570//b0782//b1597//b3006//b3829//b0698//b0617//b3661//b0784//b1082//b3329//b2201//b0809//b0979//b1244//b0451//b1390//sroA//b0998//b0616//b4194//b3961//b2741//b1264//b2603//b2781//b4415//b2659//b0237//b1706//b0439//b1735//b3725//b2726//b2374//b3726//b3183//b3326//b0367//b2758//b2492//b3506//b3645//b3133//b1951//
LldR	b4618//b0572//b2464//
LrhA	b1620//b3451//b1716//b1023//
LsrR	b1241//b3327//b0031//b0880//b0782//b0733//b1948//b3036//b1672//
LysR	b3476//b3140//
MalI	b3255//b3359//b0178//
MalT	b0958//b0341//b3958//b1925//b4027//b3172//b1507//b0586//b0234//b1199//
MarA	b0179//b3480//b1257//b1129//b1791//b4153//b1136//b3574//b4019//b1924//b4233//b4637//b4093//b2684//b3437//b0392//b2206//b1892//b2276//b0344//b0857//b2062//b3184//b2925//b1669//b1307//b1398//b3236//b4097//b2407//b1590//b4123//b3452//b0653//b2710//b2062//b1022//b0303//
MarR	b1950//b2059//b0043//
MatA	b4033//b3227//b3791//b1735//b0728//b3070//b1390//b3925//
MazE	b2392//b4100//b1187//
MazE-MazF	b1061//b2997//b4194//
McbR	b0889//cpxQ//b0826//b0617//
MelR	b3214//b0486//b0036//
MetJ	b0382//b4435//b0595//b0435//b0750//b0367//b3645//b3701//b4451//b2153//b3870//b1654//b1891//b0062//b0505//
