#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b2127//b1037//
AcrR	b0574//b1901//b2242//b1902//b0096//b0852//b1530//b3479//b1246//b1207//b0805//
Ada	b0679//b3335//b0296//b1430//
AdiY	b1262//b0080//b4444//b0114//b0675//b3271//b0733//b3141//
AgaR	b1924//b2686//b1925//b2603//b1298//b3213//phnE_2//b2106//b2309//b0782//b2756//
AidB	b3062//
AlaS	b0112//
AllR	b0339//b1905//b2708//b4471//b2312//b2987//b0781//b1410//b0048//
AllS	b1393//b2288//b0084//
AlsR	b0080//b4249//b2825//b0892//b0851//b3037//
AppY	b3071//sroA//b4016//b0564//b0396//b4085//b4702//b2925//b3013//b1669//
AraC	b3725//b0571//b1304//b1970//b1247//b3794//b2705//b0154//b3939//b3512//b4026//b2096//b1718//b1848//
ArgP	b2074//b1187//b1498//b0584//b1937//b2685//b3509//b0367//b3514//b2416//b2371//b0784//b0564//b2996//
ArgR	b0889//b0085//b3566//b0873//b1389//b4458//b4384//b3256//b1616//b2313//b1826//b0596//b1221//b1201//b0655//b1926//b2078//b2309//b0980//b0604//b3794//b4003//b0557//b1514//b4062//b3774//b1892//b1285//b1729//b2990//b4237//b3184//b1082//b2759//b0970//b4381//b4313//b1083//
ArsR	b2825//b0061//b0777//
AscG	b3934//b0933//b1889//b1166//b1194//
AsnC	b4323//b0076//b2838//b0928//
AtoC	b3908//gadF//b4133//b1165//
BaeR	b2096//b0928//b1499//b1384//b1247//b1074//b1954//b0486//
BasR	b3081//b4445//b3410//b4073//b2107//b1440//b1942//b0931//b4097//b0731//b1712//b0862//b3479//
BetI	b2839//b1650//b4097//b0072//
BirA	b0399//b2787//b0447//b4015//b2964//
BluR	b0118//b2106//b2096//b3753//
BolA	b0439//b0334//
CadC	b4098//b3414//b4239//
CaiF	b2938//b1297//b1275//b0958//b3060//b1080//b1940//b0451//b1921//b0032//
Cbl	b0382//b1790//b1227//b2068//b3742//b2559//b4539//b0781//b2094//
CdaR	b4398//b4150//b2538//b0398//b4293//b0819//b1857//b3495//b2017//b2923//
CecR	b1247//b3813//b2107//b1061//b1681//
ChbR	b2489//b3575//b2407//b2169//b4291//b2092//
ComR	b4313//
CpxR	b0805//b1452//b0301//b1207//b0793//b0403//b3416//b1305//b0081//b0093//b2085//b0447//b0463//b2196//b1200//b3558//b4416//b2159//b1890//b1411//b0167//b3583//b2895//b1567//b0063//b4102//b1298//b4088//b2105//b2913//b3366//b1745//b2852//b2800//b0081//b0697//b1521//b0112//b1023//b1036//b3721//b4445//b0349//b0432//b3213//b0432//b2342//b0751//b3429//b0038//b1400//b2716//b1014//b4451//b1224//b1411//b3161//b0806//b0515//b3923//b3186//b4398//b4321//b1160//b3741//b0755//b0688//b2529//b3012//b2631//
Cra	b0075//b2841//b0473//b0799//b1040//b4237//b1891//b0806//b2818//b0093//b0553//b1276//b2579//b0115//b3135//b2722//b4087//b3409//b0602//b1902//b4032//b0090//b4033//b1577//b0113//b1575//b3941//b1762//b1006//b3237//b2529//b1729//b3926//b0873//b0225//b2631//b3451//b1408//b1516//b0605//b3169//b0677//b2423//b1569//b1093//b0853//b1674//b3501//b2980//b4006//b0572//b3207//b4399//b1575//b2323//b1620//b2617//b2323//b1167//b2741//b4451//b0277//b3011//b2482//b1302//b0365//b3071//b3511//b1379//b3517//b2236//b1818//b0805//b1579//b0207//b1780//b2799//b1850//b4431//
CreB	b3707//b0377//b0776//b2280//b3604//
CsgD	b3183//b0565//b3237//b2993//b1300//b1594//b0341//b3190//b3073//b0890//b2277//b0043//b1717//b2553//b1021//b2913//b2152//b0697//b2059//b3071//b3367//b1237//b2276//b3845//b0618//b3491//b4241//b4019//
CsiR	b4292//b3528//b1887//b2538//b3027//
CspA	b2725//b0980//
CueR	b1335//b1790//b4457//b1904//b4415//b0805//b1072//
CusR	b0958//b2234//b3860//b0069//b0086//b0851//b3579//b1970//b4309//b0311//b0855//b0336//
CynR	b0826//b0731//b0504//b1081//
