#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	gadF//b2821//
AcrR	b1276//b3793//b0514//b1745//b3859//b2364//b1681//b0178//b0734//b3612//b1779//
Ada	b4311//b0366//b1923//b3605//
AdiY	b2574//b3071//b4040//b3785//b3491//b2666//b2237//b1945//
AgaR	b0365//b3792//b1080//gadF//b0786//b2731//b4151//b3902//b0231//b4033//b1926//
AidB	b1810//
AlaS	b0343//
AllR	b0854//b2674//b0382//b4506//b2094//b1194//b3666//b1564//b3366//
AllS	b1615//b3967//b1164//
AlsR	b0432//b2671//b4438//b2079//b3788//b4702//
AppY	b3938//b3190//b0441//b3070//b0708//b1396//b0820//b4310//b1039//b0072//
AraC	b4287//b2423//b0604//b2904//b4347//b4035//b2911//b1745//b2200//b1262//b4288//b1901//b2476//b1071//
ArgP	b2913//b1658//b0116//b0384//b3335//b1949//b0724//b4618//b0793//b4312//b0237//b3784//b3141//b0199//
ArgR	b4476//b0335//b3831//b0729//b3511//b4025//b2787//b3603//b2234//b1718//b0864//b2379//b1323//b2819//b2063//b0048//b0799//b3431//b3940//b3037//b3224//b3006//b2499//b3582//b3476//b2687//b0782//b3788//b1515//b3366//b1514//b3256//b3906//b0729//b0931//b1482//b1938//b3577//
ArsR	b2904//b1487//b3724//
AscG	b4050//b2369//b0074//b2665//b3942//
AsnC	b0873//b2666//b2097//b4393//
AtoC	b0572//b0178//b1810//b4139//
BaeR	b0849//b2539//b0997//b1987//b0605//b0231//b2194//b2762//
BasR	b1013//b3077//b1073//b0655//b1038//b1608//b1037//b2781//b2375//b4618//b4025//b3580//b1077//
BetI	b4475//b0044//b4357//b1393//
BirA	b0513//b2707//b0688//b2213//b0972//
BluR	b3599//b3139//b2207//b2725//
BolA	b0978//b3478//
CadC	b3134//b3067//b1073//
CaiF	b2105//b3005//b1594//b3093//b1846//b0998//b3213//b4036//b0036//b1649//
Cbl	b2717//b2800//b0864//b0397//b2421//b3325//b3256//b4444//b2058//
CdaR	b3256//b2076//b2674//b0682//b2631//b0514//b2661//b4122//b3063//b4444//
CecR	b3907//b2079//b1914//b0676//b4522//
ChbR	b2105//b4506//b3927//b0950//b3092//b2537//
ComR	b3190//
CpxR	b4265//b4383//b2507//b2366//b4673//b1733//b0605//b2841//b2781//b0094//b2927//b3140//b3092//b2153//b2757//b0617//b3564//b1904//b1039//b2741//b0336//b1452//b3479//b1335//b2105//b1719//b0392//b1745//b2757//b4104//b1889//b0240//b1781//b0429//b0685//b1393//b3599//b3503//b0293//b1857//b4291//b0339//b1377//b4124//b2819//b0334//b2708//b1474//b3574//b1160//b4458//b0411//b0443//b0116//b0181//b1531//b4025//b4242//b2309//b0333//b2200//b1634//b0970//b2312//b2421//b3645//b3625//b2824//b2824//b0060//
Cra	b2388//b3495//b3271//b3960//b0786//b1861//b1890//b3958//b4260//b3324//b3077//b4071//b2903//b2708//b3127//b4240//b0896//sroA//b1729//b2499//b4033//b2074//b1852//b1615//b0894//b1737//b3409//b1039//b2574//b3171//b0595//b0723//b1287//b4289//b1563//b0241//b0774//b1498//b2221//b0517//b1922//b2487//b2284//b4088//b3793//b4003//b0653//b4233//b3328//b3569//b0303//b0765//b0044//b1515//b0085//b1925//b1074//b1165//b0237//b2755//b3132//b4484//b3057//b2631//b3785//b1745//b3904//b0683//b0622//b1385//b2802//b3730//b1546//b1530//b2841//b3567//b1020//b1287//b0114//
CreB	b3501//b1922//b3845//b0294//b4102//
CsgD	b1684//b2489//b0681//b0031//b3724//b2662//b0037//b2557//b1288//b2163//b0811//b3792//b1277//b2237//b2571//b0462//b3236//b3701//b2605//b0850//b1223//b1621//b0207//b3269//b4237//b3957//b0485//b1492//
CsiR	b2756//b1900//b1714//b0344//b3727//
CspA	b3429//b2661//
CueR	b3903//b1444//b2912//b2369//b0094//b4005//b2709//
CusR	b4376//b1944//b0734//b3082//b4268//b3268//b3268//b0839//b3868//b2741//b2276//b2369//
CynR	b2149//b4237//b1540//b0936//
CysB	b3721//b2538//b3743//b1073//b1492//b2127//b4003//b2106//b0578//b1476//b0778//b4025//b2803//b1923//b2344//b0178//b0516//b0826//b0578//b0774//b2754//b4003//b1681//b0179//b3133//b0343//b1301//b1499//b1748//b2702//b2277//b4099//
CytR	b3432//b2937//b4073//b0590//b3141//b4293//b2407//b2370//b1939//b0851//b0597//b2393//b3579//
Dan	b4266//b0687//b1237//b1805//
DcuR	b2092//b4291//b3070//b1493//b1947//b2560//b4122//b1950//b2421//
DeoR	b0072//b2726//b2201//b0340//b0344//b0820//
DhaR	b0366//b4233//b2719//b4025//
DicA	b3324//b1408//b2203//b4006//b0067//b2313//b4267//b0777//
DinJ-YafQ	b4125//b1093//b0723//
DnaA	b0734//b2685//b1780//b1887//b1022//b0589//b4670//b3183//b2323//b1679//b2764//b3575//
DpiA	b3113//b0313//b0462//b1008//b4088//b2470//b1879//b0181//b3709//b2687//b2312//
DsdC	b1429//b3410//b0072//
EbgR	b0782//b2234//
EnvR	b4040//b2212//
EnvY	b0085//b4131//
EvgA	b1945//b2169//b4096//b0334//b3845//b0954//b3940//b0594//b0116//b0687//b3364//b0934//b2802//b3491//b4444//b1783//b1259//b1306//b0048//
ExuR	b2425//b1387//b2500//b2488//b4279//b0951//b0241//b4044//b3513//
FabR	b2207//efeU_2//
FadR	b2085//b4197//b3911//b2222//b0068//b2075//b1821//b4383//b3580//b4457//b4100//b0435//b2500//b3477//b4471//b2710//b0754//b1322//b1609//b2537//b0681//b3065//b2852//
FeaR	b2291//b0587//
FhlA	b1905//b4194//b1848//b0441//b3128//b0575//b2241//b3707//b1036//b1921//b2538//b1736//b2306//b3410//b0038//b1013//b3942//b0399//b4088//b0590//b4106//b3911//b3367//b1590//b2760//b3722//b2893//b0153//b2802//b4471//
FlhDC	b0757//b4015//b2729//b2840//b0429//b0301//b0367//b2841//b2392//b0221//b3723//b0403//b2062//b2281//b3730//b4265//b2279//b0516//b2799//b3428//b4003//b0698//b2421//b1492//b1878//b2573//b3132//b3165//b1514//b1487//b1593//b0226//b2728//b1411//b1183//b0382//b0564//b3748//b4192//b0338//b2716//b2085//b2486//b2213//b3128//b3792//b0676//b4071//b2058//b4525//b4042//b0652//b0240//b3794//b3574//b4076//b1129//b3607//b3571//b2840//b1003//b3513//b2671//b0678//b3942//b3171//b4481//b2665//b4323//b4139//b1671//b1276//b3800//b4105//b0156//b3510//b0513//b1846//b4033//b1728//b0820//b0485//
FliZ	b2159//b0676//b2076//b2287//b0871//b1487//b0733//b1796//b4618//b0384//b0677//b0368//b3938//b1075//b2964//b2425//b1400//b4599//b1335//b2723//b1183//
FucR	b3741//b0464//b2905//b0795//b4025//b1618//b1296//
