#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b0776//b2839//
AcrR	b2097//b1384//b1848//b0153//b2371//b3859//b1623//b0602//b4019//b3437//b4471//
Ada	b1518//b0620//b1942//b0811//
AdiY	b0067//b0090//b2490//b2288//b0765//b2737//b3661//b2603//
AgaR	b0996//b3214//b1890//b2422//b0367//b0855//b3403//b0860//b0116//b3911//b0619//
AidB	b0031//
AlaS	b1810//
AllR	b2603//b1970//b3707//b2159//b2366//b1623//b2893//b1391//b4237//
AllS	b2663//b2943//b1889//
AlsR	b2202//b3603//b1399//b4071//b1564//b3645//
AppY	b2783//b2720//b3919//b3430//b3547//b1061//b4443//b0708//b3077//b1452//
AraC	b3137//b0450//b2464//b0856//b0441//b2698//b3724//b4293//b3478//b1587//b4016//b3409//b0485//b2150//
ArgP	b3037//b1237//b0954//b0620//b3707//b1817//b1244//b2366//b2224//b2415//b1676//b3506//b0762//b1651//
ArgR	b1474//b0708//b0112//b2718//b2782//b1396//b1224//b3748//b0997//b3408//b1805//b2197//b4133//b1246//b0806//b4439//b1682//b0784//b1322//b2058//b3221//b0342//b3725//b1167//b2277//b0945//b1577//b3165//b1890//b2167//b2000//b0344//b0398//b2937//b0512//b1891//b3725//b3022//
ArsR	b4100//b0366//b0977//
AscG	b2143//b3082//b1563//b0516//b1892//
AsnC	b2750//b3476//b0068//b2711//
AtoC	b1306//b0564//b2697//b2804//
BaeR	b1256//b0075//b2580//b2728//b0088//b0933//b0874//b3750//
BasR	b0486//b0180//b0113//b0964//b3603//b4059//b3495//b4196//b1011//b4322//b2779//b2706//b1072//
BetI	b2283//b3912//b0591//b1493//
BirA	b0041//b1904//b4242//b0019//b2415//
BluR	b3167//b3957//b1003//b0076//
BolA	b0606//b1408//
CadC	b0343//b3869//b2167//
CaiF	b4118//b2155//b1020//b4015//b0411//b2097//b1650//b2722//b3167//b1797//
Cbl	b2311//b4071//b1194//b1948//b3061//b0871//b1734//b0827//b0827//
CdaR	b1944//b2764//b2107//b4119//b1946//b3503//b3271//b0687//b2943//b0786//
CecR	b1797//b2540//b4037//b4468//b3813//
ChbR	b1493//b3603//b2705//b4289//b1621//b0431//
ComR	b4613//
CpxR	b2208//b2075//b4254//b1384//b0075//b0936//b1728//b2719//b0777//b4037//b4475//b4124//b0352//b0231//b2085//b3568//b0724//b3006//b3328//b1904//b1246//b1590//b3140//b2805//b3190//b1902//b1562//b1810//b0887//b1009//b1160//b4101//b1568//b3091//b0349//b3934//b2500//b4592//b3480//b0594//b3908//b3113//b3615//b2662//b4093//b4034//b0929//b4396//b2342//b2991//b1039//b0871//b1163//b1024//b2603//b4030//b2366//b0508//b1241//b2153//b0781//b2241//b2060//b1022//b3022//b0349//b1673//b0724//b1246//b0933//
Cra	b3421//b0684//b4260//b1578//b3134//b1654//b4071//b1487//b0925//b4005//b0093//b2726//b3868//b0347//b1568//b0511//b0335//b3728//b2603//b4673//b4396//b2167//b1615//b0403//b1651//b4506//b2783//b3469//b0934//b1926//b0874//b4154//b3941//b1728//b2819//b1334//b3959//b0615//b1442//b4115//b0620//b1861//b4018//b2805//b3604//b4039//b4241//b4400//b4475//b2202//b1207//b4471//b2203//b0683//b1247//b0675//b1926//b3513//b0071//b0042//b1621//b1890//b4090//b1719//b3846//b2662//b2212//b4322//b3161//b2600//b1949//b0935//b3093//b4670//b1719//b2241//b0620//b0348//b2706//
CreB	b1323//b0595//b0241//b2283//b0937//
CsgD	b2085//b4445//b3791//b0678//b2826//b4030//b3116//b2823//b2203//b0933//b3331//b3578//b0237//b1857//b4468//b0854//b1594//b4154//b2365//b2904//b4151//b3172//b2762//b0997//b0571//b0677//b2097//molR_1//
CsiR	b2709//b3083//b2281//b2803//b0330//
CspA	b0733//b2222//
CueR	b2388//b2582//b4125//b0596//b1073//b4089//b2616//
CusR	b2076//b2416//b0970//b0062//b1499//b3927//b1013//b3213//b4062//b2756//b2663//b1821//
CynR	b4015//b3906//b3568//b1734//
CysB	b0337//b4071//b0041//b1396//b4095//b0618//b2538//b3367//b2075//b1014//b3409//b0756//b2820//b4034//b0181//b1987//b2077//b1925//b0504//b0896//b3922//b0092//b0617//b1410//b3905//b1075//b4095//b2926//b2699//b0225//b2666//b2194//
CytR	b3752//b4384//b0084//b1888//b3829//b0399//b0207//b0732//b3680//b1308//b4043//b2481//b0347//
Dan	b0575//b1093//b2823//b1512//
DcuR	b4673//b2421//b4313//b0903//b1225//b2417//b4511//b1507//b0605//
DeoR	b0863//b2058//b4381//b1982//b1591//b2720//
DhaR	b3916//b0093//b0076//b2991//
DicA	b1011//b0863//b2722//b0620//b2106//b2925//b3222//b2727//
DinJ-YafQ	b1924//b3722//b2372//
DnaA	b2801//b3368//b0604//b0995//b4309//b0934//b0123//b2276//b3571//b2818//b3927//b1982//
DpiA	b3225//b4105//b4411//b0978//b0180//b2487//b2729//b1945//b0819//b0508//b0726//
DsdC	b3184//b4120//b1748//
EbgR	b3846//b1945//
EnvR	b2127//b2601//
EnvY	b3902//b1718//
EvgA	b0928//b1945//b2669//b4484//b1924//b0153//b3070//b3035//b0349//b1020//b4120//b0461//b2904//b3418//b2486//b4030//b1130//b2674//b3514//
ExuR	b3922//b2341//b3365//b1333//b3071//b3612//b3729//b3128//b0891//
FabR	b1761//b0123//
FadR	b2760//b0936//b3331//b1943//b3450//b0855//b3800//b2058//b2719//b1166//b2762//b0091//b1326//b3326//b3870//b1023//b1397//b3939//b0972//b4132//b4124//b1719//b3518//
FeaR	b2097//b1623//
FhlA	b4071//b3132//b1608//b2009//b1913//b1877//b2507//b1488//b0431//b3509//b3707//b0585//b2464//b3722//b3568//b2574//b2616//b2799//cpxQ//b4260//b0463//b0623//b2163//b1022//b2663//b4072//b4476//b4016//b0972//b4070//
