#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b4058//b1091//
AcrR	b0085//b4673//b1244//b3172//b1781//b1944//b3073//b1259//b1684//b3666//b2416//
Ada	b3083//b1194//b0795//b0980//
AdiY	b3469//b1011//b2732//b2149//b2283//b2942//b3863//b1078//
AgaR	b3966//b0596//b0093//b1302//b1744//b1227//b1488//b4074//b3168//b1304//b1299//
AidB	b2760//
AlaS	b3418//
AllR	b4086//b1199//b1680//b1304//b4192//b0385//b3066//b2491//b4233//
AllS	b0880//b3136//b4444//
AlsR	b4366//b3516//b0019//b1880//b0722//b3564//
AppY	b0586//b0936//b2943//b1400//b0385//b4059//b4439//b1071//b3495//b1946//
AraC	b2570//b1301//b3512//b0604//b1717//b0349//b1535//b2755//b1783//b3236//b1499//b2428//b3599//b3141//
ArgP	molR_1//b3073//b1548//b3919//b3773//b1681//b0463//b3742//b3071//b1260//b0072//b3568//b0977//b2698//
ArgR	b3185//b3709//b0698//b0221//b4088//b0112//b2500//b2996//b1683//b0396//b0891//b2239//b3132//b1082//b1902//b0976//b0507//b0553//b0464//b4032//b0435//b4153//b4310//b1521//b2283//b3870//b1719//b1009//b1041//b3701//b0674//b3091//b1393//b0622//b2215//b0156//b0083//b4194//
ArsR	b4383//b2282//b1850//
AscG	b1988//b0996//b3169//b1013//b0785//
AsnC	b2234//b2470//b2470//b4618//
AtoC	b2364//b2783//b1007//b3367//
BaeR	b3516//b4106//b0063//b0618//b1203//b1622//b2213//b0067//
BasR	b2616//b3271//b0904//b1949//b0782//b0729//b2661//b1680//b3911//b4254//b2803//b4267//b1797//
BetI	b0779//b1061//b2711//b3013//
BirA	b4279//b0618//b2288//b0475//b0411//
BluR	b3688//b4238//b0460//b1540//
BolA	b2388//b4005//
CadC	b0570//b0150//b2764//
CaiF	b0043//b3942//b3221//b3480//b2464//b0334//b3966//b3095//b2964//b1083//
Cbl	b0462//b1576//b2370//b1946//b2729//b0765//b3576//b1256//b2630//
CdaR	b3330//b3071//b0684//b1848//b2763//b3268//b0463//b1817//b2221//b2234//
CecR	b0622//b1514//b0874//b3495//b1262//
ChbR	b1037//b4102//b2406//b1942//b0464//b3213//
ComR	b0850//
CpxR	b2732//b0461//b0068//b4383//b1891//b1303//b1907//b2987//b2727//b4097//b3680//b1737//b4209//b1848//b0076//b2661//b2207//b3008//b3329//b4249//b0396//b2837//b4254//b4150//b2763//b4120//b3741//b0388//b1385//b0976//b0181//b3605//b0805//b2994//b0820//b0871//b0032//sroA//b1079//b2068//b0461//b1552//b1587//b3521//b2205//b1322//b0841//b4567//b2893//b4044//b3256//b3364//b1400//b1288//b0894//b0604//b0810//b4613//b2925//b1071//b0076//molR_1//b2684//b3506//b2105//b3787//b3869//b2718//b0353//b0980//
Cra	b4105//b2375//b0574//b4097//b3784//b1714//b3135//molR_1//b1226//b2750//b2096//b0864//b4097//b2913//b0226//b4098//b3906//b4264//b2942//b3077//b4399//b0575//b2063//b0082//b4457//b4618//b0451//sroD//b0583//b3006//b3026//b3924//b1132//b3742//b2422//b2731//b0233//b0806//b1166//b0903//b0508//b4177//b0340//b2571//b0071//b2759//b2507//b1304//b4381//b3521//b2713//b2201//b2732//b4018//b1225//b2675//b4438//b1679//b2552//b0156//b2943//b1746//b2926//b3786//b1013//b4539//b4313//b4599//b2818//b1079//b4310//b1474//b2823//b1165//b4475//b3547//b4439//b0852//b1937//
CreB	b0890//b4043//b2017//b1704//b2156//
CsgD	b3723//b0508//b3730//b1737//b4032//b4366//b3268//b2537//b4539//b0977//b1007//b0978//b1394//b3005//b0758//b1062//b0225//b1641//b3207//b1488//b2662//b1943//b0343//b2764//b1713//b4323//b0514//b3479//
CsiR	b2539//b0652//b1714//b2716//b2783//
CspA	b0894//b2617//
CueR	b1221//b0775//b4705//b4522//b3727//b4099//b0400//
CusR	b3167//b3680//b2531//b2060//b3237//b1670//b3117//b0734//b2720//b2486//b1485//b0751//
CynR	b3207//b3334//efeU_2//b3599//
CysB	b4003//b2979//b0473//b2789//b2307//b3213//b3357//b0734//b1302//b3785//b1394//b2699//b1221//b1655//b3063//b0620//b4357//b0070//b0721//b2107//b2212//b2077//b3793//b0676//b2991//b3966//b2764//b2993//b2406//b4310//b3845//b0152//
CytR	b0774//b3614//b2198//b2905//b2074//b1914//b3269//b0587//b0615//b3082//b4115//b3924//b1719//
Dan	b2903//b0806//b4381//b1676//
DcuR	b1780//b3417//b1198//b2731//b4026//b2553//b3451//b2490//b3829//
DeoR	b4324//b4476//b3270//b1939//b1902//b4034//
DhaR	b2987//b0684//b1082//b3469//
DicA	b1887//b1954//b1826//b2223//b0088//b1246//b3919//b0764//
DinJ-YafQ	b1611//b4309//b2687//
DnaA	b4086//b1735//b1546//b2904//b2365//b4151//b0390//b3452//b3417//b4471//b1536//b1308//
DpiA	b0820//b4195//cpxQ//b1826//b4196//b0602//b2508//b0486//b0084//b4120//b1672//
DsdC	b2374//b3603//b0365//
EbgR	b2991//b0071//
EnvR	b4460//b1062//
EnvY	b2604//b1738//
EvgA	b2631//b1923//b3938//b1741//b2500//b3624//b1939//b2841//b0839//b0620//b3729//b2684//b0605//b4367//b1924//b3331//b2092//b3076//b1741//
ExuR	b1683//b1987//b3190//b4101//b0060//b1851//b2659//b3124//b1718//
FabR	b0592//b1013//
FadR	b3076//b0593//b0517//b3722//b1568//b0343//b0382//b1988//b4383//b1200//b2781//b0675//b3077//b1738//b0035//b4467//b3237//b4026//b0585//b1743//b3967//b3125//b2423//
FeaR	b1858//b4034//
FhlA	b1093//b2392//b0684//b2557//b1109//b3171//b0523//b1130//b2728//b4039//b1781//b0336//b2977//b0334//b2669//b3477//b4292//b0891//b3171//b1889//b2803//b2235//b0862//b1954//b0708//b2223//b1744//b3792//b0980//b3057//
FlhDC	b3721//b0654//b0377//b1670//b3500//b4384//b4079//b0614//b3065//b0871//b2825//b3773//b0154//b0812//b1744//b1779//b1620//b2804//b2893//b1247//b0722//b1083//b1306//b2942//b1576//b0092//b1921//b1924//b4288//b0226//b4662//b2284//b1222//b0156//b1307//b0087//b4476//b1061//b2379//b0931//b4076//b1683//b4468//b1006//b2341//b0973//b0722//b1321//b2282//b2488//b0892//b0854//b1576//b1379//b1207//b2528//b0781//b0795//b2278//b1484//b3958//b1568//b2697//b4291//b0853//b4265//b1395//b1252//b3006//b2726//b3624//b0431//b0368//b2707//b2280//b2580//b1879//b4670//b4025//b4058//b0349//b3509//
