# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	allD//rnpB//
AcrR	gnd//mhpC//
Ada	paaK//glpQ//yibQ//narI//
AdiY	cadA//pheT//waaZ//hcp//
AgaR	yiaK//
AidB	hypF//
AlaS	serA//
AllR	astA//dmsA//katE//rutE//yibQ//pnp//
AllS	hemH//rdoA//ung//
AlsR	entF//hemH//fau//
AppY	treC//fadD//
AraC	ulaD//deoC//sdhC//nanK//ttdB//nadA//purN//
ArgP	xylA//glcD//metB//ynfE//rbsD//glxK//paaC//torC//speB//
ArgR	entA//allB//frdB//nagB//argC//trpB//pgaD//fadB//rhaD//sucB//sgbE//bacA//fabB//gadB//adiA//ogt//frdB//citG//polB//yibQ//glcF//prpD//araB//
ArsR	sdhD//aceF//
AscG	pheT//citC//
AsnC	mhpE//pncB//
AtoC	aspA//rutC//tyrB//
BaeR	frdB//cyoE//
BasR	gutQ//icd//hyaC//
BetI	dacC//mhpD//entH//
BirA	umpH//hyaA//aroL//glpK//hyaB//
BluR	
BolA	purE//wrbA//
CadC	phnI//feaB//
CaiF	nfsA//rdoA//gadA//gloA//aroG//
Cbl	glmS//ynfH//alkB//aceA//frdA//
CdaR	lhgO//cysH//astC//allE//slt//uidA//alkA//gatY//alaS//
CecR	
ChbR	hemL//malY//pgpC//
ComR	
CpxR	mltF//slt//accC//ulaD//guaA//rffT//murE//dsdA//ulaG//folE//rffH//yiaK//malQ//rffH//metB//gor//ldtD//hycF//leuD//sdhA//patD//
Cra	gdhA//edd//rffT//leuC//phnH//murQ//ung//wecC//uvrB//melA//citC//paaF//rhaA//mpl//cysD//puuB//fadD//mltF//dhaL//purK//argH//garD//gutQ//aldA//citD//narI//murF//galT//paaE//gatY//lsrG//nagA//nrfD//fabI//argC//kbaY//trpA//metB//glk//slt//ubiA//glmU//pgaC//hyaB//cysI//aceF//paaI//uvrA//rutC//gpmM//astE//murQ//putA//metL//napA//fadJ//fabB//murG//argI//ftsI//
CreB	hyi//purH//
CsgD	mnmG//puuC//pepD//sgbE//atoA//
CsiR	sgbU//glgP//ulaD//bioA//
CspA	sgbE//
CueR	puuC//cysE//murE//rffG//
CusR	fucU//ychF//fbaA//
CynR	talA//umpH//aspA//
CysB	adhE//bioF//talA//rimK//aspA//purH//hycD//hemH//alaC//pheT//torC//cynT//cysK//metH//wzc//dsdA//uvrB//aceF//
CytR	garK//mhpD//paaZ//yibQ//nrdE//eno//frdD//trpA//gcvP//speA//
Dan	cysD//ppc//
DcuR	aceB//nrdE//deoA//mazG//
DeoR	citF//lacA//moaE//glyA//epd//metC//
DhaR	glyA//
DicA	
DinJ-YafQ	ulaD//
DnaA	truB//cdd//feaB//frdA//citG//nirD//
DpiA	leuD//pflB//yqhD//glpX//rutB//
DsdC	purC//iscS//
EbgR	
EnvR	citX//dgkA//
EnvY	hycF//argF//
EvgA	polB//yibQ//psd//ampC//fabZ//pflB//
ExuR	ddlB//glxR//tynA//galT//aroL//sucA//
FabR	glmU//glpQ//
FadR	cysN//pfkA//fadM//mtlD//ribA//phnH//entD//atoB//oxc//purA//argC//galT//hcaF//ada//fes//prpC//bioC//mraY//
FeaR	pdeR//puuA//
FhlA	caiC//paaG//atoA//murD//ychF//sucB//pck//
FlhDC	alaS//xylB//pgk//putA//murI//ftsI//ychF//fbaA//gcvH//gnd//sdhA//
FliZ	gatD//ahpC//moeB//katG//trpD//
FucR	atoA//srlD//rutC//frdB//puuB//yibQ//
Fur	nrdB//rnpB//ilvC//accB//waaZ//acnA//pepD//uidA//murE//mhpF//prs//folE//pfkA//paaK//nirB//ilvC//hycG//purA//nirB//paaI//argD//dapD//mpl//trpB//ynfF//caiD//xylA//talA//murF//idnD//entA//edd//glgX//fabA//trpC//rffG//gcvH//fadE//mraY//mazG//aceE//atoA//fbaB//tktB//garK//glcF//relA//ruvB//fabD//lyxK//malP//pheT//glgX//nanE//mdh//accB//phnM//allA//tynA//paaK//adhE//pyrC//cysJ//
GadE	nrdA//fdhF//psd//mltF//tnaA//gadA//bioC//phoA//tehB//napA//
GadE-RcsB	yeaE//pncB//nrfD//alkB//
GadW	dinB//glpD//ruvB//eda//
GadX	rffC//dkgA//cdd//amn//relA//metL//sucD//napG//dmsA//lsrG//epd//rfe//
GalR	gapA//fabG//dsdA//narH//purF//alaC//
GalS	wrbA//mhpC//pgaD//frdD//fadE//ulaF//
GatR	yeaG//trpC//narH//
GcvA	puuE//garK//glxK//
GlcC	wzc//paaB//entD//
GlpR	mhpF//tdcE//dmsA//moaA//astE//betA//hcaE//
GlrR	
GntR	acnA//appA//chbF//murQ//rsmH//xylA//fucA//pfkA//tehB//
GutM	katE//rutB//leuD//
GutR	ssuD//argA//cysH//
HU	umuC//aceE//kbaZ//aldA//polB//rutD//nirD//
HcaR	pgaC//tam//
HdfR	
HigA	polB//
HigB-HigA	argE//
HipAB	argB//sgbU//
HipB	gcvP//puuD//aroF//
HyfR	katE//
HypT	citE//dgkA//phoA//entB//aroL//glpB//cysK//
IclR	moaA//moaA//eno//
IdnR	relA//aspC//puuE//glyA//lsrF//chbG//
IlvY	ychF//
IscR	recF//rffM//puuB//rdoA//sufS//glgX//
KdgR	napC//ogt//
KdpE	thrS//
LacI	entF//pfkA//cynT//
LeuO	rbsD//hcp//udp//hcaC//fumC//fadD//
LexA	rhaD//nrdD//glgP//entH//narH//fucU//gcvT//mhpD//umpH//ung//ulaF//cysN//adiA//prpD//metC//paaI//leuB//sodA//atoD//uxuB//trpE//
LldR	cysN//narH//
LrhA	
LsrR	hypF//astD//aspC//cysJ//trpC//
LysR	nrfB//
MalI	phnG//eno//
MalT	astC//leuB//entE//hcaE//deoC//nanM//
MarA	argG//hemH//hycD//entD//nrdE//lpd//murG//aldA//pflB//serA//pyrD//purM//rhaA//phnO//lsrF//dgcZ//bioC//galE//fdhF//carB//sodB//argA//rutB//
MarR	
MatA	narG//
MazE	sdhC//
MazE-MazF	yibQ//
McbR	
MelR	pykF//mhpF//
MetJ	tpiA//glpC//uidA//gntK//fbaA//fabG//pfkA//atoD//trpA//accA//
MetR	rffG//uidA//dkgB//entE//
MhpR	allE//tdcG//yfdE//wrbA//ulaE//mazG//
Mlc	fes//glk//rutE//idnD//
MlrA	trpA//
MngR	gcvT//aceE//
MntR	gor//yeaG//
ModE	narI//xylB//rffG//alaC//purA//speA//rfe//bioF//srlD//citD//glpC//murC//citC//sucB//
MprA	accD//nrdD//glpA//
MqsA	rffM//fabB//
MraZ	argE//metF//ttdB//wecB//cysH//fabB//frdA//leuC//ampC//wecC//deoD//
MtlR	aspC//serA//malS//
MurR	fadD//polB//astD//
Nac	yiaK//sdhB//argG//torA//rutB//rutE//glpQ//lacZ//napC//entE//
NadR	ssuE//glgB//folA//metB//
NagC	gcl//tyrA//tdcD//dkgA//tauD//fadD//napC//eda//fabD//lsrF//fadB//sdhA//entF//citG//ruvA//pfkA//nirB//ribA//fbaA//
NanR	epd//torC//tyrB//ruvB//phnL//lacZ//
NarL	prpB//icd//leuD//dhaL//uvrA//rffG//pncB//caiA//malS//wecB//gatZ//hemH//fabI//phoA//puuA//cysG//pykF//pheS//polB//citG//nanK//ttdA//narG//eno//nrfA//moeA//gnd//talA//lysA//adiA//nrdF//garK//fadB//leuB//cadA//cysG//
NarP	hmp//murQ//fau//fabI//aceF//uvrB//pyrC//atoA//napC//nanE//codA//
NemR	fadM//mhpC//
NhaR	rbsD//lacA//ulaG//gcvP//puuC//
NikR	paaF//
NimR	dapB//
NorR	oxc//
NrdR	sgbE//slt//hycB//ynfE//
